	A_S_0_5	A_S_1	A_S_2	A_S_3	A_S_4	A_S_5	A_S_6	A_S_8	A_S_12	A_S_24	B_S_0_5	B_S_1	B_S_2	B_S_3	B_S_4	B_S_5	B_S_6	B_S_8	B_S_12	B_S_24	C_S_0_5	C_S_1	C_S_2	C_S_3	C_S_4	C_S_5	C_S_6	C_S_8	C_S_12	C_S_24
FBgn0026575	22.65900413636341	25.503666349355456	21.907459740767173	22.80668152105954	22.308888159327918	20.98066439479738	20.69833592712825	24.38021396338943	25.610771520525788	21.76546229282963	20.324400265107972	19.35223583713489	23.951035018043203	22.20105751680014	22.893563460765943	18.688326882354808	22.976896435076217	21.06881660193385	22.343653326839	21.253300461798688	21.967622964090527	23.329417097507065	22.23812432144695	26.56302195188526	22.001923204415544	20.14486523110764	24.022752203263263	21.237472247488448	24.313114873608576	21.804072786262363
FBgn0026582	9.035876810700616	11.60711310529662	8.095526117226173	10.752383514613262	11.245491072132792	10.622733223257471	7.485019718548649	11.69221308021316	12.54991515115653	9.65688060499808	10.066615588967707	9.137172559894054	9.190429913303092	11.578102621578042	9.662225445991854	10.473105187276976	8.685710358601117	9.089529056583796	11.995669073175405	9.45763663285091	9.171849918769066	8.789924887556392	8.752268072336978	10.750162767717724	8.444625378520705	10.995118261404931	9.99708530670647	8.917424426859531	12.358136472178284	7.289195312688508
FBgn0026869	26.42968038700361	27.22195040683077	25.6167920575147	24.94836617922955	27.926059546855697	25.07407997463212	26.001334517471445	27.393394706818604	35.187733731004855	29.60756606949142	24.8268334945286	22.227443878443577	29.46490908862283	29.617089397839745	30.999524950093857	24.39943146234048	27.7608405439898	26.29361043831856	35.20851039045031	29.704457179423606	25.874016373141853	27.86134424298533	26.83859097620593	33.6177816146291	35.558664986067186	30.387215331336996	28.82823460214332	31.97532239761848	37.4703106950186	26.81218812524984
FBgn0027339	48.565490144725146	55.05987423109909	45.23027184507758	45.32248903770971	51.070225086336606	46.95920675765606	43.80281866492007	50.80508408398586	62.41774449662731	55.66835228029368	50.0625010691036	46.15781440989005	53.67188606046789	49.58527541902474	56.754305762360886	47.60447610782344	51.25198876236215	49.8520572133141	63.14133134213245	59.500018040009024	47.222845623265904	56.46506214098154	50.52281571559237	56.16530375091136	60.38556375099968	53.5195634221209	52.47461616629593	59.516413638893965	66.91458458363785	51.38167434329104
FBgn0027503	7.966361957269138	9.794191610189062	10.155219557158118	9.233992254369936	10.481224908274712	9.470404064465823	9.481006856553126	9.902486502945804	11.299618830535804	10.10437294145609	9.110944814033232	8.346055041398792	11.065710113799916	9.357452930534182	9.76987422336246	8.028359237653138	10.251694269714426	8.870530132304602	10.763367938624349	9.87777902005097	9.610807471826847	10.282122255633006	9.738606939920237	11.387208548958448	9.695312593127747	9.44130687829628	10.398668301449025	9.260911741179523	11.350510309128328	9.400662168013126
FBgn0027514	6.9307414769901925	8.049887414653664	7.447483692274934	8.330760318768649	9.142617097787534	8.341411453699992	8.119400690553034	7.334502402604011	10.38404998642651	8.258994475052774	8.705462464129234	6.450922046129985	8.340847543171586	7.980371244184305	8.898267197489838	7.04829372913518	8.860388378042993	7.781741210976517	8.79717903563327	6.896943611472929	7.758700362856533	8.443817982913396	7.662808391123072	9.380944655129776	7.426762285177538	7.656476366405629	9.206650864483294	8.251837456317194	9.284912895102956	7.80713568488567
FBgn0027951	35.00381005090708	37.8193086142506	34.21067119441261	36.03896187827607	34.995836350751226	34.73109487674903	30.308942458409906	34.83770277644864	36.62823475953415	36.022540647635594	33.66268967401912	32.42026248351959	34.66711832711324	35.78125940291639	36.74704471122651	30.81427708601421	34.41049981811936	32.07148332453028	38.68699951872672	34.948508566003014	34.41356382258883	35.942568132563764	36.08233154175743	40.49890358715077	35.13969099685374	34.345537657122584	37.5452874724566	32.11312642859486	37.67217670650945	32.1912084891475
FBgn0028387	7.542113080145889	9.427764129213145	7.835129225898178	7.701712217282743	8.564047974101923	8.071595473885555	8.532170011917461	8.671608131507845	8.463415876284401	8.671222435278443	9.06661118181507	7.750365835997355	8.219580275388822	8.314175611763998	8.396449135207558	7.723040020607502	8.639184131074346	7.838221735293104	9.246180269839364	9.676843256771008	7.805175378151282	8.899320029062537	7.7817673127746865	9.627242862793024	8.393277179796781	8.928392317728628	9.218368612119612	8.721792998967688	8.554580736426546	8.375101475271833
FBgn0028550	17.9538860418263	21.356371926665105	17.787319899573944	18.43703274045516	18.18069542389729	18.29500917750296	17.66154962588272	21.65928265064806	33.184297188720215	20.3944312230923	19.931173634048587	17.24670285946518	20.16289355242202	20.352434376486496	21.156563974540585	19.003857476705637	21.43063320905479	19.234380710394404	27.100752311776574	21.68994878145577	18.408297432006812	23.68358150101665	18.6887463322478	23.093443195955142	20.272817918076875	22.45417661022548	21.671513074875136	20.009739590116123	29.24279827289006	18.890358016625168
FBgn0028647	8.30494777022858	8.004095648284373	6.892301164924266	8.205586319913015	8.116215384518982	7.466590704274083	8.683648822581407	7.6372259531300415	9.524255446113251	8.41227934587799	8.12723318215665	7.458284749062498	8.103184114871455	7.562026191915004	8.544604489304657	7.115912699253903	8.020290805063155	7.531851133141802	8.915508787269566	7.598917436252431	7.6527311711302	7.73772303513728	7.058066677173384	9.053186083356003	8.792096161876339	7.799960643510712	7.6527972036328356	8.237308319767132	9.437929311216973	7.719867814167493
FBgn0028895	4.496247269092315	3.855769781934992	3.9732951492887314	4.755252938843523	4.561410719983153	5.1584012927514165	5.359138513217199	4.844014672258903	5.399697158231049	5.031929858003169	3.7339272695160495	4.502787650997281	5.222019748094806	5.247764007518021	4.49311997218641	4.885655524514193	4.4956068122181705	4.507069530775931	5.866711199710802	4.927711208862105	4.715090356416108	5.183092887946576	3.975552974422336	5.309216899431043	5.708796270943062	5.636149392338378	3.710635715996536	4.93663479406097	4.870550682480142	4.175520736842754
FBgn0028926	16.661272559875812	19.86046583477068	20.2172634092984	27.15015273475345	24.48820096972369	21.652408006209413	13.193401573924412	24.660002316692648	17.68864466448707	23.768360460348344	26.332869279195474	19.715839126166006	17.526312547317257	15.501474668751102	25.472502044871604	21.831338630100426	17.6331712742349	18.970967964929606	15.92264953007685	22.51145790353342	16.671110816844173	18.467961500977903	19.59259571492946	18.574196352288983	16.27935763933724	18.4732749279342	22.53187780422569	15.71821663704224	18.426486831323363	18.01382183043686
