TF	Gene	rank
FBgn0267033	FBgn0037921	392
FBgn0278608	FBgn0026869	393
FBgn0043364	FBgn0035849	394
FBgn0038244	FBgn0003512	395
FBgn0036152	FBgn0016076	396
FBgn0267792	FBgn0000575	397
FBgn0000964	FBgn0037921	398
FBgn0026869	FBgn0032600	399
FBgn0011655	FBgn0263490	400
FBgn0026869	FBgn0030316	401
FBgn0259789	FBgn0005642	402
FBgn0024244	FBgn0019650	403
FBgn0052264	FBgn0037717	404
FBgn0263112	FBgn0034425	405
FBgn0011655	FBgn0000546	406
FBgn0003053	FBgn0004859	407
FBgn0039209	FBgn0030316	408
FBgn0086655	FBgn0085451	409
FBgn0267033	FBgn0034062	410
FBgn0000964	FBgn0051388	411
FBgn0002733	FBgn0013263	412
FBgn0013469	FBgn0015602	413
FBgn0011655	FBgn0005642	414
FBgn0015602	FBgn0040372	415
FBgn0011655	FBgn0033998	416
FBgn0278608	FBgn0015903	417
FBgn0004893	FBgn0026869	418
FBgn0005659	FBgn0263667	419
FBgn0015903	FBgn0035036	420
FBgn0000504	FBgn0259211	421
FBgn0042696	FBgn0262975	422
FBgn0000575	FBgn0003053	423
FBgn0011655	FBgn0011763	424
FBgn0036152	FBgn0016917	425
FBgn0027339	FBgn0030432	426
FBgn0003053	FBgn0003866	427
FBgn0042696	FBgn0085451	428
FBgn0002723	FBgn0021872	429
FBgn0004198	FBgn0000459	430
FBgn0004198	FBgn0032814	431
FBgn0038244	FBgn0261963	432
FBgn0033010	FBgn0030316	433
FBgn0028550	FBgn0035769	434
FBgn0027339	FBgn0032979	435
FBgn0026869	FBgn0037207	436
FBgn0026869	FBgn0278608	437
FBgn0015602	FBgn0030680	438
FBgn0042696	FBgn0003963	439
FBgn0002733	FBgn0037920	440
FBgn0025525	FBgn0085405	441
FBgn0028550	FBgn0029711	442
FBgn0003118	FBgn0039350	443
FBgn0000504	FBgn0052772	444
FBgn0000504	FBgn0267978	445
FBgn0026160	FBgn0250732	446
FBgn0015371	FBgn0032814	447
FBgn0027339	FBgn0040918	448
FBgn0030432	FBgn0032816	449
FBgn0267033	FBgn0022935	450
FBgn0259789	FBgn0004050	451
FBgn0024244	FBgn0039509	452
FBgn0036152	FBgn0001168	453
FBgn0015903	FBgn0052772	454
FBgn0020309	FBgn0039740	455
FBgn0003396	FBgn0011656	456
FBgn0263112	FBgn0050020	457
FBgn0002609	FBgn0020912	458
FBgn0052772	FBgn0265784	459
FBgn0052264	FBgn0032587	460
FBgn0003651	FBgn0040918	461
FBgn0278608	FBgn0262582	462
FBgn0014343	FBgn0024244	463
FBgn0026869	FBgn0043457	464
FBgn0002609	FBgn0085405	465
FBgn0259789	FBgn0033934	466
FBgn0020912	FBgn0028895	467
FBgn0023094	FBgn0037920	468
FBgn0000504	FBgn0040929	469
FBgn0011655	FBgn0266916	470
FBgn0011274	FBgn0038301	471
FBgn0002609	FBgn0000629	472
FBgn0027339	FBgn0037931	473
FBgn0033010	FBgn0266411	474
FBgn0020309	FBgn0031391	475
FBgn0036152	FBgn0027514	476
FBgn0003053	FBgn0029867	477
FBgn0002609	FBgn0004050	478
FBgn0027339	FBgn0027514	479
FBgn0013469	FBgn0022699	480
FBgn0000575	FBgn0000575	481
FBgn0028550	FBgn0025525	482
FBgn0002733	FBgn0030787	483
FBgn0261239	FBgn0032587	484
FBgn0004893	FBgn0003345	485
FBgn0259176	FBgn0037031	486
FBgn0026869	FBgn0039733	487
FBgn0278608	FBgn0000541	488
FBgn0042696	FBgn0016076	489
FBgn0004893	FBgn0039712	490
FBgn0020912	FBgn0034114	491
FBgn0028550	FBgn0032130	492
FBgn0002733	FBgn0037617	493
FBgn0028550	FBgn0038768	494
FBgn0262937	FBgn0010228	495
FBgn0015602	FBgn0038418	496
FBgn0015371	FBgn0035769	497
FBgn0036152	FBgn0026160	498
FBgn0002609	FBgn0015664	499
FBgn0262636	FBgn0285879	500
FBgn0016076	FBgn0003512	501
FBgn0015602	FBgn0028647	502
FBgn0278608	FBgn0004656	503
FBgn0011655	FBgn0259785	504
FBgn0262937	FBgn0000567	505
FBgn0027339	FBgn0015602	506
FBgn0261963	FBgn0004606	507
FBgn0026869	FBgn0037876	508
FBgn0032587	FBgn0034726	509
FBgn0038244	FBgn0035238	510
FBgn0015903	FBgn0005659	511
FBgn0265276	FBgn0000097	512
FBgn0011655	FBgn0283521	513
FBgn0003963	FBgn0013753	514
FBgn0004198	FBgn0033010	515
FBgn0259789	FBgn0003964	516
FBgn0002733	FBgn0037794	517
FBgn0020309	FBgn0004362	518
FBgn0011274	FBgn0042205	519
FBgn0261963	FBgn0037922	520
FBgn0013263	FBgn0026869	521
FBgn0259789	FBgn0021872	522
FBgn0015602	FBgn0266411	523
FBgn0015602	FBgn0038787	524
FBgn0037717	FBgn0027514	525
FBgn0052264	FBgn0037923	526
FBgn0000964	FBgn0036294	527
FBgn0085450	FBgn0032814	528
FBgn0004914	FBgn0262937	529
FBgn0023094	FBgn0001297	530
FBgn0259789	FBgn0038768	531
FBgn0042696	FBgn0036126	532
FBgn0002733	FBgn0029936	533
FBgn0085450	FBgn0000520	534
FBgn0024244	FBgn0003053	535
FBgn0013469	FBgn0001297	536
FBgn0259789	FBgn0002781	537
FBgn0004198	FBgn0032321	538
FBgn0002609	FBgn0040918	539
FBgn0028550	FBgn0085424	540
FBgn0025525	FBgn0033782	541
FBgn0039209	FBgn0262975	542
FBgn0003053	FBgn0003963	543
FBgn0037717	FBgn0034946	544
FBgn0052296	FBgn0031759	545
FBgn0027339	FBgn0016917	546
FBgn0024244	FBgn0000459	547
FBgn0262160	FBgn0029711	548
FBgn0015371	FBgn0032816	549
FBgn0011274	FBgn0051388	550
FBgn0085450	FBgn0021872	551
FBgn0003118	FBgn0030963	552
FBgn0262636	FBgn0267978	553
FBgn0038244	FBgn0031434	554
FBgn0002733	FBgn0002733	555
FBgn0011655	FBgn0263108	556
FBgn0052772	FBgn0025874	557
FBgn0003053	FBgn0263240	558
FBgn0278608	FBgn0261885	559
FBgn0023215	FBgn0000370	560
FBgn0020309	FBgn0052772	561
FBgn0002609	FBgn0036396	562
FBgn0278608	FBgn0052767	563
FBgn0005659	FBgn0038767	564
FBgn0024244	FBgn0037619	565
FBgn0259789	FBgn0000370	566
FBgn0036152	FBgn0039733	567
FBgn0029504	FBgn0042205	568
FBgn0024244	FBgn0014343	569
FBgn0267033	FBgn0037207	570
FBgn0086680	FBgn0003053	571
FBgn0025525	FBgn0003866	572
FBgn0033010	FBgn0029867	573
FBgn0027339	FBgn0034379	574
FBgn0003118	FBgn0038316	575
FBgn0261239	FBgn0013263	576
FBgn0016076	FBgn0038472	577
FBgn0028550	FBgn0085405	578
FBgn0038244	FBgn0262636	579
FBgn0042696	FBgn0000520	580
FBgn0004893	FBgn0001168	581
FBgn0004198	FBgn0000370	582
FBgn0003118	FBgn0034217	583
FBgn0020912	FBgn0037446	584
FBgn0019650	FBgn0027514	585
FBgn0036152	FBgn0003118	586
FBgn0003963	FBgn0031759	587
FBgn0278608	FBgn0027951	588
FBgn0015602	FBgn0266916	589
FBgn0052772	FBgn0033934	590
FBgn0002733	FBgn0019650	591
FBgn0037717	FBgn0040466	592
FBgn0259176	FBgn0263667	593
FBgn0037717	FBgn0038128	594
FBgn0278608	FBgn0034240	595
FBgn0026869	FBgn0037877	596
FBgn0027339	FBgn0022935	597
FBgn0002914	FBgn0000546	598
FBgn0278608	FBgn0026573	599
FBgn0039209	FBgn0037207	600
FBgn0033569	FBgn0033183	601
FBgn0039209	FBgn0026533	602
FBgn0013469	FBgn0029672	603
FBgn0037717	FBgn0037620	604
FBgn0278608	FBgn0003028	605
FBgn0001180	FBgn0023215	606
FBgn0039209	FBgn0037634	607
FBgn0023094	FBgn0037722	608
FBgn0016076	FBgn0034062	609
FBgn0278608	FBgn0003396	610
FBgn0278608	FBgn0034570	611
FBgn0032587	FBgn0004362	612
FBgn0261963	FBgn0085451	613
FBgn0015602	FBgn0015903	614
FBgn0023094	FBgn0032223	615
FBgn0011656	FBgn0029504	616
FBgn0013469	FBgn0028550	617
FBgn0011274	FBgn0032202	618
FBgn0278608	FBgn0036004	619
FBgn0011274	FBgn0000459	620
FBgn0037717	FBgn0039329	621
FBgn0002733	FBgn0000611	622
FBgn0002733	FBgn0017578	623
FBgn0005659	FBgn0265784	624
FBgn0013469	FBgn0034961	625
FBgn0036152	FBgn0034650	626
FBgn0005659	FBgn0038472	627
FBgn0003866	FBgn0039355	628
FBgn0037717	FBgn0034599	629
FBgn0278608	FBgn0030486	630
FBgn0263112	FBgn0003866	631
FBgn0033010	FBgn0085432	632
FBgn0015602	FBgn0029822	633
FBgn0052264	FBgn0041111	634
FBgn0025525	FBgn0262160	635
FBgn0013263	FBgn0005659	636
