	A_S_0_5	A_S_1	A_S_2	A_S_3	A_S_4	A_S_5	A_S_6	A_S_8	A_S_12	A_S_24	B_S_0_5	B_S_1	B_S_2	B_S_3	B_S_4	B_S_5	B_S_6	B_S_8	B_S_12	B_S_24	C_S_0_5	C_S_1	C_S_2	C_S_3	C_S_4	C_S_5	C_S_6	C_S_8	C_S_12	C_S_24
FBgn0023215	114.581257355486	118.0475836098	116.762140930542	120.584186287305	115.583423613161	111.171382400635	93.3933738384648	131.472173756272	118.098376230894	111.569161263688	102.630150996019	105.416436868054	106.783971256144	110.550959973295	120.964069719061	115.623306626101	109.106673245208	113.886856088	108.22873678621	117.667725170961	108.829485534252	125.44116340667	128.224017383675	118.520913544585	116.123551444452	117.766385806769	118.795700209322	121.396631748592	120.405240231463	118.757479244337
FBgn0024244	11.8566692393938	13.4172957387573	12.5086728059222	12.8098065763165	14.8311023278978	13.3292218694639	13.0041406610521	14.7348058889105	16.4049072510251	11.6610596841419	12.2639803077004	12.0446261282387	13.8040221383751	13.0765649887022	14.9211799747618	12.5193666943565	14.1666056914127	11.3674380610223	15.0945202159136	13.3086254676122	12.6242203219733	11.099294397539	11.4304659637496	12.8724130584202	13.4371538100009	14.1281734985576	10.7236446847805	12.1396631748592	13.2551603938362	12.0108092330788
FBgn0024321	41.2990705859556	42.8368707989682	38.049029127422	36.4830533586965	39.2641037313039	37.3407279321861	37.4046373196079	39.8385492552023	37.3879281534991	37.8765246883405	39.1391141877328	38.2105380619985	43.4333696568158	40.9092537719951	41.7451332881694	41.3417309062528	35.3569906752066	34.8990972247275	35.733966225428	38.6274739181914	38.1447346797554	41.0004107702196	41.8963450042272	42.9223940442976	42.3574478125955	38.5917222410265	39.8306802577562	39.5642658926092	38.7574841933842	37.3348046040281
FBgn0024371	7.6719624490195	10.5861232434232	9.93720348345041	10.501325532528	12.3517387168511	9.92601628577098	11.8692338397239	11.609241003384	11.6148438934906	10.6089339983546	8.44982375267395	9.70838399129581	8.77541407368129	10.4972425368023	10.194241280467	11.2952508397972	11.1904280251496	12.9078852748992	11.9113220751427	10.8200207053758	9.19609152764432	9.28130652208006	8.98766476988373	10.7198356239018	12.2206213662971	12.563644218516	11.4664079529904	11.6982208775916	12.5999623515553	10.6119599649692
FBgn0025185	5.92833461969689	6.35988024314183	5.62236512879431	6.78965012878968	7.88888421696691	7.79901279596291	7.47146990707718	8.08677898953671	8.4355983022067	6.9264940980993	6.39604714612125	5.60698112866282	6.50761043666253	6.41831400821624	5.63815579199014	7.12212860834504	6.84520863240532	6.90545302772385	8.36873059589765	6.00511149148354	6.14886593268526	4.92770397821776	6.5448635760179	7.1465570826012	7.40978852074125	7.39595659656036	7.42763268209907	6.78717532048945	7.05597891687099	6.94601015888894
FBgn0025525	38.4594481210588	40.0467297890737	43.3227204497794	44.9927481867796	45.4850524281121	42.0674023539818	29.7440162756427	41.1780770632851	37.3879281534991	40.1122917706383	36.7332615914854	34.9657573162445	39.0456626199752	39.5896004245114	42.5424482486528	39.2829906054031	37.8569799148677	39.8391520830222	37.8903262562728	37.5454718476539	41.3007897602488	39.7086825429198	36.0889308452254	40.4254042202562	40.0349767837065	37.4538827646326	39.6914121449669	33.2185328693874	37.2958885606038	39.6501413236577
FBgn0025635	13.1519356268906	11.6119103794138	11.4190671608071	11.4518765505586	11.7206279794937	10.965884658566	11.8692338397239	10.8154467467424	12.9713220124385	12.0117682460709	10.7969970173056	10.5909643541409	12.8673206361282	13.5564389332418	13.155696847977	10.4049847637541	12.8570875182569	11.8986267554626	12.8354763740762	10.5495201877414	10.8829485534252	11.7212376180908	10.2321106610984	12.0544336333032	12.2759182955564	10.193145309362	12.1627485169372	11.8085814519085	11.2895662669936	10.5154876016513
FBgn0025800	145.518196841467	146.564465990339	142.171744574628	138.961505969229	134.426587057116	138.491560558614	140.539294707806	154.392982916799	131.83271718524	158.564108562185	148.517388319568	158.760632328249	139.815024230113	127.226579546043	139.359264878786	156.186054715817	139.880350314369	150.591994873824	142.781839185223	165.384016481668	156.170311741652	156.107748358491	154.541743453437	137.119182578824	145.54151781038	148.440641691221	146.649322767193	156.932736678634	146.05876357923	156.381700938319
FBgn0025874	8.61850327065178	8.00113966072682	7.06064458034634	8.87180950161851	10.2330098128657	9.68968256468119	10.8761903710617	8.38445183577733	8.6475480082923	9.77600116377306	9.79944837983715	8.79984538248471	7.00061122731878	8.51776251557669	8.88436670252991	9.62600194721634	9.99995695864429	10.9424871054701	9.44691061132005	11.0905212230101	8.37987038613743	8.6593633015283	9.21811771270126	7.74927876426637	11.2805735688897	9.90868544026356	10.2129949378862	9.82209111420424	9.67677108599451	9.11663833354174
FBgn0026160	264.632886553192	281.02464377599	270.047863085345	275.614530894669	266.734445210247	259.872559710328	197.899376969101	316.922356964175	249.464804062746	273.377324023717	252.614522605982	239.93206746403	239.746284496136	249.354498431354	277.63645945406	236.532568078709	254.165572698876	266.444249131253	255.374637938619	267.308611526308	261.571668481576	276.14278992498	270.828298399163	259.514735505542	229.869334930757	236.812841024481	281.182319721713	286.661591788152	276.241574595499	273.065024371322
FBgn0026427	59.2335282589882	53.8333088967876	53.4342608364483	51.8276626497612	54.5009201046457	54.5458228275224	62.8927530152699	58.5919385683611	66.1283082987058	57.2970113051632	54.9825337239964	52.7731140489422	59.5544955112753	54.5256769483043	51.028157470941	51.4128658914907	60.059265305191	59.4931337773132	63.201885665951	59.6724141901473	51.9660793426055	58.5105045180614	59.5951310126137	57.9043329885459	66.3010181818564	60.6847720743414	59.0961025269507	61.6363807559895	69.6021920299917	60.6328803453014
FBgn0026533	126.985923912667	130.15187181449	131.842283058936	126.875928739983	126.898337547211	132.299617066062	137.79660322293	141.989947656773	126.661144356752	135.724213466553	134.316990068546	138.175743277186	130.743809682038	129.685933511808	123.754672080753	132.816570219684	136.249413561528	136.143662385048	131.691987598021	147.098181489583	130.214479441733	137.114559238564	131.45035858312	134.708295852164	136.306930624083	139.290515901887	133.418852052204	143.744648047764	133.811600173518	135.929559914924
FBgn0026573	57.3902645537043	63.1474560915824	52.6497447719653	56.7614750766817	54.6812374581764	62.8647698098829	63.6966453470441	59.1872842608423	63.9664212966328	59.9711640898724	58.2685762944808	57.8868885042504	61.1320980413753	58.4846369907554	58.1470410466861	55.9754795312118	59.166412005312	58.9619450828729	60.6347903911358	61.3495173994805	58.3870189891264	58.1277702284911	60.4708521953203	60.831838299491	62.209045416671	60.5425421397922	61.6029285571591	62.8503470734754	61.4878162755901	57.2081114475159
FBgn0026575	120.160866409318	126.623164066682	116.500635575715	115.740902528768	109.542792269883	107.153709142109	107.343270183957	124.079964741296	118.183156113328	104.554990025106	102.571471664403	106.143267755103	117.827188966844	109.171322382743	110.769828438594	101.879824077186	116.130452537589	111.337150354686	104.275410062995	106.036202912682	113.672397640527	114.820286871093	117.162276128433	120.070769297438	107.165448904452	104.728641806422	120.188381337216	107.877461394771	111.282867488937	117.503338521205
FBgn0026582	7.47269069709692	8.98589531127781	6.71197077390949	8.50969482808306	8.6101536310896	8.46074721501431	6.05283638041696	9.27747037449917	9.02905747924637	7.23336408978724	7.92170976813183	7.81343203577551	7.04991130638441	8.87766797398134	7.289736781563	8.90266076043129	6.84520863240532	7.48976059160818	8.72812393437179	7.35761407965551	7.40040501632916	6.74569185367674	7.19013181590698	7.57707256950489	6.41444379407452	8.91307589841889	7.79901431620402	7.0630767562817	8.81997364608874	6.12599507068678
FBgn0026869	172.370065413036	166.21854751592	167.53776399291	155.709309620243	168.641804889561	157.492791734233	165.83825926658	171.459559434594	199.699013073848	174.915895262128	154.091924823068	149.934828699798	178.269085901301	179.11294979938	184.464511214708	163.586391472925	172.558781089939	170.883403001443	202.081740033455	182.263248782055	164.659011613324	168.642296341919	173.899790650109	186.886772864891	213.003771506681	194.286090594259	177.381152989378	199.752639513592	210.923369765037	177.702093231575
FBgn0027339	245.004618988818	260.057554716341	228.817185474187	218.807791483795	238.559858721079	228.156574340079	216.105173894574	245.976995276828	274.008580027458	254.395223109305	240.350542298281	240.840606072841	251.183902839361	231.959067941796	261.234551695543	246.88191121271	246.427510766591	250.614826036932	280.326804009823	282.402540410307	232.459781101163	264.373710520693	253.221693567904	241.519188152968	279.802462051871	264.689908196131	249.754148935581	287.599656669846	291.361529417366	263.417788039531
