	A_C_0_5	A_C_1	A_C_2	A_C_3	A_C_4	A_C_5	A_C_6	A_C_8	A_C_12	A_C_24	B_C_0_5	B_C_1	B_C_2	B_C_3	B_C_4	B_C_5	B_C_6	B_C_8	B_C_12	B_C_24	C_C_0_5	C_C_1	C_C_4	C_C_5	C_C_6	C_C_8	C_C_12	C_C_24
FBgn0002609	3.704721083682843	2.451485187494064	3.177728188519314	2.0465011117052563	2.904903192503735	3.4552178503211524	3.7088422034421016	4.314011149595502	3.828075146718208	2.4146327232946514	3.096761837838237	2.8612329057072885	3.309611335377594	3.2009943200054987	3.5751512577551003	2.7366296674868966	4.894127614940529	3.766270662495765	4.05848668291651	2.591715581586892	3.597656456020097	4.392547312499381	3.038657539304165	2.50133148512222	2.4255512941569206	3.4864892170794635	4.276694723345097	2.19297860313979
FBgn0002723	17.728909753324935	17.21584495936559	15.048876214962249	15.274453494498037	15.91611754475674	17.378067549056944	18.09358241255758	14.28160350775612	15.094024160097083	16.266543504212535	16.27973133569904	15.5389639811378	15.942571767895243	14.575675762440625	16.98883228519385	16.762715574075443	16.563421527801648	17.26272448313988	13.548991065871396	16.476162032694663	18.36979163894324	16.9893801895003	20.355876989475604	16.407682392734184	14.300521491484808	15.552380884206952	16.23173256728573	17.044647036331632
FBgn0002733	21.24548243321838	13.206775593411672	15.265093524577852	9.274150895801665	11.195964872939712	12.122359394886494	17.118861501292805	15.798259730247146	17.27598481207214	11.15528481055795	21.548410397448865	13.413146192882936	16.256114584946246	11.911068679462092	13.80533869331743	14.35186761335275	15.148908080448722	10.00141410445438	13.883853277714454	11.151653207670348	18.122953912144045	13.408830569863053	10.929454368854786	11.507532433224972	14.528156946122468	15.679275098862862	17.16092704141895	10.970267963255674
FBgn0002781	103.61248438588808	105.23799214937308	102.54053713778364	84.91763276314808	100.81817997268936	99.76748877393828	107.79909426924064	96.3003547322722	101.6506635844996	87.54224658005948	114.2625340816734	96.09524550550766	105.89308161326652	107.09850009478504	109.76636208292231	97.6415987984232	87.16710705684767	91.69996129904416	95.77522657089077	97.15034491768456	80.2784992340443	90.82204838790943	107.43509421083496	92.16911402935946	84.38671643158223	92.87454988730433	103.31532940268576	76.12221403087999
FBgn0002914	39.50293447886312	41.64686501221446	39.66745231308092	42.16457822391458	44.521850816624166	44.56172074749682	45.59372026271371	40.05492896387521	45.45549744388353	55.77186503174568	44.648549294355135	43.79542160453016	44.05815730935938	46.36671169501979	44.20744510819767	43.959717240025775	48.22975722039835	40.87127589979706	37.81082884923326	43.88101156949247	42.36343300830197	42.180388731531	48.15758156693122	40.5897125232656	35.635330822568925	43.4680695446062	44.27721613894328	58.33980993901464
FBgn0003028	4.733320291546126	4.307590088825618	3.975812736666852	4.389391973216229	5.005973706107446	4.360296680674443	4.659531650883587	3.386492885327682	3.4122362660528838	3.605023490821053	5.1424391995215135	4.021533173346834	4.3753719897422885	4.456972537714502	4.907495392017574	4.480985596414612	5.049271859015422	4.025971861517991	3.5284011167842477	5.089757779962289	4.59243292103109	4.271737440769684	5.470316026076353	3.904251746404785	4.054117289945769	3.812878553118454	4.094422413754549	4.7760875631857465
FBgn0003053	9.098122657357406	9.265988550901673	9.9123257896145	7.370074398255997	7.323990532258688	8.280741517899008	8.240843901310116	7.387873959083882	6.721959327110861	8.026934114163387	9.23997830627807	7.120941548609408	9.42295744293594	7.092624452638879	7.238489342865365	7.639720995339345	7.667757879838857	7.955411235328993	7.687891828743475	9.413739812733349	7.802395323659993	10.00869964297197	8.18140206035253	7.19456387705565	5.041017308966503	7.962178740040363	8.162999616224552	6.953746578197327
FBgn0003118	10.431618835858306	9.65369754096125	9.21314278484609	10.144548926930884	11.79668654696594	12.177593127757124	12.117827655405758	8.96906415965795	11.848259098531582	10.300957671408057	9.94530259880233	10.101558386816262	10.23792530300109	10.61304744043525	10.831753063345584	10.417678125729386	12.996860800771929	10.67646908075736	10.913017090755796	11.579783030835058	10.284844183517937	11.290608458668371	12.82427306014728	9.277313483030172	8.998280214702088	10.797630443268115	13.652505336103934	11.581766726152797
FBgn0003345	41.10747263441933	36.29799481897308	32.478317706537005	32.736589621052005	40.98022169925732	41.61783568914657	42.8680063011094	33.63320806358088	39.49409832099941	41.48745327857022	40.013578851890536	36.77505641638203	41.20963711696698	39.69155169188368	42.06822787391184	45.08873039580247	49.94679443578714	43.16775683009925	36.46608410650922	41.18796465970313	44.66966093555347	41.96238713002961	51.32949231706588	41.29002465928405	37.108924430992	40.38433030275412	42.42649152836301	51.62654939377427
FBgn0003396	17.861784198137023	17.37602877141584	16.903716772020786	15.275991919343864	16.16522842969617	18.06039143845221	18.268854042677663	16.239048458446813	18.18638379202177	18.927852499308635	19.319287986263216	16.78198561248762	17.841933306359103	14.868005659134637	15.740997683602728	19.76494145882405	19.48763800577529	16.324917036623397	16.59311673823854	15.185846979881342	18.220389148230836	19.08081644648158	16.835911299152105	15.8350666053442	14.702634544815426	18.162082937145872	19.28953795070452	19.469156752108123
