"Time"	deoR	nupG	cytR	crp	rhaR	tsx	deoC	deoA	deoB	deoD	udp	ppiA	cdd	nupC	rpoH	glgP
660	0,9329894	0,4229030	0,6247446	0,1194885	0,6174313	0,8292931	0,9429568	0,7080094	0,8176764	0,4063736	0,8464851	0,3924742	0,4679431	0,2942881	0,4123991	0,0330835
680	0,9552702	0,4208186	0,6247446	0,1194885	0,5821661	0,8183519	0,9366326	0,7082162	0,8025181	0,4063734	0,8464851	0,3924742	0,4679431	0,2846183	0,4123991	0,0330835
700	0,9701427	0,4193926	0,6247446	0,1194885	0,5491004	0,8088677	0,9312729	0,7055180	0,7843375	0,4063732	0,8464851	0,3924742	0,4679431	0,2794446	0,4123991	0,0330835
720	0,9800702	0,4184327	0,6247446	0,1194885	0,5177685	0,8009955	0,9268968	0,7022181	0,7667397	0,4063731	0,8464851	0,3924742	0,4679431	0,2766764	0,4123991	0,0330835
740	0,9866968	0,4177913	0,6247446	0,1194885	0,4879061	0,7946650	0,9234120	0,6992117	0,7513629	0,4063730	0,8464851	0,3924742	0,4679431	0,2751953	0,4123991	0,0330835
760	0,9911201	0,4173635	0,6247446	0,1194885	0,4593657	0,7896957	0,9206853	0,6967665	0,7387119	0,4063730	0,8464851	0,3924742	0,4679431	0,2744028	0,4123991	0,0330835
780	0,9940726	0,4170782	0,6247446	0,1194885	0,4320740	0,7858685	0,9185797	0,6948907	0,7287081	0,4063730	0,8464851	0,3924742	0,4679431	0,2739788	0,4123991	0,0330835
800	0,9960435	0,4168875	0,6247446	0,1194885	0,4060083	0,7829660	0,9169702	0,6935008	0,7210163	0,4063729	0,8464851	0,3924742	0,4679431	0,2737519	0,4123991	0,0330835
820	0,9973590	0,4167596	0,6247446	0,1194885	0,3811827	0,7807928	0,9157500	0,6924939	0,7152245	0,4063729	0,8464851	0,3924742	0,4679431	0,2736306	0,4123991	0,0330835
840	0,9982371	0,4166737	0,6247446	0,1194885	0,3576370	0,7791830	0,9148312	0,6917755	0,7109333	0,4063729	0,8464851	0,3924742	0,4679431	0,2735656	0,4123991	0,0330835
860	0,9988233	0,4166159	0,6247446	0,1194885	0,3354271	0,7780017	0,9141435	0,6912688	0,7077949	0,4063729	0,8464851	0,3924742	0,4679431	0,2735309	0,4123991	0,0330835
880	0,9992145	0,4165768	0,6247446	0,1194885	0,3146157	0,7771417	0,9136313	0,6909144	0,7055238	0,4063729	0,8464851	0,3924742	0,4679431	0,2735123	0,4123991	0,0330835
900	0,9994757	0,4165504	0,6247446	0,1194885	0,2952625	0,7765199	0,9132516	0,6906681	0,7038948	0,4063729	0,8464851	0,3924742	0,4679431	0,2735023	0,4123991	0,0330835
920	0,9996500	0,4165325	0,6247446	0,1194885	0,2774164	0,7760733	0,9129711	0,6904979	0,7027352	0,4063729	0,8464851	0,3924742	0,4679431	0,2734970	0,4123991	0,0330835
940	0,9997664	0,4165204	0,6247446	0,1194885	0,2611072	0,7757541	0,9127648	0,6903807	0,7019149	0,4063729	0,8464851	0,3924742	0,4679431	0,2734942	0,4123991	0,0330835
960	0,9998441	0,4165122	0,6247446	0,1194885	0,2463414	0,7755272	0,9126134	0,6903004	0,7013380	0,4063729	0,8464851	0,3924742	0,4679431	0,2734926	0,4123991	0,0330835
980	0,9998959	0,4165066	0,6247446	0,1194885	0,2330991	0,7753666	0,9125027	0,6902455	0,7009343	0,4063729	0,8464851	0,3924742	0,4679431	0,2734918	0,4123991	0,0330835
1000	0,9999305	0,4165028	0,6247446	0,1194885	0,2213337	0,7752534	0,9124220	0,6902080	0,7006529	0,4063729	0,8464851	0,3924742	0,4679431	0,2734914	0,4123991	0,0330835
1020	0,9999536	0,4165003	0,6247446	0,1194885	0,2109750	0,7751739	0,9123632	0,6901825	0,7004576	0,4063729	0,8464851	0,3924742	0,4679431	0,2734912	0,4123991	0,0330835
1040	0,9999690	0,4164986	0,6247446	0,1194885	0,2019329	0,7751182	0,9123205	0,6901653	0,7003225	0,4063729	0,8464851	0,3924742	0,4679431	0,2734910	0,4123991	0,0330835
1060	0,9999793	0,4164974	0,6247446	0,1194885	0,1941029	0,7750793	0,9122896	0,6901535	0,7002294	0,4063729	0,8464851	0,3924742	0,4679431	0,2734910	0,4123991	0,0330835
1080	0,9999862	0,4164966	0,6247446	0,1194885	0,1873719	0,7750523	0,9122673	0,6901456	0,7001653	0,4063729	0,8464851	0,3924742	0,4679431	0,2734909	0,4123991	0,0330835
1100	0,9999908	0,4164961	0,6247446	0,1194885	0,1816235	0,7750335	0,9122512	0,6901403	0,7001214	0,4063729	0,8464851	0,3924742	0,4679431	0,2734909	0,4123991	0,0330835

0	1,0000000	0,4164950	0,6247446	0,1194885	0,1525209	0,7749920	0,9122183	0,6901292	0,7000270	0,4063729	0,8464851	0,3924742	0,4679434	0,2734909	0,4125036	0,0330835
20	1,0000000	0,4164950	0,6247446	0,1194885	0,1524441	0,7749919	0,6471859	0,6901292	0,7000271	0,4063729	0,8464851	0,2115497	0,3665066	0,2734909	0,4124756	0,0330835
40	1,0000000	0,4164950	0,6247446	0,1194885	0,1523808	0,7749919	0,4602505	0,6901292	0,7000271	0,4063729	0,8464851	0,1164651	0,3013519	0,2734909	0,4124552	0,0330835
60	1,0000000	0,4164950	0,6247446	0,1194885	0,1523287	0,7749918	0,3283993	0,6901292	0,7000271	0,4063729	0,8464851	0,0664936	0,2595019	0,2734909	0,4124402	0,0330835
80	1,0000000	0,4164950	0,6247446	0,1194885	0,1522858	0,7749918	0,2354007	0,6901292	0,7000271	0,4063729	0,8464851	0,0402311	0,2326208	0,2734909	0,4124292	0,0330835
100	1,0000000	0,4164950	0,6247446	0,1194885	0,1522504	0,7749918	0,1698059	0,6901292	0,7000272	0,4063729	0,8464851	0,0264289	0,2153547	0,2734909	0,4124211	0,0330835
120	1,0000000	0,4164950	0,6247446	0,1194885	0,1522213	0,7749918	0,1235399	0,6901292	0,7000272	0,4063729	0,8464851	0,0191751	0,2042643	0,2734909	0,4124153	0,0330835
140	1,0000000	0,4164950	0,6247446	0,1194885	0,1521973	0,7749918	0,0909071	0,6901292	0,7000272	0,4063729	0,8464851	0,0153629	0,1971407	0,2734909	0,4124109	0,0330835
160	1,0000000	0,4164950	0,6247446	0,1194885	0,1521775	0,7749918	0,0678902	0,6901292	0,7000272	0,4063729	0,8464851	0,0133595	0,1925652	0,2734909	0,4124078	0,0330835
180	1,0000000	0,4164950	0,6247446	0,1194885	0,1521613	0,7749918	0,0516557	0,6901292	0,7000272	0,4063729	0,8464851	0,0123065	0,1896262	0,2734909	0,4124055	0,0330835
200	1,0000000	0,4164950	0,6247446	0,1194885	0,1521479	0,7749918	0,0402050	0,6901292	0,7000272	0,4063729	0,8464851	0,0117532	0,1877384	0,2734909	0,4124038	0,0330835
220	1,0000000	0,4164950	0,6247446	0,1194885	0,1521368	0,7749918	0,0321285	0,6901292	0,7000272	0,4063729	0,8464851	0,0114623	0,1865259	0,2734909	0,4124025	0,0330835
240	1,0000000	0,4164950	0,6247446	0,1194885	0,1521278	0,7749918	0,0264319	0,6901292	0,7000272	0,4063729	0,8464851	0,0113095	0,1857470	0,2734909	0,4124016	0,0330835
260	1,0000000	0,4164950	0,6247446	0,1194885	0,1521203	0,7749918	0,0224139	0,6901292	0,7000272	0,4063729	0,8464851	0,0112292	0,1852468	0,2734909	0,4124010	0,0330835
