"Time"	hns	cspA	bolA	stpA	bglJ	bglB	bglG	bglF	cspD	proW	gspB	yjjP	proV	gspO	mukE	yciE
700	0,7164869	0,9814006	0,0872817	0,2752525	0,7891243	0,2176063	0,8837136	0,6570559	0,7751944	0,6605508	0,1400321	0,6282316	0,4830027	0,5838084	0,6107781	0,5677935
720	0,7214178	0,9894334	0,0833693	0,2751921	0,7582813	0,2103229	0,8722045	0,6516285	0,7907065	0,6317915	0,1331851	0,6085088	0,4576892	0,5507244	0,6228335	0,5494056
740	0,7237391	0,9939970	0,0801842	0,2751541	0,7340783	0,2035953	0,8613421	0,6469117	0,8039006	0,6071345	0,1280852	0,5928173	0,4369414	0,5246901	0,6324220	0,5345126
760	0,7246674	0,9965896	0,0776804	0,2751320	0,7163017	0,1977882	0,8515762	0,6429053	0,8145088	0,5870037	0,1244236	0,5809344	0,4206767	0,5052015	0,6397147	0,5230002
780	0,7249138	0,9980625	0,0757646	0,2751203	0,7038975	0,1930560	0,8431276	0,6396073	0,8227060	0,5711820	0,1218695	0,5722843	0,4083638	0,4911730	0,6450666	0,5144251
800	0,7248668	0,9988993	0,0743301	0,2751150	0,6955896	0,1893784	0,8360463	0,6369954	0,8288525	0,5591200	0,1201306	0,5661911	0,3993036	0,4813936	0,6488791	0,5082304
820	0,7247235	0,9993747	0,0732753	0,2751133	0,6902114	0,1866292	0,8302671	0,6350122	0,8333522	0,5501508	0,1189716	0,5620179	0,3927932	0,4747595	0,6515268	0,5038698
840	0,7245733	0,9996448	0,0725111	0,2751133	0,6868302	0,1846392	0,8256567	0,6335674	0,8365820	0,5436182	0,1182139	0,5592293	0,3882092	0,4703654	0,6533250	0,5008687
860	0,7244501	0,9997982	0,0719648	0,2751141	0,6847586	0,1832371	0,8220493	0,6325548	0,8388622	0,5389426	0,1177273	0,5574064	0,3850377	0,4675164	0,6545223	0,4988434
880	0,7243605	0,9998853	0,0715783	0,2751150	0,6835185	0,1822723	0,8192729	0,6318692	0,8404494	0,5356448	0,1174200	0,5562381	0,3828767	0,4657048	0,6553056	0,4975004
900	0,7243005	0,9999349	0,0713076	0,2751158	0,6827916	0,1816221	0,8171657	0,6314187	0,8415411	0,5333475	0,1172290	0,5555026	0,3814237	0,4645729	0,6558098	0,4966235
920	0,7242628	0,9999630	0,0711193	0,2751165	0,6823734	0,1811921	0,8155848	0,6311304	0,8422843	0,5317635	0,1171119	0,5550469	0,3804579	0,4638768	0,6561299	0,4960587
940	0,7242405	0,9999790	0,0709893	0,2751170	0,6821367	0,1809125	0,8144100	0,6309500	0,8427861	0,5306808	0,1170411	0,5547687	0,3798223	0,4634549	0,6563305	0,4956993
960	0,7242280	0,9999881	0,0709000	0,2751173	0,6820043	0,1807337	0,8135440	0,6308394	0,8431225	0,5299458	0,1169987	0,5546008	0,3794074	0,4632024	0,6564549	0,4954728
980	0,7242214	0,9999932	0,0708389	0,2751175	0,6819310	0,1806208	0,8129096	0,6307726	0,8433467	0,5294497	0,1169736	0,5545006	0,3791383	0,4630527	0,6565313	0,4953314
1000	0,7242183	0,9999961	0,0707972	0,2751177	0,6818903	0,1805506	0,8124471	0,6307328	0,8434955	0,5291161	0,1169589	0,5544413	0,3789648	0,4629647	0,6565780	0,4952436
1020	0,7242169	0,9999978	0,0707688	0,2751177	0,6818677	0,1805074	0,8121115	0,6307094	0,8435940	0,5288927	0,1169502	0,5544063	0,3788534	0,4629132	0,6566063	0,4951894
1040	0,7242164	0,9999988	0,0707495	0,2751178	0,6818549	0,1804811	0,8118685	0,6306957	0,8436590	0,5287432	0,1169452	0,5543857	0,3787820	0,4628831	0,6566234	0,4951561
1060	0,7242163	0,9999993	0,0707364	0,2751178	0,6818475	0,1804652	0,8116932	0,6306877	0,8437018	0,5286435	0,1169422	0,5543736	0,3787363	0,4628655	0,6566338	0,4951356
1080	0,7242164	0,9999996	0,0707275	0,2751178	0,6818430	0,1804556	0,8115668	0,6306831	0,8437300	0,5285770	0,1169405	0,5543664	0,3787071	0,4628551	0,6566401	0,4951230
1100	0,7242164	0,9999998	0,0707215	0,2751178	0,6818402	0,1804499	0,8114758	0,6306804	0,8437486	0,5285326	0,1169395	0,5543622	0,3786885	0,4628489	0,6566439	0,4951152

0	0,7242162	1,0000000	0,0707800	0,2751226	0,6818358	0,1804332	0,8111890	0,6306389	0,8437538	0,5284770	0,1169379	0,5543549	0,3786652	0,4628384	0,6566494	0,4951037
20	0,6441813	0,9469736	0,0709879	0,1734013	0,6903704	0,1833113	0,8027004	0,6976991	0,8424444	0,5311050	0,0751984	0,5568559	0,3333123	0,4669512	0,6553904	0,3170496
40	0,6004126	0,9168487	0,0721175	0,1093044	0,7225332	0,1976708	0,8017107	0,7479481	0,8359832	0,5435195	0,0543164	0,5679749	0,3113586	0,4854101	0,6496231	0,2133109
60	0,5781834	0,8997344	0,0742350	0,0689203	0,7651356	0,2242814	0,8076437	0,7933688	0,8241387	0,5649182	0,0448905	0,5859740	0,3058596	0,5156374	0,6399193	0,1536097
80	0,5680972	0,8900115	0,0770200	0,0434803	0,8042741	0,2573669	0,8184130	0,8257628	0,8088612	0,5907541	0,0415179	0,6063840	0,3100720	0,5501645	0,6284462	0,1197154
100	0,5643923	0,8844879	0,0800518	0,0274568	0,8342562	0,2892876	0,8319601	0,8450038	0,7925644	0,6167089	0,0411006	0,6256064	0,3187830	0,5827384	0,6171795	0,1007431
120	0,5637200	0,8813498	0,0829673	0,0173658	0,8549414	0,3149781	0,8467323	0,8554442	0,7772192	0,6399838	0,0419090	0,6416976	0,3285753	0,6099353	0,6073619	0,0902696
