"Time"	yoeB	yefM	alaS	mngB	mngR	mngA	artJ	argR	argB	artI	artQ	argA	artM	argC	argE	artP
920	0,2683231	0,6252844	0,4846846	0,8293448	0,4157389	0,1403370	0,2668931	0,2452642	0,0101587	0,7205267	0,1473742	0,7619800	0,6030362	0,4284074	0,0175844	0,1794193
940	0,3239666	0,4806770	0,4277455	0,7424413	0,3969819	0,1713091	0,2679287	0,2896911	0,0282791	0,8029563	0,1432524	0,7837713	0,6649007	0,4962122	0,0114317	0,1864915
960	0,2227810	0,4966295	0,4715195	0,8165616	0,4420139	0,1102562	0,2185282	0,2983960	0,0272122	0,5904721	0,1399055	0,8766396	0,6601904	0,6719190	0,0094350	0,1982638
980	0,3063288	0,4815970	0,5713853	0,8191678	0,4405479	0,0830119	0,2374153	0,2878055	0,0297130	0,8628441	0,1258587	0,6661786	0,7594618	0,6106463	0,0055675	0,2456790
1000	0,2121828	0,3994961	0,4866979	0,7675385	0,4038526	0,1375081	0,2864596	0,3764070	0,0240124	0,7260030	0,0997675	0,8416584	0,6471993	0,6794342	0,0044136	0,2693373
1020	0,2330213	0,4583387	0,4071057	0,7092938	0,2885983	0,1518127	0,2280079	0,2043225	0,0408550	0,8504383	0,0939481	0,7559783	0,6184665	0,6991432	0,0104776	0,2057633
1040	0,2380768	0,3912219	0,4654706	0,7143301	0,3087937	0,1947199	0,3894782	0,3257282	0,0248452	0,7489498	0,1022015	0,8329737	0,7520190	0,5293275	0,0065654	0,2989050
1060	0,1995671	0,4098206	0,4878651	0,7742531	0,2778097	0,1419358	0,2930669	0,2713762	0,0092241	0,6689119	0,1031024	0,5432769	0,5619217	0,6031863	0,0024838	0,1948498
1080	0,2298276	0,3594615	0,5695329	0,6674381	0,3782117	0,1729957	0,2365785	0,3046093	0,0082903	0,6757856	0,0884283	0,6322524	0,7108535	0,6805988	0,0010178	0,2160778
1100	0,2801227	0,5314691	0,4283831	0,6990441	0,4795305	0,1729883	0,2948326	0,2999461	0,0038307	0,6594572	0,0975907	0,7479769	0,7386604	0,5899398	0,0151563	0,2440217

0	0,3571352	0,4849865	0,4194420	0,7035096	0,3707956	0,1681618	0,3009243	0,3609019	0,0038408	0,8007701	0,1352375	0,7403568	0,6995930	0,4445876	0,0125428	0,1951719
20	0,2976584	0,4568763	0,4778416	0,6471107	0,3830030	0,1750955	0,2311254	0,4141404	0,0047266	0,7679401	0,0788720	0,7274024	0,6742423	0,4298863	0,0392841	0,1682034
40	0,2547662	0,3871597	0,4341099	0,8680075	0,4292805	0,1624316	0,1830441	0,2620342	0,0034687	0,6173790	0,1066137	0,8210266	0,5929390	0,5054069	0,0231998	0,2165588
60	0,2809848	0,4597973	0,3587402	0,7950404	0,3615926	0,2095130	0,3349715	0,2683248	0,0116808	0,8324332	0,0984903	0,8527638	0,6018971	0,4542220	0,0128994	0,1808021
80	0,2815254	0,5479763	0,3361916	0,6846328	0,3941574	0,1527821	0,2482761	0,2848919	0,0026111	0,4963465	0,0607955	0,6199370	0,5867357	0,4732713	0,0123213	0,1999433
100	0,3270202	0,5127910	0,3156589	0,6476322	0,4380443	0,1652975	0,3743352	0,3407113	0,0013757	0,6077923	0,0658085	0,9602679	0,4595043	0,4495371	0,0337165	0,2029514
120	0,2857015	0,5278594	0,2871760	0,6904924	0,3897304	0,1050184	0,2559996	0,2048783	0,0095528	0,4421557	0,1038568	0,8500359	0,4609269	0,5246770	0,0312449	0,1911943
140	0,3685865	0,5561441	0,3011318	0,6015152	0,3385525	0,1402172	0,2991857	0,3824576	0,0056379	0,4631554	0,0986819	0,6986823	0,3845107	0,4978232	0,0167700	0,2058905
160	0,3077862	0,5650351	0,2474083	0,7615267	0,4006177	0,1048783	0,3138245	0,3074340	0,0053794	0,4770513	0,1063950	0,6866554	0,5405427	0,4421814	0,0247696	0,2724302
180	0,3429015	0,5519219	0,2484648	0,6675594	0,3429731	0,1269131	0,3319530	0,3761469	0,0015908	0,4809487	0,0907351	0,8102644	0,4783784	0,6124006	0,0180971	0,2151401
200	0,2412416	0,5071334	0,2444950	0,6194511	0,4535058	0,1468603	0,2874154	0,3736940	0,0000472	0,4707994	0,1081691	0,8435553	0,5686657	0,4997644	0,0239992	0,2189312
220	0,2919817	0,5154119	0,2533017	0,6349888	0,4071269	0,2341315	0,3212558	0,4080891	0,0008596	0,5434448	0,1786167	0,8057095	0,3818522	0,4306440	0,0042465	0,1635113
240	0,3197003	0,5490205	0,2407936	0,6975339	0,4132176	0,1815540	0,1893415	0,3150484	0,0006048	0,4989199	0,1297452	0,7888634	0,4976539	0,4613971	0,0123263	0,1335923
260	0,3699111	0,4962567	0,2485334	0,5772478	0,4470428	0,1560423	0,2585601	0,4321341	0,0000527	0,4512552	0,0790518	0,8421192	0,5194417	0,5549374	0,0154638	0,1970172
280	0,2558936	0,4777035	0,2765076	0,5561474	0,3402620	0,1541524	0,2031462	0,3115804	0,0016939	0,5344599	0,1569002	0,7645623	0,5169502	0,5802219	0,0100752	0,1979317
300	0,2267634	0,4649617	0,2154542	0,5892721	0,3231994	0,1369877	0,2442438	0,3425069	0,0000660	0,4454081	0,0805914	0,7070308	0,5322525	0,5867460	0,0055545	0,1862517
320	0,2526890	0,4836659	0,2414126	0,5786147	0,3921121	0,1784809	0,2992719	0,3137871	0,0030357	0,4931061	0,0892291	0,7323909	0,4716834	0,4267150	0,0253895	0,2205715
340	0,1685607	0,5001441	0,2234709	0,6226297	0,3444615	0,1320681	0,3170118	0,2660914	0,0000347	0,4812047	0,0708414	0,8802698	0,4915313	0,4110136	0,0097346	0,1840905
360	0,3440396	0,4856261	0,2432792	0,5812678	0,3356792	0,1754255	0,2951591	0,3404816	0,0005685	0,4594691	0,0593906	0,7773967	0,4284498	0,5597496	0,0140576	0,1600709
