"Time"	paaX	maoC	ihfB	hipA	hipB	paaE	paaC	paaH	paaD	paaA	paaF	paaJ	paaI	paaB	paaG	paaK
0	1,0168799	0,6180102	0,2157128	0,9610993	0,3481701	0,4535668	0,0136403	0,1081878	0,2993641	0,1270029	0,4084998	0,0264635	0,3794365	0,1733925	0,1849556	0,0342330
20	1,0045783	0,5969304	0,2139222	0,9309493	0,3354638	0,5113295	0,1825343	0,1324699	0,2893275	0,1141539	0,3244800	0,0126145	0,3900903	0,1709830	0,2083523	0,0251926
40	0,9745790	0,5638629	0,2506069	0,8688169	0,2989781	0,5161661	0,3636126	0,2338768	0,2925753	0,1114862	0,2898124	0,0134128	0,3574186	0,1526586	0,1804372	0,0250672
60	1,0697084	0,5270313	0,2314567	0,8114208	0,2763366	0,5032081	0,5505525	0,3598533	0,2780792	0,0911335	0,2913083	0,0092273	0,4313845	0,1505607	0,1491289	0,0242559
80	1,0614120	0,5411421	0,2316251	0,9001300	0,2902568	0,4911059	0,8152390	0,3981197	0,2688659	0,1071670	0,2655170	0,0093353	0,4225093	0,1360788	0,1560051	0,0226374
100	1,0834574	0,5563059	0,2759596	0,9593016	0,2666223	0,5379310	0,9205422	0,4743121	0,2916798	0,1103107	0,2324179	0,0147112	0,3672835	0,1634034	0,1496018	0,0210518
120	1,0445155	0,5357733	0,2797776	0,9697515	0,2954353	0,5310050	0,9087199	0,4923367	0,2824743	0,0947743	0,2057499	0,0127642	0,4004046	0,1456393	0,1432922	0,0321137
140	1,0514778	0,5105768	0,2602955	1,0139883	0,2738806	0,4894293	0,9460198	0,5627734	0,2775594	0,1098404	0,1866071	0,0088968	0,3724784	0,1374105	0,1469450	0,0341671
160	1,0701583	0,5091018	0,2564275	0,9719049	0,2730840	0,4293991	0,8872837	0,5779163	0,2733505	0,1068760	0,1618259	0,0025961	0,3581277	0,1457512	0,1619851	0,0342264
180	1,1307960	0,5173182	0,2407261	0,9571406	0,3039484	0,4207904	0,8419594	0,6286982	0,2736223	0,1032710	0,1830689	0,0176323	0,3374036	0,1515909	0,1693120	0,0250470
200	1,1268033	0,5407230	0,2315995	0,9824201	0,3062231	0,4458721	0,8597385	0,6593624	0,2539255	0,0894074	0,1783204	0,0145358	0,3643779	0,1444397	0,1678748	0,0249123
220	1,1109441	0,5199626	0,2502628	0,9784805	0,3020991	0,4426965	0,9804830	0,7029314	0,2549852	0,0783338	0,1707463	0,0104088	0,3682255	0,1377637	0,1669972	0,0176613
240	1,0519960	0,4872799	0,2332446	0,9884333	0,3128334	0,3902756	0,9539291	0,7308835	0,2812337	0,0796308	0,1510540	0,0188321	0,3899290	0,1513356	0,1712517	0,0074750
260	1,0356228	0,4931365	0,2228193	0,9711743	0,3254250	0,3522121	0,8752378	0,7295159	0,2955638	0,0602655	0,1642964	0,0264899	0,3822417	0,1635049	0,1734382	0,0073889
280	1,0165964	0,4997775	0,2362404	0,9213997	0,3221148	0,3556175	0,8724463	0,7349254	0,3078753	0,0629526	0,1531651	0,0281281	0,3938334	0,1625846	0,2057418	0,0258437
300	1,0781205	0,5045779	0,2215416	0,9108283	0,3366278	0,3139020	0,8730205	0,6564035	0,2830381	0,1040170	0,1324191	0,0357904	0,3721456	0,1696901	0,1998460	0,0299399
