"Time"	hipB	hipA	ihfB	yeiL	tdcA	tdcD	tdcG	tdcE	tdcB	tdcF	tdcC	hemF	ibpB	htrE	ecpD	amiA
380	0,7294282	0,7809439	0,0872172	0,1227813	0,4866253	0,2952451	0,9460174	0,7989075	0,2791561	1,0000526	0,5894631	0,0061860	0,0774537	0,1440654	0,9335781	0,0872624
400	0,7240391	0,8137170	0,1022775	0,1045656	0,4977062	0,3143893	0,9641789	0,7506823	0,2509689	0,8797151	0,6131791	0,0063830	0,0872410	0,1389278	0,9401863	0,0874852
420	0,7655048	0,7741419	0,1300020	0,1065322	0,4799574	0,3164829	0,9879232	0,7579996	0,2191501	0,9576230	0,6456966	0,0046431	0,0571619	0,1427663	0,9729485	0,0802639
440	0,8115272	0,7738455	0,1417254	0,1104969	0,5527965	0,3418810	1,0174726	0,7525588	0,2212394	0,9177488	0,6690509	0,0089038	0,0754182	0,1318760	1,0286206	0,1026593
460	0,7886682	0,8115082	0,1007236	0,0977180	0,5016625	0,3757586	1,0159908	0,7257697	0,2568839	0,9186887	0,6240935	0,0005001	0,0759016	0,1193066	1,0172610	0,1313257
480	0,7422794	0,8064320	0,0970301	0,1002759	0,4755176	0,4510460	1,0829277	0,7394519	0,2841974	0,8988129	0,5957832	0,0010291	0,0884413	0,0922823	1,0637169	0,1132006
500	0,7099258	0,7915600	0,0989183	0,0863518	0,4921429	0,4243537	1,0971621	0,7089532	0,2509414	0,8827317	0,5942977	0,0009438	0,1270979	0,0937950	1,0179899	0,1354830
520	0,7474492	0,8024513	0,1272028	0,0832723	0,5720436	0,3762599	1,0765520	0,7193486	0,2663705	0,9424727	0,5850529	0,0004557	0,0537125	0,1002719	1,0141603	0,0924505
540	0,6966725	0,7529465	0,1225497	0,0582093	0,5756044	0,3640949	1,0112601	0,7660142	0,2532545	0,9606398	0,5686369	0,0005952	0,0633625	0,0903819	1,0666369	0,1028323
560	0,7657316	0,7626644	0,1120225	0,0603348	0,5508082	0,3098951	1,0419967	0,7468907	0,2501001	0,9182922	0,5934233	0,0000504	0,0732261	0,0852402	1,0477080	0,1099483
580	0,8012229	0,7305072	0,2066685	0,0593972	0,5360463	0,3429644	0,9532650	0,6829307	0,2489618	0,8470725	0,5550340	0,1400385	0,0723070	0,0774713	0,9752678	0,1742200
600	0,8374849	0,7233271	0,2929180	0,0795167	0,4329841	0,3200890	0,8776960	0,6280881	0,2453099	0,6652790	0,5044187	0,4137731	0,0677603	0,0835418	0,9600644	0,2598776
620	0,8532379	0,6971373	0,4605774	0,1606847	0,3253149	0,3480469	0,8019805	0,5347330	0,2254794	0,5332284	0,5197636	0,5696567	0,0967138	0,1138246	0,9023483	0,3522182
640	0,8881480	0,6806611	0,5166619	0,2689115	0,2629906	0,3395665	0,8136247	0,4093540	0,2883357	0,4035384	0,5005176	0,6006907	0,1380623	0,1681595	0,9153448	0,3977514
660	0,9383449	0,6545556	0,6262185	0,3437277	0,1823685	0,2800860	0,7477241	0,3236247	0,3158611	0,3587288	0,3887215	0,7722618	0,1951982	0,2222257	0,8974963	0,4012587
680	0,9028721	0,6290663	0,6472889	0,3774336	0,1198690	0,2433398	0,7166810	0,2562857	0,3092577	0,3775355	0,2848565	0,8472303	0,2939359	0,3305038	0,9508846	0,3774844
700	0,9443253	0,5870083	0,7115389	0,4581558	0,1031525	0,2116465	0,6390668	0,1647468	0,2842473	0,3314504	0,2173113	0,8076404	0,4290439	0,4364028	1,0388132	0,3679230
720	0,9494414	0,6279180	0,7300960	0,5479886	0,0701309	0,2088139	0,6483752	0,1187221	0,3429301	0,3832246	0,1590117	0,7716178	0,5413806	0,5000212	1,0294870	0,2924855
740	0,9217467	0,6574739	0,7286974	0,6728026	0,0545138	0,1650323	0,7078278	0,0907275	0,3660222	0,3691522	0,0996757	0,7046561	0,6036727	0,5605504	0,9858517	0,2455292
760	0,8947681	0,7288710	0,6787768	0,6780689	0,0552454	0,1258161	0,6719437	0,0596270	0,3728946	0,3907848	0,0650363	0,6617293	0,6266604	0,6441232	0,9906716	0,2393251
780	0,9223105	0,7087065	0,6941868	0,6959225	0,0502506	0,1046383	0,5985637	0,0482308	0,3885641	0,3602364	0,0308721	0,6157592	0,6318533	0,7335404	1,0575342	0,2089334
800	0,8810580	0,7456414	0,7439141	0,6458366	0,0534768	0,1194177	0,4979704	0,0336722	0,3932757	0,3700506	0,0296281	0,6699250	0,5755425	0,7461283	1,0569168	0,1747864
820	0,9310625	0,7111048	0,7271081	0,7027804	0,0509352	0,1047285	0,4874038	0,0313274	0,4279552	0,4252134	0,0275592	0,6761493	0,5403729	0,8117214	1,0103732	0,1494029
840	0,9982954	0,7353733	0,7233471	0,7392309	0,0487891	0,0949949	0,4891936	0,0275797	0,4701846	0,4229741	0,0221285	0,5738963	0,6394197	0,9196944	1,0552517	0,1546654
860	1,0160142	0,7885283	0,7168117	0,7952885	0,0545268	0,1002781	0,5012318	0,0207252	0,4847477	0,3870353	0,0144584	0,5818318	0,5716250	0,8668534	1,0106801	0,1635605
880	1,0148981	0,7374485	0,7036512	0,7712671	0,0469442	0,1037186	0,4810693	0,0140151	0,4485498	0,4122483	0,0141471	0,5883793	0,5947193	0,8618210	0,9347505	0,1343845
900	0,9743822	0,7931212	0,6800110	0,8158530	0,0496243	0,0716964	0,4824155	0,0127000	0,4316858	0,4440825	0,0136766	0,6272110	0,6170379	0,9176910	0,9847565	0,1443120
920	0,9302819	0,6818012	0,6497495	0,8510659	0,0357236	0,0681177	0,4863761	0,0177340	0,4755595	0,4350976	0,0221380	0,6476766	0,5876520	1,0093512	0,9932269	0,1764742
940	0,9065204	0,6594674	0,5924947	0,8418245	0,0306065	0,0655759	0,5246004	0,0133104	0,4487723	0,4595044	0,0293216	0,6528994	0,5952344	0,9970958	0,9489790	0,1817815
960	0,8502078	0,7048688	0,5544911	0,8107747	0,0487370	0,0701772	0,4847217	0,0040355	0,3864346	0,3974254	0,0223703	0,6982727	0,5286342	0,9715031	0,9126697	0,1969126
