"Time"	hipB	hipA	ihfB	yeiL	tdcA	tdcD	tdcG	tdcE	tdcB	tdcF	tdcC	hemF	ibpB	htrE	ecpD	amiA
280	0,7562366	0,7738608	0,1184594	0,2006394	0,6240945	0,3069577	0,9426132	0,6737697	0,2925257	0,9623898	0,6059585	0,0006204	0,0773530	0,1345387	0,9380416	0,1015456
300	0,7730612	0,7727650	0,1169161	0,1681025	0,5808121	0,3160035	0,9644698	0,7133295	0,2977830	0,9755932	0,6148735	0,0011108	0,0750623	0,1436341	0,9238973	0,0778122
320	0,8308851	0,8230870	0,1106113	0,1447531	0,5850653	0,3138770	0,9731733	0,7448516	0,2850623	0,9832024	0,6489101	0,0010000	0,0896137	0,1330885	0,9088950	0,0714409
340	0,7654301	0,7843323	0,1032299	0,0996768	0,5685747	0,3114644	0,9730213	0,7308164	0,3081717	0,9737106	0,5743731	0,0038727	0,0830905	0,1279126	0,9094222	0,0752979
360	0,7219912	0,6984100	0,1172818	0,0815188	0,5483425	0,3096461	0,9511783	0,8036805	0,2886873	0,9273643	0,6368567	0,0009623	0,0810319	0,1087865	0,9779333	0,0697030
380	0,7725806	0,7419035	0,1068806	0,0684172	0,6025589	0,2745445	0,9595124	0,8087262	0,2442218	0,9049258	0,6174426	0,0005982	0,0626749	0,1231744	0,9360663	0,0772400
400	0,7142914	0,7534911	0,1108352	0,0874508	0,5892030	0,3055584	1,0017519	0,7554512	0,2267473	0,8447284	0,5688326	0,0024875	0,0651735	0,1483044	0,9564599	0,0933530
420	0,7807002	0,7270453	0,1094599	0,0742802	0,5321249	0,3286549	0,9976575	0,7512543	0,2425183	0,8569640	0,6406516	0,0012159	0,0678322	0,1442953	1,0017207	0,0999448
440	0,7426492	0,7361186	0,0791808	0,0922748	0,5601960	0,3473379	1,0504291	0,7967959	0,2239972	0,8595763	0,6327681	0,0000000	0,0819792	0,1414190	0,9561419	0,0931612
460	0,7342861	0,7533494	0,1051689	0,0839354	0,5433273	0,3860713	1,0552153	0,7650716	0,2395393	0,8899733	0,6189165	0,0004664	0,0820486	0,1123135	0,9970046	0,0811797
480	0,7348334	0,7351822	0,1069548	0,0831908	0,5548406	0,3733422	1,0830355	0,7700042	0,2282986	0,9038217	0,5870022	0,0008706	0,0919456	0,1092399	0,9843610	0,0917944
500	0,7741817	0,7170749	0,1185083	0,0919913	0,5743038	0,3900511	1,0289482	0,6774236	0,1975811	0,9041453	0,6252350	0,0036751	0,0844981	0,0773544	0,9777671	0,0768776
520	0,7350320	0,6931101	0,1313337	0,0768389	0,5346927	0,3527925	1,0097329	0,7134611	0,2603063	0,8958545	0,6527668	0,0027664	0,0745437	0,0939993	0,9467082	0,0841143
540	0,7740818	0,7810356	0,1200905	0,0761488	0,5571317	0,3505975	1,0395628	0,7302560	0,2472891	0,9299742	0,6022161	0,0014067	0,0635406	0,1075395	1,0135220	0,0966548
560	0,7396671	0,7812445	0,1186970	0,0580611	0,5941303	0,3782634	1,0223325	0,7184132	0,2473642	0,8695365	0,6130413	0,0020467	0,0675221	0,0857828	1,0142372	0,1067691
580	0,7245266	0,7819957	0,4310438	0,1008736	0,2765097	0,3150823	0,8206380	0,4864264	0,2618497	0,5235527	0,4618011	0,4047713	0,0700635	0,0874517	0,9851119	0,4019023
600	0,8008762	0,7071851	0,5494220	0,2233333	0,1367114	0,3035318	0,7478327	0,3407435	0,2850056	0,3937811	0,4900872	0,6725803	0,0687450	0,0904053	0,9436203	0,5026877
620	0,8286156	0,6679472	0,6723159	0,3907511	0,1219646	0,2767460	0,7428459	0,2374902	0,3326342	0,2983995	0,5078429	0,7640230	0,1195585	0,1514569	0,8747623	0,4860793
640	0,8618765	0,6194339	0,7226017	0,4646603	0,0885886	0,2418151	0,6727883	0,1527725	0,3452486	0,2573175	0,4258348	0,7759783	0,1573936	0,3384805	0,8666605	0,4308972
660	0,8873898	0,6424662	0,7374477	0,5248218	0,0656555	0,2162342	0,6569139	0,1082353	0,3453474	0,2927253	0,3044721	0,8266944	0,2608520	0,4599184	0,9463888	0,3668843
680	0,8862196	0,6577422	0,6971678	0,5807202	0,0441039	0,1613548	0,6338259	0,0591088	0,3410968	0,3662630	0,1903016	0,7902311	0,3470370	0,5739317	1,0034874	0,3321126
700	0,8701359	0,6422730	0,7132032	0,6435551	0,0332861	0,1535859	0,6543844	0,0326817	0,3741968	0,3921684	0,1180795	0,7310159	0,4928094	0,6833661	1,0108374	0,2381971
720	0,9935499	0,6298095	0,6719904	0,7241296	0,0295222	0,1191987	0,6914053	0,0220734	0,3803827	0,3257283	0,0837832	0,6333537	0,5395438	0,7414571	1,0305239	0,1984802
740	0,9928346	0,6748457	0,6378838	0,7470255	0,0373239	0,1129497	0,6068471	0,0131027	0,4034370	0,4165298	0,0674686	0,6347487	0,5843668	0,7668135	1,0411511	0,1708038
760	0,9459832	0,6414326	0,6752338	0,7911869	0,0361431	0,0844056	0,5633064	0,0073540	0,3532190	0,4188463	0,0421881	0,6560393	0,5751296	0,8083509	1,0590836	0,1444324
780	0,9335410	0,6290750	0,7302989	0,7667839	0,0285468	0,0960421	0,4718762	0,0051349	0,4271433	0,3867275	0,0282972	0,6268232	0,5912220	0,7804738	1,0313897	0,1430153
800	0,9832364	0,6818346	0,6895146	0,8236543	0,0212988	0,0789705	0,4558752	0,0045665	0,4419983	0,4101733	0,0163375	0,6124477	0,5902375	0,8539929	1,0486092	0,1555750
820	1,0152060	0,6315022	0,6995400	0,8119198	0,0272441	0,0816587	0,4714045	0,0032134	0,4479994	0,3902130	0,0157699	0,5875132	0,5547644	0,9056412	0,9515823	0,1683922
840	1,0058213	0,5858000	0,7710913	0,8125611	0,0226840	0,0573986	0,4818092	0,0054993	0,4418370	0,4160530	0,0133677	0,5671835	0,5604893	0,9706023	0,9623746	0,1632868
860	0,9635153	0,6312881	0,7391423	0,8418049	0,0224461	0,0866976	0,4735718	0,0032872	0,4398316	0,4168076	0,0178988	0,5881975	0,6026751	0,8987713	0,9928226	0,1567451
880	0,8580332	0,6358062	0,6886420	0,8465486	0,0246870	0,0682710	0,4605541	0,0072955	0,4317447	0,3797905	0,0142400	0,5565878	0,6063410	0,9370459	0,9968916	0,1656288
900	0,9312841	0,6523547	0,6492419	0,7266733	0,0386580	0,0589387	0,4709337	0,0138699	0,4016887	0,4112801	0,0179050	0,5743583	0,5840737	0,9162849	0,9626949	0,1616594
920	0,9089111	0,6470825	0,5919634	0,7920146	0,0051268	0,0682212	0,5090157	0,0123940	0,4134236	0,4032216	0,0194119	0,6137076	0,6089947	0,9237660	0,9786229	0,1968274
940	0,9379068	0,6811014	0,5848133	0,8211517	0,0135928	0,0965447	0,4699742	0,0114858	0,4107693	0,3359152	0,0064099	0,6246830	0,5746428	0,9112771	0,9829215	0,2159347
