"Time"	hipA	hipB	ihfB	yeiL	tdcA	tdcF	tdcG	tdcE	tdcC	tdcD	tdcB	hemF	amiA	ibpB	uspB	ecpD
0	0,6937945	0,3345656	0,3492908	0,6012613	0,6886797	0,2045644	0,2231043	0,1754039	0,5798956	0,9326967	0,7506236	0,3280956	0,7644072	0,1807618	0,8627472	0,2590941
20	0,6937958	0,3345638	0,3492908	0,6017395	0,6886798	0,2045645	0,2666137	0,2173454	0,5798974	0,9327055	0,7506236	0,3117365	0,7644072	0,1883005	0,8435392	0,2590935
40	0,6937967	0,3345625	0,3492908	0,6021529	0,6886798	0,2045646	0,3537543	0,2934837	0,5798986	0,9327118	0,7506237	0,2801032	0,7644072	0,2030620	0,8102431	0,2590930
60	0,6937974	0,3345616	0,3492908	0,6025101	0,6886798	0,2045647	0,4466323	0,3667218	0,5798994	0,9327164	0,7506237	0,2476144	0,7644073	0,2184164	0,7800034	0,2590927
80	0,6937978	0,3345610	0,3492908	0,6028188	0,6886798	0,2045647	0,5292958	0,4259054	0,5799000	0,9327196	0,7506237	0,2197034	0,7644073	0,2317597	0,7570937	0,2590925
100	0,6937982	0,3345605	0,3492908	0,6030855	0,6886798	0,2045647	0,5967313	0,4700460	0,5799003	0,9327220	0,7506237	0,1976798	0,7644073	0,2423961	0,7411779	0,2590923
120	0,6937984	0,3345602	0,3492908	0,6033159	0,6886798	0,2045647	0,6489820	0,5015319	0,5799006	0,9327236	0,7506237	0,1811387	0,7644073	0,2504555	0,7306673	0,2590922
140	0,6937985	0,3345600	0,3492908	0,6035150	0,6886799	0,2045647	0,6881110	0,5233854	0,5799008	0,9327248	0,7506237	0,1691056	0,7644073	0,2563625	0,7239522	0,2590921
160	0,6937986	0,3345599	0,3492908	0,6036869	0,6886799	0,2045648	0,7167124	0,5382862	0,5799009	0,9327257	0,7506237	0,1605431	0,7644073	0,2605918	0,7197603	0,2590921
180	0,6937987	0,3345598	0,3492908	0,6038353	0,6886799	0,2045648	0,7372436	0,5483251	0,5799010	0,9327263	0,7506237	0,1545469	0,7644073	0,2635682	0,7171878	0,2590921
200	0,6937988	0,3345597	0,3492908	0,6039636	0,6886799	0,2045648	0,7517762	0,5550325	0,5799010	0,9327268	0,7506237	0,1503978	0,7644073	0,2656352	0,7156293	0,2590920
220	0,6937988	0,3345596	0,3492908	0,6040743	0,6886799	0,2045648	0,7619482	0,5594879	0,5799011	0,9327271	0,7506237	0,1475531	0,7644073	0,2670559	0,7146947	0,2590920
240	0,6937988	0,3345596	0,3492908	0,6041700	0,6886799	0,2045648	0,7690030	0,5624352	0,5799011	0,9327273	0,7506237	0,1456167	0,7644073	0,2680243	0,7141388	0,2590920
260	0,6937988	0,3345596	0,3492908	0,6042526	0,6886799	0,2045648	0,7738588	0,5643789	0,5799011	0,9327275	0,7506237	0,1443060	0,7644073	0,2686798	0,7138103	0,2590920
280	0,6937989	0,3345596	0,3492908	0,6043239	0,6886799	0,2045648	0,7771796	0,5656580	0,5799011	0,9327276	0,7506237	0,1434229	0,7644073	0,2691211	0,7136172	0,2590920
300	0,6937989	0,3345596	0,3492908	0,6043854	0,6886799	0,2045648	0,7794382	0,5664985	0,5799011	0,9327277	0,7506237	0,1428302	0,7644073	0,2694167	0,7135042	0,2590920
320	0,6937989	0,3345596	0,3492908	0,6044386	0,6886799	0,2045648	0,7809669	0,5670501	0,5799011	0,9327277	0,7506237	0,1424334	0,7644073	0,2696140	0,7134383	0,2590920
340	0,6937989	0,3345595	0,3492908	0,6044845	0,6886799	0,2045648	0,7819974	0,5674118	0,5799012	0,9327278	0,7506237	0,1421686	0,7644073	0,2697452	0,7134001	0,2590920
360	0,6937989	0,3345595	0,3492908	0,6045242	0,6886799	0,2045648	0,7826894	0,5676488	0,5799012	0,9327278	0,7506237	0,1419922	0,7644073	0,2698322	0,7133779	0,2590920
380	0,6937989	0,3345595	0,3492908	0,6045584	0,6886799	0,2045648	0,7831527	0,5678041	0,5799012	0,9327278	0,7506237	0,1418748	0,7644073	0,2698898	0,7133651	0,2590920
400	0,6937989	0,3345595	0,3492908	0,6045880	0,6886799	0,2045648	0,7834619	0,5679057	0,5799012	0,9327278	0,7506237	0,1417969	0,7644073	0,2699278	0,7133577	0,2590920
420	0,6937989	0,3345595	0,3492908	0,6046135	0,6886799	0,2045648	0,7836678	0,5679723	0,5799012	0,9327278	0,7506237	0,1417452	0,7644073	0,2699528	0,7133534	0,2590920
440	0,6937989	0,3345595	0,3492908	0,6046355	0,6886799	0,2045648	0,7838045	0,5680159	0,5799012	0,9327278	0,7506237	0,1417109	0,7644073	0,2699692	0,7133509	0,2590920
460	0,6937989	0,3345595	0,3492908	0,6046545	0,6886799	0,2045648	0,7838951	0,5680444	0,5799012	0,9327279	0,7506237	0,1416883	0,7644073	0,2699800	0,7133495	0,2590920
480	0,6937989	0,3345595	0,3492908	0,6046709	0,6886799	0,2045648	0,7839550	0,5680631	0,5799012	0,9327279	0,7506237	0,1416732	0,7644073	0,2699871	0,7133487	0,2590920
500	0,6937989	0,3345595	0,3492908	0,6046851	0,6886799	0,2045648	0,7839945	0,5680753	0,5799012	0,9327279	0,7506237	0,1416633	0,7644073	0,2699917	0,7133483	0,2590920
520	0,6937989	0,3345595	0,3492908	0,6046974	0,6886799	0,2045648	0,7840206	0,5680833	0,5799012	0,9327279	0,7506237	0,1416568	0,7644073	0,2699948	0,7133480	0,2590920
540	0,6937989	0,3345595	0,3492908	0,6047079	0,6886799	0,2045648	0,7840378	0,5680885	0,5799012	0,9327279	0,7506237	0,1416524	0,7644073	0,2699968	0,7133478	0,2590920
560	0,6937989	0,3345595	0,3492908	0,6047171	0,6886799	0,2045648	0,7840491	0,5680919	0,5799012	0,9327279	0,7506237	0,1416496	0,7644073	0,2699981	0,7133478	0,2590920
580	0,6937989	0,3345595	0,3492908	0,6047249	0,6886799	0,2045648	0,7405479	0,5261529	0,5799012	0,9327279	0,7506237	0,1580067	0,7644073	0,2624601	0,7325557	0,2590920
600	0,6937989	0,3345595	0,3492908	0,6047317	0,6886799	0,2045648	0,6534127	0,4500162	0,5799012	0,9327279	0,7506237	0,1896386	0,7644073	0,2476991	0,7658517	0,2590920
620	0,6937989	0,3345595	0,3492908	0,6047376	0,6886799	0,2045648	0,5605384	0,3767791	0,5799012	0,9327279	0,7506237	0,2221266	0,7644073	0,2323451	0,7960914	0,2590920
640	0,6937989	0,3345595	0,3492908	0,6047427	0,6886799	0,2045648	0,4778772	0,3175962	0,5799012	0,9327279	0,7506237	0,2500371	0,7644073	0,2190019	0,8190012	0,2590920
660	0,6937989	0,3345595	0,3492908	0,6047471	0,6886799	0,2045648	0,4104433	0,2734560	0,5799012	0,9327279	0,7506237	0,2720603	0,7644073	0,2083656	0,8349169	0,2590920
680	0,6937989	0,3345595	0,3492908	0,6047508	0,6886799	0,2045648	0,3581936	0,2419704	0,5799012	0,9327279	0,7506237	0,2886011	0,7644073	0,2003064	0,8454275	0,2590920
700	0,6937989	0,3345595	0,3492908	0,6047541	0,6886799	0,2045648	0,3190653	0,2201170	0,5799012	0,9327279	0,7506237	0,3006341	0,7644073	0,1943994	0,8521426	0,2590920
720	0,6937989	0,3345595	0,3492908	0,6047569	0,6886799	0,2045648	0,2904643	0,2052164	0,5799012	0,9327279	0,7506237	0,3091964	0,7644073	0,1901701	0,8563345	0,2590920
740	0,6937989	0,3345595	0,3492908	0,6047593	0,6886799	0,2045648	0,2699334	0,1951776	0,5799012	0,9327279	0,7506237	0,3151926	0,7644073	0,1871938	0,8589071	0,2590920
760	0,6937989	0,3345595	0,3492908	0,6047614	0,6886799	0,2045648	0,2554009	0,1884702	0,5799012	0,9327279	0,7506237	0,3193416	0,7644073	0,1851268	0,8604655	0,2590920
780	0,6937989	0,3345595	0,3492908	0,6047633	0,6886799	0,2045648	0,2452291	0,1840148	0,5799012	0,9327279	0,7506237	0,3221863	0,7644073	0,1837061	0,8614001	0,2590920
800	0,6937989	0,3345595	0,3492908	0,6047648	0,6886799	0,2045648	0,2381744	0,1810676	0,5799012	0,9327279	0,7506237	0,3241227	0,7644073	0,1827378	0,8619560	0,2590920
820	0,6937989	0,3345595	0,3492908	0,6047662	0,6886799	0,2045648	0,2333186	0,1791239	0,5799012	0,9327279	0,7506237	0,3254334	0,7644073	0,1820822	0,8622845	0,2590920
840	0,6937989	0,3345595	0,3492908	0,6047673	0,6886799	0,2045648	0,2299978	0,1778448	0,5799012	0,9327279	0,7506237	0,3263165	0,7644073	0,1816409	0,8624776	0,2590920
860	0,6937989	0,3345595	0,3492908	0,6047683	0,6886799	0,2045648	0,2277393	0,1770044	0,5799012	0,9327279	0,7506237	0,3269092	0,7644073	0,1813453	0,8625906	0,2590920
880	0,6937989	0,3345595	0,3492908	0,6047692	0,6886799	0,2045648	0,2262106	0,1764528	0,5799012	0,9327279	0,7506237	0,3273059	0,7644073	0,1811480	0,8626565	0,2590920
900	0,6937989	0,3345595	0,3492908	0,6047700	0,6886799	0,2045648	0,2251801	0,1760911	0,5799012	0,9327279	0,7506237	0,3275708	0,7644073	0,1810168	0,8626948	0,2590920
920	0,6937989	0,3345595	0,3492908	0,6047706	0,6886799	0,2045648	0,2244881	0,1758540	0,5799012	0,9327279	0,7506237	0,3277472	0,7644073	0,1809298	0,8627169	0,2590920
940	0,6937989	0,3345595	0,3492908	0,6047712	0,6886799	0,2045648	0,2240248	0,1756988	0,5799012	0,9327279	0,7506237	0,3278645	0,7644073	0,1808723	0,8627298	0,2590920
960	0,6937989	0,3345595	0,3492908	0,6047717	0,6886799	0,2045648	0,2237156	0,1755971	0,5799012	0,9327279	0,7506237	0,3279425	0,7644073	0,1808343	0,8627372	0,2590920
980	0,6937989	0,3345595	0,3492908	0,6047721	0,6886799	0,2045648	0,2235098	0,1755305	0,5799012	0,9327279	0,7506237	0,3279942	0,7644073	0,1808093	0,8627414	0,2590920
1000	0,6937989	0,3345595	0,3492908	0,6047724	0,6886799	0,2045648	0,2233731	0,1754870	0,5799012	0,9327279	0,7506237	0,3280284	0,7644073	0,1807928	0,8627439	0,2590920
1020	0,6937989	0,3345595	0,3492908	0,6047727	0,6886799	0,2045648	0,2232825	0,1754584	0,5799012	0,9327279	0,7506237	0,3280511	0,7644073	0,1807820	0,8627453	0,2590920
1040	0,6937989	0,3345595	0,3492908	0,6047730	0,6886799	0,2045648	0,2232225	0,1754398	0,5799012	0,9327279	0,7506237	0,3280661	0,7644073	0,1807749	0,8627461	0,2590920
1060	0,6937989	0,3345595	0,3492908	0,6047732	0,6886799	0,2045648	0,2231830	0,1754276	0,5799012	0,9327279	0,7506237	0,3280761	0,7644073	0,1807703	0,8627466	0,2590920
1080	0,6937989	0,3345595	0,3492908	0,6047734	0,6886799	0,2045648	0,2231569	0,1754196	0,5799012	0,9327279	0,7506237	0,3280826	0,7644073	0,1807672	0,8627468	0,2590920
1100	0,6937989	0,3345595	0,3492908	0,6047736	0,6886799	0,2045648	0,2231398	0,1754143	0,5799012	0,9327279	0,7506237	0,3280869	0,7644073	0,1807653	0,8627470	0,2590920

0	0,6937945	0,3345656	0,3492908	0,6012613	0,6886797	0,2045644	0,2231043	0,1754039	0,5798956	0,9326967	0,7506236	0,3280956	0,7644072	0,1807618	0,8627472	0,2590941
20	0,6937958	0,3345638	0,3492908	0,6138045	0,6886798	0,2975920	0,2685321	0,2117357	0,5798974	0,9272845	0,7506236	0,3280955	0,7644072	0,1797264	0,8627472	0,2590935
40	0,6937967	0,3345625	0,3492908	0,6391883	0,6886798	0,4482384	0,3595148	0,2776904	0,5798986	0,9154952	0,7506237	0,3280955	0,7644072	0,1776992	0,8627472	0,2590930
60	0,6937974	0,3345616	0,3492908	0,6675109	0,6886798	0,5752775	0,4564879	0,3411328	0,5798994	0,9017139	0,7506237	0,3280954	0,7644073	0,1755905	0,8627472	0,2590927
80	0,6937978	0,3345610	0,3492908	0,6943209	0,6886798	0,6647457	0,5427962	0,3924006	0,5799000	0,8882467	0,7506237	0,3280954	0,7644073	0,1737581	0,8627472	0,2590925
100	0,6937982	0,3345605	0,3492908	0,7178702	0,6886798	0,7226299	0,6132050	0,4306374	0,5799003	0,8761801	0,7506237	0,3280954	0,7644073	0,1722974	0,8627472	0,2590923
120	0,6937984	0,3345602	0,3492908	0,7377210	0,6886798	0,7582997	0,6677595	0,4579120	0,5799006	0,8659096	0,7506237	0,3280954	0,7644073	0,1711906	0,8627472	0,2590922
140	0,6937985	0,3345600	0,3492908	0,7540380	0,6886799	0,7796074	0,7086138	0,4768426	0,5799008	0,8574602	0,7506237	0,3280954	0,7644073	0,1703794	0,8627472	0,2590921
160	0,6937986	0,3345599	0,3492908	0,7672318	0,6886799	0,7920683	0,7384763	0,4897504	0,5799009	0,8506751	0,7506237	0,3280954	0,7644073	0,1697985	0,8627472	0,2590921
180	0,6937987	0,3345598	0,3492908	0,7777810	0,6886799	0,7992462	0,7599127	0,4984466	0,5799010	0,8453242	0,7506237	0,3280954	0,7644073	0,1693898	0,8627472	0,2590921
200	0,6937988	0,3345597	0,3492908	0,7861492	0,6886799	0,8033351	0,7750861	0,5042569	0,5799010	0,8411630	0,7506237	0,3280954	0,7644073	0,1691059	0,8627472	0,2590920
220	0,6937988	0,3345596	0,3492908	0,7927495	0,6886799	0,8056449	0,7857066	0,5081164	0,5799011	0,8379633	0,7506237	0,3280954	0,7644073	0,1689108	0,8627472	0,2590920
240	0,6937988	0,3345596	0,3492908	0,7979335	0,6886799	0,8069413	0,7930725	0,5106694	0,5799011	0,8355252	0,7506237	0,3280954	0,7644073	0,1687779	0,8627472	0,2590920
260	0,6937988	0,3345596	0,3492908	0,8019926	0,6886799	0,8076654	0,7981424	0,5123531	0,5799011	0,8336817	0,7506237	0,3280954	0,7644073	0,1686878	0,8627472	0,2590920
280	0,6937989	0,3345596	0,3492908	0,8051633	0,6886799	0,8080682	0,8016096	0,5134612	0,5799011	0,8322966	0,7506237	0,3280954	0,7644073	0,1686272	0,8627472	0,2590920
300	0,6937989	0,3345596	0,3492908	0,8076357	0,6886799	0,8082916	0,8039677	0,5141892	0,5799011	0,8312617	0,7506237	0,3280954	0,7644073	0,1685866	0,8627472	0,2590920
320	0,6937989	0,3345596	0,3492908	0,8095609	0,6886799	0,8084151	0,8055639	0,5146670	0,5799011	0,8304922	0,7506237	0,3280954	0,7644073	0,1685595	0,8627472	0,2590920
340	0,6937989	0,3345595	0,3492908	0,8110586	0,6886799	0,8084834	0,8066398	0,5149804	0,5799012	0,8299224	0,7506237	0,3280954	0,7644073	0,1685415	0,8627472	0,2590920
360	0,6937989	0,3345595	0,3492908	0,8122227	0,6886799	0,8085210	0,8073623	0,5151857	0,5799012	0,8295021	0,7506237	0,3280954	0,7644073	0,1685296	0,8627472	0,2590920
380	0,6937989	0,3345595	0,3492908	0,8131270	0,6886799	0,8085417	0,8078460	0,5153202	0,5799012	0,8291930	0,7506237	0,3280954	0,7644073	0,1685217	0,8627472	0,2590920
400	0,6937989	0,3345595	0,3492908	0,8138292	0,6886799	0,8085531	0,8081689	0,5154083	0,5799012	0,8289663	0,7506237	0,3280954	0,7644073	0,1685164	0,8627472	0,2590920
420	0,6937989	0,3345595	0,3492908	0,8143741	0,6886799	0,8085594	0,8083838	0,5154659	0,5799012	0,8288006	0,7506237	0,3280954	0,7644073	0,1685130	0,8627472	0,2590920
440	0,6937989	0,3345595	0,3492908	0,8147970	0,6886799	0,8085628	0,8085265	0,5155037	0,5799012	0,8286797	0,7506237	0,3280954	0,7644073	0,1685108	0,8627472	0,2590920
460	0,6937989	0,3345595	0,3492908	0,8151251	0,6886799	0,8085647	0,8086211	0,5155284	0,5799012	0,8285917	0,7506237	0,3280954	0,7644073	0,1685093	0,8627472	0,2590920
480	0,6937989	0,3345595	0,3492908	0,8153795	0,6886799	0,8085657	0,8086837	0,5155446	0,5799012	0,8285278	0,7506237	0,3280954	0,7644073	0,1685083	0,8627472	0,2590920
500	0,6937989	0,3345595	0,3492908	0,8155769	0,6886799	0,8085663	0,8087250	0,5155551	0,5799012	0,8284814	0,7506237	0,3280954	0,7644073	0,1685077	0,8627472	0,2590920
520	0,6937989	0,3345595	0,3492908	0,8157299	0,6886799	0,8085666	0,8087522	0,5155621	0,5799012	0,8284479	0,7506237	0,3280954	0,7644073	0,1685072	0,8627472	0,2590920
