"Time"	deoR	nupG	cytR	crp	rhaR	tsx	deoC	deoA	deoB	deoD	udp	ppiA	cdd	nupC	rpoH	glgP
1100	1,1338939	0,4185778	0,6337831	0,1440654	0,1492040	0,7670857	0,9544675	0,8069657	0,7004654	0,4004030	0,8390664	0,3552636	0,5080097	0,2618305	0,3902281	0,0289707

0	0,9966747	0,4498471	0,5764659	0,1306423	0,1335353	0,7998889	0,9767779	0,7138276	0,7222111	0,4361975	0,8811459	0,4369278	0,4351464	0,3444510	0,4379033	0,0294103
20	0,8448738	0,4130969	0,6335744	0,1454407	0,3344790	0,7421133	0,8739437	0,3635080	0,5405870	0,3944616	0,8991448	0,3814005	0,4484909	0,4821219	0,3774694	0,0330243
40	0,7971809	0,4163501	0,5517888	0,1512867	0,4727696	0,7366937	0,9287579	0,2033916	0,4751570	0,4156947	0,8567726	0,3687993	0,4315571	0,5419681	0,4100306	0,0417603
60	0,7098313	0,3902971	0,6312381	0,1063230	0,5887066	0,8130282	0,9261582	0,1391495	0,4080446	0,3493282	0,8150666	0,3343260	0,4747270	0,6490404	0,3869247	0,0491924
80	0,6072835	0,4150545	0,6035331	0,0904669	0,7051156	0,7779640	0,8885515	0,1055780	0,3154987	0,3933826	0,8281768	0,3683314	0,4752908	0,6259261	0,3802317	0,0537253
100	0,5568407	0,4154130	0,6627343	0,1344909	0,7404058	0,8054105	0,9281261	0,0767805	0,2894752	0,4032033	0,8693285	0,3823750	0,4623346	0,6585882	0,3683283	0,0377826
120	0,5817583	0,4458865	0,5912884	0,1208152	0,7662896	0,7046148	0,9579384	0,0943335	0,3360056	0,3852882	0,8465562	0,3563958	0,4772071	0,6735892	0,3968723	0,0402044
140	0,5171794	0,4343501	0,6213089	0,0816562	0,7825857	0,7729248	0,9398045	0,0679300	0,3363798	0,4162651	0,8658371	0,3748191	0,4458020	0,7394208	0,4364061	0,0476081
160	0,4840944	0,3811679	0,6282536	0,1337902	0,7881298	0,7801047	0,9448720	0,0740810	0,3404046	0,4007782	0,8213461	0,4185875	0,4710454	0,7850499	0,4118251	0,0374314
180	0,5143044	0,4193867	0,6657918	0,1394474	0,8186739	0,7712906	0,9657262	0,0804336	0,4275372	0,3892413	0,8352552	0,3881181	0,4410953	0,7799479	0,4092518	0,0346877
200	0,5211643	0,4565629	0,6113363	0,1184062	0,8442726	0,7854308	0,9649763	0,0733401	0,4298873	0,4164115	0,8630034	0,3666331	0,4808000	0,8184522	0,4175140	0,0322480
220	0,5290845	0,4497205	0,6976017	0,1248589	0,7881730	0,8155401	0,9970106	0,0823850	0,4220104	0,3965731	0,9021154	0,3604169	0,4963793	0,7561128	0,4351392	0,0245438
240	0,5092515	0,4365423	0,5950752	0,0976825	0,8073777	0,7872592	0,9632567	0,0732352	0,4488118	0,3694977	0,9146321	0,3631264	0,4987732	0,6686923	0,4185789	0,0262835
260	0,4639314	0,4062827	0,6425644	0,1030107	0,8605733	0,7941958	0,9447586	0,0787102	0,4363921	0,3710051	0,8900113	0,4280090	0,4735993	0,7343933	0,4093403	0,0303959
280	0,4620923	0,4032659	0,6461071	0,1236470	0,8646329	0,8539707	0,9591210	0,0718920	0,4313283	0,3905587	0,8286672	0,4383326	0,4654027	0,7218771	0,4335263	0,0345392
300	0,4330708	0,4219359	0,6793028	0,2038951	0,8859227	0,8474742	0,9560707	0,0715577	0,4489739	0,3962171	0,8166881	0,4386031	0,4630253	0,7179022	0,4366485	0,0339547
320	0,4365875	0,4240253	0,6476707	0,1241654	0,9211387	0,8754779	0,9773120	0,0776844	0,4725491	0,3655533	0,8065466	0,4153374	0,4493679	0,6598640	0,4090952	0,0183492
340	0,4452176	0,4248429	0,5980364	0,1070584	0,9605287	0,9010086	0,9937603	0,0765436	0,5269902	0,3867884	0,7552902	0,3844982	0,4641006	0,7155518	0,3917497	0,0152782
360	0,4577120	0,4479637	0,6536253	0,1165878	0,9998948	0,8909117	0,9802074	0,0943867	0,4980234	0,3638794	0,7571702	0,3900547	0,4742056	0,7082533	0,3892136	0,0228263
380	0,5011661	0,4474447	0,6368611	0,1336354	0,9572494	0,9031964	1,0336389	0,0890073	0,4225177	0,3980525	0,7909077	0,3690982	0,5140368	0,7382367	0,3945479	0,0370869
400	0,4832172	0,4602358	0,6276942	0,1736092	0,9929023	0,8804869	0,9932875	0,0779580	0,4460068	0,4004324	0,7980074	0,4173664	0,4693057	0,7587307	0,3859208	0,0374429
420	0,4623155	0,4616720	0,5574433	0,1303897	0,9889785	0,8474107	0,9999144	0,0908686	0,4973789	0,4095616	0,8110620	0,3990403	0,4966661	0,7385833	0,4070327	0,0378806
440	0,4501722	0,4185700	0,5954764	0,1320010	0,9305574	0,8884436	0,9674921	0,1120958	0,4795151	0,4229374	0,8345291	0,3784272	0,4899268	0,7733049	0,3855978	0,0323606
460	0,4632790	0,4573518	0,6711982	0,1014821	0,9110250	0,8465827	0,9918820	0,0984587	0,4440562	0,4665560	0,8873718	0,3610838	0,4598108	0,7471875	0,4077774	0,0273755
480	0,4928629	0,4162910	0,7293469	0,1181604	0,8888941	0,8489149	0,9786417	0,0920339	0,4445112	0,4253328	0,8544954	0,3519767	0,4295969	0,7315604	0,4052395	0,0192227
500	0,4934341	0,4002472	0,7195574	0,0919178	0,9305309	0,8698877	1,0109478	0,0887590	0,4841498	0,4393046	0,9506897	0,3327861	0,3926333	0,7416013	0,3882520	0,0359841
520	0,4495925	0,3995639	0,7191579	0,1409073	0,9663194	0,8430124	1,0061272	0,0589420	0,4688148	0,4358093	0,8245597	0,3704855	0,4303085	0,7318485	0,3982787	0,0254928
540	0,4676295	0,4063299	0,6544078	0,1481879	1,0017044	0,8070295	1,0538240	0,0740634	0,4720693	0,4276667	0,8626092	0,3561786	0,4319629	0,7325505	0,3470226	0,0232833
560	0,4753376	0,4325836	0,5928960	0,0843548	1,0230487	0,7634047	1,0142788	0,0522672	0,4790673	0,3708155	0,8236010	0,3309010	0,4159953	0,6545883	0,3547740	0,0197577
580	0,6548086	0,4529774	0,5974991	0,1097637	0,9497985	0,7789381	0,9870409	0,4063987	0,6795399	0,3637503	0,8019945	0,3873820	0,4577492	0,4379011	0,3547102	0,0213449
600	0,7281000	0,4079482	0,6521167	0,1994908	0,9075157	0,8072902	1,0061473	0,5887084	0,7772158	0,3973196	0,8684269	0,4566039	0,4678711	0,3603930	0,3581055	0,0197979
620	0,8079686	0,4116929	0,6083097	0,1281367	0,8489211	0,8018619	0,9588967	0,7309301	0,8377812	0,4288218	0,9092577	0,4199905	0,4573769	0,3030559	0,3876817	0,0364991
640	0,8551940	0,4267964	0,7192769	0,1249546	0,8304819	0,8274417	0,9484564	0,7145233	0,8826630	0,4433543	0,8578144	0,4119573	0,5001451	0,2878640	0,3877067	0,0256766
660	0,9170423	0,3868336	0,6953319	0,1084157	0,7900851	0,8013403	1,0596720	0,8372711	0,8852259	0,3927376	0,8857781	0,3954274	0,4878558	0,2967238	0,3805684	0,0212985
680	0,9188757	0,4638143	0,6556129	0,0897324	0,7668041	0,7413150	0,9927140	0,7709229	0,7731205	0,4219081	0,8389428	0,3904185	0,5001069	0,2536587	0,3754075	0,0141139
700	0,8976118	0,4281282	0,6053039	0,1345114	0,7009995	0,7158237	0,9884851	0,8126011	0,7372927	0,4551653	0,8249693	0,4460089	0,4762150	0,2618179	0,4183685	0,0110478
720	0,9253801	0,4307392	0,6713461	0,1123267	0,6748308	0,7561661	0,9762806	0,7267505	0,7114649	0,4314975	0,8902540	0,4536602	0,5102046	0,2906434	0,4448428	0,0149887
