"Time"	paaX	maoC	ihfB	hipA	hipB	paaE	paaC	paaH	paaD	paaA	paaF	paaJ	paaI	paaB	paaG	paaK
700	0,8827478	0,3971142	0,1464953	0,6845391	0,2279161	0,3168959	0,0304414	0,1365092	0,1647550	0,0806958	0,3459008	0,0505341	0,3488702	0,1503475	0,1098298	0,0309347
720	0,8541602	0,5335114	0,1401155	0,5979966	0,2320948	0,3193182	0,0152766	0,1321670	0,1493318	0,0976675	0,3561841	0,0795855	0,3182262	0,2113475	0,0985074	0,0270112
740	0,7385238	0,4494433	0,1533054	0,7351431	0,2152620	0,4737627	0,0088633	0,0671693	0,1954044	0,0950387	0,2385800	0,0403409	0,3965410	0,1284828	0,1401434	0,0421497
760	0,8380740	0,4155977	0,1265816	0,7190930	0,1857756	0,3788853	0,0091566	0,0800991	0,2376957	0,0488463	0,2253730	0,0447356	0,2871425	0,1028861	0,1519413	0,0606119
780	0,8163642	0,3984755	0,1496887	0,6118085	0,2143027	0,3233167	0,0169465	0,1039055	0,1970933	0,0836984	0,2963906	0,0414891	0,3016803	0,1460684	0,1093001	0,0507360
800	0,6888500	0,4810765	0,1630742	0,6325598	0,2357620	0,3590553	0,0084108	0,0633898	0,2932675	0,1098836	0,2321039	0,0236401	0,3912609	0,0883905	0,1152877	0,0440043
820	0,7419124	0,4194943	0,1443106	0,6475588	0,2040693	0,2939885	0,0024587	0,0929613	0,1790216	0,0506982	0,3323598	0,0428341	0,3537100	0,0998919	0,1963323	0,0433254
840	0,8053249	0,3222043	0,1792518	0,5718948	0,1694610	0,3152639	0,0024408	0,1105313	0,1882363	0,0920881	0,3192980	0,0149821	0,3122166	0,1653484	0,1938674	0,0369222
860	0,8151969	0,3323712	0,1760899	0,6301718	0,2836387	0,2923507	0,0023312	0,0905571	0,2136219	0,0632995	0,2218096	0,0377577	0,3094569	0,0905376	0,1207015	0,0649039
880	0,7698723	0,3121474	0,1538153	0,6974903	0,3786785	0,3107155	0,0025315	0,0804546	0,1680686	0,0552343	0,2436093	0,0063543	0,2371988	0,1027793	0,0968370	0,0289474
900	0,8116538	0,4031058	0,1745465	0,7432220	0,2666345	0,4330769	0,0047163	0,1183653	0,1716334	0,0700926	0,3513138	0,0124680	0,2576685	0,1376287	0,1124638	0,0369703
920	0,7638026	0,4422739	0,2751740	0,7236064	0,3781965	0,2586216	0,0037820	0,1217182	0,1527356	0,0440342	0,2654930	0,0163373	0,3475065	0,1194287	0,0900811	0,0178494
940	0,8036650	0,3128644	0,1698265	0,7219239	0,2969983	0,3401905	0,0012475	0,1222756	0,1092378	0,0828670	0,3221795	0,0351991	0,3758960	0,1241025	0,1024392	0,0517964
960	0,9117095	0,4049451	0,1494203	0,6599922	0,2896038	0,3142104	0,0020534	0,1458236	0,2282802	0,0569770	0,3192206	0,0065462	0,2902486	0,1241547	0,1144927	0,0686047
980	0,7241270	0,3653005	0,1957198	0,7036563	0,3024151	0,3016099	0,0037033	0,0786115	0,1696858	0,0592284	0,2362557	0,0058391	0,4022979	0,1426989	0,1814339	0,0195217
1000	0,7948831	0,3811504	0,1328603	0,7658203	0,2978594	0,3297411	0,0033549	0,0934707	0,1748863	0,0926423	0,2154796	0,0019636	0,2987027	0,1499772	0,1341032	0,0189607
1020	0,7707222	0,3797073	0,1586410	0,6485425	0,2990505	0,3547230	0,0084068	0,1107854	0,2057898	0,0627898	0,3477573	0,0077166	0,3331039	0,1739188	0,2066030	0,0290432
1040	0,7768380	0,4314372	0,2077963	0,8963634	0,3005740	0,3379385	0,0032673	0,1149299	0,2007903	0,0920922	0,2324960	0,0094736	0,3498116	0,1666325	0,1106000	0,0256179
1060	0,6782774	0,5420147	0,0971600	0,6933174	0,2759886	0,3224158	0,0025943	0,0704246	0,1438027	0,0592488	0,3704385	0,0259202	0,2734674	0,1023977	0,1343341	0,0220061
1080	0,8137993	0,4624276	0,1339878	0,6654783	0,3420825	0,2798495	0,0052864	0,1015259	0,2574747	0,0762548	0,2416808	0,0108831	0,3267565	0,1069167	0,1498488	0,0309128
1100	0,6973553	0,4295986	0,2165278	0,6672678	0,2753511	0,4037404	0,0236415	0,1169125	0,1788670	0,0528842	0,1919136	0,0195039	0,4453447	0,1087765	0,1277123	0,0445725

0	0,7857107	0,3537604	0,2113916	0,6825800	0,2558762	0,3025872	0,0110497	0,1185739	0,2388147	0,1173146	0,3227266	0,0211166	0,2943168	0,1321144	0,0863769	0,0236563
20	0,7343567	0,3507417	0,1845132	0,7259813	0,2275137	0,4296169	0,4053981	0,2540645	0,2111525	0,0617664	0,2147021	0,0037862	0,3765932	0,1087536	0,1523218	0,0469303
40	0,8823135	0,3058962	0,1887734	0,6633329	0,1602398	0,3291801	0,5069304	0,4293192	0,2068252	0,0929049	0,1887948	0,0203219	0,3107377	0,1243114	0,1541090	0,0325080
60	0,6617881	0,4279254	0,2216245	0,7632583	0,2312456	0,4304014	0,6857298	0,4334771	0,2603919	0,1011891	0,2103615	0,0162397	0,3590654	0,0968777	0,1372148	0,0153002
80	0,8653476	0,4113592	0,1885119	0,6723677	0,2387268	0,4936654	0,6486638	0,4346688	0,2830816	0,0996397	0,1169362	0,0096931	0,2728543	0,0986066	0,1067360	0,0284895
100	0,7194845	0,3647780	0,1846642	0,7517834	0,2285109	0,4125529	0,8467570	0,3763130	0,2190793	0,0790360	0,1486282	0,0157922	0,2681326	0,1718888	0,0945791	0,0264774
120	0,8634049	0,4424031	0,1492594	0,7612650	0,1997500	0,3588633	0,8055441	0,4941520	0,2625700	0,1106920	0,1230769	0,0059000	0,3320906	0,1052112	0,0990264	0,0303708
140	0,8181710	0,3982154	0,2070969	0,7139092	0,2097659	0,2104500	0,6652817	0,5546619	0,1982365	0,1425088	0,0954138	0,0029129	0,2882257	0,0945920	0,1571914	0,0226977
160	0,7953287	0,3709313	0,2500301	0,6969398	0,2535877	0,2411779	0,7271006	0,5018601	0,1844399	0,0469904	0,1117910	0,0197948	0,4084274	0,1238310	0,1893305	0,0201850
180	0,8148265	0,4269727	0,1421144	0,7296805	0,2262884	0,3332759	0,8249141	0,5514928	0,1745741	0,0724574	0,1503931	0,0141303	0,3044078	0,0946347	0,1116222	0,0173856
200	0,7369420	0,4511386	0,1914858	0,6200349	0,2618230	0,3648052	0,7260243	0,5295722	0,2058716	0,0651742	0,1141777	0,0222509	0,2587642	0,1096526	0,1295007	0,0258030
220	0,7439526	0,4730442	0,1473979	0,6377890	0,1994382	0,2720926	0,6934549	0,4642625	0,1983402	0,0570630	0,1321443	0,0479674	0,4406428	0,0625852	0,1347915	0,0254792
240	0,7927439	0,3916392	0,1645041	0,7178440	0,1983614	0,2170834	0,7140917	0,5147993	0,2121588	0,0748238	0,0791236	0,0379484	0,3707022	0,1003558	0,1162020	0,0238117
260	0,7749354	0,2987853	0,1888774	0,8271518	0,2675235	0,3083083	0,7691299	0,5370133	0,2693673	0,0952494	0,0911230	0,0338272	0,3527283	0,1118311	0,1177118	0,0240009
280	0,7703810	0,4995847	0,1543245	0,8124179	0,2277576	0,3030104	0,7819364	0,5361975	0,2784569	0,0434979	0,0664620	0,0147787	0,3145020	0,1192834	0,1541027	0,0290811
300	0,9215867	0,4433574	0,2028692	0,7743856	0,2421819	0,3780728	0,6913549	0,4282538	0,1942419	0,0364494	0,1610419	0,0346461	0,3597330	0,0788516	0,1310886	0,0654732
320	0,7950435	0,3934430	0,1523257	0,6867874	0,2510665	0,3401238	0,7316788	0,5218101	0,1994371	0,0325658	0,0919807	0,0046432	0,3732406	0,1113082	0,1749750	0,0316218
340	0,7142384	0,3684772	0,1651896	0,6647780	0,2178911	0,3638817	0,7190757	0,5630858	0,1539505	0,0555128	0,1271209	0,0182990	0,3255104	0,1302398	0,1059231	0,0353082
360	0,8800360	0,4067441	0,1834590	0,6902190	0,1663466	0,3365781	0,7731333	0,6182454	0,1255757	0,0428835	0,1497627	0,0110071	0,2968036	0,1171230	0,1122241	0,0649498
380	0,8251504	0,4053409	0,2327633	0,7516906	0,2786477	0,3160667	0,8318930	0,4822004	0,2070180	0,0574516	0,1048603	0,0119987	0,3598988	0,1090207	0,1708776	0,0265172
400	0,7515296	0,3783095	0,1705223	0,7296430	0,1913340	0,3984940	0,7082103	0,3502534	0,2038719	0,0499900	0,1195990	0,0344934	0,3129740	0,1302964	0,1183257	0,0262747
420	0,7901095	0,4331986	0,1971688	0,7612438	0,2670352	0,4226876	0,6729399	0,4816731	0,1658437	0,0590311	0,1411245	0,0090042	0,3018525	0,1407847	0,1072619	0,0464095
440	0,7082778	0,4677073	0,2321968	0,7590342	0,2821017	0,3617331	0,8799941	0,5398410	0,2118249	0,0799119	0,0867330	0,0094664	0,3488862	0,0949537	0,1183207	0,0181288
460	0,9333168	0,4302270	0,1921513	0,7586962	0,2253192	0,3080595	0,7447479	0,5180913	0,1150283	0,0842753	0,0703357	0,0020730	0,2967525	0,0979001	0,1688190	0,0388908
480	0,9286468	0,5028099	0,1403297	0,7111108	0,2086754	0,3004871	0,6327812	0,5352211	0,1551673	0,0800691	0,1110056	0,0103778	0,2573899	0,0994963	0,1576708	0,0089433
500	0,9381498	0,4111169	0,2152753	0,6236240	0,1632103	0,3515837	0,9032283	0,5234838	0,1591082	0,0732314	0,1421170	0,0047649	0,2649941	0,1124762	0,1375785	0,0084808
520	0,9058674	0,3968928	0,2142868	0,6530299	0,1960031	0,3282532	0,6670989	0,5387893	0,1611149	0,0736707	0,0848639	0,0089458	0,3083599	0,1392333	0,1659366	0,0052757
