"Time"	hipB	hipA	ihfB	yeiL	tdcA	tdcD	tdcG	tdcE	tdcB	tdcF	tdcC	hemF	ibpB	htrE	ecpD	amiA
280	0,7580480	0,7181238	0,1094800	0,3189772	0,5358389	0,3294911	0,9907943	0,7406469	0,2666481	0,9386200	0,6527190	0,0026575	0,0738737	0,1363966	0,9864927	0,0939545
300	0,7576217	0,7267279	0,1083149	0,2755356	0,5358671	0,3275681	0,9924935	0,7465234	0,2657606	0,9393974	0,6451736	0,0023678	0,0729000	0,1311618	0,9853450	0,0959661
320	0,7574674	0,7325377	0,1075843	0,2369623	0,5357939	0,3256658	0,9936029	0,7507776	0,2651071	0,9398699	0,6396524	0,0022014	0,0723054	0,1277940	0,9843913	0,0974940
340	0,7573694	0,7362038	0,1071293	0,2033523	0,5356867	0,3239633	0,9943243	0,7538450	0,2646102	0,9401491	0,6357229	0,0021059	0,0719423	0,1256410	0,9836217	0,0986347
360	0,7572701	0,7383522	0,1068476	0,1747427	0,5355787	0,3225311	0,9947916	0,7560487	0,2642236	0,9403083	0,6329851	0,0020510	0,0717206	0,1242717	0,9830155	0,0994744
380	0,7571713	0,7395025	0,1066744	0,1510037	0,5354838	0,3213768	0,9950933	0,7576271	0,2639191	0,9403949	0,6311096	0,0020196	0,0715852	0,1234047	0,9825478	0,1000852
400	0,7570864	0,7400434	0,1065685	0,1318039	0,5354065	0,3204755	0,9952874	0,7587544	0,2636782	0,9404386	0,6298425	0,0020015	0,0715026	0,1228577	0,9821934	0,1005251
420	0,7570232	0,7402417	0,1065042	0,1166439	0,5353464	0,3197887	0,9954119	0,7595575	0,2634879	0,9404581	0,6289963	0,0019912	0,0714521	0,1225136	0,9819289	0,1008390
440	0,7569819	0,7402664	0,1064653	0,1049271	0,5353010	0,3192757	0,9954916	0,7601284	0,2633381	0,9404645	0,6284367	0,0019853	0,0714213	0,1222979	0,9817340	0,1010614
460	0,7569582	0,7402167	0,1064420	0,0960359	0,5352676	0,3188985	0,9955424	0,7605334	0,2632211	0,9404642	0,6280700	0,0019819	0,0714025	0,1221628	0,9815921	0,1012179
480	0,7569466	0,7401457	0,1064282	0,0893907	0,5352434	0,3186249	0,9955746	0,7608201	0,2631303	0,9404611	0,6278314	0,0019799	0,0713910	0,1220785	0,9814899	0,1013272
500	0,7569421	0,7400785	0,1064199	0,0844847	0,5352261	0,3184287	0,9955951	0,7610228	0,2630605	0,9404570	0,6276774	0,0019788	0,0713840	0,1220259	0,9814168	0,1014033
520	0,7569410	0,7400244	0,1064151	0,0808979	0,5352139	0,3182894	0,9956080	0,7611659	0,2630072	0,9404530	0,6275785	0,0019782	0,0713797	0,1219931	0,9813651	0,1014559
540	0,7569414	0,7399850	0,1064123	0,0782952	0,5352054	0,3181913	0,9956162	0,7612667	0,2629668	0,9404495	0,6275154	0,0019778	0,0713771	0,1219728	0,9813287	0,1014921
