"Time"	norR	nsrR	dsdC	feaR	fhlA	feaB	hypA	hycE	hycF	hycD	hypB	hycG	hypE	hycH	hypD	hycB
560	0,1522000	0,8979869	0,3826426	0,2042701	0,0003715	0,3464404	0,0035081	0,0373622	0,0636772	0,0214203	0,0849641	0,2163537	0,1436791	0,0000000	0,1291490	0,0384803
580	0,2082045	0,6923500	0,3104976	0,3330697	0,0003439	0,4051507	0,0104778	0,0470026	0,0646729	0,2128617	0,1093583	0,1677151	0,1333551	0,0000870	0,0274748	0,0462143
600	0,2324497	0,7359727	0,3222533	0,2171953	0,0003541	0,4014574	0,0061141	0,0481443	0,0551494	0,2491526	0,0778857	0,1466274	0,0592329	0,0000690	0,0866742	0,0565150
620	0,1453437	0,7029256	0,2940138	0,2407005	0,0002769	0,3793618	0,0119317	0,0226317	0,0552478	0,2877411	0,0705593	0,1718065	0,0702013	0,0004992	0,0259268	0,0575711
640	0,1390443	0,7214366	0,3987403	0,3128414	0,0002548	0,4052384	0,0232280	0,0503616	0,0620421	0,3970700	0,1155680	0,2384855	0,0337536	0,0002295	0,0280668	0,0538715
660	0,1543412	0,6771469	0,3781187	0,2873102	0,0000793	0,3796563	0,0205214	0,0376737	0,0546466	0,3957179	0,1007413	0,2783834	0,0504513	0,0000305	0,0121354	0,0442915
680	0,2279199	0,6877243	0,3111129	0,3940307	0,0034440	0,3426838	0,0185306	0,0587513	0,0565769	0,3734171	0,0893737	0,2945813	0,0370455	0,0001052	0,0204891	0,0435489
700	0,1732198	0,7127653	0,3629160	0,2957784	0,0004489	0,4004865	0,0228242	0,0472293	0,0493563	0,3555129	0,0824660	0,2135665	0,0232506	0,0004832	0,0499789	0,0969636
720	0,1523801	0,5843245	0,2276935	0,2921170	0,0005359	0,3573952	0,0101078	0,0284329	0,1064504	0,3258653	0,0960595	0,2811330	0,0302001	0,0000039	0,0198080	0,0597718
740	0,1387967	0,7903653	0,3149760	0,2363952	0,0005789	0,3978078	0,0166515	0,0128836	0,0767369	0,3555523	0,0739289	0,2470222	0,0129461	0,0000591	0,0092517	0,0562411
760	0,1388770	0,7872559	0,3244041	0,2489790	0,0000459	0,3531196	0,0046531	0,0295378	0,1063181	0,3273041	0,1392618	0,2566551	0,0092472	0,0005649	0,0138683	0,0499857
780	0,1545504	0,7456209	0,3658446	0,2119154	0,0004514	0,3004989	0,0159130	0,0236802	0,1474576	0,3297473	0,1063373	0,3070597	0,0222793	0,0000797	0,0149338	0,0447290
800	0,1008423	0,7684964	0,3242468	0,3381605	0,0001896	0,3662900	0,0183761	0,0059179	0,1335238	0,3780221	0,1205174	0,2342438	0,0102812	0,0000178	0,0208363	0,0845231
820	0,1987577	0,8715979	0,3275375	0,2893785	0,0001192	0,3280961	0,0075336	0,0169074	0,0520795	0,3407235	0,0957785	0,2417115	0,0064397	0,0004093	0,0348033	0,0465561
840	0,1570013	0,7771766	0,2801998	0,2410409	0,0000856	0,3916213	0,0032437	0,0793491	0,0403160	0,2920467	0,0699602	0,1893875	0,0049007	0,0017987	0,0149040	0,0934673
860	0,1443554	0,8153511	0,2568134	0,2495436	0,0000846	0,3647571	0,0051226	0,0346724	0,0600103	0,3332826	0,0709125	0,2270919	0,0339794	0,0031340	0,0170253	0,0984051
880	0,1840095	0,6907976	0,3216122	0,2784656	0,0004985	0,3397806	0,0007542	0,0254028	0,0629556	0,3628053	0,0734711	0,2206268	0,0334268	0,0004193	0,0049762	0,0926077
900	0,1626921	0,6896789	0,2880898	0,2208310	0,0000978	0,3129660	0,0020144	0,0154856	0,0674417	0,3255677	0,0726412	0,2905257	0,0165932	0,0006432	0,0166553	0,0522681
920	0,1572758	0,5902674	0,3031410	0,2802603	0,0000116	0,3471418	0,0043605	0,0453193	0,0499230	0,3639948	0,1067260	0,2364284	0,0142084	0,0011013	0,0194619	0,0698229
