"Time"	hipB	hipA	ihfB	yeiL	tdcA	tdcD	tdcG	tdcE	tdcB	tdcF	tdcC	hemF	ibpB	htrE	ecpD	amiA
60	0,9627679	0,5882158	0,2352074	0,8661454	0,5039937	0,2068431	0,8172905	0,5155353	0,3429413	0,8729818	0,5058746	0,1264258	0,3994768	0,6864269	0,9969513	0,0557096
80	0,9347084	0,5847081	0,1836237	0,8483960	0,5325566	0,2461464	0,8797299	0,5929273	0,3067026	0,8997916	0,6082898	0,0733987	0,2931280	0,5316737	0,9970709	0,0514224
100	0,8906340	0,5900414	0,1524481	0,7996957	0,5444216	0,2832402	0,9205506	0,6461494	0,2815975	0,9138598	0,6905828	0,0429643	0,2133411	0,3943818	0,9967196	0,0550416
120	0,8389708	0,6053461	0,1337555	0,7098601	0,5474844	0,3113852	0,9471145	0,6825937	0,2679574	0,9227375	0,7330117	0,0254983	0,1600048	0,2956651	0,9959106	0,0627702
140	0,7944594	0,6294637	0,1225994	0,6041709	0,5465386	0,3288116	0,9643444	0,7075025	0,2623764	0,9288721	0,7397824	0,0154750	0,1260779	0,2307172	0,9946784	0,0714464
160	0,7660151	0,6584390	0,1159603	0,5122258	0,5442479	0,3372050	0,9754928	0,7245265	0,2611232	0,9331414	0,7260359	0,0097227	0,1049570	0,1894991	0,9931103	0,0792556
180	0,7529558	0,6870606	0,1120191	0,4399151	0,5418756	0,3394272	0,9826922	0,7361693	0,2616208	0,9360284	0,7052701	0,0064216	0,0919361	0,1637379	0,9913469	0,0855427
200	0,7497986	0,7111632	0,1096863	0,3815287	0,5398949	0,3381230	0,9873330	0,7441382	0,2625070	0,9379055	0,6850977	0,0045272	0,0839464	0,1477494	0,9895494	0,0902954
220	0,7511426	0,7287490	0,1083107	0,3314100	0,5383996	0,3352098	0,9903195	0,7495960	0,2632284	0,9390758	0,6684649	0,0034401	0,0790555	0,1378603	0,9878585	0,0937541
240	0,7535673	0,7397881	0,1075037	0,2865255	0,5373331	0,3318690	0,9922378	0,7533359	0,2636518	0,9397733	0,6558487	0,0028164	0,0760653	0,1317546	0,9863679	0,0962102
260	0,7555379	0,7454583	0,1070331	0,2458268	0,5365991	0,3287261	0,9934678	0,7558999	0,2638169	0,9401682	0,6467347	0,0024586	0,0742384	0,1279886	0,9851206	0,0979256
280	0,7566879	0,7473863	0,1067607	0,2093278	0,5361057	0,3260488	0,9942549	0,7576581	0,2638092	0,9403774	0,6403534	0,0022533	0,0731226	0,1256669	0,9841193	0,0991093
300	0,7571695	0,7471123	0,1066044	0,1774574	0,5357795	0,3239019	0,9947575	0,7588642	0,2637073	0,9404776	0,6359809	0,0021355	0,0724413	0,1242361	0,9833414	0,0999184
320	0,7572594	0,7458188	0,1065157	0,1506315	0,5355664	0,3222489	0,9950777	0,7596918	0,2635671	0,9405170	0,6330320	0,0020680	0,0720253	0,1233544	0,9827528	0,1004672
340	0,7571833	0,7442687	0,1064659	0,1289831	0,5354285	0,3210130	0,9952813	0,7602597	0,2634230	0,9405247	0,6310678	0,0020293	0,0717713	0,1228111	0,9823168	0,1008371
360	0,7570745	0,7428680	0,1064385	0,1122536	0,5353399	0,3201092	0,9954104	0,7606496	0,2632927	0,9405176	0,6297727	0,0020071	0,0716162	0,1224764	0,9819994	0,1010851
380	0,7569901	0,7417746	0,1064236	0,0998419	0,5352834	0,3194594	0,9954920	0,7609173	0,2631834	0,9405048	0,6289261	0,0019944	0,0715215	0,1222702	0,9817715	0,1012503
400	0,7569421	0,7410026	0,1064157	0,0909524	0,5352475	0,3189988	0,9955436	0,7611011	0,2630960	0,9404912	0,6283768	0,0019871	0,0714637	0,1221432	0,9816100	0,1013600
420	0,7569231	0,7405000	0,1064116	0,0847609	0,5352248	0,3186759	0,9955760	0,7612273	0,2630287	0,9404788	0,6280229	0,0019829	0,0714284	0,1220650	0,9814965	0,1014325
440	0,7569209	0,7401961	0,1064097	0,0805331	0,5352106	0,3184516	0,9955963	0,7613140	0,2629781	0,9404685	0,6277962	0,0019805	0,0714068	0,1220168	0,9814176	0,1014802
460	0,7569260	0,7400263	0,1064088	0,0776808	0,5352016	0,3182972	0,9956090	0,7613736	0,2629409	0,9404604	0,6276519	0,0019792	0,0713937	0,1219871	0,9813630	0,1015115
480	0,7569324	0,7399400	0,1064084	0,0757666	0,5351960	0,3181915	0,9956170	0,7614145	0,2629139	0,9404542	0,6275606	0,0019784	0,0713856	0,1219688	0,9813255	0,1015319
500	0,7569376	0,7399023	0,1064083	0,0744817	0,5351925	0,3181196	0,9956219	0,7614427	0,2628947	0,9404496	0,6275030	0,0019779	0,0713807	0,1219576	0,9813000	0,1015452
520	0,7569409	0,7398907	0,1064083	0,0736159	0,5351904	0,3180710	0,9956249	0,7614620	0,2628811	0,9404462	0,6274670	0,0019777	0,0713777	0,1219507	0,9812826	0,1015538
540	0,7569428	0,7398916	0,1064084	0,0730289	0,5351890	0,3180382	0,9956268	0,7614753	0,2628715	0,9404438	0,6274445	0,0019775	0,0713759	0,1219464	0,9812709	0,1015594
560	0,7569436	0,7398975	0,1064085	0,0726282	0,5351882	0,3180162	0,9956280	0,7614844	0,2628649	0,9404421	0,6274305	0,0019774	0,0713748	0,1219438	0,9812629	0,1015630
580	0,7651052	0,7398118	0,4166756	0,0895456	0,2517990	0,2786300	0,8203542	0,5262074	0,2582224	0,5709308	0,4459501	0,4199536	0,0715477	0,0886906	0,9550960	0,4041540
600	0,8124081	0,7374098	0,5965667	0,2393822	0,1479263	0,2575319	0,7103271	0,3659610	0,2549468	0,3748713	0,4577915	0,6415375	0,0762504	0,0831175	0,9582869	0,5038343
620	0,8725308	0,7269586	0,6826366	0,3892214	0,1088321	0,2293920	0,6580409	0,2567283	0,2796761	0,2891845	0,4112792	0,7341199	0,1085159	0,1646960	0,9668467	0,4625487
640	0,9170299	0,7075000	0,7115606	0,4816564	0,0866431	0,1949274	0,6543283	0,1807667	0,3238661	0,2780937	0,2946263	0,7517414	0,1893021	0,3308685	0,9745203	0,3839223
660	0,9452892	0,6844100	0,7123261	0,5505430	0,0689359	0,1627001	0,6674500	0,1273698	0,3661875	0,2998474	0,1889998	0,7360582	0,2957442	0,4963363	0,9803683	0,3126155
