"Time"	mqsA	mqsR	alaS	yccA	cpxR	psd	dsbA	motA	ydeH	bacA	ftnB	yidQ	ppiD	rseA	rdoA	cheA
200	0,8134509	0,9026759	0,6450302	0,6153239	0,6079606	0,8374870	0,1239860	0,8365196	0,9157061	0,3354356	0,1937911	0,5655553	0,5549286	0,0742642	0,2224191	0,8865987
220	0,7956652	0,9179515	0,6172772	0,7522863	0,5873787	0,8123078	0,1762434	0,8193199	1,0225669	0,3656175	0,2511789	0,5934408	0,5992130	0,0595451	0,2561290	0,8865213
240	0,7734401	0,8935296	0,5690535	0,7922417	0,6724624	0,7214695	0,2283560	0,7308071	0,9604536	0,4441449	0,2805149	0,6703863	0,6368080	0,0335602	0,2920568	0,7769177
260	0,7984085	0,8873487	0,5395276	0,8338272	0,7335565	0,6641794	0,2711918	0,6762227	1,0060305	0,3841734	0,3633552	0,6880907	0,6939322	0,0327125	0,3122376	0,7629611
280	0,7863370	0,8524329	0,6401164	0,8918369	0,7363842	0,6474296	0,2810091	0,6722816	1,0049181	0,4666025	0,3867756	0,6648948	0,7711653	0,0212324	0,3466635	0,7284687
300	0,8073679	0,8585084	0,6441535	0,9046882	0,7734107	0,6072620	0,3462163	0,6602078	0,9893152	0,4479412	0,4343852	0,6600027	0,7453964	0,0136675	0,4070771	0,7342510
320	0,7646498	0,7991251	0,6530550	0,9902893	0,8591947	0,6234776	0,3972600	0,6612012	0,9992634	0,4739229	0,4645814	0,6384471	0,7436401	0,0122957	0,4697676	0,7053225
340	0,7902014	0,8229944	0,6703073	0,9481857	0,8029225	0,6518654	0,4136047	0,6056194	1,0570630	0,4511581	0,4782487	0,7467602	0,7640072	0,0035300	0,4443710	0,6497265
360	0,8000186	0,7304741	0,6429193	0,9962897	0,7520706	0,6858983	0,5220430	0,5910430	1,0090351	0,5255395	0,5441907	0,7177802	0,7567705	0,0000000	0,5251437	0,5995134
380	0,7824342	0,7733355	0,5967863	0,9568982	0,7740401	0,6402721	0,5952414	0,5532057	0,9776117	0,5933603	0,5666727	0,6844314	0,7585934	0,0028155	0,5757472	0,6030830
400	0,8139661	0,8153366	0,5759391	1,0388225	0,7887901	0,6093427	0,6356148	0,5944625	1,0013099	0,5941425	0,5847379	0,6996043	0,7742590	0,0029891	0,5757071	0,5638267
420	0,7745971	0,8158044	0,5813781	1,0094789	0,8611507	0,6260275	0,6787921	0,5649975	1,0002398	0,5849692	0,6007933	0,6312348	0,7643370	0,0012017	0,5747758	0,5193365
440	0,7445029	0,8375026	0,5772647	0,9454588	0,8663864	0,5787260	0,6418943	0,5618594	0,9353696	0,6391871	0,6802421	0,7050437	0,7426192	0,0021468	0,6152612	0,4392332
460	0,7765865	0,8466691	0,6670812	0,9848877	0,9239915	0,5523507	0,6689495	0,5587756	0,9431712	0,6855657	0,6708040	0,7485086	0,7236142	0,0022993	0,5875965	0,4390214
480	0,7480053	0,8657241	0,6872650	0,9185583	0,8820700	0,5586931	0,6980340	0,5972995	0,9871994	0,5850632	0,6861173	0,7266311	0,7614095	0,0023294	0,5407621	0,4831717
500	0,7112367	0,8502026	0,7657656	0,8968132	0,8974641	0,5771527	0,7595639	0,5977793	1,0335302	0,6986241	0,6943529	0,6574319	0,7763555	0,0008868	0,6064240	0,5045284
520	0,6800233	0,8499318	0,6919098	0,9784547	0,8655588	0,5728740	0,7580545	0,5746285	0,9823850	0,6764081	0,6392575	0,7072129	0,7728640	0,0025856	0,5488983	0,4943052
540	0,7243609	0,8803988	0,6562443	1,0335817	0,8156489	0,5557449	0,7927545	0,5875399	0,9416331	0,5817948	0,7022759	0,7111289	0,7635716	0,0009885	0,5294916	0,4774804
560	0,7358680	0,8278132	0,6276388	0,9611785	0,8442127	0,5417877	0,7699146	0,5672465	1,0034614	0,5398519	0,6709241	0,6936745	0,7952240	0,0011535	0,5402224	0,4762108
580	0,7196693	0,8629400	0,6149052	0,9682553	0,8427541	0,5511867	0,7545091	0,5531187	0,9120989	0,5499871	0,7168233	0,6177105	0,8095123	0,0139820	0,5468706	0,5253843
600	0,7123540	0,8561667	0,6370844	0,9539683	0,8530803	0,5464457	0,7921096	0,5830442	0,8872468	0,5306133	0,6848305	0,5854093	0,8251328	0,0258771	0,5871827	0,5415519
620	0,8208233	0,8782561	0,6189391	1,0130664	0,8642450	0,4886191	0,7500715	0,6121927	0,7532194	0,5498842	0,7242981	0,5413897	0,8423659	0,0301312	0,5670711	0,5532000
640	0,8516809	0,8667471	0,6024433	1,0314376	0,8791217	0,4869532	0,7222507	0,6580862	0,7507295	0,5231320	0,7104388	0,5416951	0,8405104	0,0299832	0,5589714	0,5285478
660	0,8086914	0,8846941	0,6266189	1,0126961	0,8486513	0,5403590	0,7379556	0,6583243	0,7506887	0,5573848	0,6633777	0,5163815	0,8028775	0,0280254	0,5566257	0,5082203
680	0,8442639	0,8655599	0,6067436	1,0369814	0,8415500	0,4763427	0,7152643	0,6849193	0,7837269	0,5551837	0,6375340	0,4793151	0,8698219	0,0468042	0,5921265	0,5032771
700	0,7879155	0,8731804	0,6225032	1,0065004	0,8763830	0,4991194	0,7603623	0,6099011	0,7779384	0,5938256	0,6129442	0,4851694	0,8277771	0,0426439	0,6062920	0,5307542
720	0,8156807	0,8849463	0,6186688	0,9928407	0,8416150	0,5311139	0,7336099	0,5478214	0,8633176	0,5613313	0,6618140	0,5303828	0,8036282	0,0364965	0,6405571	0,5141417
740	0,7932759	0,8896971	0,6488375	0,9922806	0,8837966	0,5547217	0,7526284	0,5039279	0,8603814	0,5474557	0,7454808	0,5690615	0,7746964	0,0300053	0,6405679	0,4849897
760	0,7899779	0,8189753	0,6187021	0,9698194	0,8055694	0,5071289	0,7056681	0,5293196	0,8223322	0,5681399	0,7025619	0,5074939	0,8127333	0,0409608	0,6300776	0,4721318
780	0,7540634	0,8773817	0,6432653	0,9119414	0,7772355	0,5752097	0,7441360	0,5831709	0,8968993	0,5677888	0,6132989	0,4808453	0,7697798	0,0380781	0,6260034	0,4832945
800	0,7293249	0,8613937	0,6905686	0,9928441	0,8264398	0,5195882	0,7180992	0,5823716	0,8728109	0,5440176	0,6458351	0,4710177	0,7661248	0,0422095	0,5936057	0,4573166
820	0,8172520	0,9123759	0,6633491	0,9790767	0,8185812	0,5133429	0,7646293	0,5443811	0,8109437	0,5660604	0,6731735	0,4531727	0,8153307	0,0540531	0,6102971	0,4532914
840	0,7592419	0,9163315	0,6416272	0,9862518	0,8354641	0,5294156	0,7364884	0,5754054	0,7902313	0,5806124	0,6793324	0,4697604	0,7966578	0,0487063	0,5861957	0,5106221
860	0,7401231	0,9175524	0,6649036	0,9761804	0,7913622	0,5475277	0,7210483	0,5366593	0,7736712	0,5211443	0,7029119	0,4352510	0,8042026	0,0225918	0,6035734	0,5424248
880	0,7351659	0,8710983	0,6991698	0,9487031	0,8348406	0,5544547	0,7399747	0,5425017	0,7992583	0,5127142	0,6621803	0,4578279	0,8293965	0,0256325	0,5682211	0,5003779
900	0,7727460	0,8989818	0,6837136	1,0268350	0,8223190	0,5324651	0,7095484	0,4972289	0,7711756	0,4935323	0,7072420	0,5163840	0,7924227	0,0360210	0,5994052	0,4571746
920	0,7836357	0,8925928	0,6650005	1,0138364	0,8381094	0,5779258	0,7615441	0,5344251	0,7704230	0,4697132	0,7264079	0,5240973	0,7500770	0,0253789	0,6453905	0,4767182
940	0,8248891	0,8758376	0,6528717	0,9977129	0,8401362	0,5378966	0,7402120	0,5533241	0,7934911	0,5430839	0,7677200	0,5315461	0,7992936	0,0335704	0,6407393	0,4966568
960	0,7968834	0,8241609	0,6797119	1,0348040	0,8034698	0,5421387	0,7636183	0,5773103	0,7614027	0,5174122	0,6806932	0,5445476	0,7912640	0,0368422	0,6109870	0,4279848
980	0,8285082	0,8011519	0,6733261	1,0439381	0,8131117	0,5080455	0,7662481	0,5878047	0,7770221	0,5448505	0,7029923	0,6057649	0,8031572	0,0405365	0,6521612	0,4360726
1000	0,8202762	0,7875564	0,6817263	1,0105800	0,8450471	0,5202756	0,8030142	0,6368586	0,8454108	0,5793585	0,7003749	0,5847936	0,7818654	0,0545718	0,5978538	0,4618548
1020	0,7794110	0,7845485	0,6548243	0,9889686	0,8932955	0,5608626	0,8564366	0,5874801	0,8287309	0,5591938	0,6834772	0,5894835	0,7675572	0,0583439	0,5935247	0,5133274
1040	0,7493310	0,7717858	0,6386503	0,9561772	0,9055523	0,5449057	0,7965265	0,5968270	0,8969396	0,5066049	0,6837056	0,5261875	0,8014592	0,0517817	0,5624906	0,4503987
1060	0,7506456	0,7907352	0,6335500	0,9685053	0,9289578	0,5535170	0,7438831	0,5648399	0,8611898	0,5574252	0,7191406	0,5142142	0,7718509	0,0441074	0,5949480	0,4690473
1080	0,7767827	0,8810879	0,7004821	0,9805765	0,8949692	0,5002004	0,7424568	0,5927686	0,8727758	0,6151533	0,7432014	0,5176076	0,7528916	0,0350119	0,5964599	0,4565627
1100	0,8152492	0,8386526	0,6844393	0,9400293	0,8799895	0,4634786	0,7777113	0,6171522	0,9280438	0,6917459	0,7505342	0,5436189	0,7936871	0,0271975	0,5377326	0,4851441

0	0,8278361	0,8435341	0,6175816	0,0547483	0,0275584	1,0430477	0,0942697	0,9319880	0,0999668	0,0670418	0,0589161	0,0139284	0,1704736	1,0555162	0,0015955	1,0000903
20	0,8111418	0,8487605	0,6223959	0,3379564	0,0435470	0,8695155	0,0877936	0,9793945	0,2669668	0,0553424	0,3070156	0,1364010	0,2923919	0,9654986	0,2408611	0,6613023
40	0,8127481	0,8340456	0,6194491	0,5098895	0,0403891	0,7433972	0,0890536	1,0120702	0,3846270	0,0459110	0,4856050	0,2192400	0,3448107	0,9293602	0,4309901	0,4350675
60	0,7824964	0,8327338	0,6447525	0,5974900	0,0420720	0,7060133	0,0753857	1,0136193	0,3795436	0,0331064	0,5983904	0,2679876	0,3756064	0,9547466	0,4962934	0,3239105
80	0,7213911	0,7785459	0,6755146	0,7219230	0,0396677	0,6189850	0,0991299	0,9878390	0,3951170	0,0385147	0,6741431	0,3200717	0,4162553	0,9643097	0,5841472	0,2648914
