"Time"	hns	cspA	bolA	stpA	bglJ	bglB	bglG	bglF	cspD	proW	gspB	yjjP	proV	gspO	mukE	yciE
800	0,7190956	0,9897177	0,0761095	0,2751676	0,7131900	0,1986121	0,8647827	0,6437177	0,8194216	0,6030318	0,1224440	0,5883696	0,4321448	0,5378568	0,6303447	0,5350234
820	0,7212044	0,9936223	0,0746103	0,2751477	0,7025721	0,1942308	0,8567133	0,6405276	0,8261524	0,5866329	0,1205561	0,5791319	0,4190649	0,5205027	0,6366420	0,5254103
840	0,7224766	0,9960618	0,0734952	0,2751349	0,6952318	0,1906850	0,8493822	0,6379504	0,8312257	0,5731775	0,1192761	0,5720944	0,4087253	0,5065998	0,6416421	0,5177734
860	0,7232272	0,9975777	0,0726793	0,2751270	0,6903097	0,1879056	0,8428768	0,6359326	0,8349610	0,5623894	0,1184259	0,5668619	0,4007322	0,4956882	0,6455293	0,5118403
880	0,7236610	0,9985152	0,0720905	0,2751224	0,6870958	0,1857861	0,8372190	0,6343989	0,8376581	0,5539084	0,1178714	0,5630526	0,3946706	0,4872695	0,6484972	0,5073180
900	0,7239072	0,9990927	0,0716707	0,2751198	0,6850463	0,1842081	0,8323829	0,6332646	0,8395738	0,5473528	0,1175158	0,5603299	0,3901499	0,4808664	0,6507285	0,5039273
920	0,7240447	0,9994470	0,0713744	0,2751185	0,6837665	0,1830579	0,8283103	0,6324462	0,8409156	0,5423588	0,1172915	0,5584152	0,3868270	0,4760543	0,6523838	0,5014210
940	0,7241206	0,9996638	0,0711671	0,2751179	0,6829823	0,1822350	0,8249248	0,6318687	0,8418442	0,5386025	0,1171519	0,5570878	0,3844157	0,4724738	0,6535979	0,4995911
960	0,7241623	0,9997961	0,0710231	0,2751176	0,6825098	0,1816562	0,8221419	0,6314690	0,8424803	0,5358080	0,1170663	0,5561789	0,3826855	0,4698318	0,6544796	0,4982695
980	0,7241852	0,9998766	0,0709236	0,2751176	0,6822291	0,1812552	0,8198765	0,6311972	0,8429124	0,5337490	0,1170144	0,5555635	0,3814562	0,4678956	0,6551146	0,4973237
1000	0,7241979	0,9999254	0,0708553	0,2751176	0,6820644	0,1809812	0,8180480	0,6310151	0,8432037	0,5322447	0,1169832	0,5551508	0,3805905	0,4664847	0,6555685	0,4966524
1020	0,7242051	0,9999550	0,0708085	0,2751176	0,6819686	0,1807962	0,8165831	0,6308948	0,8433989	0,5311537	0,1169647	0,5548763	0,3799853	0,4654613	0,6558911	0,4961792
1040	0,7242093	0,9999729	0,0707766	0,2751177	0,6819131	0,1806728	0,8154170	0,6308162	0,8435292	0,5303675	0,1169537	0,5546950	0,3795652	0,4647216	0,6561191	0,4958476
1060	0,7242119	0,9999837	0,0707548	0,2751177	0,6818811	0,1805912	0,8144940	0,6307653	0,8436157	0,5298041	0,1169472	0,5545761	0,3792753	0,4641886	0,6562796	0,4956165
1080	0,7242136	0,9999902	0,0707401	0,2751177	0,6818626	0,1805378	0,8137672	0,6307327	0,8436730	0,5294025	0,1169434	0,5544983	0,3790763	0,4638054	0,6563921	0,4954560
1100	0,7242146	0,9999941	0,0707300	0,2751178	0,6818517	0,1805031	0,8131974	0,6307119	0,8437109	0,5291174	0,1169412	0,5544478	0,3789402	0,4635304	0,6564708	0,4953451

0	0,7242161	1,0000000	0,0708292	0,2751392	0,6818323	0,1805233	0,8099806	0,6307156	0,8437191	0,5288388	0,1169379	0,5543851	0,3788344	0,4633001	0,6564014	0,4952834
20	0,7068633	0,9870780	0,0708392	0,2533774	0,6833026	0,1808465	0,8090191	0,6471365	0,8434982	0,5289813	0,1004332	0,5546642	0,3692725	0,4635202	0,6563607	0,4614457
40	0,6740886	0,9631879	0,0712832	0,2100017	0,6952783	0,1845599	0,8071254	0,6788127	0,8411445	0,5316184	0,0763513	0,5574679	0,3515757	0,4669647	0,6552168	0,3942749
60	0,6418953	0,9398956	0,0725175	0,1640110	0,7212633	0,1954042	0,8064167	0,7172831	0,8347486	0,5392451	0,0587700	0,5649245	0,3357331	0,4766933	0,6519118	0,3234326
80	0,6160345	0,9209539	0,0745601	0,1232961	0,7551459	0,2143327	0,8080786	0,7558534	0,8241288	0,5524167	0,0486748	0,5769701	0,3256433	0,4931656	0,6462401	0,2611521
100	0,5974182	0,9068396	0,0771727	0,0902615	0,7891872	0,2389814	0,8124537	0,7888930	0,8104918	0,5699550	0,0439613	0,5920067	0,3216685	0,5146628	0,6387357	0,2110404
