"Time"	paaX	maoC	ihfB	hipA	hipB	paaE	paaC	paaH	paaD	paaA	paaF	paaJ	paaI	paaB	paaG	paaK
500	0,8179676	0,4796158	0,1721810	0,6973836	0,2679458	0,5618000	0,3585794	0,7286675	0,1901941	0,6326368	0,2797690	0,4931496	0,0084691	0,0785382	0,1222360	0,0176201
520	0,8190300	0,4212301	0,1800768	0,7379413	0,3222931	0,5154186	0,3346648	0,6271692	0,1341423	0,4505774	0,2883675	0,5663953	0,0417025	0,0850004	0,1056835	0,0323198
540	0,7447543	0,4654889	0,1904700	0,7637474	0,3055170	0,5284143	0,4267189	0,5811769	0,2301243	0,5032163	0,3534208	0,5487554	0,0152512	0,1471785	0,0882415	0,0273380
560	0,6983484	0,4109079	0,2578267	0,6957554	0,2453285	0,5690592	0,4570561	0,6245015	0,2529052	0,4997821	0,2962069	0,5345745	0,0109547	0,0728891	0,0702265	0,0100131
580	0,6788152	0,4391980	0,2286582	0,6402609	0,2234855	0,5590790	0,3082323	0,5092241	0,2590666	0,3934200	0,2620609	0,5618776	0,0362342	0,1343264	0,0996428	0,0152863
600	0,8300370	0,4327765	0,2226596	0,6484141	0,2568746	0,4626533	0,2525571	0,5285737	0,1798518	0,3233989	0,3217030	0,4599378	0,0680356	0,1892591	0,1536523	0,0161706
620	0,9250034	0,3488433	0,2808375	0,7812758	0,2893437	0,4617185	0,1661501	0,4458892	0,1942682	0,2481362	0,3750062	0,3087309	0,0902147	0,1779380	0,0839419	0,0097671
640	0,8580909	0,3998118	0,2448602	0,8190764	0,2113995	0,3886073	0,0872714	0,4133857	0,2337165	0,1846447	0,3407874	0,2521621	0,1723731	0,1781888	0,1070293	0,0277064
660	0,8204158	0,4001515	0,1708094	0,7664310	0,2872183	0,4058741	0,0744416	0,2930923	0,3311057	0,1345587	0,4002258	0,2910346	0,1763720	0,1721619	0,1399048	0,0227968
680	0,7400914	0,4397236	0,2160087	0,6070356	0,2880424	0,3750499	0,0344336	0,2561030	0,2299799	0,0700135	0,2772009	0,2109672	0,2297764	0,2044197	0,1572828	0,0520702
700	0,8333853	0,3506174	0,1882119	0,6996788	0,3076080	0,3664730	0,0243498	0,1110576	0,1820742	0,0943750	0,3210533	0,1446790	0,2449765	0,1521293	0,1656887	0,0598226
720	0,8001770	0,4559346	0,1498253	0,5609831	0,2763194	0,3448633	0,0234017	0,2544407	0,2116544	0,0778522	0,2669602	0,1093284	0,2224321	0,1444566	0,1340913	0,0157763
740	0,9209739	0,4354127	0,2141576	0,6749390	0,2112181	0,3085097	0,0235651	0,1214949	0,2010402	0,0837640	0,3080901	0,1033058	0,2967677	0,1622312	0,1366039	0,0166041
760	0,7084570	0,4492866	0,1682783	0,7284947	0,3695400	0,4679208	0,0035756	0,1025199	0,2423550	0,0845264	0,2967845	0,1131875	0,2940374	0,1422895	0,1583018	0,0367222
780	0,8211368	0,4533682	0,2021464	0,6828905	0,3082619	0,3774378	0,0457504	0,0851447	0,1959747	0,0873237	0,2732316	0,0725787	0,3125249	0,1120893	0,2365949	0,0459281
800	0,7541863	0,4408683	0,2362636	0,7235637	0,3814355	0,2833581	0,0112585	0,0990959	0,1472421	0,0639016	0,3037012	0,0667768	0,3075168	0,1293473	0,1414435	0,0428870
820	1,0249121	0,4976263	0,1665040	0,7921785	0,3091223	0,3263922	0,0039746	0,1022572	0,1898372	0,0799892	0,2694582	0,0757118	0,3303886	0,1334618	0,1429924	0,0485241
840	0,6238847	0,4501709	0,2222395	0,7156284	0,2291125	0,3725367	0,0124585	0,0977059	0,2686947	0,1070941	0,2322231	0,0612088	0,3364846	0,1463986	0,1505712	0,0498834
860	0,9349033	0,2980373	0,1679824	0,7647166	0,2535009	0,2905216	0,0055233	0,0776342	0,2177419	0,0601642	0,3195329	0,0503706	0,2763665	0,1195397	0,0932195	0,0413559
880	1,0494092	0,4575415	0,2056588	0,6870211	0,2288611	0,3240464	0,0341054	0,0477314	0,2779605	0,0424227	0,3470930	0,0328663	0,3160451	0,1116819	0,0967725	0,0417265
900	0,8006437	0,2994503	0,1991725	0,8172902	0,1863622	0,3056080	0,0144698	0,0926941	0,2253782	0,1004454	0,3784313	0,0353128	0,2505455	0,1115179	0,1111934	0,0290278
920	0,8385538	0,4361581	0,1694045	0,7245965	0,1882306	0,3066075	0,0134769	0,0478350	0,2672577	0,0765132	0,2973111	0,0137539	0,3551890	0,1024716	0,1140482	0,0229855
940	0,8468637	0,3390312	0,1630597	0,6324331	0,3100831	0,3150215	0,0039871	0,0911579	0,1611461	0,0596300	0,3146296	0,0167855	0,2995856	0,1365257	0,0988927	0,0181097
960	0,8519575	0,4381728	0,2231474	0,6287710	0,2305020	0,2797481	0,0390264	0,0766685	0,1252541	0,0885284	0,3034077	0,0150988	0,2882337	0,1018846	0,1432072	0,0545191
980	0,8516463	0,4792349	0,1929903	0,6344104	0,2722156	0,3788259	0,0204591	0,0801490	0,1577068	0,0652510	0,3542883	0,0126582	0,2911760	0,1220278	0,1584689	0,0233967
1000	0,7492918	0,4217504	0,2277810	0,7202308	0,3216494	0,3303816	0,0061707	0,0923166	0,1808635	0,0925458	0,3119061	0,0104521	0,3839345	0,0991882	0,1461068	0,0313639
