"Time"	mqsA	mqsR	alaS	yccA	cpxR	psd	dsbA	motA	ydeH	bacA	ftnB	yidQ	ppiD	rseA	rdoA	cheA
100	0,6451517	1,0246112	0,6817630	0,0438315	0,2129133	0,9739173	0,0957221	0,9190504	0,7684113	0,1584392	0,0745602	0,2799930	0,1898716	0,4447841	0,0187413	1,0258617
120	0,7084635	1,0134486	0,6848604	0,0635183	0,2766833	0,9162802	0,0723544	0,8420887	0,7761234	0,1620133	0,1023768	0,3345033	0,2401758	0,4281020	0,0265645	1,0807540
140	0,6541314	0,9690487	0,6469952	0,1045856	0,3323293	0,8881243	0,0698760	0,9160192	0,8826491	0,2097633	0,0897169	0,4027104	0,3555377	0,3612463	0,0812178	1,0155099
160	0,6719377	0,9570025	0,6951098	0,1799650	0,3694940	0,8953188	0,0695330	0,9553846	0,9035888	0,2346636	0,0945354	0,4559047	0,3430161	0,2972416	0,0899753	1,0155209
180	0,6995467	0,9078132	0,6599806	0,2281570	0,4365839	0,9394354	0,0651694	0,9106575	0,9520399	0,2358773	0,0914296	0,5193685	0,4091136	0,2220612	0,1356952	1,0693372
200	0,7739976	0,9385629	0,6955793	0,3122573	0,4885804	0,8729079	0,0972345	0,9192691	0,9872318	0,2816862	0,0806798	0,5526374	0,4745559	0,1775064	0,1848904	1,0447925
220	0,7771785	0,8931412	0,7186939	0,4204438	0,5247520	0,9180610	0,1258644	0,9005634	1,0169988	0,3122361	0,1385243	0,5436718	0,4771684	0,1300347	0,2224777	0,9762598
240	0,7605920	0,9158885	0,6787127	0,5729986	0,5812198	0,8535997	0,1953210	0,8320186	1,0152688	0,3804576	0,1650366	0,5865748	0,5560347	0,1058704	0,2582812	0,9732397
260	0,7759341	0,9354724	0,6249285	0,6555260	0,6169449	0,8052027	0,2033234	0,7579147	1,0373420	0,4189334	0,2563188	0,6459251	0,6364164	0,0941189	0,2873706	0,9270984
280	0,7461816	0,8620295	0,5831896	0,7586870	0,6409573	0,7509680	0,2351644	0,6630414	0,9367089	0,4757025	0,3112271	0,6830580	0,6723003	0,0614750	0,3350508	0,7764760
300	0,7364227	0,8533984	0,6313094	0,8243895	0,6403349	0,6900213	0,2906961	0,6307953	0,9405553	0,4963960	0,3270298	0,6663000	0,7318914	0,0516098	0,2884314	0,7678637
320	0,7843365	0,8824818	0,6749784	0,9017949	0,7276080	0,6867919	0,3385921	0,5884310	0,9601926	0,5307300	0,3448724	0,6367908	0,7815982	0,0304394	0,3175118	0,7865042
340	0,8264542	0,8794678	0,6106343	0,8670531	0,7823166	0,6509766	0,4205695	0,6076989	0,9996051	0,5033584	0,3891998	0,6620236	0,7094718	0,0187950	0,3295759	0,8109536
360	0,8388707	0,8376945	0,6566234	0,9096800	0,8149540	0,6115085	0,4740118	0,6164492	0,9818069	0,4965238	0,4159154	0,7840747	0,7366175	0,0131591	0,4209455	0,7251959
380	0,8272801	0,8493043	0,6295150	0,8950983	0,7898373	0,6437318	0,5328782	0,6292979	0,9910549	0,5166238	0,4815517	0,7869587	0,7210603	0,0107322	0,5269593	0,7206628
400	0,8487861	0,8090099	0,6706605	0,9354128	0,7827031	0,5749345	0,5170065	0,5911400	1,0586509	0,5457077	0,5355426	0,7726297	0,7538791	0,0081015	0,5401471	0,7101627
420	0,8605382	0,8527656	0,6666769	1,0054038	0,8012400	0,6123070	0,5850445	0,5493226	1,0537335	0,5421612	0,5590717	0,7762885	0,7306783	0,0053011	0,5660859	0,5770194
440	0,8544232	0,8595892	0,6038729	1,0251613	0,8135298	0,6075379	0,6503173	0,6107543	1,0308665	0,6014552	0,6068876	0,7439488	0,7222439	0,0036309	0,6086319	0,5522913
460	0,8935647	0,8388072	0,5805867	1,0079717	0,8344688	0,6374161	0,6708512	0,6749286	1,0351854	0,6402930	0,6205278	0,7435209	0,7589999	0,0037161	0,6329716	0,5322247
480	0,8862693	0,8373796	0,5873532	1,0072573	0,8655374	0,6145168	0,7068252	0,6728296	0,9982497	0,5756436	0,6363101	0,7317161	0,7012276	0,0025666	0,6511744	0,4930006
500	0,8563543	0,8132256	0,6745249	0,9697074	0,8900810	0,5827852	0,7660636	0,6273009	1,0617903	0,6197485	0,6548443	0,7199197	0,7143041	0,0007251	0,5673894	0,5145183
520	0,7843132	0,7868330	0,6704147	1,0106533	0,8392618	0,5647644	0,7304203	0,5388160	1,0543777	0,5985369	0,6518928	0,6718402	0,7149039	0,0006996	0,5776815	0,4618265
540	0,7797350	0,8921263	0,6519958	0,9915746	0,8158374	0,5686086	0,7695937	0,5582818	1,0166318	0,5674085	0,6007965	0,7183697	0,7517620	0,0004038	0,5381879	0,4656975
560	0,7672670	0,8983993	0,6401024	1,0781114	0,8881658	0,4985879	0,7763317	0,5323019	1,0467795	0,5404307	0,6303499	0,7452978	0,6802916	0,0003430	0,4934846	0,4490550
580	0,7232183	0,9183515	0,6558693	1,0799362	0,8600028	0,5887584	0,8370876	0,5597207	1,0190071	0,5828929	0,6539786	0,6820409	0,7024663	0,0084897	0,5393601	0,4491469
600	0,6635399	0,8234745	0,6698538	1,0035356	0,8519525	0,5452883	0,7991256	0,5646221	1,0400160	0,5745972	0,6384693	0,6304761	0,8050914	0,0112883	0,6147468	0,5140936
620	0,6642696	0,8953675	0,6774398	0,9794284	0,8024251	0,5599554	0,7067298	0,6187121	0,8794427	0,5782856	0,6412937	0,5954846	0,8329362	0,0147825	0,5750904	0,4794573
640	0,7136093	0,9329377	0,6157986	0,9489212	0,8608609	0,5586145	0,7458401	0,6501963	0,8517078	0,5794710	0,6650366	0,6151642	0,8973195	0,0200524	0,5926942	0,5197202
