"Time"	rstA	csgD	ompR	bolA	rcsB	csgE	csgG	csgF	sra	ompF	omrA	ampC	omrB	iraP	adrA	tppB
180	1,0000000	0,6254708	0,3104530	0,6080140	1,0000000	0,0096774	0,4673496	0,0383340	0,3668527	0,6432339	0,9192505	0,1767087	0,7674358	0,5889711	0,6837718	0,9458780
200	1,0000000	0,6138511	0,3074236	0,6503788	1,0000000	0,0066965	0,4660450	0,0357553	0,4069519	0,6827800	0,9105353	0,1370931	0,7489526	0,5832229	0,6759773	0,9414377
220	1,0000000	0,6032370	0,3055876	0,6821584	1,0000000	0,0048513	0,4648271	0,0342859	0,4413684	0,7136026	0,9035217	0,1112878	0,7335785	0,5770161	0,6669967	0,9378563
240	1,0000000	0,5938673	0,3044750	0,7053870	1,0000000	0,0037111	0,4637136	0,0334464	0,4697656	0,7368719	0,8980949	0,0947161	0,7212224	0,5706411	0,6571901	0,9350852
260	1,0000000	0,5857895	0,3038007	0,7220329	1,0000000	0,0030063	0,4627067	0,0329648	0,4924928	0,7540163	0,8940215	0,0841277	0,7115667	0,5643559	0,6469560	0,9330132
280	1,0000000	0,5789339	0,3033920	0,7337774	1,0000000	0,0025697	0,4618019	0,0326866	0,5102534	0,7664091	0,8910361	0,0773590	0,7041928	0,5583620	0,6366768	0,9315067
300	1,0000000	0,5731732	0,3031443	0,7419602	1,0000000	0,0022981	0,4609924	0,0325242	0,5238718	0,7752306	0,8888899	0,0730156	0,6986673	0,5527978	0,6266791	0,9304360
320	1,0000000	0,5683609	0,3029942	0,7476023	1,0000000	0,0021281	0,4602711	0,0324279	0,5341553	0,7814313	0,8873709	0,0702128	0,6945914	0,5477433	0,6172141	0,9296893
340	1,0000000	0,5643537	0,3029033	0,7514582	1,0000000	0,0020209	0,4596311	0,0323694	0,5418236	0,7857438	0,8863099	0,0683928	0,6916243	0,5432311	0,6084532	0,9291764
360	1,0000000	0,5610219	0,3028481	0,7540734	1,0000000	0,0019526	0,4590661	0,0323327	0,5474824	0,7887160	0,8855768	0,0672036	0,6894883	0,5392587	0,6004949	0,9288286
380	1,0000000	0,5582525	0,3028147	0,7558354	1,0000000	0,0019085	0,4585701	0,0323088	0,5516218	0,7907486	0,8850750	0,0664223	0,6879652	0,5358002	0,5933773	0,9285953
