"Time"	hns	cspA	bolA	stpA	bglJ	bglB	bglG	bglF	cspD	proW	gspB	yjjP	proV	gspO	mukE	yciE
240	0,5555464	0,0598605	0,0802585	0,2627849	0,7596379	0,1952300	0,9097902	0,6420532	0,9129687	0,5631294	0,1489436	0,5699812	0,4675488	0,6930370	0,6121130	0,5855715
260	0,5599449	0,0469894	0,0545166	0,2515293	0,8962157	0,1922093	0,8634281	0,6928788	0,8979336	0,5781242	0,1590798	0,6272138	0,4102433	0,6891187	0,6343971	0,5568286
280	0,5176650	0,0455321	0,0819417	0,2617635	0,9333154	0,2119459	0,8756033	0,6691473	0,9591978	0,6090462	0,1544077	0,7138446	0,4573043	0,7361646	0,6080998	0,6126216
300	0,5012789	0,0402058	0,1173672	0,3276396	0,9417181	0,2089582	0,8000660	0,6471076	0,9596365	0,6650122	0,1466227	0,7403326	0,4946706	0,7524559	0,6069625	0,6295650
320	0,5196154	0,0256869	0,1553351	0,3050171	0,9208774	0,2054110	0,8013392	0,6508812	0,9881206	0,7027455	0,1763305	0,7477435	0,5040743	0,7364858	0,6329902	0,6913245
340	0,5306454	0,0265511	0,1333360	0,2784097	0,9074409	0,2098484	0,8093818	0,6481510	0,9309024	0,6711394	0,2269171	0,6609968	0,5519186	0,7945204	0,5864816	0,7354235
360	0,5567433	0,0350743	0,1203269	0,2605247	0,9367263	0,2059202	0,8693315	0,5939972	0,9067906	0,6862791	0,2093695	0,7003985	0,5527287	0,8183669	0,5481511	0,7388540
380	0,5178350	0,0427697	0,0971246	0,2607967	1,0107802	0,2229638	0,9460682	0,6518933	0,8599696	0,6748460	0,1829198	0,5953346	0,5782540	0,8415618	0,6271048	0,7573292
400	0,4546742	0,0396815	0,1107323	0,2526161	0,9887916	0,1966605	0,8567699	0,7225952	0,8732286	0,6815094	0,1939559	0,6555772	0,5907203	0,8369999	0,5816129	0,7152218
420	0,4823303	0,0211435	0,1182603	0,2245604	1,0150187	0,2368199	0,8839685	0,7448978	0,8136728	0,7275901	0,1894703	0,6930638	0,5999405	0,7760913	0,5870269	0,6952305
440	0,4425805	0,0184835	0,0901628	0,2511031	0,9812639	0,2200938	0,8679741	0,7060119	0,8047410	0,7676554	0,1925130	0,6389961	0,6438704	0,8203853	0,5463650	0,6667287
460	0,5076409	0,0359758	0,1217242	0,2606513	1,0313928	0,2307321	0,9159423	0,7338374	0,7066189	0,7533861	0,2456767	0,7213733	0,6594722	0,7715987	0,5217063	0,6771711
480	0,5050994	0,0483888	0,0965662	0,2551431	0,9767851	0,2213460	0,9182272	0,6661985	0,8067030	0,7898503	0,2608175	0,7290619	0,6323497	0,8070971	0,5227792	0,6515403
500	0,5158526	0,0338995	0,1393289	0,2835026	0,9269928	0,2199242	0,9154864	0,6803110	0,8198782	0,8653302	0,2279621	0,7905972	0,5733211	0,8065003	0,4840259	0,6755785
520	0,4866804	0,0266244	0,1257699	0,2871250	0,9931967	0,2332576	0,8975139	0,6797484	0,8911943	0,8530744	0,2274421	0,7178732	0,5416843	0,7947476	0,5164892	0,6295842
540	0,4929532	0,0166504	0,0995309	0,2721280	0,9498932	0,1826999	0,9145519	0,6810621	0,8667855	0,8914468	0,2290568	0,7643413	0,5361747	0,8065493	0,4856013	0,6559837
560	0,4840504	0,0338065	0,0778880	0,2679036	0,8869594	0,2026549	0,8741870	0,6868065	0,8616561	0,9188916	0,1619743	0,7907845	0,5581303	0,8298938	0,4433291	0,6693001
580	0,5051542	0,1068070	0,1251764	0,2689961	0,8708455	0,2086483	0,8572196	0,7239898	0,8732245	0,9087962	0,1895821	0,7957014	0,5760813	0,7436930	0,4667129	0,7444611
600	0,5120135	0,3009957	0,0989156	0,3027950	0,9133666	0,2080511	0,8747642	0,6661143	0,8761688	0,8871091	0,1513528	0,7463512	0,5862680	0,6927771	0,4715216	0,7088798
620	0,5458323	0,4804947	0,1008779	0,2867160	0,8886015	0,1889089	0,8393185	0,6359736	0,8370810	0,8694800	0,1386241	0,7268189	0,6147776	0,7054489	0,5394334	0,6814326
640	0,5342286	0,6165383	0,0879212	0,2539936	0,9021825	0,1925034	0,8091659	0,7199233	0,7942335	0,8192952	0,2012559	0,7095125	0,5859867	0,7120983	0,5678199	0,6797926
660	0,6024739	0,7651440	0,0963474	0,2534149	0,9305747	0,1878337	0,8858227	0,7162967	0,8120013	0,7948057	0,2170787	0,6998741	0,5998126	0,6595039	0,5871177	0,6174744
680	0,6625563	0,8716990	0,1000601	0,2370422	0,9557670	0,1945582	0,9199007	0,6997982	0,6834874	0,7640760	0,1816898	0,6653495	0,5745238	0,6529791	0,6204615	0,6256968
700	0,6645952	0,9461742	0,1171698	0,2832921	0,7950271	0,1859350	0,8955892	0,7407723	0,6446801	0,7686399	0,1267363	0,6622151	0,5479840	0,6303828	0,6072756	0,5938415
720	0,7005414	0,9284758	0,1240751	0,2702556	0,8718140	0,2164444	0,9133703	0,7164114	0,6656922	0,7399571	0,1244674	0,6350833	0,4893901	0,6220172	0,6188184	0,6689513
740	0,7080439	0,9148607	0,0867083	0,2661366	0,7633916	0,2296630	0,8965865	0,7120372	0,7859750	0,6851649	0,1164034	0,6294614	0,4889340	0,5791936	0,6628198	0,5960828
760	0,7644066	0,8470053	0,0973462	0,2807177	0,7180132	0,2272198	0,8602958	0,6910760	0,7993591	0,6294465	0,1313907	0,6971059	0,4628865	0,5542615	0,6226796	0,5501402
780	0,7502429	0,8135350	0,0953926	0,2555217	0,6308621	0,2361347	0,7847717	0,6446146	0,7821149	0,6611218	0,1265165	0,6509641	0,4490176	0,5546592	0,7090771	0,5317200
800	0,6925122	0,8439832	0,0999301	0,2261326	0,6468586	0,2545588	0,7742280	0,5721949	0,7449162	0,5509623	0,1086263	0,6433344	0,4303235	0,5356085	0,7179852	0,4957782
820	0,7292304	0,8950869	0,0873837	0,2683049	0,7117784	0,2174382	0,7492453	0,6022067	0,7557865	0,5326053	0,1327015	0,6679142	0,3891089	0,5339147	0,6887123	0,4805661
840	0,7411205	0,9121395	0,0830965	0,2634341	0,7728620	0,1860515	0,7415155	0,6457031	0,7312469	0,5466445	0,1614207	0,6293024	0,3365830	0,5937632	0,6633666	0,4626241
860	0,7434183	0,9689972	0,0954997	0,2971259	0,6757113	0,2332747	0,6843703	0,6212507	0,8307577	0,5934101	0,1395885	0,5671412	0,3182095	0,5331569	0,6702333	0,4776736
880	0,7082722	0,9910522	0,0746303	0,2996271	0,6954020	0,2069092	0,6808718	0,6421912	0,8392236	0,6339123	0,1403816	0,5954324	0,3185405	0,4856829	0,6466707	0,4816502
900	0,6887162	0,9638872	0,0770824	0,2611027	0,7213905	0,2228017	0,6348524	0,5866870	0,8715884	0,6172270	0,1088750	0,5410378	0,3683143	0,5010722	0,6425262	0,4793653
920	0,7399885	1,0006531	0,0818478	0,2044024	0,7767242	0,2194497	0,6554392	0,5329101	0,8701140	0,5992472	0,1188716	0,5242102	0,3417517	0,4588601	0,6603534	0,4510758
940	0,7348391	1,0212741	0,0486244	0,2164619	0,6758872	0,2585462	0,6908812	0,5501273	0,9278879	0,5979244	0,1539789	0,5164943	0,3836438	0,4535645	0,6397626	0,4119038
960	0,7270475	1,0278718	0,0510334	0,2557543	0,6594896	0,2163738	0,6983068	0,6573535	0,8409994	0,6046305	0,1375824	0,5430949	0,4205250	0,4829125	0,6369568	0,4703347
980	0,7608151	0,9291509	0,0559722	0,2841701	0,6501861	0,2000433	0,7620158	0,7526101	0,8693237	0,5717003	0,1293816	0,5568766	0,4135525	0,4721627	0,6471988	0,4738549
1000	0,7002295	0,9647899	0,0509836	0,2946010	0,6380849	0,2156269	0,7653925	0,7508366	0,9466293	0,5972444	0,0913106	0,5196962	0,3568946	0,4813158	0,6231409	0,5576492
1020	0,7268027	0,9010562	0,0642705	0,2790652	0,7058628	0,2344871	0,7688523	0,6947529	0,9208034	0,5519626	0,1275475	0,5656192	0,3645442	0,4294101	0,6369135	0,5696444
1040	0,7131419	0,8511346	0,0727936	0,2477079	0,6732392	0,2409218	0,7609439	0,7146750	0,9129646	0,5674413	0,1540748	0,5900213	0,3574817	0,4020275	0,6491720	0,5240494
1060	0,7880478	0,8752326	0,0576994	0,2478971	0,7285449	0,2063605	0,7710912	0,6987225	0,8527780	0,5599694	0,1323567	0,6119787	0,3592812	0,4196988	0,6280139	0,5022299
1080	0,7669263	0,8819110	0,0846333	0,2834443	0,6894657	0,2125264	0,7770187	0,6677445	0,8250579	0,5524313	0,1068084	0,5796582	0,3463105	0,4340131	0,6391157	0,5148682
1100	0,8014394	0,9592296	0,0818004	0,2885508	0,6497336	0,1751055	0,8239121	0,6546480	0,7610547	0,5274690	0,1191409	0,5717422	0,3792682	0,4365018	0,6822844	0,5078066

0	0,7177653	1,0845244	0,0791121	0,2857553	0,6016580	0,2022600	0,8902659	0,6962503	0,7943263	0,5138199	0,1550098	0,4977878	0,3238524	0,4928140	0,6520834	0,5052543
20	0,7394429	0,9498945	0,0963233	0,2627215	0,5646083	0,1623717	0,8297390	0,5978870	0,8166553	0,4827589	0,0784138	0,5998110	0,4080397	0,4267317	0,6666628	0,4559313
40	0,6982227	0,9471825	0,0804886	0,2192749	0,6066729	0,1975571	0,8126508	0,6386905	0,8081908	0,4899685	0,0464812	0,5824274	0,3859517	0,4332755	0,6252187	0,3727188
60	0,6496785	0,9815387	0,0623177	0,1619936	0,6589038	0,2031699	0,8383616	0,7067462	0,7460009	0,4525508	0,0367530	0,5609684	0,3621687	0,4245305	0,6251756	0,3271534
80	0,6121641	0,9080841	0,0566449	0,1143086	0,6612506	0,2122447	0,9027593	0,7257963	0,7787544	0,4515603	0,0353927	0,5383297	0,3223716	0,4532601	0,5990136	0,2613301
100	0,5087012	0,8943241	0,0584165	0,0835944	0,6656798	0,2627375	0,8603930	0,7518602	0,8037345	0,5388144	0,0399123	0,5455980	0,3061843	0,4944652	0,6151222	0,2174674
120	0,4925415	0,8344532	0,1011005	0,0596449	0,8074644	0,2482648	0,8497875	0,7764202	0,8072210	0,5365618	0,0217581	0,6855347	0,3194243	0,4763934	0,6388093	0,1852475
140	0,5626132	0,8135598	0,1076172	0,0456110	0,8404839	0,2888240	0,8614494	0,8421787	0,7521358	0,5306655	0,0219676	0,6683982	0,3062659	0,5665780	0,6469574	0,1316148
160	0,5365967	0,8078607	0,1200633	0,0381553	0,9077316	0,3664835	0,8493617	0,8853380	0,7114504	0,6423739	0,0291570	0,6627679	0,3176002	0,6189532	0,6434059	0,1246716
180	0,5962725	0,9039749	0,0960708	0,0266649	0,9408123	0,3558940	0,8724635	0,7928954	0,7619482	0,6779100	0,0378884	0,6982303	0,3037985	0,6328687	0,5885726	0,1134568
200	0,6391124	0,8471141	0,0773570	0,0144925	0,9411268	0,4007322	0,9116292	0,8336333	0,6841128	0,6737788	0,0388830	0,7160431	0,3043096	0,6316711	0,5600690	0,1115238
220	0,4986795	0,8540824	0,0853451	0,0088746	0,9501777	0,3565554	0,8917073	0,8616770	0,7195486	0,6935846	0,0270766	0,6718049	0,3391205	0,6049560	0,5542434	0,1224681
240	0,4919253	0,8416075	0,0942642	0,0033105	0,8838900	0,3253464	0,9012371	0,8542593	0,7392710	0,6879593	0,0251376	0,6501729	0,3709825	0,7046768	0,5542558	0,1172697
260	0,5859158	0,8464718	0,1120067	0,0002226	0,9462442	0,2920489	0,8875918	0,9139449	0,6832149	0,7396076	0,0573006	0,6533289	0,3835690	0,6770032	0,5144903	0,1169461
280	0,5967135	0,9004150	0,0990260	0,0003340	0,8817062	0,3394965	0,8934481	0,9132348	0,6896943	0,7144434	0,0464373	0,6448793	0,3458291	0,7696205	0,5594807	0,1181413
300	0,5729530	0,9403532	0,0975976	0,0022416	0,8878125	0,3917700	0,8690141	0,8435024	0,7539669	0,7474503	0,0302071	0,7132834	0,3763055	0,7858487	0,5476794	0,0962355
320	0,5421204	0,9506989	0,0989227	0,0009866	0,8357609	0,4120970	0,8949098	0,8474141	0,7504859	0,6844017	0,0424987	0,6764750	0,3688797	0,8006704	0,5703685	0,0958743
340	0,5748775	0,8306008	0,0765231	0,0056773	0,8119720	0,3861684	0,8997534	0,8141411	0,7183104	0,6454233	0,0434788	0,6736498	0,3635764	0,7400067	0,5643011	0,0776020
360	0,5679803	0,9252390	0,0583154	0,0027118	0,8205110	0,4216327	0,8699899	0,8203590	0,7426904	0,6548627	0,0510754	0,6933258	0,3976103	0,7137024	0,5302539	0,0755609
380	0,5834129	0,9581359	0,0585980	0,0081483	0,8729627	0,4671981	0,8770024	0,9067647	0,7585271	0,6244239	0,0481065	0,6657207	0,3869632	0,7442079	0,5361956	0,0677759
400	0,5807514	0,8471725	0,0524738	0,0046725	0,9030695	0,4130897	0,9218792	1,0270419	0,7640507	0,6522632	0,0549949	0,7033457	0,3812160	0,7513523	0,5170006	0,0871564
420	0,5688092	0,9119186	0,0621070	0,0021053	0,8105781	0,3551015	0,9125611	1,0026715	0,7180212	0,7182076	0,0520129	0,6071766	0,3643337	0,6914209	0,5528171	0,0907907
440	0,5373328	0,8895704	0,0805048	0,0029993	0,7828527	0,3385164	0,9321054	0,9520014	0,7556693	0,7840812	0,0370732	0,5852437	0,3750455	0,6352530	0,5843404	0,0839387
460	0,5547570	0,9134671	0,0757348	0,0021391	0,7928495	0,3695186	0,9395751	0,9471883	0,7534803	0,8143093	0,0372315	0,6198553	0,3802698	0,6351001	0,5472415	0,0851751
480	0,5551805	0,8127727	0,0972694	0,0008958	0,8220972	0,3801092	0,9495568	0,8685040	0,7461419	0,7638815	0,0492566	0,6629616	0,3515941	0,6755282	0,5456835	0,1187290
500	0,5564698	0,8315712	0,1087937	0,0004918	0,8329143	0,3780843	0,9121926	0,8427705	0,7220033	0,7762014	0,0468174	0,6810147	0,3732053	0,6580140	0,5565610	0,1123967
520	0,5358614	0,8467545	0,0991445	0,0026595	0,9320988	0,3680405	0,8843685	0,8885768	0,7338956	0,7307787	0,0412162	0,6811557	0,3740675	0,6757599	0,5500299	0,0906086
