"Time"	hipB	hipA	ihfB	yeiL	tdcA	tdcD	tdcG	tdcE	tdcB	tdcF	tdcC	hemF	ibpB	htrE	ecpD	amiA
0	0,7986202	0,5370626	0,5911518	0,5535261	0,0224323	0,0650916	0,3526732	0,0044108	0,3376561	0,2516987	0,0211558	0,5710032	0,5168761	0,4937808	0,7380547	0,1498858
20	0,6395030	0,4140967	0,4512392	0,6503853	0,0994748	0,0757352	0,2920690	0,0774201	0,3978504	0,4815170	0,0716537	0,3183571	0,4960442	0,7768095	0,8039249	0,0998860
40	0,7239271	0,4805161	0,3366739	0,5742814	0,1497027	0,1048740	0,3754733	0,1447296	0,4091002	0,4533830	0,1517859	0,2270584	0,5056030	0,6152178	0,7835635	0,1184640
60	0,7441040	0,3593107	0,2365297	0,5673863	0,2443690	0,1021360	0,5334917	0,1470159	0,4057998	0,6086092	0,2842772	0,1602203	0,3258603	0,6328571	0,7581088	0,0536222
80	0,7829155	0,4450483	0,1865746	0,6931301	0,2537302	0,1464392	0,5678612	0,2181436	0,3636499	0,6294132	0,2853499	0,0821783	0,2218823	0,5888421	0,7793028	0,0803135
100	0,7973737	0,4782810	0,1612884	0,6515294	0,3123683	0,1912155	0,6130567	0,3482780	0,2848749	0,6099953	0,4423454	0,0725923	0,1648702	0,4677230	0,7437582	0,0684235
120	0,8566358	0,5074001	0,1322753	0,6671996	0,2791821	0,2072638	0,5962590	0,4298147	0,2681412	0,6880610	0,4723106	0,0741252	0,1586949	0,3655072	0,6686510	0,0703894
140	0,6454233	0,4817723	0,1377308	0,4950855	0,3397966	0,2313739	0,6630954	0,3302835	0,2540121	0,6244105	0,4844259	0,0131645	0,0967867	0,2532537	0,8225326	0,0483650
160	0,5824449	0,3833056	0,1020344	0,5998007	0,3496464	0,2388473	0,8246916	0,5332954	0,1921757	0,6474802	0,5849957	0,0059551	0,0402637	0,2412636	0,6430231	0,0625838
180	0,5149522	0,4243623	0,0649006	0,5072988	0,3456642	0,2124148	0,7023880	0,4200954	0,1288722	0,6064612	0,5901296	0,0108548	0,0630701	0,1770183	0,6835867	0,0486933
200	0,4574795	0,4609372	0,0576756	0,3606675	0,4218383	0,2004984	0,7286012	0,4485401	0,1623585	0,6694242	0,6272692	0,0116775	0,0441258	0,2239995	0,6884467	0,0556768
220	0,5338874	0,5220688	0,0804182	0,3168675	0,3663361	0,1836040	0,6764927	0,5389270	0,1761365	0,5917653	0,5026120	0,0067505	0,0525832	0,1327184	0,7452202	0,0412430
240	0,6086399	0,4524901	0,0621231	0,2565074	0,2836720	0,2969009	0,6397338	0,6159424	0,1775642	0,7918752	0,5170575	0,0014399	0,0423781	0,1926673	0,8325753	0,0785352
260	0,5714934	0,4458929	0,0740799	0,2447091	0,3094978	0,2352615	0,7013167	0,5359037	0,1069517	0,6192327	0,6234320	0,0055456	0,0571976	0,0812826	0,6670043	0,0631947
280	0,5255022	0,5207031	0,0783013	0,2268777	0,3817777	0,2450327	0,7158519	0,5264106	0,2280563	0,6845437	0,5355042	0,0064140	0,0487141	0,1340421	0,6084816	0,0892922
300	0,6151015	0,5239609	0,0727415	0,2024382	0,3963724	0,2902775	0,6266049	0,5448943	0,2257488	0,7345635	0,5996291	0,0003023	0,0523059	0,1128597	0,8078286	0,0304916
320	0,4934232	0,6704510	0,0640915	0,1470303	0,4176953	0,2112508	0,7617719	0,5060947	0,1682772	0,6933616	0,4947775	0,0012819	0,0873894	0,2069477	0,7622602	0,1008313
340	0,5439346	0,5162335	0,0635055	0,0937939	0,3896560	0,1636204	0,5971933	0,5935699	0,2161663	0,8382182	0,4335806	0,0012113	0,1022552	0,0953108	0,6322120	0,0622793
360	0,5203068	0,5188108	0,0903815	0,0813019	0,3572119	0,1822035	0,8245712	0,6098089	0,2182624	0,8902903	0,3904890	0,0000058	0,0980098	0,0854706	0,7159592	0,0727217
380	0,5180733	0,5577211	0,0751695	0,0707085	0,4060181	0,2173709	0,7793948	0,5418916	0,2247185	0,6802979	0,3945019	0,0029439	0,0485999	0,0706922	0,6773026	0,0751930
400	0,5430403	0,7159072	0,0573780	0,0642632	0,3804220	0,1967398	0,7068248	0,5581124	0,2354994	0,6425083	0,4570353	0,0081328	0,0667865	0,1229708	0,6376380	0,0941034
420	0,6409647	0,5980977	0,1112073	0,0759911	0,3329108	0,1905018	0,6290330	0,5729636	0,1771918	0,6897787	0,3842723	0,0050767	0,0290932	0,0927643	0,6759888	0,0679072
440	0,6548930	0,6474584	0,1042970	0,0570774	0,4045344	0,2269084	0,7864999	0,4850874	0,1398233	0,6627209	0,5173118	0,0049685	0,0546803	0,0819500	0,7661434	0,1775003
460	0,6555077	0,6038103	0,0780620	0,0676499	0,3446863	0,3028000	0,7317131	0,5363734	0,1685147	0,6767671	0,4947525	0,0018195	0,0756135	0,1083104	0,7460761	0,0636421
480	0,5240201	0,6293524	0,0900998	0,0834026	0,3686285	0,3739320	0,8767139	0,5814800	0,1947928	0,6335823	0,4139726	0,0013757	0,0665857	0,0668307	0,7217688	0,0697224
500	0,5049515	0,6857632	0,0526747	0,0683183	0,4260409	0,3282372	0,8758967	0,5423154	0,1923860	0,6848866	0,4165162	0,0006944	0,0890745	0,0521713	0,7453097	0,1418206
520	0,4981132	0,5937150	0,1170866	0,0698512	0,4186426	0,2838818	0,8314508	0,5317479	0,1668120	0,6250670	0,4604915	0,0003113	0,0420016	0,1014569	0,7895267	0,0492100
540	0,5399302	0,5241641	0,0851635	0,0532132	0,4178854	0,2655151	0,7696973	0,5796207	0,1407686	0,7528463	0,4485365	0,0001479	0,0354153	0,0470184	0,7554028	0,0679689
560	0,6222181	0,6257542	0,1458343	0,0472563	0,4008547	0,2356815	0,6950900	0,5139072	0,2075460	0,6913181	0,5195789	0,0000396	0,0524443	0,0921138	0,7527259	0,1131332
580	0,5942354	0,5927895	0,1031237	0,0548508	0,3930337	0,2432635	0,6981920	0,5058782	0,1794445	0,7601125	0,4024118	0,0994096	0,0457373	0,0375409	0,7998495	0,1230402
600	0,6142516	0,4983043	0,2666408	0,0363365	0,3672154	0,2525448	0,5695447	0,4341646	0,1913925	0,4480113	0,3998559	0,2649422	0,0463898	0,0598131	0,7014143	0,2434951
620	0,6313760	0,5544400	0,2861612	0,1001760	0,1872488	0,2110048	0,5028841	0,4462525	0,1348919	0,3590479	0,3608234	0,4042534	0,0887895	0,0503521	0,6496091	0,2351300
640	0,6397099	0,4736872	0,3383854	0,2475161	0,1451762	0,2623320	0,5235862	0,3431893	0,1780512	0,2997079	0,4255103	0,4680348	0,1409408	0,1129834	0,5554987	0,2887277
660	0,7788812	0,5247881	0,4703807	0,2412279	0,1308738	0,2328976	0,6296445	0,2567278	0,1773262	0,2959440	0,2803089	0,4814091	0,0863548	0,1765551	0,6551233	0,2421894
680	0,6903400	0,5345921	0,5286561	0,2893402	0,0739421	0,1410040	0,5086532	0,2238989	0,1989521	0,2353467	0,2547135	0,7038602	0,2112613	0,2588615	0,7386959	0,2328433
700	0,7576402	0,3930829	0,5176005	0,2956286	0,0764937	0,1845663	0,5517072	0,1112906	0,1889335	0,2479855	0,1905506	0,7030001	0,3080933	0,3564029	0,7773124	0,3110265
720	0,7141387	0,4644647	0,6109232	0,4044087	0,0380525	0,1287323	0,4020817	0,0868481	0,2074842	0,2868268	0,1273950	0,6589719	0,4209348	0,3800388	0,6454828	0,2337848
740	0,6432815	0,5040487	0,5795694	0,5029043	0,0321335	0,1434363	0,5391997	0,0345366	0,2809884	0,3280837	0,0495292	0,5262595	0,4252715	0,4777125	0,7085061	0,2213473
760	0,6299866	0,5950820	0,4167370	0,4620733	0,0300328	0,0937004	0,3769988	0,0445624	0,2863490	0,2565102	0,0506686	0,4530930	0,4522516	0,5943521	0,7083044	0,1651946
780	0,6638311	0,3835166	0,4875299	0,5132775	0,0389633	0,0908051	0,5435902	0,0659729	0,2591137	0,2782167	0,0445191	0,4012112	0,4740828	0,6180313	0,7061022	0,1163176
800	0,7423499	0,5789924	0,4635943	0,5013874	0,0827576	0,0758618	0,4443269	0,0290732	0,3492727	0,2146536	0,0179537	0,4532063	0,4130308	0,5022576	0,7585381	0,1629478
820	0,6444674	0,4964752	0,5480391	0,4867060	0,0329550	0,0683236	0,3512594	0,0217961	0,3177832	0,3272444	0,0203065	0,5757514	0,4201764	0,7299041	0,7622684	0,0937175
840	0,7683896	0,5565224	0,5478572	0,6443152	0,0576741	0,0639216	0,3673515	0,0449897	0,3294358	0,2644342	0,0170655	0,4270138	0,3875268	0,7555169	0,7528624	0,0869574
860	0,7588320	0,6328262	0,5386249	0,5120405	0,0452276	0,0679618	0,4459396	0,0198649	0,3506082	0,2752419	0,0235980	0,5395024	0,4295618	0,7191936	0,7896566	0,1301696
880	0,7851026	0,4563679	0,5826705	0,6405949	0,0467423	0,0787414	0,2481274	0,0071590	0,2676857	0,3524590	0,0209826	0,4302680	0,4456253	0,7531351	0,7344626	0,1135265
900	0,6432283	0,5664832	0,4722581	0,6531152	0,0221466	0,0504284	0,4135145	0,0080767	0,3270741	0,3912502	0,0083050	0,5321828	0,5107221	0,6268977	0,7118217	0,0918725
920	0,6664018	0,4138016	0,4263896	0,5924362	0,0325803	0,0514784	0,3160378	0,0132420	0,3616736	0,2984380	0,0185914	0,4762657	0,4233098	0,8178671	0,6475416	0,1791348
940	0,7288843	0,5858478	0,4257718	0,7465947	0,0318111	0,0686982	0,3297424	0,0325887	0,2710719	0,3369037	0,0167438	0,4589277	0,4227323	0,6923035	0,7049009	0,0857420
960	0,5721664	0,5368954	0,4024131	0,6244030	0,0338376	0,0930078	0,4049366	0,0009060	0,2952646	0,4086325	0,0183375	0,5342100	0,4256167	0,7206900	0,7385930	0,1598898
980	0,6479232	0,5572754	0,3736219	0,6803095	0,0248760	0,0336798	0,3224194	0,0019210	0,2795727	0,2436431	0,0107695	0,5048402	0,3446747	0,7935714	0,7020171	0,1885846
1000	0,7394697	0,4731699	0,4341332	0,6928321	0,0206995	0,0572000	0,3631965	0,0053408	0,2272851	0,2112005	0,0148498	0,4693613	0,3935971	0,5980210	0,7306254	0,1526634
1020	0,6922078	0,5761259	0,4636445	0,5407385	0,0375869	0,0738323	0,2073051	0,0020861	0,2833676	0,1688092	0,0104857	0,3407075	0,4144358	0,5858420	0,7078368	0,1516390
1040	0,7087950	0,4664646	0,4081515	0,4670522	0,0304161	0,1045985	0,3040654	0,0029783	0,2260351	0,2200425	0,0139644	0,4577662	0,3822161	0,7517656	0,6897451	0,2084135
1060	0,7122198	0,5677834	0,4697809	0,4661133	0,0220631	0,0727224	0,2611198	0,0029214	0,2270487	0,2360374	0,0098795	0,4652297	0,4003222	0,5970699	0,7079863	0,1899797
1080	0,7146544	0,4499607	0,4619803	0,7229640	0,0224622	0,0488534	0,3948147	0,0038723	0,2263520	0,2245093	0,0108640	0,4506727	0,3399175	0,6010632	0,7332376	0,1698144
1100	0,6441015	0,5346552	0,4869277	0,6717846	0,0199868	0,0372830	0,2593105	0,0036790	0,2392017	0,1937746	0,0355437	0,5218940	0,4240217	0,6973083	0,8251651	0,1337334

0	0,6994793	0,4726732	0,4819384	0,6110828	0,0284875	0,0731033	0,3403085	0,0081668	0,3099892	0,2767842	0,0233017	0,4362886	0,5540778	0,7158650	0,7480341	0,1669812
20	0,6641291	0,4268727	0,5244907	0,5567034	0,0200401	0,0726470	0,4116669	0,0083032	0,2662140	0,2541880	0,0974324	0,3004056	0,4726224	0,6426430	0,7497439	0,1666954
