yoeB	yefM	alaS	mngB	mngR	mngA	artJ	argR	argB	artI	artQ	argA	artM	argC	argE	artP	Time	Experiment
1	0	1	1	1	0	1	1	0	1	1	1	1	1	0	1	600	4
1	1	1	1	1	0	1	0	0	1	1	1	1	1	0	1	620	4
1	1	1	1	1	0	1	0	0	1	1	1	1	1	0	1	640	4
1	1	1	1	1	0	1	1	0	1	1	1	0	1	0	1	660	4
1	1	1	1	1	0	1	1	0	1	1	1	1	1	0	1	680	4
1	1	1	1	1	0	1	0	0	1	1	1	0	1	0	1	700	4
1	1	1	1	1	0	1	0	0	1	1	1	1	1	0	1	720	4
1	1	1	1	1	0	1	0	0	1	1	1	1	1	0	1	740	4
1	1	1	1	1	0	1	1	0	1	1	1	1	1	0	1	760	4
1	1	1	1	1	0	1	1	0	1	0	1	1	1	0	1	780	4
1	1	1	1	1	0	1	0	0	1	1	1	1	1	0	1	800	4
1	1	1	1	1	0	1	0	1	1	1	1	0	1	0	1	820	4
1	1	1	1	1	0	1	0	0	1	0	1	1	1	0	1	840	4
1	1	1	1	1	0	1	1	0	1	1	1	0	1	1	1	860	4
1	1	1	1	1	0	1	1	0	1	1	1	1	1	0	1	880	4
1	1	1	1	1	0	1	0	0	1	0	1	1	1	0	1	900	4
1	1	1	1	1	0	1	0	0	1	1	1	1	1	0	1	920	4
1	1	1	1	1	0	1	1	0	1	1	1	1	1	0	1	940	4
1	1	1	1	1	0	1	0	0	1	1	1	0	1	1	1	960	4
1	1	1	1	1	0	1	0	0	1	1	1	0	1	0	1	980	4
1	1	1	1	1	0	1	1	0	1	1	1	1	1	0	1	1000	4
1	1	1	1	1	0	1	1	0	1	1	1	0	1	0	1	1020	4
1	1	1	1	1	0	1	0	0	1	0	1	0	1	1	1	1040	4
1	1	1	1	1	0	1	1	0	1	0	1	0	1	0	1	1060	4
1	1	1	1	1	0	1	1	0	1	1	1	0	1	0	1	1080	4
1	1	1	1	1	0	1	0	0	1	1	1	0	1	0	1	1100	4
1	1	1	1	1	0	1	1	0	1	1	1	0	1	0	1	0	5
1	1	1	1	1	0	1	0	0	1	1	1	1	1	0	0	20	5
1	0	1	1	1	0	1	0	1	1	1	1	0	1	0	0	40	5
1	0	1	1	1	0	0	1	0	1	1	1	1	1	0	0	60	5
1	0	1	1	1	0	0	1	0	1	0	1	1	1	0	0	80	5
1	0	1	1	1	0	0	1	0	1	1	1	1	1	0	0	100	5
1	0	1	1	1	0	0	1	0	1	1	1	1	1	0	0	120	5
1	0	1	1	1	0	0	1	0	1	1	1	0	1	0	0	140	5
1	0	1	1	1	0	0	0	0	1	1	1	0	1	0	0	160	5
1	0	1	1	1	0	0	1	1	1	1	1	0	1	0	0	180	5
1	0	1	1	1	0	0	0	0	1	1	1	1	1	0	0	200	5
1	0	1	1	1	0	0	0	0	1	1	1	0	1	0	0	220	5
1	0	1	1	1	0	0	0	0	1	1	1	0	1	0	0	240	5
1	0	1	1	1	0	0	1	1	1	1	1	0	1	0	0	260	5
1	0	1	1	1	0	0	0	1	1	1	1	1	1	0	0	280	5
1	0	1	1	1	0	0	0	0	1	1	1	1	1	0	0	300	5
1	0	1	1	1	0	0	0	1	1	0	1	1	1	0	0	320	5
1	0	1	1	1	0	0	1	1	1	1	1	1	1	0	0	340	5
1	0	1	1	1	0	0	1	0	1	1	1	1	1	0	0	360	5
1	0	1	1	1	0	0	0	1	1	1	1	1	1	0	0	380	5
1	0	1	1	1	0	0	0	0	1	1	1	0	1	0	0	400	5
1	0	1	1	1	0	0	0	0	1	1	1	1	1	0	0	420	5
1	0	1	1	1	0	0	1	1	1	1	1	0	1	0	0	440	5
1	0	1	1	1	0	0	1	0	1	1	1	1	1	0	0	460	5
1	0	1	1	1	0	0	1	1	1	1	1	1	1	0	0	480	5
1	0	1	1	1	0	0	1	0	1	1	1	1	1	0	0	500	5
1	0	1	1	1	0	0	0	0	1	1	1	0	1	0	0	520	5
1	0	1	1	1	0	0	1	1	1	1	1	1	1	0	0	540	5
1	0	1	1	1	0	0	0	0	1	1	1	1	1	0	0	560	5
1	0	1	1	1	0	0	0	0	1	1	1	1	1	0	0	580	5
1	1	1	1	1	0	0	0	1	1	1	1	1	1	0	0	600	5
1	1	1	1	1	0	1	1	0	1	1	1	1	1	1	1	620	5
1	1	1	1	1	0	1	0	0	1	0	1	1	1	0	1	640	5
1	1	0	1	1	0	1	1	0	1	0	1	1	1	1	1	660	5
1	1	1	1	1	0	1	1	0	1	1	1	1	1	1	1	680	5
1	1	1	1	1	0	1	0	0	1	1	1	1	1	1	1	700	5
1	1	1	1	1	0	1	0	0	1	1	1	1	1	0	1	720	5
1	1	1	1	1	0	1	1	1	1	1	1	1	1	0	1	740	5
1	1	1	1	1	0	1	1	0	1	1	1	1	1	0	1	760	5
1	1	1	1	1	0	1	0	0	1	1	1	0	1	1	1	780	5
1	1	1	1	1	0	1	1	0	1	1	1	0	1	0	1	800	5
1	1	1	1	1	0	1	0	0	1	1	1	1	1	0	1	820	5
1	1	1	1	1	0	1	1	0	1	1	1	1	1	1	1	840	5
1	1	1	1	1	0	1	0	1	1	0	1	1	1	1	1	860	5
1	1	1	1	1	0	1	1	1	1	1	1	1	1	0	1	880	5
1	1	1	1	1	0	1	0	1	1	1	1	1	1	0	1	900	5
1	1	1	1	1	0	1	1	0	1	1	1	1	1	0	1	920	5
1	1	1	1	1	0	1	0	0	1	1	1	1	1	0	1	940	5
1	1	1	1	1	0	1	0	1	1	1	1	1	1	0	1	960	5
1	1	1	1	1	0	1	0	0	1	1	1	1	1	1	1	980	5
1	1	1	1	1	0	1	1	0	1	1	1	1	1	0	1	1000	5
1	1	1	1	1	0	1	1	0	1	1	1	1	1	0	1	1020	5
1	1	1	1	1	0	1	0	1	1	1	1	1	1	0	1	1040	5
1	1	1	1	1	0	1	0	0	1	1	1	1	1	1	1	1060	5
1	1	1	1	1	0	1	1	0	1	0	1	0	1	0	1	1080	5
1	1	1	1	1	0	1	1	1	1	0	1	1	1	1	1	1100	5
1	1	1	1	1	0	1	0	0	1	1	1	0	1	1	1	0	6
1	1	1	1	1	0	1	0	0	1	0	1	1	1	1	1	20	6
1	1	0	1	1	0	1	0	0	1	1	1	1	1	1	1	40	6
1	1	0	1	1	0	1	0	1	1	1	0	0	1	0	1	60	6
1	1	1	1	1	0	0	1	0	1	1	0	1	0	1	1	80	6
1	1	0	1	1	0	0	1	0	1	1	0	0	0	0	1	100	6
1	1	1	1	1	0	0	1	0	1	1	0	1	0	0	1	120	6
1	1	0	1	1	0	0	0	0	1	1	0	1	0	0	1	140	6
1	1	0	1	1	0	0	0	1	1	1	0	0	0	0	1	160	6
1	1	0	1	1	0	0	0	0	1	1	0	0	0	0	1	180	6
1	1	0	1	1	0	0	1	1	1	1	0	1	0	0	1	200	6
1	1	1	1	1	0	0	1	0	1	1	0	1	0	1	1	220	6
1	1	0	1	1	0	0	0	0	1	1	0	0	0	0	1	240	6
1	1	0	1	1	0	0	1	0	1	1	0	1	0	1	1	260	6
1	1	1	1	1	0	0	0	1	1	1	0	1	0	1	1	280	6
1	1	1	1	1	0	0	1	0	1	1	0	0	0	0	1	300	6
1	1	0	1	1	0	0	0	1	1	1	0	1	0	1	1	320	6
1	1	0	1	1	0	0	0	0	1	1	0	1	0	0	1	340	6
1	1	0	1	1	0	0	1	0	1	1	0	1	0	0	1	360	6
1	1	0	1	1	0	0	0	0	1	1	0	1	0	0	1	380	6
1	1	0	1	1	0	0	0	0	1	1	0	0	0	0	1	400	6
1	1	0	1	1	0	0	1	1	1	1	0	0	0	0	1	420	6
1	1	1	1	1	0	0	1	1	1	1	0	1	0	0	1	440	6
1	1	0	1	1	0	0	0	1	1	1	0	1	0	0	1	460	6
1	1	0	1	1	0	0	0	1	1	0	0	1	0	0	1	480	6
1	1	0	1	1	0	0	0	0	1	0	0	1	0	1	1	500	6
1	1	1	1	1	0	0	0	0	1	1	0	1	0	0	1	520	6
1	1	0	1	1	0	0	0	0	1	1	0	1	0	0	1	540	6
1	1	0	1	1	0	0	0	0	1	1	0	1	0	0	1	560	6
1	1	1	1	1	0	0	0	1	1	0	0	1	1	1	1	580	6
