"Time"	narL	nikR	dcuR	caiF	modE	nikD	nikC	nikB	frdB	frdC	frdA	nikE	nikA	frdD	dcuB	ccmF
1040	0,7822981	0,5274148	0,4562294	0,3543632	1,0703117	0,2357763	0,6550995	0,4221771	0,2946674	1,0209146	0,1766880	0,0230603	0,0038973	0,3177532	0,1492648	0,3043884
1060	0,8029633	0,5300429	0,4089794	0,3601858	1,0185398	0,2488368	0,6848730	0,4195370	0,3160262	0,9677734	0,1929831	0,0188008	0,0025434	0,3123162	0,1663757	0,2775524
1080	0,8326459	0,5274277	0,4615792	0,3092892	0,9435353	0,2674289	0,7186183	0,3760587	0,3447969	0,9264908	0,1880254	0,0094916	0,0062210	0,3403194	0,1590207	0,3059464
1100	0,8412801	0,5463799	0,4550846	0,3405741	0,9589550	0,2624035	0,7392441	0,3183596	0,3412492	0,9779991	0,2152549	0,0161274	0,0096737	0,3275380	0,1650324	0,3040310

0	0,8360879	0,5986869	0,4247729	0,3078706	0,9601988	0,2401325	0,7407693	0,2975510	0,3355675	0,9680479	0,2224896	0,0389599	0,0019486	0,3154852	0,1214798	0,2543569
20	0,9693114	0,4637781	0,4454069	0,2727519	1,0097653	0,2690634	0,6816253	0,3415839	0,3549280	0,8820671	0,2119676	0,0320759	0,0078111	0,3253292	0,1529254	0,2326966
40	0,8488846	0,3760154	0,4089869	0,2779886	1,0027475	0,2568071	0,7387351	0,3890442	0,3308298	0,7152628	0,1764138	0,0322604	0,0077985	0,3200167	0,1727486	0,2179589
60	0,8802468	0,2655503	0,4158680	0,2808104	1,0281575	0,3598055	0,8071585	0,3899996	0,2989839	0,5493848	0,1495922	0,0277710	0,0062932	0,3054982	0,1294812	0,2468045
80	0,8233400	0,2159060	0,4731783	0,2638886	1,0200221	0,4193690	0,8540172	0,4481103	0,3228240	0,4040564	0,1177156	0,0331837	0,0031942	0,3521739	0,1362991	0,2637923
