"Time"	rstA	csgD	ompR	bolA	rcsB	csgE	csgG	csgF	sra	ompF	omrA	ampC	omrB	iraP	adrA	tppB
80	1,0000000	0,6828389	0,9224765	0,1797714	1,0000000	0,1372735	0,4737255	0,9991177	0,2328820	0,3052839	0,9377840	0,2550810	0,9514795	0,6049645	0,7014957	0,9817743
100	1,0000000	0,6827084	0,9069119	0,1852743	1,0000000	0,1338239	0,4737032	0,9991079	0,2747493	0,3075268	0,9353173	0,1853030	0,9575392	0,6050089	0,7016852	0,9814114
120	1,0000000	0,6825085	0,8953308	0,1912301	1,0000000	0,1300030	0,4736747	0,9990959	0,3084969	0,3101377	0,9326181	0,1351583	0,9615359	0,6050050	0,7017973	0,9810218
140	1,0000000	0,6822631	0,8870028	0,1970507	1,0000000	0,1261933	0,4736431	0,9990828	0,3348484	0,3128769	0,9299527	0,1001242	0,9640733	0,6049574	0,7018346	0,9806440
160	1,0000000	0,6819947	0,8811578	0,2023342	1,0000000	0,1226726	0,4736111	0,9990698	0,3549749	0,3155411	0,9275095	0,0760555	0,9656336	0,6048739	0,7018041	0,9803038
180	1,0000000	0,6817218	0,8771292	0,2068692	1,0000000	0,1196002	0,4735804	0,9990574	0,3701003	0,3179875	0,9253932	0,0596725	0,9665644	0,6047640	0,7017160	0,9800141
200	1,0000000	0,6814578	0,8743913	0,2105949	1,0000000	0,1170361	0,4735520	0,9990461	0,3813280	0,3201342	0,9236398	0,0485652	0,9671020	0,6046375	0,7015826	0,9797779
220	1,0000000	0,6812117	0,8725514	0,2135501	1,0000000	0,1149709	0,4735265	0,9990362	0,3895822	0,3219505	0,9222380	0,0410359	0,9674007	0,6045032	0,7014170	0,9795919
240	1,0000000	0,6809883	0,8713262	0,2158279	1,0000000	0,1133547	0,4735041	0,9990277	0,3956032	0,3234417	0,9211497	0,0359197	0,9675583	0,6043681	0,7012316	0,9794497
260	1,0000000	0,6807899	0,8705166	0,2175422	1,0000000	0,1121194	0,4734846	0,9990205	0,3999669	0,3246356	0,9203250	0,0324289	0,9676351	0,6042376	0,7010373	0,9793434
280	1,0000000	0,6806164	0,8699851	0,2188069	1,0000000	0,1111934	0,4734679	0,9990145	0,4031125	0,3255715	0,9197127	0,0300356	0,9676674	0,6041154	0,7008428	0,9792657
300	1,0000000	0,6804667	0,8696381	0,2197242	1,0000000	0,1105104	0,4734537	0,9990096	0,4053696	0,3262918	0,9192660	0,0283863	0,9676764	0,6040037	0,7006549	0,9792097
320	1,0000000	0,6803387	0,8694125	0,2203800	1,0000000	0,1100133	0,4734416	0,9990056	0,4069827	0,3268377	0,9189449	0,0272444	0,9676743	0,6039036	0,7004782	0,9791700
340	1,0000000	0,6802301	0,8692666	0,2208429	1,0000000	0,1096554	0,4734314	0,9990024	0,4081316	0,3272457	0,9187170	0,0264506	0,9676676	0,6038152	0,7003158	0,9791423
360	1,0000000	0,6801386	0,8691725	0,2211661	1,0000000	0,1094002	0,4734229	0,9989997	0,4089473	0,3275470	0,9185572	0,0258971	0,9676598	0,6037381	0,7001692	0,9791230
380	1,0000000	0,6800619	0,8691121	0,2213896	1,0000000	0,1092193	0,4734157	0,9989976	0,4095248	0,3277672	0,9184461	0,0255103	0,9676524	0,6036716	0,7000386	0,9791099
400	1,0000000	0,6799977	0,8690733	0,2215428	1,0000000	0,1090919	0,4734098	0,9989959	0,4099328	0,3279265	0,9183696	0,0252397	0,9676461	0,6036147	0,6999239	0,9791009
420	1,0000000	0,6799443	0,8690486	0,2216471	1,0000000	0,1090024	0,4734048	0,9989946	0,4102203	0,3280409	0,9183173	0,0250504	0,9676410	0,6035663	0,6998241	0,9790949
440	1,0000000	0,6798999	0,8690328	0,2217176	1,0000000	0,1089396	0,4734007	0,9989935	0,4104225	0,3281223	0,9182818	0,0249180	0,9676371	0,6035255	0,6997381	0,9790908
460	1,0000000	0,6798630	0,8690228	0,2217650	1,0000000	0,1088957	0,4733973	0,9989926	0,4105645	0,3281799	0,9182579	0,0248255	0,9676341	0,6034911	0,6996644	0,9790881
480	1,0000000	0,6798325	0,8690164	0,2217967	1,0000000	0,1088648	0,4733944	0,9989919	0,4106640	0,3282204	0,9182418	0,0247611	0,9676319	0,6034624	0,6996017	0,9790863
500	1,0000000	0,6798073	0,8690124	0,2218177	1,0000000	0,1088430	0,4733921	0,9989913	0,4107337	0,3282487	0,9182311	0,0247163	0,9676303	0,6034383	0,6995487	0,9790852
520	1,0000000	0,6797864	0,8690098	0,2218317	1,0000000	0,1088276	0,4733901	0,9989909	0,4107823	0,3282684	0,9182240	0,0246852	0,9676292	0,6034183	0,6995040	0,9790844
540	1,0000000	0,6797691	0,8690082	0,2218409	1,0000000	0,1088166	0,4733885	0,9989905	0,4108163	0,3282820	0,9182193	0,0246637	0,9676284	0,6034017	0,6994665	0,9790839
560	1,0000000	0,6797549	0,8690072	0,2218469	1,0000000	0,1088087	0,4733872	0,9989902	0,4108400	0,3282913	0,9182162	0,0246488	0,9676278	0,6033879	0,6994351	0,9790836
580	1,0000000	0,6797479	0,8807429	0,2216917	1,0000000	0,1088957	0,4733870	0,9989902	0,3874400	0,3282458	0,9182859	0,0693298	0,9589278	0,6033765	0,6994089	0,9790931
600	1,0000000	0,6797851	0,9034262	0,2202438	1,0000000	0,1097568	0,4733944	0,9989922	0,3391879	0,3277461	0,9189410	0,1523683	0,9442035	0,6033698	0,6993886	0,9791831
620	1,0000000	0,6799054	0,9266630	0,2166662	1,0000000	0,1119456	0,4734143	0,9989982	0,2859095	0,3264162	0,9205659	0,2346759	0,9313324	0,6033770	0,6993804	0,9794075
640	1,0000000	0,6801139	0,9465292	0,2112894	1,0000000	0,1153179	0,4734453	0,9990082	0,2366213	0,3242694	0,9230160	0,3044626	0,9221125	0,6034109	0,6993965	0,9797482
660	1,0000000	0,6803921	0,9620938	0,2049934	1,0000000	0,1193537	0,4734830	0,9990212	0,1947219	0,3215717	0,9258940	0,3610097	0,9162089	0,6034795	0,6994497	0,9801508
680	1,0000000	0,6807126	0,9736748	0,1986316	1,0000000	0,1235107	0,4735230	0,9990359	0,1608225	0,3186490	0,9288116	0,4069981	0,9127530	0,6035836	0,6995482	0,9805608
700	1,0000000	0,6810494	0,9820027	0,1927919	1,0000000	0,1273921	0,4735623	0,9990508	0,1342686	0,3157760	0,9314989	0,4453068	0,9109186	0,6037179	0,6996932	0,9809395
720	1,0000000	0,6813823	0,9878476	0,1877784	1,0000000	0,1307763	0,4735990	0,9990651	0,1139356	0,3131383	0,9338139	0,4780088	0,9100782	0,6038734	0,6998798	0,9812661
740	1,0000000	0,6816973	0,9918763	0,1836796	1,0000000	0,1335832	0,4736322	0,9990782	0,0986251	0,3108358	0,9357133	0,5063220	0,9098046	0,6040406	0,7000986	0,9815338
760	1,0000000	0,6819859	0,9946142	0,1804508	1,0000000	0,1358249	0,4736615	0,9990897	0,0872440	0,3089024	0,9372148	0,5308751	0,9098270	0,6042106	0,7003386	0,9817450
