"Time"	yoeB	yefM	alaS	mngB	mngR	mngA	artJ	argR	argB	artI	artQ	argA	artM	argC	argE	artP
1080	0,3779428	0,6662463	0,6220839	0,9721464	0,4870632	0,2044654	0,3354732	0,4046522	0,0141791	0,8993494	0,1412478	0,9725566	0,8873790	0,6356898	0,0111100	0,2881531
1100	0,3780821	0,6658836	0,6220839	0,9721517	0,4870583	0,2044309	0,3354621	0,4046523	0,0141791	0,8993456	0,1413079	0,9725550	0,8873727	0,6356833	0,0111101	0,2881526

0	0,3788135	0,6639576	0,6220837	0,9721122	0,4870598	0,2043728	0,3354537	0,4046523	0,0141792	0,8993254	0,1419514	0,9725366	0,8873374	0,6356632	0,0111116	0,2881520
20	0,3787792	0,6640485	0,5910475	0,9592178	0,4870596	0,2043718	0,3354479	0,4046523	0,0126145	0,8784297	0,1418425	0,9725408	0,8680828	0,6356654	0,0111111	0,2881519
40	0,3787517	0,6641214	0,5311857	0,9333284	0,4870597	0,2043712	0,3354438	0,4046523	0,0098807	0,8361537	0,1417598	0,9725438	0,8292983	0,6356669	0,0111108	0,2881518
60	0,3787297	0,6641798	0,4721038	0,9054778	0,4870599	0,2043708	0,3354407	0,4046523	0,0073784	0,7905658	0,1416970	0,9725459	0,7875576	0,6356679	0,0111106	0,2881517
80	0,3787120	0,6642265	0,4251619	0,8802656	0,4870600	0,2043706	0,3354385	0,4046523	0,0054696	0,7494864	0,1416493	0,9725474	0,7498989	0,6356686	0,0111105	0,2881517
100	0,3786978	0,6642639	0,3920765	0,8591858	0,4870601	0,2043704	0,3354369	0,4046523	0,0041358	0,7155365	0,1416131	0,9725485	0,7186370	0,6356690	0,0111104	0,2881517
120	0,3786864	0,6642939	0,3706040	0,8423221	0,4870601	0,2043703	0,3354358	0,4046523	0,0032508	0,6888713	0,1415856	0,9725493	0,6938949	0,6356693	0,0111104	0,2881517
140	0,3786772	0,6643179	0,3575822	0,8291910	0,4870600	0,2043702	0,3354349	0,4046523	0,0026834	0,6686176	0,1415648	0,9725498	0,6748990	0,6356695	0,0111103	0,2881517
160	0,3786699	0,6643371	0,3501958	0,8191440	0,4870600	0,2043702	0,3354343	0,4046523	0,0023282	0,6535931	0,1415490	0,9725502	0,6606125	0,6356697	0,0111103	0,2881517
180	0,3786640	0,6643526	0,3463246	0,8115468	0,4870600	0,2043701	0,3354339	0,4046523	0,0021099	0,6426414	0,1415370	0,9725505	0,6500238	0,6356698	0,0111103	0,2881517
200	0,3786593	0,6643649	0,3445155	0,8058486	0,4870600	0,2043701	0,3354336	0,4046523	0,0019776	0,6347652	0,1415280	0,9725507	0,6422592	0,6356698	0,0111103	0,2881517
220	0,3786556	0,6643748	0,3438364	0,8015991	0,4870600	0,2043701	0,3354333	0,4046523	0,0018983	0,6291609	0,1415211	0,9725508	0,6366107	0,6356699	0,0111103	0,2881517
240	0,3786526	0,6643828	0,3437238	0,7984427	0,4870600	0,2043701	0,3354332	0,4046523	0,0018512	0,6252072	0,1415159	0,9725509	0,6325265	0,6356699	0,0111103	0,2881517
260	0,3786501	0,6643891	0,3438569	0,7961051	0,4870600	0,2043701	0,3354330	0,4046523	0,0018234	0,6224377	0,1415120	0,9725510	0,6295870	0,6356699	0,0111103	0,2881517
280	0,3786482	0,6643942	0,3440659	0,7943775	0,4870600	0,2043701	0,3354329	0,4046523	0,0018072	0,6205090	0,1415090	0,9725511	0,6274790	0,6356699	0,0111103	0,2881517
300	0,3786466	0,6643983	0,3442701	0,7931026	0,4870600	0,2043701	0,3354329	0,4046523	0,0017977	0,6191726	0,1415068	0,9725511	0,6259716	0,6356699	0,0111103	0,2881517
320	0,3786454	0,6644016	0,3444380	0,7921628	0,4870600	0,2043701	0,3354328	0,4046523	0,0017922	0,6182504	0,1415051	0,9725511	0,6248960	0,6356699	0,0111103	0,2881517
340	0,3786444	0,6644042	0,3445632	0,7914706	0,4870600	0,2043701	0,3354328	0,4046523	0,0017890	0,6176164	0,1415038	0,9725511	0,6241299	0,6356699	0,0111103	0,2881517
360	0,3786436	0,6644063	0,3446501	0,7909611	0,4870600	0,2043701	0,3354328	0,4046523	0,0017872	0,6171819	0,1415028	0,9725512	0,6235850	0,6356699	0,0111103	0,2881517
380	0,3786430	0,6644080	0,3447072	0,7905862	0,4870600	0,2043701	0,3354328	0,4046523	0,0017862	0,6168849	0,1415021	0,9725512	0,6231979	0,6356699	0,0111103	0,2881517
400	0,3786424	0,6644093	0,3447427	0,7903104	0,4870600	0,2043701	0,3354327	0,4046523	0,0017856	0,6166825	0,1415016	0,9725512	0,6229231	0,6356699	0,0111103	0,2881517
420	0,3786420	0,6644104	0,3447636	0,7901075	0,4870600	0,2043701	0,3354327	0,4046523	0,0017852	0,6165447	0,1415011	0,9725512	0,6227281	0,6356699	0,0111103	0,2881517
440	0,3786417	0,6644113	0,3447751	0,7899584	0,4870600	0,2043701	0,3354327	0,4046523	0,0017850	0,6164511	0,1415008	0,9725512	0,6225899	0,6356699	0,0111103	0,2881517
460	0,3786414	0,6644120	0,3447809	0,7898488	0,4870600	0,2043701	0,3354327	0,4046523	0,0017849	0,6163877	0,1415006	0,9725512	0,6224920	0,6356699	0,0111103	0,2881517
480	0,3786412	0,6644125	0,3447835	0,7897681	0,4870600	0,2043701	0,3354327	0,4046523	0,0017849	0,6163448	0,1415004	0,9725512	0,6224226	0,6356699	0,0111103	0,2881517
500	0,3786411	0,6644130	0,3447843	0,7897089	0,4870600	0,2043701	0,3354327	0,4046523	0,0017848	0,6163157	0,1415003	0,9725512	0,6223735	0,6356699	0,0111103	0,2881517
520	0,3786409	0,6644133	0,3447843	0,7896653	0,4870600	0,2043701	0,3354327	0,4046523	0,0017848	0,6162961	0,1415002	0,9725512	0,6223387	0,6356699	0,0111103	0,2881517
540	0,3786408	0,6644136	0,3447840	0,7896333	0,4870600	0,2043701	0,3354327	0,4046523	0,0017848	0,6162829	0,1415001	0,9725512	0,6223140	0,6356699	0,0111103	0,2881517
