"Time"	deoR	nupG	cytR	crp	rhaR	tsx	deoC	deoA	deoB	deoD	udp	ppiA	cdd	nupC	rpoH	glgP
240	1,0000000	0,4164950	0,6247446	0,1194885	0,1521582	0,7749919	0,0792093	0,6901292	0,7000269	0,4063743	0,8464851	0,0194118	0,1902804	0,2734909	0,4124224	0,0330838
260	1,0000000	0,4164950	0,6247446	0,1194885	0,1521454	0,7749919	0,0624804	0,6901292	0,7000270	0,4063739	0,8464851	0,0167453	0,1882871	0,2734909	0,4124164	0,0330837
280	1,0000000	0,4164950	0,6247446	0,1194885	0,1521348	0,7749918	0,0498173	0,6901292	0,7000271	0,4063736	0,8464851	0,0149323	0,1869537	0,2734909	0,4124120	0,0330837
300	1,0000000	0,4164950	0,6247446	0,1194885	0,1521260	0,7749918	0,0402844	0,6901292	0,7000271	0,4063734	0,8464851	0,0137026	0,1860660	0,2734909	0,4124087	0,0330836
320	1,0000000	0,4164950	0,6247446	0,1194885	0,1521189	0,7749918	0,0331422	0,6901292	0,7000271	0,4063733	0,8464851	0,0128700	0,1854776	0,2734909	0,4124062	0,0330836
340	1,0000000	0,4164950	0,6247446	0,1194885	0,1521130	0,7749918	0,0278134	0,6901292	0,7000271	0,4063732	0,8464851	0,0123070	0,1850890	0,2734909	0,4124044	0,0330836
360	1,0000000	0,4164950	0,6247446	0,1194885	0,1521081	0,7749918	0,0238522	0,6901292	0,7000272	0,4063731	0,8464851	0,0119268	0,1848330	0,2734909	0,4124030	0,0330835
380	1,0000000	0,4164950	0,6247446	0,1194885	0,1521041	0,7749918	0,0209172	0,6901292	0,7000272	0,4063730	0,8464851	0,0116703	0,1846649	0,2734909	0,4124020	0,0330835
400	1,0000000	0,4164950	0,6247446	0,1194885	0,1521008	0,7749918	0,0187489	0,6901292	0,7000272	0,4063730	0,8464851	0,0114973	0,1845548	0,2734909	0,4124013	0,0330835
420	1,0000000	0,4164950	0,6247446	0,1194885	0,1520980	0,7749918	0,0171512	0,6901292	0,7000272	0,4063730	0,8464851	0,0113807	0,1844828	0,2734909	0,4124007	0,0330835
440	1,0000000	0,4164950	0,6247446	0,1194885	0,1520958	0,7749918	0,0159768	0,6901292	0,7000272	0,4063729	0,8464851	0,0113021	0,1844358	0,2734909	0,4124003	0,0330835
460	1,0000000	0,4164950	0,6247446	0,1194885	0,1520940	0,7749918	0,0151153	0,6901292	0,7000272	0,4063729	0,8464851	0,0112492	0,1844051	0,2734909	0,4124000	0,0330835
480	1,0000000	0,4164950	0,6247446	0,1194885	0,1520924	0,7749918	0,0144847	0,6901292	0,7000272	0,4063729	0,8464851	0,0112136	0,1843852	0,2734909	0,4123998	0,0330835
500	1,0000000	0,4164950	0,6247446	0,1194885	0,1520912	0,7749918	0,0140239	0,6901292	0,7000272	0,4063729	0,8464851	0,0111896	0,1843723	0,2734909	0,4123996	0,0330835
520	1,0000000	0,4164950	0,6247446	0,1194885	0,1520902	0,7749918	0,0136877	0,6901292	0,7000272	0,4063729	0,8464851	0,0111734	0,1843639	0,2734909	0,4123995	0,0330835
