"Time"	hns	cspA	bolA	stpA	bglJ	bglB	bglG	bglF	cspD	proW	gspB	yjjP	proV	gspO	mukE	yciE
0	0,4274653	0,8335238	0,0434027	0,2000449	0,4209517	0,1659623	0,6326655	0,5552456	0,4882227	0,3564568	0,1135474	0,3741605	0,1737775	0,3674913	0,4925502	0,3967675
20	0,5560801	0,6692420	0,0973623	0,2301321	0,5556514	0,1818457	0,5480165	0,3903254	0,6600015	0,4142994	0,0664497	0,5079784	0,2158533	0,3397864	0,3798182	0,3763850
40	0,6569512	0,5377468	0,0509871	0,1720308	0,5775085	0,1202704	0,6156382	0,4739949	0,6892044	0,5199120	0,0506247	0,4663790	0,2684648	0,3354183	0,4278407	0,3942507
60	0,5468935	0,4687186	0,1150006	0,2354671	0,6082319	0,1295297	0,5573837	0,3166477	0,6570496	0,3326338	0,0604023	0,4137913	0,3403363	0,3868301	0,4499763	0,3814108
80	0,5768020	0,2649030	0,0465225	0,2065628	0,6219978	0,1430309	0,6397908	0,4465255	0,7811292	0,5042469	0,0714423	0,3792862	0,2446778	0,3299251	0,5226123	0,3679694
100	0,5804753	0,1677657	0,1166603	0,1572683	0,4972476	0,0846913	0,6778721	0,4175000	0,7922682	0,4174318	0,0649825	0,4049975	0,2251348	0,2570303	0,4694343	0,3942768
120	0,5631428	0,1461452	0,0733870	0,1875910	0,4537681	0,0940063	0,6104459	0,4303281	0,7559410	0,3430141	0,0620846	0,4205776	0,2704629	0,3409409	0,4880503	0,3607308
140	0,5277693	0,1026855	0,0497561	0,2416038	0,4769237	0,0918298	0,7443101	0,5177010	0,7108918	0,4509468	0,1162607	0,3995475	0,1831728	0,2862289	0,4138418	0,3942184
160	0,3913840	0,0740226	0,0308197	0,2350037	0,4244078	0,1092436	0,5542083	0,4836446	0,5713144	0,4595773	0,0925294	0,3534439	0,2562793	0,3773727	0,4351713	0,4428129
180	0,3547232	0,0287158	0,0765283	0,2128146	0,5810001	0,1506707	0,6848657	0,4918314	0,7543720	0,3646440	0,1065263	0,4572223	0,1954187	0,3536862	0,4658549	0,3744864
200	0,3961027	0,0502444	0,0489324	0,1492455	0,5182219	0,1554764	0,5846568	0,4610678	0,6706691	0,4113937	0,1047853	0,4438207	0,3113361	0,3229357	0,5279154	0,3653048
220	0,4485526	0,0590247	0,0758873	0,2158331	0,7198024	0,1498749	0,6905244	0,4517842	0,6485554	0,3435844	0,0671824	0,4664569	0,2922530	0,4193226	0,3805387	0,4502709
240	0,3583145	0,0212422	0,0760953	0,1549927	0,5555152	0,1224825	0,6309573	0,4121747	0,5756264	0,4410418	0,0851016	0,4826530	0,5386285	0,4849595	0,4880745	0,4602649
260	0,3851596	0,0321368	0,0498339	0,1980578	0,6407396	0,1635094	0,6599368	0,5571315	0,6706078	0,3462283	0,0877951	0,4871639	0,2309103	0,5259166	0,4893850	0,3618088
280	0,4216235	0,0301134	0,0519556	0,1758826	0,7214870	0,1519193	0,6029177	0,4452239	0,7532002	0,3437509	0,1183514	0,4457812	0,3612864	0,5403509	0,4677637	0,5023111
300	0,3981356	0,0411393	0,0823462	0,2362836	0,6188336	0,1353942	0,5619318	0,4104313	0,6557538	0,4459906	0,0730465	0,6029824	0,3644626	0,5849693	0,4675730	0,5200797
320	0,2869318	0,0278987	0,0772479	0,1954910	0,6569990	0,1514864	0,6063878	0,4495945	0,5888805	0,4302341	0,1632945	0,5785358	0,3707990	0,5893228	0,4990003	0,4787200
340	0,5051313	0,0382455	0,1491579	0,2110433	0,6839126	0,1238119	0,5250921	0,4383469	0,6654817	0,4479115	0,1371900	0,5657298	0,4217892	0,5444301	0,4407851	0,5423507
360	0,3999815	0,0316259	0,0760849	0,1872754	0,7675525	0,1802326	0,5924578	0,4152921	0,6573893	0,5630468	0,1736153	0,5609404	0,3489481	0,6676233	0,3771592	0,5585710
380	0,3725124	0,0190585	0,0913837	0,2064813	0,6922716	0,1273853	0,7300223	0,4391801	0,6477725	0,4696791	0,1015713	0,5148011	0,4436499	0,6081247	0,4323004	0,5556885
400	0,3297797	0,0240336	0,0666295	0,2313213	0,5834546	0,1265322	0,5907648	0,6153266	0,6277499	0,5300328	0,0987239	0,4551041	0,4018200	0,5685407	0,3872972	0,5191950
420	0,2975652	0,0116007	0,0844409	0,1385685	0,7740086	0,1942160	0,6154466	0,6291250	0,6728745	0,5082611	0,1285484	0,4534994	0,4375036	0,5086629	0,4425296	0,5549001
440	0,2845982	0,0051100	0,0714154	0,2091562	0,8536085	0,1442162	0,6140550	0,4914080	0,6604691	0,6071162	0,1150056	0,5098888	0,4987611	0,5912190	0,3382745	0,5300895
460	0,5046007	0,0292553	0,0718952	0,1578063	0,7919417	0,1684809	0,6064939	0,4608259	0,5096925	0,5392020	0,1654961	0,4619806	0,4805072	0,5572946	0,3697648	0,5292673
480	0,3806900	0,0389342	0,0723628	0,1673178	0,7583368	0,1119141	0,6390585	0,4378230	0,5154318	0,5481626	0,1593822	0,5646255	0,4383041	0,5006119	0,3500358	0,4469215
500	0,4011534	0,0270137	0,1322829	0,1579763	0,6066554	0,2103588	0,7046997	0,5488397	0,5059152	0,7470046	0,1740538	0,6415997	0,3893868	0,6340813	0,4003669	0,5064692
520	0,4038274	0,0425248	0,1320196	0,2112908	0,6640736	0,1365850	0,6728197	0,5092026	0,6581200	0,6235523	0,1879937	0,5545981	0,4159316	0,6110372	0,4016084	0,4164220
540	0,2850267	0,0178196	0,0444251	0,1522637	0,8150518	0,1965850	0,7269541	0,5689668	0,6986615	0,7451325	0,1384891	0,4799400	0,4985454	0,5945769	0,3593029	0,5255280
560	0,2871174	0,0277916	0,0600846	0,2349132	0,7408528	0,1709748	0,6537804	0,5273300	0,5684058	0,6623409	0,0868396	0,6116699	0,4080347	0,6135919	0,3090852	0,5025159
580	0,4332767	0,0956563	0,1407439	0,2076561	0,6581899	0,1282444	0,6570692	0,5522035	0,7269418	0,6401185	0,2124191	0,5795792	0,4460050	0,5486177	0,3333017	0,5121786
600	0,3644405	0,1963740	0,0625537	0,2267881	0,6724662	0,1388958	0,7447145	0,5705462	0,6333553	0,6123197	0,1442600	0,5452935	0,3851833	0,4834113	0,4196383	0,5578355
620	0,4058379	0,3290599	0,0856719	0,2155984	0,6365970	0,1569104	0,5661281	0,3820235	0,7405010	0,6388835	0,1217433	0,5217648	0,4016442	0,4591334	0,4189402	0,5642637
640	0,3740148	0,3426900	0,0575030	0,1666115	0,6501304	0,1271923	0,6612076	0,4570428	0,5788163	0,5997427	0,1730523	0,5096841	0,4812745	0,4888980	0,3971073	0,5527543
