"Time"	hns	cspA	bolA	stpA	bglJ	bglB	bglG	bglF	cspD	proW	gspB	yjjP	proV	gspO	mukE	yciE
420	0,5099626	0,0266290	0,1222955	0,2828161	0,9756753	0,2423196	0,8381089	0,6859250	0,8133065	0,7883632	0,2064271	0,7626931	0,5997076	0,8216922	0,5042152	0,7176447
440	0,5464367	0,0252801	0,1275069	0,2932304	0,9750627	0,2636466	0,8956774	0,7466750	0,8482438	0,8342916	0,2098200	0,7503149	0,5995795	0,8675820	0,4714957	0,7366944
460	0,4965698	0,0325443	0,1211829	0,2884628	1,0206894	0,2395041	0,9032206	0,6633415	0,9120385	0,8282439	0,2436727	0,7643820	0,6187060	0,8838875	0,5260058	0,7019577
480	0,5067742	0,0453040	0,1230805	0,2862890	1,0045900	0,2512934	0,9774940	0,6604944	0,9255799	0,8575710	0,2189586	0,7230584	0,5916466	0,8262541	0,5687396	0,6936556
500	0,5259921	0,0310637	0,1325615	0,2749601	0,9822480	0,2279291	0,9359160	0,6842277	0,9632109	0,8289900	0,2036688	0,7114100	0,5936753	0,7707713	0,5453042	0,6665602
520	0,5180756	0,0326306	0,1066164	0,2424987	0,9267883	0,2057236	0,9047998	0,6611660	1,0192486	0,8308393	0,2404134	0,7131200	0,6018832	0,7708985	0,5634317	0,6870607
540	0,5025662	0,0341706	0,0866324	0,2507682	0,8492312	0,2275064	0,8627558	0,7260657	0,9687498	0,7813972	0,1996732	0,7289184	0,5819273	0,7516971	0,4909254	0,7025150
560	0,4974290	0,0321968	0,1100504	0,2679380	0,9779453	0,2243761	0,8434750	0,7476118	0,9348970	0,8397366	0,2212022	0,7860425	0,5933078	0,7465864	0,5394629	0,7206932
580	0,5292423	0,4383998	0,1117949	0,2690976	0,8611874	0,2466020	0,8799071	0,7266717	0,8779462	0,8487752	0,1641334	0,8296859	0,6124502	0,7268116	0,5821312	0,7188573
600	0,5761061	0,6553220	0,1162341	0,2686024	0,9133603	0,2072098	0,8901313	0,6908543	0,8732951	0,7913438	0,1605978	0,7658513	0,6164578	0,6693354	0,5937448	0,6928484
620	0,6488096	0,8587243	0,1286324	0,2135268	0,9492229	0,2112909	0,9320915	0,7162681	0,8409882	0,7435681	0,1764094	0,6864650	0,6161051	0,7306411	0,5686429	0,6559731
640	0,6769123	0,8436454	0,1355349	0,2443948	0,8501258	0,2082702	0,8898525	0,6480211	0,7904092	0,7584603	0,2089859	0,7032691	0,6320855	0,7187923	0,5395749	0,6933593
660	0,6931083	0,9656859	0,1173671	0,2915812	0,8620741	0,2507045	0,8682013	0,7322985	0,7373856	0,7338192	0,1904266	0,7304817	0,6502986	0,6805432	0,5563417	0,6739850
680	0,7454983	0,9932044	0,1060076	0,2583167	0,8986973	0,2053505	0,8858716	0,7484362	0,7013509	0,7208849	0,1954193	0,6917851	0,5343077	0,5990050	0,6055370	0,6442677
700	0,7748082	0,9666485	0,1213502	0,2732954	0,8373592	0,1877446	0,9189331	0,6540066	0,6759974	0,6800684	0,1327838	0,6126969	0,5108820	0,5598995	0,6158791	0,5933739
720	0,7187173	0,9076635	0,1012949	0,2809395	0,7363123	0,2117011	0,8810759	0,6861067	0,7820104	0,6817675	0,1305023	0,5745064	0,4423078	0,5395913	0,5517889	0,5307524
740	0,7456898	0,9360635	0,0843834	0,2962722	0,7555550	0,2389099	0,8471418	0,6019773	0,7875597	0,6530232	0,1235309	0,6072553	0,4516340	0,5028746	0,6197606	0,5181266
760	0,7159542	0,8544999	0,0940345	0,2894759	0,5896321	0,2166351	0,8389491	0,6341606	0,8122374	0,5545523	0,1370610	0,5833956	0,3857536	0,5030625	0,6807981	0,4908865
780	0,7111781	0,8945750	0,0696403	0,2711700	0,5650157	0,2043007	0,8102561	0,5693995	0,7639636	0,5417346	0,1410909	0,6092019	0,3772298	0,4806603	0,7218207	0,5040326
800	0,6978718	0,9076410	0,0740051	0,2666194	0,7225052	0,2087178	0,7703835	0,6157571	0,8122018	0,5356068	0,1272797	0,6038050	0,3304151	0,5454460	0,7065989	0,5072205
820	0,6717407	0,9912465	0,0745438	0,3215321	0,7623136	0,2104502	0,7679763	0,7159485	0,8423260	0,6041127	0,1150895	0,6314549	0,3631692	0,4968475	0,7610403	0,5427885
840	0,6803240	0,9669596	0,0700845	0,2956650	0,7093485	0,2187016	0,7693316	0,6453468	0,8395170	0,6514630	0,1408955	0,5854653	0,3864205	0,4817747	0,7867956	0,4741336
860	0,6841732	0,9439811	0,0738930	0,3030665	0,7091575	0,2120203	0,7460842	0,6007982	0,8364747	0,6279286	0,1184569	0,4966363	0,3631774	0,3452308	0,7146607	0,4573876
880	0,6713620	0,9352693	0,0515838	0,2594789	0,6743833	0,2203933	0,7667937	0,5541311	0,8276738	0,5994513	0,1306495	0,5796133	0,4124143	0,4291843	0,6554826	0,4642359
900	0,6138899	1,0139941	0,0737083	0,2796270	0,7227308	0,2225275	0,7948297	0,5056502	0,8138077	0,5517571	0,1250925	0,5337826	0,3728819	0,3991539	0,6214876	0,5037944
920	0,6453086	0,9871706	0,0752016	0,2750434	0,7127271	0,2398332	0,8191947	0,6160822	0,8534555	0,5316984	0,1143022	0,5299997	0,3485209	0,4599251	0,6503875	0,4781860
940	0,6741777	1,0639331	0,0599999	0,2866521	0,5954365	0,2425906	0,8205305	0,7037872	0,8977186	0,4933733	0,1382751	0,5509077	0,3454884	0,4647309	0,6217383	0,4753682
960	0,6959473	1,0375784	0,0607367	0,2319967	0,6805289	0,2135674	0,8328990	0,7123722	0,8791560	0,5195095	0,1206378	0,5841866	0,3380672	0,5115737	0,6029759	0,4833690
980	0,7231130	0,9203060	0,0618040	0,2640268	0,6717305	0,2073713	0,7803264	0,6646467	0,8591350	0,5507821	0,1279397	0,5728212	0,2983501	0,5014027	0,5962589	0,5197626
1000	0,7665780	0,9460011	0,0508666	0,2785289	0,6493114	0,2077978	0,7853424	0,6234814	0,8135315	0,5491234	0,1265226	0,5453408	0,3492795	0,4145738	0,7160481	0,5584301
1020	0,7786984	0,9135576	0,0644492	0,3249810	0,6490721	0,2195251	0,7706786	0,6134002	0,8329056	0,5270687	0,1499403	0,5855876	0,3574611	0,4373314	0,7202090	0,5458770
1040	0,7387022	0,9575046	0,0665948	0,2952892	0,6680592	0,2155267	0,7812472	0,6345212	0,8709459	0,5453196	0,1425418	0,5756876	0,3893854	0,4920055	0,6968955	0,4816516
1060	0,7499006	1,0087257	0,0571043	0,2804870	0,6804287	0,2205227	0,8391260	0,6545506	0,8629075	0,5200185	0,1438842	0,5403324	0,3557447	0,4958140	0,6739113	0,4961258
1080	0,7368029	1,0087269	0,0575218	0,2965600	0,5341609	0,2008725	0,8246102	0,6237258	0,8355925	0,5033801	0,1170360	0,5489651	0,4002573	0,4491045	0,6844229	0,4925011
1100	0,7178066	1,0393719	0,0544309	0,2687332	0,6342466	0,1717863	0,8008468	0,5651628	0,7974619	0,5346146	0,1094666	0,4644438	0,3983752	0,4294234	0,6496710	0,5049402

0	0,7499971	1,0703927	0,0832195	0,2748605	0,6641118	0,1756837	0,8432911	0,6525918	0,8548055	0,5404004	0,1141584	0,5636655	0,3943092	0,4479596	0,6463446	0,4656693
20	0,5788560	0,9774520	0,0899043	0,1936446	0,4989116	0,1554882	0,8124913	0,6535554	0,8078975	0,4471196	0,0559657	0,5422437	0,2925852	0,4078314	0,6654236	0,3138791
