"Time"	deoR	nupG	cytR	crp	rhaR	tsx	deoC	deoA	deoB	deoD	udp	ppiA	cdd	nupC	rpoH	glgP
140	0,5160759	0,2957157	0,3719321	0,0679152	0,5550760	0,6470693	0,7506017	0,1114247	0,2253318	0,2485506	0,6619241	0,2034861	0,3405532	0,5619788	0,2590669	0,0323148
160	0,4460641	0,3203708	0,4006894	0,1003394	0,6151918	0,5778095	0,7214381	0,0694124	0,3076190	0,2392354	0,5066421	0,2865319	0,3687579	0,4053723	0,3462866	0,0599765
180	0,3851386	0,2834506	0,3942711	0,0931199	0,5856079	0,6268376	0,7261203	0,0533733	0,2848576	0,2917424	0,5474939	0,2526522	0,3399160	0,5941557	0,2418176	0,0387914
200	0,4034558	0,2800178	0,4251552	0,0776063	0,5050069	0,5769749	0,8140296	0,0660245	0,3163617	0,4359870	0,6486152	0,3862527	0,3596808	0,5502811	0,3251369	0,0212558
220	0,3787129	0,3458836	0,5457770	0,0821736	0,6374273	0,6089223	0,7535001	0,0654922	0,2917428	0,2987686	0,7274130	0,2278965	0,4105211	0,5422346	0,3016026	0,0224613
240	0,5109339	0,3765757	0,6029255	0,0853699	0,5557712	0,6226266	0,7085140	0,0510908	0,3936948	0,2840107	0,6041140	0,3075689	0,3953320	0,5838979	0,3021508	0,0179535
260	0,3381204	0,3019099	0,5983358	0,0685181	0,5634096	0,6143402	0,8803006	0,0874092	0,3460623	0,2418292	0,6096057	0,3656647	0,3883315	0,4771896	0,3697968	0,0303250
280	0,3082652	0,2832156	0,4898876	0,0508087	0,5443184	0,5349909	0,8591312	0,0816094	0,3313604	0,2116445	0,7021321	0,2728441	0,3951816	0,5286693	0,3564881	0,0274606
300	0,3367634	0,2473239	0,4715633	0,0833911	0,5223744	0,6042358	0,7674915	0,0613790	0,3954423	0,3339464	0,5182481	0,3036026	0,3283115	0,5481943	0,2434208	0,0318827
320	0,4442782	0,3268458	0,4375068	0,1685802	0,5758985	0,5297114	0,7537620	0,0495696	0,2824465	0,3697877	0,5836710	0,2950198	0,3702139	0,4482063	0,2444401	0,0172321
340	0,2965813	0,2827448	0,5474407	0,0921669	0,6370333	0,7867739	0,9182306	0,0708327	0,3850642	0,2720377	0,6212318	0,3206835	0,3552045	0,4958855	0,2861077	0,0366724
360	0,3539570	0,2940849	0,4130736	0,1132375	0,5008638	0,6872346	0,7439064	0,0339875	0,2897240	0,2448514	0,5841982	0,3253375	0,3540688	0,4661001	0,4387201	0,0175551
380	0,2813059	0,2598422	0,4338302	0,0740530	0,5971294	0,5261309	0,7769530	0,0936727	0,3124026	0,3019447	0,7629632	0,3176885	0,3086854	0,4741261	0,2936639	0,0169819
400	0,4127802	0,2676135	0,4302251	0,1290260	0,7004606	0,6423171	0,7451972	0,0396970	0,2894248	0,2252421	0,5988156	0,2978986	0,3061753	0,3937387	0,3252179	0,0272185
420	0,3553356	0,3107189	0,4584640	0,0905208	0,7157777	0,6113336	0,7465129	0,0665326	0,2855414	0,2843171	0,5963360	0,2628902	0,3438687	0,4656717	0,3080182	0,0238476
440	0,3509311	0,2753208	0,4773558	0,0915083	0,7675378	0,6192076	0,7668637	0,0551456	0,4257664	0,2770388	0,6800975	0,3596758	0,3127138	0,5193958	0,2981922	0,0174749
460	0,2674168	0,3146251	0,4080100	0,0784648	0,5866780	0,5443245	0,6094450	0,0989603	0,2703679	0,3636293	0,5416605	0,3786544	0,2735115	0,5405027	0,3258296	0,0230642
480	0,4038718	0,3388162	0,6854919	0,0793031	0,5985622	0,5374089	0,7629088	0,0541696	0,2624135	0,3364200	0,6610493	0,2903219	0,3580040	0,5017242	0,2554678	0,0153780
500	0,2915878	0,3244054	0,5019850	0,0790544	0,5965873	0,5829141	0,6437866	0,0812029	0,3037160	0,3925637	0,6895808	0,2155839	0,3535983	0,5059052	0,2670323	0,0329148
520	0,3664423	0,3003687	0,5350380	0,0585778	0,8188678	0,5563541	0,6796664	0,0576309	0,3099596	0,3371307	0,6491938	0,2341753	0,3194374	0,5615441	0,2811574	0,0439719
540	0,3650777	0,3409164	0,4946685	0,1185909	0,7562437	0,5760141	0,6695842	0,0611769	0,2398055	0,3657045	0,5845778	0,2948036	0,2954273	0,4644288	0,2187473	0,0273430
560	0,3484624	0,2726844	0,4511042	0,0929516	0,5997787	0,5550704	0,8263112	0,0320857	0,3911425	0,3247487	0,6334709	0,2700349	0,3178659	0,5467849	0,2514022	0,0149026
580	0,4365582	0,3642945	0,4358770	0,0993041	0,7634688	0,5943218	0,7668351	0,1365509	0,3759282	0,2895493	0,5973755	0,2186159	0,3266031	0,5572765	0,2391849	0,0214742
600	0,3967498	0,2250547	0,4361264	0,0793886	0,6724538	0,4465857	0,7155969	0,2118812	0,5487968	0,2326845	0,5087196	0,2832629	0,3763227	0,3590419	0,1842246	0,0371631
