"Time"	hipA	hipB	ihfB	yeiL	tdcA	tdcF	tdcG	tdcE	tdcC	tdcD	tdcB	hemF	amiA	ibpB	uspB	ecpD
280	0,7189089	0,3821178	0,3469254	0,6487403	0,6877126	0,2535813	0,6776546	0,6009670	0,6455756	1,0316466	0,7614056	0,1225276	0,7311591	0,2508745	0,7390131	0,2895514
300	0,6844080	0,3375658	0,3349035	0,6371402	0,6955052	0,2202847	0,7259289	0,6055298	0,5924478	1,0536103	0,7409475	0,1269039	0,6788312	0,2467460	0,7102703	0,2879872
320	0,6907615	0,4068054	0,2548192	0,6171103	0,7282584	0,2173980	0,7517702	0,6249252	0,5888594	1,0438220	0,7477022	0,1389343	0,7272512	0,2570099	0,7053422	0,2916220
340	0,7003272	0,3246651	0,3179938	0,6178092	0,7248028	0,2115323	0,7928729	0,6317460	0,6276894	1,0584088	0,7635852	0,1548613	0,7530282	0,2846019	0,6879485	0,2920214
360	0,6558731	0,3154240	0,4124034	0,5762579	0,7478989	0,2165010	0,7569443	0,6103869	0,6655982	1,0189547	0,7465029	0,1754624	0,7784539	0,3038253	0,7075754	0,2601259
380	0,6985449	0,3175584	0,3903071	0,6190861	0,7516355	0,1953233	0,7203051	0,5901016	0,6460067	0,9919005	0,7969339	0,1712030	0,7955949	0,2932978	0,7675343	0,2713925
400	0,7349464	0,3329299	0,3258351	0,6337256	0,7383776	0,2700948	0,7465172	0,5783150	0,6647138	0,9754962	0,7440348	0,1380079	0,7743403	0,3073269	0,7280065	0,3029848
420	0,7224126	0,3502029	0,2806079	0,6355855	0,7064888	0,2206640	0,7514020	0,5675362	0,6497879	0,9891593	0,7143053	0,1237410	0,7546707	0,2993409	0,7563565	0,2790181
440	0,6704968	0,3000447	0,3906314	0,6187288	0,6984370	0,1996713	0,7998250	0,5657652	0,5759440	0,9970103	0,7539604	0,1445853	0,7775503	0,2770720	0,7933553	0,2703957
460	0,6801333	0,2748502	0,3854619	0,5713641	0,6754145	0,1765283	0,8089155	0,4833846	0,5856833	0,9341835	0,7805572	0,1979610	0,7676816	0,2459676	0,7969680	0,2608820
480	0,6895691	0,2575285	0,3691745	0,5802529	0,6458763	0,1878300	0,8184142	0,5349756	0,5863388	0,9834275	0,7033182	0,2033026	0,7317266	0,2338297	0,8325781	0,2505310
500	0,7392874	0,2732531	0,3543131	0,5761202	0,6779422	0,2233709	0,7880125	0,5197084	0,5610018	0,9429166	0,7288231	0,2073924	0,7662485	0,2595612	0,8258169	0,2531520
520	0,6845820	0,2812749	0,3498550	0,5878164	0,6995333	0,2732237	0,7912914	0,4870833	0,5608937	0,9577756	0,7541040	0,1892499	0,7959192	0,2548838	0,8146552	0,2335494
540	0,7206324	0,3038426	0,3608712	0,6007196	0,7530076	0,2106289	0,7869246	0,4794899	0,5586145	0,9481459	0,7612724	0,1923883	0,8005972	0,2665481	0,7764998	0,2118650
560	0,7133603	0,3209115	0,4067320	0,5779741	0,7017220	0,2198393	0,7687717	0,4749799	0,6080674	1,0213487	0,7778450	0,1460257	0,8058585	0,2705278	0,7489327	0,2067168
580	0,7518316	0,3695917	0,3766428	0,5735121	0,6975612	0,2756866	0,5353163	0,3648480	0,6013405	0,9654252	0,7973424	0,2098298	0,7498903	0,2384505	0,7910047	0,2258624
600	0,7295803	0,3609291	0,3442626	0,5546295	0,6374931	0,2390655	0,4656374	0,2927070	0,5680575	0,9836211	0,7987603	0,2497383	0,7739629	0,2437426	0,8281225	0,2417563
620	0,6836015	0,3308743	0,3233078	0,6116276	0,7072561	0,2221791	0,3759816	0,2490986	0,5610228	0,9580854	0,8285629	0,2535795	0,7878569	0,2222487	0,8690817	0,2220175
640	0,6528628	0,3966409	0,3029483	0,6061724	0,6974551	0,1983434	0,3483648	0,2804359	0,5768812	0,9344300	0,7922352	0,3020089	0,7544868	0,2175321	0,8456192	0,2675576
660	0,6465898	0,3408857	0,2982393	0,6102838	0,7024958	0,1678052	0,2925082	0,2471781	0,5867470	0,9273883	0,7579833	0,3096102	0,7770169	0,2011399	0,8401545	0,2600081
680	0,6435893	0,3390485	0,3372320	0,5769401	0,7229857	0,1826014	0,2620627	0,2322721	0,5667770	0,9575188	0,7888067	0,3589601	0,7338062	0,2126686	0,8532590	0,2763174
700	0,6804919	0,3098354	0,3267942	0,6068325	0,6742532	0,1979609	0,2623572	0,2545308	0,6518324	0,9301212	0,6986011	0,3539258	0,7150430	0,1996807	0,7991290	0,2994813
720	0,7174514	0,3159724	0,3633666	0,6309666	0,6640116	0,1844714	0,2429117	0,2112760	0,6397067	0,9764373	0,7417094	0,3188227	0,6962855	0,1833976	0,8158560	0,3046136
740	0,6718459	0,3551668	0,3396091	0,6698565	0,6715145	0,2064783	0,2521026	0,1966581	0,6181837	0,9712009	0,7604019	0,3285780	0,6945840	0,1804264	0,8489046	0,3194156
760	0,6481605	0,3114623	0,3196666	0,6625689	0,6274200	0,1737458	0,2306443	0,1567720	0,5967430	1,0018113	0,7329794	0,3346476	0,7637306	0,1847934	0,8683496	0,2756554
780	0,6511620	0,3659601	0,3379034	0,6552886	0,6991017	0,1974722	0,1981113	0,1980539	0,6019522	1,0486115	0,7459774	0,3414754	0,7930062	0,1801255	0,8931736	0,2586727
800	0,6785406	0,3145068	0,3389367	0,6292746	0,6982558	0,1754768	0,1664617	0,1644109	0,5324084	0,9968852	0,7610931	0,3317869	0,7895449	0,1589777	0,9207137	0,2360742
820	0,6748479	0,2426922	0,4034709	0,5760924	0,6947119	0,2048667	0,1812364	0,1578118	0,5243125	1,0397805	0,7649920	0,3636066	0,7208680	0,1639352	0,9214147	0,2535980
840	0,7258911	0,2496509	0,4191063	0,6070157	0,6589222	0,2139383	0,1925842	0,1702467	0,5736781	1,0154997	0,7903178	0,3700449	0,7466623	0,1605913	0,8576049	0,2532545
860	0,6873409	0,3046631	0,3356684	0,6294779	0,6891618	0,2390561	0,2424825	0,1697717	0,6297450	1,0077997	0,8026192	0,3302159	0,7541567	0,2019880	0,8217755	0,3059215
880	0,7142773	0,3336519	0,3039296	0,6458094	0,6539935	0,2273961	0,2848076	0,1853546	0,5938669	0,9850938	0,7394612	0,3282917	0,7454068	0,2106005	0,8215151	0,3042034
900	0,6839133	0,3888595	0,2752345	0,5794057	0,6376744	0,2387889	0,2460941	0,1662715	0,5342593	1,0144335	0,7332452	0,3284607	0,7526023	0,2040615	0,7700057	0,2824418
920	0,7038266	0,3646218	0,3406689	0,6216818	0,7078780	0,1922493	0,2491119	0,1656833	0,5281437	0,9687478	0,7845905	0,4119467	0,8219016	0,1900201	0,8499621	0,2683898
940	0,6938419	0,3176408	0,3505715	0,6508162	0,7386634	0,2237153	0,2393603	0,1608371	0,5281279	0,9194326	0,7420122	0,3788595	0,7729024	0,2029417	0,9061967	0,2487280
960	0,6871179	0,3127183	0,3951487	0,6264654	0,7258521	0,1999878	0,2447276	0,1744593	0,5355516	0,8766792	0,7157589	0,3332323	0,7821652	0,1907781	0,8487102	0,2452515
980	0,6857162	0,3576887	0,3965342	0,6494329	0,6940805	0,1950901	0,2388624	0,1432095	0,5221377	0,9126824	0,7219828	0,3939053	0,8441769	0,2046913	0,9243020	0,2208419
1000	0,6808548	0,3520224	0,3860913	0,6536214	0,6606972	0,1949388	0,2244895	0,1477907	0,5422116	0,9375171	0,7211698	0,3790855	0,8743767	0,1658790	0,8804553	0,2196546
1020	0,7256224	0,3586228	0,3570864	0,6560419	0,6320984	0,2288806	0,2248287	0,1701066	0,6061976	0,9621172	0,7559540	0,3157064	0,8401469	0,1856849	0,8508487	0,2305090
1040	0,7536633	0,3950745	0,3400829	0,6455262	0,6173969	0,2254882	0,2480871	0,1787553	0,5657264	0,9609011	0,8312345	0,3149993	0,7861823	0,1660940	0,8194636	0,2702865
1060	0,7801869	0,3704911	0,2984231	0,6818871	0,6385163	0,2036281	0,2787521	0,1788703	0,5429063	1,0055210	0,7484692	0,3134705	0,7764545	0,1783989	0,7761661	0,2665378
1080	0,7997847	0,3470446	0,3065793	0,6592128	0,6564698	0,2037977	0,2597168	0,1577254	0,5638221	1,0081131	0,8125958	0,3201518	0,7476850	0,1712721	0,7359796	0,2767953
1100	0,7534480	0,3072864	0,3574795	0,6445025	0,7101169	0,2146183	0,2614893	0,1669741	0,5168600	0,9326076	0,8403585	0,3529591	0,7675623	0,1657018	0,7674325	0,2654289

0	0,6901887	0,3011659	0,3610637	0,5426894	0,7793742	0,1743977	0,1510436	0,2100146	0,5197872	0,9659991	0,7132291	0,3327858	0,7820050	0,1886105	0,9196860	0,2544122
20	0,6278414	0,2959790	0,3399390	0,6900734	0,6759698	0,5769262	0,4544853	0,3048694	0,5753676	0,8790996	0,7331414	0,2931371	0,7950576	0,1745803	0,8546008	0,2745494
40	0,6453474	0,2979601	0,3522566	0,6992644	0,6842091	0,7398707	0,5934866	0,3680150	0,5755792	0,9300430	0,7784173	0,3146595	0,7852231	0,1765992	0,8052663	0,2657161
60	0,7134671	0,3122874	0,3512910	0,7395880	0,7182353	0,8423614	0,6814225	0,4076477	0,5817850	0,8508826	0,7242994	0,3532523	0,7386686	0,1762064	0,8533607	0,2802740
80	0,7304088	0,2960289	0,3510209	0,7590323	0,6480353	0,7972544	0,7720019	0,5063553	0,5879429	0,8367885	0,6847736	0,3701482	0,7336400	0,1962037	0,9045821	0,2637665
100	0,7522737	0,3096657	0,3568223	0,8485764	0,7061589	0,8264904	0,7834071	0,5103325	0,6364014	0,8123913	0,7379935	0,3314614	0,7771880	0,1667636	0,9060820	0,2625550
120	0,7196505	0,3462749	0,3428748	0,8378250	0,6806173	0,8095148	0,8501199	0,5717092	0,5854407	0,8302257	0,6957611	0,3123240	0,7595125	0,1552245	0,8283934	0,2638921
140	0,6936319	0,3239665	0,3688582	0,8049879	0,6407396	0,8157115	0,8086808	0,5443508	0,5623637	0,8112462	0,7928281	0,3315505	0,8077685	0,1521418	0,8869745	0,2499355
160	0,7130255	0,3327660	0,3256294	0,8253716	0,6238012	0,8556612	0,7930046	0,5498882	0,5545571	0,7649009	0,7777359	0,2943108	0,8323786	0,1898697	0,8973194	0,2866191
180	0,6790417	0,3757826	0,2949756	0,9096637	0,7495417	0,8243245	0,7985102	0,5479537	0,5886936	0,7827629	0,7999017	0,2911118	0,8322421	0,1783330	0,8759426	0,2799540
