"Time"	norR	nsrR	dsdC	feaR	fhlA	feaB	hypA	hycE	hycF	hycD	hypB	hycG	hypE	hycH	hypD	hycB
920	0,0996892	0,7774552	0,2320126	0,2221110	0,0008941	0,2594966	0,0063414	0,0279478	0,0632143	0,2940583	0,1036925	0,3016440	0,0146406	0,0009498	0,0101316	0,0958695
940	0,1424265	0,7578994	0,2646437	0,1880616	0,0102097	0,2972770	0,0043537	0,0288506	0,1574308	0,3479052	0,0911765	0,1999833	0,0112187	0,0010215	0,0097933	0,1017339
960	0,2146227	0,9319021	0,4177515	0,1990610	0,0029282	0,2768612	0,0053961	0,0418494	0,0803769	0,4122040	0,0678742	0,2040630	0,0065031	0,0000433	0,0148885	0,0647532
980	0,1548708	0,8745183	0,2979241	0,3704857	0,0003175	0,3403596	0,0170142	0,0346877	0,0534910	0,3034973	0,0487876	0,2193791	0,0042270	0,0000984	0,0169501	0,0819911
1000	0,1799314	0,7003732	0,2918315	0,3254839	0,0009221	0,3605346	0,0155456	0,0418981	0,0708180	0,3718395	0,0339212	0,2274040	0,0082682	0,0015505	0,0207224	0,0930408
1020	0,1876648	0,6704674	0,3099804	0,3420741	0,0002702	0,4024000	0,0184485	0,0357676	0,0626921	0,2484824	0,0910915	0,2439181	0,0255356	0,0081475	0,0198072	0,0908648
1040	0,1932446	0,7617980	0,3747247	0,2875065	0,0000531	0,3617017	0,0144584	0,0456520	0,0870567	0,3472786	0,0919360	0,2249013	0,0088317	0,0011812	0,0157402	0,1033093
1060	0,1599427	0,6017854	0,3053382	0,2368358	0,0024238	0,3789335	0,0125876	0,0411119	0,1621122	0,3755528	0,0509682	0,1891452	0,0158244	0,0001415	0,0253441	0,1082597
1080	0,1763017	0,5832320	0,2874167	0,2699179	0,0028718	0,3535199	0,0129694	0,0409617	0,0482474	0,3114193	0,0690518	0,2682708	0,0132171	0,0017950	0,0072295	0,0674002
1100	0,1674467	0,6732101	0,2559146	0,2308886	0,0054244	0,4292192	0,0086404	0,0652556	0,0278584	0,3087754	0,0687765	0,3255747	0,0400008	0,0000131	0,0109768	0,0546709

0	0,1602047	0,7802577	0,4207535	0,3412035	0,0005908	0,3088929	0,0227374	0,0199971	0,1012546	0,3723851	0,1252013	0,2268180	0,0311159	0,0002017	0,0294346	0,0885081
20	0,1366320	0,6524429	0,3045745	0,2860127	0,0142032	0,3558758	0,0212367	0,0422731	0,0441101	0,2934429	0,0643649	0,2289822	0,0161127	0,0019017	0,0552204	0,0976605
40	0,0701086	0,6205861	0,2172200	0,2087296	0,0341521	0,3644908	0,0181354	0,0718619	0,0652382	0,3956213	0,0627246	0,2403010	0,0067555	0,0009791	0,0508778	0,0756459
60	0,0586896	0,6574098	0,3368901	0,2569149	0,0303286	0,3119004	0,0409421	0,0375177	0,0840018	0,3139942	0,0543794	0,1966480	0,0083168	0,0003846	0,1462736	0,1026937
80	0,0344600	0,5681544	0,3482645	0,2159628	0,0691558	0,3222151	0,0244768	0,0446717	0,0704997	0,3268252	0,1274629	0,3400640	0,0059574	0,0008443	0,2171289	0,1960272
100	0,0127192	0,4480925	0,3457893	0,1834432	0,0841067	0,3580997	0,0143988	0,0265241	0,1078588	0,3045736	0,0854600	0,2828345	0,0156536	0,0014030	0,3380574	0,3557649
120	0,0282292	0,3967930	0,3933169	0,1485346	0,1135024	0,3817853	0,0139052	0,0578505	0,0841700	0,2673990	0,1338641	0,3353157	0,0118693	0,0028261	0,2505348	0,3297541
140	0,0086255	0,5443026	0,3515795	0,1544671	0,0931697	0,2472271	0,0375776	0,0229979	0,0919993	0,3990829	0,2645439	0,4437133	0,0062751	0,0046941	0,3263167	0,3897123
