"Time"	deoR	nupG	cytR	crp	rhaR	tsx	deoC	deoA	deoB	deoD	udp	ppiA	cdd	nupC	rpoH	glgP
1040	0,8032290	0,3411395	0,4682659	0,1178824	0,1147988	0,6085096	0,7521181	0,6020332	0,4001531	0,2659675	0,6082757	0,2701114	0,2887211	0,2662486	0,3337845	0,0222895
1060	0,7698285	0,2681903	0,5560859	0,0861660	0,1407797	0,5159155	0,6384600	0,5170755	0,5106321	0,3470494	0,5209173	0,2879119	0,3568478	0,3015834	0,3173362	0,0271770
1080	0,7587435	0,3625105	0,4603322	0,0951831	0,0693343	0,6141948	0,6423125	0,5693631	0,5898567	0,2408613	0,5166286	0,2864969	0,4719308	0,2209286	0,3198282	0,0217033
1100	0,8634513	0,2832803	0,4561282	0,0909652	0,1349717	0,4812258	0,8030183	0,7074231	0,6369064	0,3087459	0,6598014	0,2522380	0,3666812	0,1521009	0,2695192	0,0182980

0	0,6686451	0,2788236	0,4224739	0,0754760	0,0822445	0,7518386	0,6698152	0,5574506	0,4907952	0,3667844	0,6376319	0,3304697	0,2898590	0,3055367	0,3513346	0,0188879
20	0,6527510	0,2645613	0,5615350	0,1389553	0,2749809	0,5282580	0,5649347	0,2158140	0,4321633	0,3087126	0,7592194	0,3068557	0,2897142	0,2841452	0,2859653	0,0287982
40	0,5821023	0,3011628	0,3776889	0,1057552	0,4153288	0,5062961	0,7935375	0,1015871	0,3862292	0,3173676	0,5674718	0,3143076	0,3240647	0,3638312	0,2991223	0,0440967
60	0,4826578	0,2404193	0,4970484	0,0705809	0,4231544	0,7207544	0,7145728	0,0869532	0,3518585	0,2347622	0,5663998	0,3069062	0,2981987	0,5164426	0,2945053	0,0389750
80	0,3516551	0,2459081	0,5055412	0,0579250	0,4756888	0,6217803	0,6794341	0,0727990	0,2555679	0,2816720	0,7051569	0,3104882	0,3807630	0,4847497	0,3099518	0,0326344
