"Time"	hipA	hipB	ihfB	yeiL	tdcA	tdcF	tdcG	tdcE	tdcC	tdcD	tdcB	hemF	amiA	ibpB	uspB	ecpD
220	0,5516659	0,3011517	0,2828493	0,5973152	0,5276785	0,1544540	0,6155402	0,4779043	0,4400036	0,7175663	0,6400764	0,1349432	0,6127628	0,1323706	0,6113105	0,2001984
240	0,6390429	0,3346516	0,2656548	0,5867370	0,4761937	0,2438469	0,6032174	0,4835661	0,5646475	0,7911853	0,6441699	0,1522594	0,6526145	0,1990985	0,6440905	0,2497570
260	0,6182373	0,3556332	0,2754111	0,5859235	0,6849333	0,2515332	0,6232598	0,3688876	0,6039931	0,7618600	0,5563075	0,1101542	0,4934166	0,2087299	0,5025515	0,2044323
280	0,6813406	0,2460640	0,3351795	0,3992046	0,5758378	0,1978369	0,6233810	0,4920677	0,4555005	0,7639595	0,5687273	0,1597174	0,5291585	0,2997848	0,6276046	0,2536388
300	0,5900075	0,2368951	0,3489297	0,5773424	0,6193187	0,1964941	0,5926283	0,4809200	0,5933042	0,7970468	0,5560777	0,1272005	0,4879972	0,1542749	0,5361545	0,2847453
320	0,6654315	0,3232518	0,3437009	0,5117349	0,6998488	0,1381024	0,6374573	0,5420758	0,4840103	0,7238380	0,5683171	0,1107104	0,4706468	0,1667702	0,5848139	0,1960087
340	0,5600745	0,3645311	0,2662809	0,5192944	0,6624157	0,2088145	0,5786353	0,4831335	0,5037302	0,8501153	0,6068091	0,0791749	0,5576742	0,1823684	0,4648197	0,2709533
360	0,5834964	0,3565107	0,2333501	0,5244618	0,6369355	0,1907066	0,5589106	0,5220460	0,5252271	0,7469939	0,4571095	0,0984944	0,4962871	0,1999863	0,5692145	0,2152084
380	0,5458711	0,2700106	0,1995470	0,5898441	0,5986025	0,1417383	0,6934126	0,5166497	0,5758546	0,8845589	0,6533655	0,0916319	0,5368431	0,2204840	0,5074975	0,2176850
400	0,5191736	0,1726155	0,3625325	0,5742078	0,5108077	0,2130194	0,5696391	0,3657906	0,4452949	0,7937596	0,5565532	0,1100941	0,6740598	0,2911946	0,6032752	0,2057763
420	0,5839524	0,2444984	0,1711463	0,5244951	0,5560494	0,2264394	0,5801978	0,4225403	0,5095064	0,9390076	0,5529538	0,2160295	0,6433564	0,1989563	0,6325874	0,2913062
440	0,5610229	0,2725206	0,2546298	0,5284703	0,6116109	0,1312479	0,5312163	0,4730398	0,5032984	0,8202809	0,4283724	0,0943421	0,6141794	0,2712997	0,4686184	0,2699593
460	0,4872568	0,1915953	0,2191045	0,4679747	0,5700947	0,1560659	0,6291631	0,4516532	0,4972301	0,8464437	0,6308940	0,1507654	0,5808838	0,2499149	0,5692178	0,2337302
480	0,4832261	0,2217049	0,2878916	0,4188723	0,6350315	0,1409984	0,5914247	0,4772230	0,4821712	0,7175362	0,5802406	0,1406994	0,5887458	0,1502619	0,7021071	0,2174241
500	0,4987112	0,1486142	0,2915122	0,4426799	0,6832557	0,1280475	0,6317347	0,4461034	0,4906462	0,5801053	0,6188559	0,1007993	0,7045185	0,2570439	0,6270857	0,2942549
520	0,5374470	0,2852012	0,2357785	0,5066050	0,5888150	0,1851162	0,6708997	0,4426921	0,4654558	0,8546131	0,7505039	0,1539100	0,6926832	0,1334085	0,6036754	0,2371024
540	0,4311743	0,2121296	0,3065661	0,4794073	0,5197703	0,1348171	0,6702798	0,3533517	0,4136946	0,7566429	0,5617638	0,1454955	0,5923400	0,1802876	0,5078623	0,2160713
560	0,5719385	0,2350053	0,2990997	0,5017514	0,5462495	0,1448334	0,6369353	0,4336718	0,4933515	0,8219299	0,5008958	0,0792697	0,6629502	0,1489257	0,6346013	0,1335855
580	0,5530477	0,1926393	0,3125567	0,3636052	0,5814314	0,2173946	0,5735383	0,3215017	0,4559978	0,7785200	0,6390713	0,1818708	0,5478700	0,1858004	0,5153459	0,2149490
600	0,5254518	0,2315780	0,2763614	0,3146946	0,6636344	0,1928516	0,5086835	0,3300167	0,4262278	0,7601859	0,5679894	0,1282085	0,6345399	0,1409937	0,5300414	0,1794831
620	0,6404412	0,2639090	0,3619572	0,4518011	0,5631041	0,1952643	0,3748288	0,2675196	0,3510953	0,7096855	0,6569615	0,1881801	0,5128685	0,1308286	0,7183366	0,1610192
640	0,4602168	0,3726995	0,2799576	0,4808429	0,5929333	0,2184316	0,4004169	0,2438346	0,3890018	0,7649874	0,5137491	0,2208959	0,5546854	0,1515880	0,6705948	0,1795957
660	0,5233972	0,2709071	0,1965052	0,4126102	0,6269480	0,1631419	0,2928542	0,1595698	0,4414174	0,8328387	0,7172493	0,2440148	0,4995073	0,2243487	0,7084547	0,2392749
680	0,4382357	0,3580308	0,2654013	0,4801157	0,6165208	0,1221429	0,3334609	0,2186495	0,5046335	0,8189880	0,6425990	0,1768679	0,5755247	0,1220515	0,6864577	0,2342870
700	0,6076424	0,2744384	0,2876075	0,5338819	0,5328559	0,1064853	0,2634938	0,1380296	0,4901427	0,7893306	0,5429692	0,2510670	0,5400333	0,1794145	0,6810955	0,1895826
720	0,5347022	0,3643313	0,2924586	0,4554414	0,5757777	0,1757238	0,2451401	0,1577567	0,4706942	0,7500203	0,5102605	0,2744130	0,5841592	0,1733574	0,6547739	0,1792881
740	0,5972973	0,2831416	0,2670733	0,4836958	0,5470624	0,1357064	0,1971314	0,1470792	0,5534551	0,8049608	0,5775519	0,3446817	0,5935807	0,1822401	0,5615569	0,2573372
760	0,4992787	0,3280588	0,2743909	0,6004377	0,5330017	0,1966753	0,1943716	0,2103535	0,3915652	0,6104098	0,6576002	0,2568674	0,5223624	0,1400555	0,7646191	0,2339310
780	0,5992872	0,3106713	0,3019343	0,6193902	0,4574362	0,1020928	0,1906962	0,1921045	0,4671158	0,7848514	0,6479920	0,2660897	0,5243154	0,1493789	0,6493613	0,2465449
800	0,6076157	0,2565975	0,2584141	0,4495367	0,4885635	0,1569235	0,1493129	0,1581789	0,4349702	0,6581992	0,6581687	0,2443866	0,6798770	0,1437691	0,8284412	0,1296435
820	0,5083874	0,3828462	0,2088303	0,4880840	0,5496770	0,1865533	0,1206237	0,1926760	0,6040719	0,8935837	0,5673305	0,2226614	0,6185175	0,1141371	0,7675343	0,1802340
840	0,5410653	0,2213067	0,2419091	0,4719590	0,7335650	0,1278915	0,1530627	0,1251412	0,5037061	0,7737984	0,7297774	0,3049975	0,5152919	0,1353206	0,8099122	0,1899094
860	0,6116843	0,2472942	0,3485395	0,4836622	0,5147279	0,1603786	0,1723086	0,1834834	0,4605312	0,7183693	0,7102671	0,2900492	0,5356830	0,1321434	0,8514589	0,1817456
880	0,5299938	0,2283829	0,3068508	0,4027915	0,6620618	0,1515324	0,1562905	0,1689921	0,5488541	0,7599468	0,6460765	0,2148466	0,5316998	0,1667332	0,7296435	0,1711981
900	0,6264416	0,3127240	0,3139976	0,4134171	0,5477745	0,1818920	0,1716376	0,1565485	0,4606162	0,7693985	0,6334264	0,3219089	0,5744898	0,1187555	0,6426701	0,1857295
920	0,5906750	0,2617325	0,3427728	0,5018261	0,5190049	0,1802835	0,1456852	0,1693072	0,4196828	0,9648058	0,5568221	0,2924949	0,6270833	0,1559662	0,7158494	0,2101114
940	0,5920325	0,2924468	0,2773777	0,4569137	0,5286689	0,1135305	0,1737284	0,0998244	0,5249031	0,7520158	0,6247779	0,3628151	0,8362013	0,1900363	0,6919816	0,2082244
960	0,6335178	0,2893515	0,2373963	0,6373262	0,6607520	0,1170466	0,1513537	0,1346400	0,3946408	0,6683221	0,6779021	0,2921546	0,8229694	0,1634317	0,6061737	0,1602870
980	0,6269226	0,2490959	0,2164206	0,5098243	0,4973861	0,1752067	0,1867855	0,1198606	0,4179988	0,6661966	0,5753784	0,2826681	0,8110094	0,1618452	0,7743329	0,1676944
1000	0,4651604	0,2564687	0,2517415	0,6490192	0,5542634	0,2129682	0,2077547	0,1528095	0,4322926	0,5959156	0,6811662	0,2656739	0,6375244	0,1061418	0,6550557	0,1869530
1020	0,6154452	0,3168757	0,3062207	0,5634904	0,5383911	0,1598456	0,1802992	0,1282394	0,4287752	0,7219686	0,6178810	0,2829148	0,6866368	0,1141001	0,7896684	0,1732816
1040	0,4934152	0,2751616	0,3025960	0,5133775	0,5179474	0,1678880	0,1977014	0,1344285	0,3584938	0,8435964	0,5198661	0,2562809	0,6984269	0,1345623	0,6977772	0,2269709
1060	0,5938394	0,4309343	0,3175252	0,4923196	0,4944694	0,1327747	0,2076211	0,1241300	0,3919526	0,7099378	0,6612732	0,2679486	0,7333085	0,1784428	0,5824948	0,2363718
1080	0,6508228	0,2602782	0,2759539	0,5130718	0,5603554	0,1862707	0,2462109	0,1213433	0,3471908	0,6557643	0,6716946	0,3599057	0,6397717	0,1217802	0,6077130	0,1859259
1100	0,5260860	0,3284660	0,2629749	0,4845523	0,4823104	0,1579729	0,1728551	0,1470666	0,4691143	0,9200279	0,5862087	0,2607193	0,6422517	0,0752842	0,5847201	0,2320020

0	0,5857120	0,2455307	0,3496443	0,4903323	0,4893749	0,1164836	0,1337203	0,1752409	0,4568878	0,8102831	0,5785850	0,3065223	0,6040117	0,1610391	0,7725505	0,2051246
20	0,5332761	0,2561747	0,3036720	0,5954877	0,4920529	0,2804594	0,2389088	0,1250054	0,4765106	0,6473425	0,5716720	0,2346612	0,6292740	0,1159370	0,6397809	0,2420210
40	0,5585297	0,2345099	0,3265059	0,5029592	0,5588998	0,3238341	0,2887986	0,3015331	0,4875451	0,7131631	0,7216782	0,2525398	0,5622291	0,1017471	0,7095151	0,1931849
60	0,5938090	0,2713546	0,2359706	0,5433778	0,5408538	0,5687492	0,3986116	0,2830802	0,4609728	0,8468254	0,5760774	0,2992806	0,6682061	0,1489403	0,6993505	0,1802674
80	0,5347139	0,1824825	0,3183540	0,4945131	0,4683522	0,5989536	0,4584243	0,3451059	0,4152375	0,6700385	0,6504106	0,2769382	0,5461734	0,1652294	0,7147386	0,2166819
100	0,7128442	0,2286264	0,2423879	0,6824204	0,5399987	0,5727405	0,5699870	0,4003557	0,4004256	0,7232952	0,6088197	0,3194833	0,6027231	0,1644812	0,7183267	0,1842627
120	0,6211862	0,2702194	0,2444157	0,5338314	0,4151519	0,5708859	0,5347474	0,4763253	0,5957032	0,6869302	0,5983193	0,2586557	0,5806047	0,1064033	0,6419593	0,2732269
140	0,6357915	0,2696667	0,2386067	0,6114194	0,5262075	0,6795850	0,6004938	0,6283909	0,4674733	0,6475828	0,7110090	0,2610218	0,6610186	0,1133849	0,6157311	0,1566759
160	0,4959911	0,2908861	0,3119306	0,6919900	0,5971932	0,5903375	0,5393962	0,4602602	0,4918036	0,6979458	0,4853024	0,2694136	0,6038758	0,1370276	0,6909178	0,2483965
180	0,5168629	0,2827776	0,2583067	0,6063820	0,6836974	0,7263380	0,7053273	0,4550573	0,5248750	0,7787227	0,5303393	0,2876178	0,6113719	0,1658255	0,7660921	0,2486783
200	0,5226266	0,3132362	0,2375714	0,6618420	0,5763493	0,6098186	0,5588347	0,5082680	0,5596169	0,6866639	0,6342038	0,2227403	0,7128854	0,1656366	0,7458269	0,2384483
220	0,6124438	0,3805827	0,2922878	0,5515566	0,5433041	0,6789461	0,6756168	0,4573605	0,4977959	0,6549904	0,6022923	0,2098938	0,5555957	0,0961373	0,6850368	0,1342286
240	0,5460140	0,2626937	0,2403474	0,6023860	0,5752957	0,6903421	0,6042782	0,4050847	0,5363100	0,5239214	0,5874931	0,2393449	0,6352162	0,1936400	0,6850446	0,1331677
260	0,6894813	0,3356372	0,2724340	0,6483333	0,5258006	0,7018332	0,6768366	0,4353286	0,5286957	0,6958393	0,5211105	0,3034445	0,6658277	0,1215974	0,7012719	0,2263455
280	0,5706562	0,3763496	0,4062473	0,5262591	0,5404604	0,5548236	0,6562567	0,4245536	0,4957232	0,5561894	0,5346970	0,2370739	0,7944680	0,1823292	0,8184986	0,1616378
