"Time"	rstA	csgD	ompR	bolA	rcsB	csgE	csgG	csgF	sra	ompF	omrA	ampC	omrB	iraP	adrA	tppB
100	0,9857282	0,6217723	0,9532422	0,2051492	1,0558484	0,1371514	0,4525576	1,0602560	0,3227506	0,2793037	1,0147486	0,1537498	0,8200808	0,5663580	0,7148532	0,9365045
120	0,9996798	0,6242938	0,8877780	0,1904847	1,1083417	0,1193758	0,4197568	0,9977124	0,3631156	0,2976423	1,0047201	0,1063312	0,9462547	0,5372643	0,7329408	0,9783497
140	1,0006659	0,6780546	0,8177701	0,1734905	1,0725321	0,1139826	0,4571920	1,0422420	0,3900056	0,2995250	0,9858042	0,0646930	0,9847162	0,5626367	0,6991900	0,9779865
160	1,0065417	0,7239599	0,8933124	0,2128657	1,0488089	0,1425539	0,4029100	1,0367055	0,3867949	0,3355067	0,8275678	0,0387040	0,9924593	0,5813153	0,6916487	0,9952702
180	0,9365213	0,6897848	0,9198182	0,2142818	1,0298544	0,1261412	0,4188485	1,0020364	0,4273360	0,3468372	0,8712853	0,0348985	0,9079818	0,5677885	0,7035281	1,0069008
200	0,9498393	0,7303862	0,8948117	0,2213821	0,9951754	0,1305373	0,4458443	0,9977445	0,3828238	0,3460804	0,9076964	0,0457144	0,9012284	0,6428258	0,7108832	1,0185394
220	0,9925265	0,6845692	0,8839570	0,2402918	1,0026847	0,1153500	0,4549530	1,0131867	0,4203100	0,3706610	0,8864548	0,0452528	0,9515575	0,6778521	0,7105646	0,9739723
240	0,9394457	0,7025453	0,8914535	0,2550835	0,9698488	0,1133106	0,4435317	1,0139803	0,4510758	0,3377270	0,8671315	0,0485245	0,9144201	0,6240911	0,6548049	1,0175377
260	0,9733542	0,6947431	0,9130581	0,2253913	1,0218341	0,0934174	0,4380535	0,9950746	0,4184594	0,3605971	0,8809748	0,0440052	0,9601625	0,5980797	0,7235891	0,9543956
280	0,9521983	0,6247380	0,9246804	0,2366063	1,0274090	0,1066802	0,4413339	1,0224700	0,3886950	0,3797413	0,8326143	0,0405387	0,9329849	0,6296534	0,7420334	0,9739535
300	0,9748649	0,6635491	0,8428964	0,2120444	1,0273006	0,1024822	0,4270735	1,0312483	0,4330721	0,3343318	0,8320132	0,0316690	0,9691823	0,6162531	0,7213014	0,9535263
320	0,9603466	0,6799842	0,8555672	0,2183590	0,9902927	0,1144493	0,3902126	1,0726922	0,4049424	0,3237251	0,9101299	0,0346333	0,8750642	0,6194365	0,6917082	0,9390509
340	0,9596308	0,6736211	0,8305878	0,2857566	0,9389902	0,0895661	0,3794775	1,0579025	0,4091399	0,3213029	0,8726778	0,0294991	0,9833766	0,6232844	0,6808471	0,9197532
360	0,9765895	0,6995598	0,9400163	0,2730112	0,9181610	0,0812638	0,4400397	1,0451513	0,4088848	0,2951209	0,8949737	0,0217717	0,9172538	0,5475763	0,7103321	0,9134824
380	0,9414812	0,7130381	0,9229297	0,2839774	0,9356392	0,0880476	0,4740907	1,0465776	0,4774782	0,3143303	0,9236306	0,0183092	0,9263293	0,5506096	0,7160366	0,9647745
400	0,9655785	0,7211995	0,8796393	0,2755247	0,9926046	0,0925202	0,5117297	1,0320693	0,4916343	0,3050271	0,8452799	0,0244983	0,9542513	0,6335386	0,7862256	0,9595975
420	0,9840760	0,7597344	0,9180402	0,2450856	0,9794404	0,1253608	0,5520390	1,0548575	0,4639935	0,3490871	0,8934236	0,0139059	1,0095002	0,5742286	0,8146315	0,9756848
440	1,0022906	0,7344712	0,8690091	0,2413296	0,9511497	0,1212605	0,5131232	0,9963122	0,4340382	0,3207344	0,8998727	0,0169770	0,9130731	0,5880934	0,7344185	0,9529708
460	1,0359390	0,6948372	0,8520634	0,2659009	0,9181582	0,1292642	0,5440375	1,0264553	0,4076076	0,3510475	0,9737759	0,0169730	0,8467890	0,5426954	0,7729000	0,9891494
480	0,9893205	0,6414725	0,8894037	0,2995854	0,9135658	0,1232286	0,5110347	1,0193960	0,3716466	0,3677881	1,0345330	0,0136003	0,9128861	0,5371205	0,7280013	0,9293110
500	1,0787963	0,6007341	0,8688511	0,2555340	0,9468288	0,1298002	0,5238856	1,0625316	0,3683456	0,3151404	0,9539950	0,0093248	0,9647273	0,5336245	0,7076650	0,9430731
