"Time"	narL	nikR	dcuR	caiF	modE	nikD	nikC	nikB	frdB	frdC	frdA	nikE	nikA	frdD	dcuB	ccmF
1100	0,8027873	0,4258803	0,3403518	0,2399429	0,7720984	0,2161068	0,4928313	0,2918550	0,3214801	0,6900759	0,1400769	0,0081087	0,0107391	0,2187906	0,1123904	0,2161002

0	0,6775059	0,4020121	0,3263088	0,1928108	0,6460638	0,1707532	0,5289268	0,1930017	0,2180333	0,7299711	0,1991932	0,0313606	0,0012049	0,2827877	0,1097492	0,1666953
20	0,6322452	0,3983792	0,2978260	0,2916283	0,7574037	0,1285851	0,5086919	0,2516862	0,3562638	0,7504867	0,1723431	0,0544589	0,0138530	0,2860116	0,1401200	0,1876727
40	0,6916796	0,4456457	0,2949578	0,1842817	0,6596740	0,1831523	0,3304462	0,2741027	0,2859886	0,6417419	0,1102393	0,0110996	0,0165243	0,2136540	0,1550902	0,2115220
60	0,5455556	0,4263891	0,2001352	0,1845922	0,6829509	0,1987272	0,3211730	0,1884354	0,2589289	0,5312931	0,0974107	0,0114569	0,0011194	0,1942646	0,0997759	0,2282568
80	0,5244342	0,3809854	0,0842838	0,1555323	0,6450564	0,2131123	0,2192286	0,3051034	0,2693372	0,4503263	0,0552425	0,0243166	0,0029441	0,1720521	0,0695153	0,2202950
100	0,5850740	0,4045851	0,1078705	0,2451832	0,6728983	0,2812888	0,1854341	0,2538472	0,1537428	0,4504517	0,0589594	0,0305349	0,0119840	0,1336007	0,1392889	0,2089011
120	0,6283154	0,3275105	0,0898338	0,2169437	0,7071304	0,2758320	0,1741047	0,3676365	0,1741158	0,3658950	0,0141558	0,0197303	0,0031625	0,1288677	0,0999575	0,1711300
140	0,8951625	0,3925613	0,0959718	0,1969134	0,7510974	0,2171701	0,1610161	0,3565146	0,1069088	0,4041711	0,0238545	0,0341878	0,0022950	0,0951817	0,0613474	0,1966925
160	0,6271028	0,3384207	0,0560225	0,2142892	0,7741920	0,1872963	0,1870708	0,3435998	0,1224918	0,4480586	0,0204415	0,0510873	0,0015861	0,0850244	0,0380106	0,2712860
180	0,7784701	0,4199108	0,0777609	0,2145973	0,7840533	0,2210025	0,1760720	0,3036036	0,0849466	0,3873479	0,0096604	0,0208095	0,0017378	0,0814895	0,0254264	0,1892496
200	0,7589164	0,3924137	0,1141332	0,2355124	0,7911245	0,2178812	0,1575949	0,2900110	0,1146878	0,3801313	0,0003988	0,0568063	0,0006838	0,0823793	0,0324579	0,2038942
220	0,6226853	0,4921153	0,0572459	0,1694506	0,7006241	0,2001890	0,1426088	0,2189418	0,0956356	0,2852092	0,0028019	0,0152439	0,0010768	0,0800446	0,0266356	0,1901546
240	0,5697242	0,4894348	0,0674767	0,1648317	0,7454993	0,2028056	0,1011383	0,2862596	0,1272583	0,3077571	0,0055211	0,0255007	0,0020577	0,0576609	0,0277175	0,3056564
260	0,4993360	0,4234626	0,0565131	0,1738444	0,7581765	0,1829002	0,1452890	0,2963537	0,1309990	0,3126726	0,0052734	0,0093119	0,0004408	0,0472043	0,0272423	0,1905427
280	0,7011941	0,4024331	0,0325972	0,1908291	0,6522227	0,1300580	0,0821841	0,2328192	0,0724065	0,3120767	0,0142582	0,0103462	0,0018532	0,0972243	0,0188776	0,1767629
300	0,6711080	0,5229030	0,0464254	0,1794285	0,7065881	0,1516920	0,1770328	0,2830564	0,0835115	0,2873690	0,0074462	0,0208789	0,0025509	0,0529212	0,0212969	0,2255716
320	0,5948443	0,4161515	0,0370927	0,2798351	0,7626842	0,1796350	0,1911140	0,3217357	0,1105863	0,2819316	0,0016368	0,0126578	0,0001004	0,1066735	0,0311389	0,1839142
340	0,6586220	0,4300722	0,0489948	0,2010951	0,7496068	0,1406034	0,1353418	0,2782527	0,0790012	0,2328520	0,0211082	0,0054630	0,0002851	0,0667800	0,0314040	0,2185980
360	0,6408718	0,4749865	0,0695578	0,2408915	0,7737567	0,1777970	0,1343574	0,2585923	0,0918592	0,2282961	0,0081119	0,0137357	0,0000000	0,0326467	0,0592007	0,2443091
380	0,8084247	0,5293937	0,0514233	0,0948978	0,8203124	0,2497419	0,1135090	0,2122552	0,1310366	0,2191531	0,0011493	0,0078553	0,0019924	0,0330518	0,0332259	0,1718941
400	0,6178656	0,4185900	0,0695919	0,1528937	0,6364800	0,2382215	0,1349999	0,2776588	0,0878289	0,2341043	0,0025720	0,0189241	0,0024603	0,0555875	0,0158053	0,2054545
420	0,6429413	0,5123103	0,1188083	0,2707762	0,7880354	0,1549887	0,1005051	0,2704248	0,0702842	0,1873212	0,0008432	0,0248999	0,0021995	0,0791696	0,0265365	0,1849477
440	0,6607780	0,4967209	0,0638184	0,1938745	0,7381933	0,1743568	0,0896008	0,1883577	0,0523190	0,1777543	0,0013182	0,0348643	0,0017530	0,0456258	0,0234658	0,2617515
460	0,7417944	0,4627810	0,0423949	0,1905900	0,6497498	0,2103044	0,1427773	0,2152092	0,0916596	0,2069698	0,0004468	0,0052118	0,0020897	0,0576640	0,0515085	0,2289094
480	0,7269567	0,3994510	0,0304610	0,2106286	0,8437021	0,1336429	0,1718394	0,2643311	0,0906584	0,1722821	0,0005275	0,0191779	0,0026240	0,0722156	0,0370975	0,2176228
500	0,6877520	0,3843971	0,0348375	0,2964454	0,7112584	0,1603245	0,1012375	0,1961581	0,0872734	0,1079660	0,0009233	0,0144033	0,0013391	0,0247887	0,0346006	0,1971545
520	0,5555534	0,3491062	0,0830201	0,1803966	0,6149199	0,1324473	0,1479038	0,3128001	0,0733804	0,1252525	0,0036700	0,0306146	0,0001021	0,0450328	0,0057750	0,2274718
540	0,8163930	0,4269679	0,0559838	0,1886433	0,7279948	0,1192103	0,1000172	0,2585880	0,0680461	0,1830313	0,0041220	0,0381689	0,0002033	0,0231843	0,0116752	0,2009983
560	0,8171152	0,3588658	0,0767968	0,1692673	0,7625474	0,1030711	0,1148612	0,3048119	0,0275123	0,1775282	0,0116985	0,0373338	0,0004925	0,0393576	0,0304354	0,2075305
580	0,7369131	0,4633371	0,0942727	0,1554590	0,7502670	0,0881705	0,1832589	0,3765762	0,0523645	0,2148078	0,0070317	0,0129373	0,0019090	0,0358567	0,0221766	0,1692968
600	0,6198856	0,3816922	0,1468000	0,1833473	0,6620858	0,0789508	0,2852759	0,3596840	0,0569345	0,3631763	0,0127202	0,0241109	0,0029429	0,0371407	0,0196831	0,2440684
620	0,5933038	0,4319534	0,2314585	0,1797709	0,7294804	0,0834341	0,4215792	0,2425898	0,0729646	0,5062708	0,0148219	0,0164977	0,0000000	0,0928305	0,0335859	0,2383354
640	0,7219612	0,4095791	0,2436364	0,2031309	0,7928789	0,0885691	0,4822570	0,3502198	0,0893329	0,5791413	0,0434384	0,0034010	0,0022979	0,1116683	0,0224758	0,2165598
