"Time"	hns	cspA	bolA	stpA	bglJ	bglB	bglG	bglF	cspD	proW	gspB	yjjP	proV	gspO	mukE	yciE
340	0,2578407	0,0124977	0,1550093	0,2007174	0,7406740	0,1828800	0,6917118	0,4050322	0,7068184	0,5094495	0,1201385	0,4954062	0,4557597	0,6067363	0,4355828	0,4260178
360	0,2768502	0,0234667	0,0826384	0,3219669	0,7064137	0,1970032	0,7092228	0,5807469	0,7502440	0,4513696	0,1320014	0,4895575	0,5299043	0,5321763	0,4396076	0,5048751
380	0,2753670	0,0162017	0,0870926	0,2476971	0,6090013	0,1655124	0,6677140	0,4917232	0,6429365	0,5820265	0,1411891	0,5616726	0,4090719	0,4348883	0,3676797	0,5027996
400	0,3331568	0,0187339	0,1010145	0,2683240	0,7886884	0,1734898	0,6527163	0,5642787	0,7129640	0,5495026	0,1373107	0,5546815	0,4627045	0,6692096	0,4116056	0,5000576
420	0,3716522	0,0180319	0,0607811	0,1773869	0,7682087	0,2033442	0,6827542	0,6627691	0,5712437	0,4700488	0,1268815	0,5803719	0,4951313	0,5559809	0,3785217	0,5844484
440	0,3546077	0,0175008	0,0736694	0,2391519	0,6408087	0,2116368	0,6386031	0,5521858	0,6344057	0,6088551	0,1665553	0,4677518	0,4770214	0,5795156	0,4349755	0,5172200
460	0,3252371	0,0247807	0,0857690	0,2015024	0,7509665	0,2393882	0,6958201	0,5024632	0,5836182	0,5308072	0,1531938	0,4581591	0,4406984	0,6679271	0,4163973	0,5596643
480	0,3966942	0,0303919	0,1031823	0,2292003	0,7728977	0,1796629	0,6621127	0,4189492	0,7019836	0,5510613	0,1400161	0,5050090	0,5201456	0,6193475	0,4927394	0,5323789
500	0,3738495	0,0226915	0,0974697	0,2277239	0,7945185	0,2244001	0,7748181	0,5180189	0,6657968	0,5889566	0,1591797	0,4762342	0,4663181	0,6061019	0,4543368	0,4305042
520	0,4628954	0,0268409	0,0695331	0,1569999	0,6192419	0,1708470	0,6129946	0,4652217	0,8160285	0,5722373	0,2000181	0,5734471	0,4055884	0,5565506	0,3698440	0,4603264
540	0,3651070	0,0220737	0,0743106	0,1752510	0,6702951	0,1829327	0,5941253	0,5341034	0,6532880	0,5561008	0,1775862	0,4781812	0,4741365	0,5873123	0,3518980	0,4666739
560	0,3632117	0,0352218	0,0864456	0,1871734	0,6220981	0,1768671	0,5579881	0,5282146	0,6242494	0,5962229	0,1760243	0,5421590	0,4501595	0,5660667	0,3985067	0,6032387
580	0,4602988	0,3485245	0,0904943	0,1631430	0,6617190	0,2241019	0,5360973	0,5350775	0,5900258	0,5813093	0,1377046	0,6565645	0,4885240	0,4583649	0,3985928	0,5714040
600	0,4581464	0,4657156	0,0760450	0,1874165	0,6072932	0,1605109	0,6531660	0,5128300	0,6466075	0,5336740	0,1482719	0,5722152	0,4879200	0,4584962	0,4164924	0,5090428
620	0,5119129	0,5878959	0,0853571	0,1390584	0,7100438	0,1568315	0,6052305	0,5168862	0,6700453	0,5065491	0,0934996	0,5405879	0,3498065	0,4989237	0,4924686	0,4881466
640	0,4532148	0,6184970	0,0732131	0,1522280	0,6353190	0,1482434	0,6862995	0,4282638	0,5501781	0,5266543	0,1711304	0,5331788	0,4189096	0,5577472	0,3453837	0,4555354
660	0,4583734	0,5653474	0,0784527	0,1998339	0,7479734	0,1730004	0,5976208	0,5468161	0,4648935	0,6053704	0,1437132	0,5141163	0,4093287	0,5472154	0,3268126	0,4361076
680	0,6145840	0,7828115	0,1121600	0,2081803	0,6668048	0,1266342	0,7365864	0,5741603	0,5564948	0,5563595	0,1613940	0,4460068	0,4095062	0,4131028	0,4377702	0,4433629
700	0,5504453	0,7655602	0,1040895	0,2886150	0,6222246	0,1709292	0,7961764	0,4390760	0,4176365	0,5509588	0,0604083	0,4275462	0,3591490	0,3507245	0,3984585	0,3852373
720	0,4307204	0,6153044	0,0808189	0,1657625	0,6147187	0,1333670	0,7489654	0,5439644	0,5952046	0,5303560	0,0948596	0,4789498	0,2899169	0,4076761	0,3440414	0,4566600
740	0,4184564	0,6925787	0,0458822	0,2236809	0,6493661	0,2182733	0,6304667	0,4919892	0,5409966	0,4865627	0,0889220	0,4506316	0,2830050	0,3456315	0,3808788	0,3476310
760	0,5042304	0,5705334	0,0539593	0,1904311	0,4414907	0,1854838	0,6008701	0,4382488	0,5700511	0,5075988	0,0858777	0,4157394	0,2798791	0,4765103	0,4626911	0,3217528
780	0,5226312	0,5904936	0,0431466	0,1867362	0,4022803	0,1376890	0,6597950	0,4853722	0,5452100	0,3888977	0,1225770	0,3512355	0,2524756	0,3470656	0,4979709	0,3464088
800	0,4254094	0,6318594	0,0857800	0,1773855	0,5662988	0,1872396	0,5567020	0,5015856	0,6190345	0,3256304	0,0759965	0,3504210	0,2110362	0,4760877	0,4260001	0,3702498
820	0,4973300	0,6704237	0,0488059	0,2475518	0,6061559	0,1156557	0,5746414	0,6356431	0,5785719	0,3935422	0,0862534	0,4287346	0,2310193	0,3652253	0,6333527	0,4267925
840	0,5239150	0,7465058	0,0498433	0,2211190	0,5081117	0,1942286	0,4929951	0,4800258	0,6384544	0,5493326	0,0981835	0,3919400	0,2732994	0,2917648	0,5329462	0,3569931
860	0,4664352	0,6630599	0,0803270	0,2301051	0,5086487	0,1878167	0,4855948	0,4360368	0,6298539	0,4305679	0,0861711	0,3753254	0,2370614	0,2346281	0,4950445	0,2697434
880	0,5240504	0,6186806	0,0243470	0,1792189	0,4878028	0,1868878	0,5154666	0,3754997	0,6024293	0,4474691	0,0855679	0,4518535	0,3896788	0,2736582	0,4232061	0,3897951
900	0,4275127	0,6540450	0,0745236	0,1905718	0,5592443	0,2679418	0,5515522	0,3760611	0,5273950	0,4500384	0,1091567	0,3689544	0,2984164	0,2389222	0,5290465	0,4118011
920	0,4355779	0,6719446	0,0487885	0,1779381	0,5239962	0,1672862	0,6195105	0,4566570	0,5697597	0,3786947	0,1293655	0,4442252	0,2310084	0,3423462	0,5153637	0,3117948
940	0,5428552	0,7749504	0,0277753	0,1819658	0,5223736	0,2033592	0,6515945	0,5174713	0,5908465	0,4018739	0,1075799	0,3419471	0,2666382	0,3609112	0,4496709	0,3316391
960	0,5374737	0,8054543	0,0365348	0,1682490	0,4497721	0,1383311	0,6065760	0,4684932	0,6271576	0,3826691	0,1013032	0,3749860	0,2024160	0,3611651	0,4359222	0,3739863
980	0,5281853	0,5936485	0,0363517	0,2168037	0,3815184	0,1787913	0,5678181	0,4827622	0,6574038	0,3603548	0,0791351	0,4309067	0,1933514	0,3714181	0,4411255	0,4284612
1000	0,5319310	0,7387361	0,0454692	0,1785347	0,4278632	0,1685183	0,6806977	0,4492385	0,6272510	0,4492661	0,1241409	0,4043941	0,2615901	0,2758805	0,5940691	0,4012572
1020	0,5516793	0,6904297	0,0422694	0,2206016	0,5254324	0,1521356	0,5135086	0,4248613	0,6866419	0,3700184	0,1168255	0,4633178	0,2441692	0,3150236	0,4706397	0,4450469
1040	0,5515069	0,7514855	0,0454581	0,1920077	0,5267280	0,1703946	0,6171442	0,5298481	0,5689191	0,3612982	0,0884098	0,4762740	0,2743380	0,3635289	0,4451630	0,3037259
1060	0,5947146	0,7195625	0,0310735	0,2320722	0,4926638	0,1700577	0,5754060	0,4526535	0,6028504	0,3411578	0,0869066	0,4315750	0,2722675	0,3758469	0,5733591	0,3789341
1080	0,5346665	0,7641093	0,0696823	0,2412743	0,4120976	0,1523161	0,5413103	0,5205062	0,6345662	0,2990197	0,1090849	0,4032289	0,2620148	0,3497304	0,4324873	0,2906466
1100	0,5591654	0,7271484	0,0493462	0,1783902	0,4517810	0,1366203	0,5851174	0,3836757	0,6645085	0,3487190	0,0709714	0,3686621	0,2956032	0,3217997	0,4182182	0,3617206

0	0,5396056	0,8121047	0,0523799	0,2565192	0,4212598	0,1529129	0,5774758	0,4259874	0,8519119	0,4012723	0,0601434	0,3921466	0,3016487	0,2871422	0,5610226	0,3631287
20	0,4257069	0,6449418	0,0695096	0,2207327	0,4071824	0,0940180	0,5387527	0,4670349	0,5753632	0,2566819	0,0302853	0,3576061	0,2235826	0,2672961	0,5775385	0,2498737
40	0,4101412	0,6121594	0,0743329	0,0762172	0,4760952	0,1342368	0,5475148	0,5391112	0,6078951	0,3290912	0,0232358	0,3909363	0,2054622	0,3108001	0,3779750	0,1892179
60	0,3863092	0,7286111	0,0561113	0,0511736	0,5444535	0,1673289	0,5711207	0,5905596	0,5128982	0,3491930	0,0187779	0,3853244	0,2032959	0,3225118	0,4605534	0,1214005
80	0,3452402	0,6474685	0,0709714	0,0336350	0,4461478	0,1911392	0,7641988	0,6499815	0,5339816	0,3658623	0,0149987	0,4191598	0,1751646	0,4167204	0,4807886	0,1064913
100	0,3334629	0,5879887	0,0280269	0,0280738	0,6216196	0,2613581	0,7344483	0,6241669	0,6828016	0,5030260	0,0173985	0,3994059	0,1556507	0,3620083	0,4053413	0,1005823
120	0,4313702	0,6375013	0,1048079	0,0122488	0,7634793	0,2155469	0,6507329	0,7249129	0,5297530	0,3350758	0,0086093	0,5022799	0,2226470	0,4166376	0,4764098	0,0747154
140	0,4381197	0,6249049	0,0825640	0,0188029	0,6452329	0,2577962	0,6736425	0,6426866	0,5298738	0,4550275	0,0254361	0,6174184	0,2592787	0,4301071	0,5001718	0,1085054
160	0,4564560	0,7081056	0,0747015	0,0203820	0,6739896	0,2211740	0,6910208	0,5835413	0,4922481	0,5252936	0,0459723	0,5961298	0,3164770	0,4814386	0,4114093	0,0682353
180	0,4522186	0,5796281	0,0596019	0,0070262	0,7472563	0,2697256	0,8042950	0,6892205	0,5426355	0,4128080	0,0560532	0,4734877	0,1900337	0,4882191	0,4271985	0,0851112
200	0,3745937	0,5339536	0,0754943	0,0008646	0,6047577	0,2541933	0,6303535	0,5352773	0,5360578	0,3846606	0,0927878	0,4468767	0,2826463	0,4543399	0,4268713	0,0610032
220	0,3677380	0,6245560	0,0425520	0,0006152	0,6347812	0,2387956	0,6935982	0,5687018	0,5169358	0,4888132	0,0171347	0,5358455	0,2742783	0,4956590	0,4357170	0,0620908
240	0,3866637	0,6520788	0,1586474	0,0002767	0,6464248	0,2534998	0,6565174	0,6255920	0,5259231	0,5852016	0,0161780	0,4056992	0,2697386	0,5663206	0,4032310	0,0545043
260	0,3897368	0,6748397	0,0845806	0,0005284	0,7450464	0,2491527	0,6957675	0,6095802	0,5347886	0,5514903	0,0277985	0,5592040	0,2983104	0,5499550	0,4617298	0,0824838
280	0,4603078	0,6560600	0,1283469	0,0001972	0,5884236	0,2745466	0,6962480	0,7067086	0,5197932	0,5159492	0,0213408	0,5182519	0,3106351	0,5463533	0,5028024	0,0660260
300	0,3934602	0,7348024	0,1031668	0,0020881	0,5699837	0,2519482	0,7312564	0,6129319	0,6212423	0,5785437	0,0305061	0,4478099	0,2748382	0,4241152	0,4729510	0,0567863
320	0,4398059	0,6012506	0,0489910	0,0023989	0,6072866	0,2318162	0,7663925	0,5890544	0,5567758	0,5614299	0,0645440	0,4872127	0,2992934	0,4518472	0,4527624	0,0391831
340	0,3861632	0,7348034	0,0933285	0,0067906	0,5999946	0,3148186	0,7106981	0,6559242	0,4693779	0,4551226	0,0597309	0,4518886	0,2786392	0,4419365	0,4103702	0,0358161
360	0,4940687	0,6142205	0,0437190	0,0017625	0,6722076	0,2833288	0,7133390	0,7127279	0,5363379	0,4386618	0,0578654	0,4752294	0,3109250	0,5666454	0,3865476	0,0737507
380	0,4054818	0,6958372	0,0297362	0,0003889	0,5458170	0,2753783	0,6479438	0,7605901	0,5185982	0,5933326	0,0416053	0,5153280	0,2553511	0,4200710	0,4015807	0,0259109
400	0,4823360	0,5694806	0,0565825	0,0004245	0,6116444	0,3196245	0,7090689	0,6851172	0,5957579	0,4786991	0,0391841	0,4515392	0,2128291	0,4431248	0,3403573	0,0742820
420	0,3824353	0,5707674	0,0385718	0,0000000	0,5687254	0,3493999	0,5962693	0,6837243	0,5208200	0,4635681	0,0336442	0,3850148	0,2270442	0,5144627	0,3766791	0,0420271
440	0,4002782	0,5513035	0,0443490	0,0000460	0,5276355	0,2286108	0,6988384	0,5454836	0,5835420	0,5284403	0,0557465	0,5043131	0,2769546	0,5072798	0,3866489	0,0609749
460	0,4432297	0,5432328	0,0640060	0,0003539	0,6458685	0,2053251	0,6262099	0,6164020	0,6023525	0,5266458	0,0283496	0,4501248	0,2585837	0,4312570	0,3854447	0,0644535
480	0,4177294	0,6823982	0,1085110	0,0001268	0,7961578	0,3143247	0,7265349	0,5800112	0,4867150	0,5089632	0,0500243	0,4485445	0,2807952	0,5049045	0,3530031	0,0835996
500	0,4212411	0,5676847	0,1283367	0,0002007	0,8487218	0,2583976	0,7235407	0,6167761	0,4162885	0,4337959	0,0440448	0,5289749	0,2543829	0,6013045	0,3567084	0,0441367
520	0,5110854	0,5568185	0,1079206	0,0000040	0,7519865	0,2864344	0,6024011	0,4881791	0,5793232	0,5945216	0,0373330	0,4744002	0,2467446	0,5014182	0,3958061	0,0523091
