"Time"	yoeB	yefM	alaS	mngB	mngR	mngA	artJ	argR	argB	artI	artQ	argA	artM	argC	argE	artP
1100	0,3782837	0,6650756	0,6220839	0,9721670	0,4870515	0,2043676	0,3354509	0,4046523	0,0141792	0,8993380	0,1414937	0,9725538	0,8873635	0,6356747	0,0111103	0,2881518

0	0,3787516	0,6642103	0,6220841	0,9721681	0,4870590	0,2043697	0,3354457	0,4046523	0,0141792	0,8993376	0,1415097	0,9725412	0,8873498	0,6356676	0,0111103	0,2881517
20	0,3787295	0,6642510	0,4672428	0,8877171	0,4870596	0,2043700	0,3354421	0,4046523	0,0083870	0,7898081	0,1415068	0,9725441	0,8097735	0,6356684	0,0111103	0,2881517
40	0,3787119	0,6642836	0,3834735	0,8423190	0,4870601	0,2043701	0,3354396	0,4046523	0,0053016	0,7226576	0,1415047	0,9725461	0,7548988	0,6356689	0,0111103	0,2881517
60	0,3786977	0,6643096	0,3449105	0,8179144	0,4870602	0,2043702	0,3354377	0,4046523	0,0036581	0,6814887	0,1415032	0,9725476	0,7160824	0,6356692	0,0111103	0,2881517
80	0,3786863	0,6643305	0,3311079	0,8047952	0,4870602	0,2043701	0,3354363	0,4046523	0,0027827	0,6562489	0,1415022	0,9725486	0,6886250	0,6356695	0,0111103	0,2881517
100	0,3786772	0,6643472	0,3288754	0,7977428	0,4870601	0,2043701	0,3354353	0,4046523	0,0023163	0,6407748	0,1415015	0,9725493	0,6692027	0,6356696	0,0111103	0,2881517
120	0,3786698	0,6643606	0,3311038	0,7939517	0,4870600	0,2043701	0,3354346	0,4046523	0,0020679	0,6312879	0,1415010	0,9725499	0,6554639	0,6356697	0,0111103	0,2881517
140	0,3786640	0,6643713	0,3344635	0,7919136	0,4870600	0,2043701	0,3354341	0,4046523	0,0019356	0,6254717	0,1415007	0,9725503	0,6457457	0,6356698	0,0111103	0,2881517
160	0,3786593	0,6643800	0,3375973	0,7908181	0,4870600	0,2043701	0,3354337	0,4046523	0,0018651	0,6219058	0,1415004	0,9725505	0,6388713	0,6356698	0,0111103	0,2881517
180	0,3786555	0,6643869	0,3400744	0,7902292	0,4870600	0,2043701	0,3354334	0,4046523	0,0018276	0,6197197	0,1415002	0,9725507	0,6340086	0,6356699	0,0111103	0,2881517
