"Time"	mqsA	mqsR	alaS	yccA	cpxR	psd	dsbA	motA	ydeH	bacA	ftnB	yidQ	ppiD	rseA	rdoA	cheA
600	0,4453463	0,5827872	0,5701360	0,6268078	0,6137480	0,4070744	0,5657107	0,4255036	0,7549103	0,3934186	0,4688252	0,3429895	0,6452917	0,0052382	0,4462873	0,3344231
620	0,4477052	0,7875248	0,4665067	0,7146568	0,5370463	0,4637738	0,5266324	0,4443819	0,5625553	0,3933445	0,4586835	0,5095638	0,6431980	0,0041814	0,4059231	0,4132204
640	0,4813082	0,7835208	0,4255252	0,6811027	0,5959041	0,4385175	0,5845314	0,4768140	0,5788643	0,4772753	0,5127890	0,4597133	0,7657937	0,0064428	0,4094221	0,3654602
660	0,5435396	0,6215298	0,5272847	0,7276395	0,6805633	0,3877089	0,6417350	0,4732589	0,5753159	0,4073567	0,5574284	0,3857960	0,6038584	0,0109322	0,4627296	0,3847114
680	0,5513216	0,6379656	0,4789812	0,6880717	0,6738382	0,4729665	0,5446728	0,4727857	0,6583608	0,4050952	0,5064824	0,4555461	0,6297920	0,0249188	0,3968997	0,4748124
700	0,5321096	0,6132804	0,4733941	0,7101474	0,6641521	0,4370533	0,5980893	0,4422121	0,4896064	0,3535918	0,5464615	0,4067306	0,7520653	0,0322358	0,3850202	0,3652412
720	0,5316728	0,6558215	0,4999634	0,6777190	0,7256765	0,4704674	0,5940095	0,5058761	0,4718617	0,3524872	0,5039611	0,3714419	0,6146048	0,0284845	0,4941175	0,3655842
740	0,4861834	0,6168034	0,5653793	0,6267470	0,7174124	0,4234558	0,4677956	0,4398952	0,5993584	0,3589392	0,5020829	0,4128103	0,5905721	0,0163085	0,4062577	0,3780732
760	0,5754015	0,6561790	0,5282332	0,6815861	0,6513367	0,4484683	0,5321845	0,4467409	0,5597419	0,3302074	0,4450962	0,4296785	0,5805428	0,0531578	0,4727774	0,3745948
780	0,5548465	0,5902045	0,4223083	0,5972817	0,5842084	0,4309134	0,4738841	0,5537766	0,6443689	0,4097052	0,4074043	0,3858136	0,6081316	0,0545312	0,5252755	0,4148917
800	0,5812525	0,8162855	0,4335683	0,7677057	0,6167612	0,3793030	0,4629712	0,4348471	0,6570298	0,4756350	0,5224562	0,4303199	0,5350743	0,0351960	0,5400728	0,4071687
820	0,5895375	0,6138455	0,5417537	0,6867200	0,6297915	0,3326798	0,4827288	0,3703744	0,6299609	0,4732029	0,4339523	0,3154890	0,7044641	0,0258013	0,4794043	0,3138268
840	0,5580743	0,7068787	0,4970396	0,7483073	0,5953996	0,3895399	0,5257434	0,3334046	0,7416585	0,4283801	0,4844055	0,3245494	0,6213321	0,0367820	0,5478446	0,3263259
860	0,6549130	0,6884271	0,5313639	0,7404260	0,5450476	0,3703191	0,4851852	0,2914233	0,4877870	0,4945276	0,4622511	0,3099695	0,5541782	0,0351907	0,4644393	0,3597431
