hipA	hipB	ihfB	yeiL	tdcA	tdcF	tdcG	tdcE	tdcC	tdcD	tdcB	hemF	amiA	ibpB	uspB	ecpD	Time	Experiment
1	0	1	0	1	0	0	0	0	0	0	1	1	0	1	0	0	5
1	1	0	0	1	0	0	0	0	0	0	1	1	0	1	0	20	5
1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	40	5
1	0	0	0	0	0	0	0	1	0	0	1	1	1	0	0	60	5
1	0	0	0	0	0	0	0	0	0	1	1	1	1	0	0	80	5
1	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	100	5
1	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	120	5
1	0	0	0	0	0	0	0	0	1	0	1	1	1	0	0	140	5
1	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	160	5
1	0	0	0	0	0	0	0	0	0	1	1	1	1	0	0	180	5
1	0	0	0	0	0	0	0	0	1	0	1	1	1	0	0	200	5
1	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	220	5
1	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	240	5
1	0	0	0	1	0	0	0	0	0	1	1	1	1	0	0	260	5
1	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	280	5
1	0	0	0	0	0	0	0	0	0	1	1	1	1	0	0	300	5
1	0	0	0	1	0	0	0	0	0	0	1	1	1	0	0	320	5
1	0	1	0	0	0	0	0	0	0	0	1	1	1	0	0	340	5
1	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	360	5
1	0	1	0	0	0	0	0	0	0	0	1	1	1	0	0	380	5
1	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	400	5
1	0	0	0	0	0	1	0	0	0	0	1	1	1	0	0	420	5
1	0	0	0	0	0	1	0	0	0	0	1	1	1	0	0	440	5
1	0	0	0	0	0	1	0	0	0	0	1	1	1	0	0	460	5
1	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	480	5
1	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	500	5
1	0	0	0	0	0	1	0	0	0	0	1	1	1	0	0	520	5
1	0	0	0	0	0	1	0	0	0	1	1	1	1	0	0	540	5
1	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	560	5
1	0	1	0	0	0	0	0	0	0	1	1	1	1	1	0	580	5
1	0	0	0	0	0	0	0	0	0	1	1	1	0	1	0	600	5
1	1	0	0	0	0	0	0	1	0	1	1	1	0	1	0	620	5
1	0	1	0	0	0	0	0	1	0	0	1	1	0	1	0	640	5
0	1	1	0	0	0	0	0	1	0	0	1	1	0	1	0	660	5
1	1	0	0	0	0	0	0	1	0	0	1	1	0	1	0	680	5
1	1	1	0	1	0	0	0	0	1	0	1	1	0	1	0	700	5
1	0	1	0	0	0	0	0	0	1	0	1	1	0	1	0	720	5
0	1	0	0	0	0	0	0	1	0	0	1	0	0	1	0	740	5
0	0	0	0	1	0	0	0	0	1	0	1	1	0	1	0	760	5
1	1	1	0	1	0	0	0	1	1	0	1	1	0	1	0	780	5
0	1	1	1	0	0	0	0	1	1	0	1	0	0	1	0	800	5
