"Time"	narL	nikR	dcuR	caiF	modE	nikD	nikC	nikB	frdB	frdC	frdA	nikE	nikA	frdD	dcuB	ccmF
360	0,8842764	0,5586871	0,0798780	0,2779985	1,0000000	0,2212292	0,1692506	0,3559993	0,1097798	0,3244088	0,0033834	0,0271302	0,0003803	0,0664823	0,0339834	0,2738601
380	0,8842764	0,5586871	0,0798779	0,2779985	1,0000000	0,2212292	0,1692484	0,3559993	0,1097005	0,3239635	0,0033772	0,0271302	0,0003803	0,0664190	0,0339791	0,2738599
400	0,8842764	0,5586871	0,0798779	0,2779985	1,0000000	0,2212292	0,1692472	0,3559993	0,1096490	0,3236842	0,0033737	0,0271302	0,0003803	0,0663815	0,0339766	0,2738597
420	0,8842764	0,5586871	0,0798779	0,2779985	1,0000000	0,2212292	0,1692466	0,3559993	0,1096155	0,3235102	0,0033717	0,0271302	0,0003803	0,0663594	0,0339752	0,2738596
440	0,8842764	0,5586871	0,0798779	0,2779985	1,0000000	0,2212292	0,1692463	0,3559993	0,1095937	0,3234026	0,0033705	0,0271302	0,0003803	0,0663464	0,0339744	0,2738595
460	0,8842764	0,5586871	0,0798779	0,2779985	1,0000000	0,2212292	0,1692461	0,3559993	0,1095795	0,3233363	0,0033698	0,0271302	0,0003803	0,0663388	0,0339740	0,2738595
480	0,8842764	0,5586871	0,0798779	0,2779985	1,0000000	0,2212292	0,1692460	0,3559993	0,1095703	0,3232957	0,0033695	0,0271302	0,0003803	0,0663343	0,0339737	0,2738594
500	0,8842764	0,5586871	0,0798779	0,2779985	1,0000000	0,2212292	0,1692460	0,3559993	0,1095643	0,3232709	0,0033692	0,0271302	0,0003803	0,0663316	0,0339736	0,2738594
520	0,8842764	0,5586871	0,0798779	0,2779985	1,0000000	0,2212292	0,1692460	0,3559993	0,1095605	0,3232558	0,0033691	0,0271302	0,0003803	0,0663301	0,0339735	0,2738594
540	0,8842764	0,5586871	0,0798779	0,2779985	1,0000000	0,2212292	0,1692460	0,3559993	0,1095579	0,3232467	0,0033690	0,0271302	0,0003803	0,0663292	0,0339734	0,2738594
560	0,8842764	0,5586871	0,0798779	0,2779985	1,0000000	0,2212292	0,1692460	0,3559993	0,1095563	0,3232411	0,0033690	0,0271302	0,0003803	0,0663287	0,0339734	0,2738594
580	0,8842764	0,5586871	0,2900044	0,2779985	1,0000000	0,2212292	0,4460426	0,3559993	0,1097129	0,5753489	0,0089168	0,0271302	0,0017373	0,0743964	0,0342412	0,2738594
600	0,8842764	0,5586871	0,3762944	0,2779985	1,0000000	0,2212292	0,5903621	0,3559993	0,1125130	0,7564280	0,0213267	0,0271302	0,0024632	0,1062376	0,0368322	0,2738593
620	0,8842764	0,5586871	0,4117301	0,2779985	1,0000000	0,2212292	0,6656091	0,3559993	0,1257469	0,8618268	0,0460465	0,0271302	0,0028515	0,1493955	0,0448084	0,2738593
640	0,8842764	0,5586871	0,4262820	0,2779985	1,0000000	0,2212292	0,7048422	0,3559993	0,1535038	0,9217400	0,0781971	0,0271302	0,0030592	0,1898540	0,0582760	0,2738593
660	0,8842764	0,5586871	0,4322579	0,2779985	1,0000000	0,2212292	0,7252981	0,3559993	0,1897713	0,9556717	0,1099730	0,0271302	0,0031704	0,2218786	0,0743006	0,2738593
680	0,8842764	0,5586871	0,4347119	0,2779985	1,0000000	0,2212292	0,7359636	0,3559993	0,2263519	0,9748688	0,1367110	0,0271302	0,0032298	0,2450217	0,0897327	0,2738593
700	0,8842764	0,5586871	0,4357197	0,2779985	1,0000000	0,2212292	0,7415245	0,3559993	0,2583493	0,9857255	0,1571151	0,0271302	0,0032616	0,2608526	0,1027364	0,2738593
