"Time"	rstA	csgD	ompR	bolA	rcsB	csgE	csgG	csgF	sra	ompF	omrA	ampC	omrB	iraP	adrA	tppB
940	0,7418629	0,4439529	0,7287588	0,1063323	0,5857765	0,0942261	0,3286149	0,6430136	0,0257087	0,1915436	0,6728036	0,4183795	0,6770200	0,4227813	0,4962979	0,6524583
960	0,5857625	0,5142207	0,6938812	0,0817739	0,7267057	0,1270500	0,3507690	0,6866621	0,0427941	0,1868101	0,5921948	0,5286715	0,6522096	0,5129619	0,5333328	0,5799139
980	0,9346231	0,6001200	0,6332327	0,1144888	0,6374928	0,1271508	0,3168142	0,7033484	0,0375736	0,2245604	0,7188143	0,5499420	0,6302235	0,4145561	0,6265567	0,5244787
1000	0,7395776	0,4984930	0,7808508	0,0812050	0,6876081	0,0964058	0,3371450	0,7352391	0,0259031	0,2119813	0,6984441	0,7139550	0,6513674	0,3593579	0,6267939	0,6575904
1020	0,6910485	0,4550488	0,6793395	0,0873814	0,7467213	0,1362161	0,4114527	0,9546092	0,0432203	0,2421085	0,6973025	0,5781206	0,6999115	0,4676375	0,4650727	0,6491339
1040	0,7209695	0,5559700	0,6500496	0,0899111	0,7549843	0,1840272	0,4142817	0,6726484	0,0474106	0,1883883	0,7106181	0,5304047	0,6607452	0,4885450	0,5527192	0,7284472
1060	0,6990118	0,4831518	0,6433025	0,0717219	0,7128081	0,0908975	0,4076617	0,6640353	0,0540325	0,2560900	0,6466988	0,4999564	0,5651411	0,5105104	0,3873835	0,8006096
1080	0,7581906	0,5118715	0,7978768	0,1261193	0,7483128	0,1408190	0,3529739	0,7836074	0,0420418	0,2585975	0,6842076	0,5847837	0,6047355	0,4455738	0,4237727	0,7716982
1100	0,7213243	0,4946770	0,7117063	0,1124091	0,7450662	0,1069369	0,5130012	0,7567784	0,0488116	0,1598309	0,6436082	0,4687909	0,5916154	0,4122435	0,4697909	0,5684858

0	0,6096298	0,5079082	0,7109575	0,1474207	0,7196895	0,1357889	0,3686985	0,7115774	0,0495163	0,2072522	0,5823563	0,3286235	0,6951896	0,4405781	0,5276083	0,9406674
20	0,6888607	0,4693950	0,6920246	0,1175350	0,7985646	0,1067390	0,4190337	0,8231432	0,0945727	0,2629848	0,8271905	0,2855138	0,6883451	0,4147725	0,4493735	0,7431833
40	0,7996142	0,5118929	0,7438584	0,1010972	0,7943500	0,0825460	0,3206723	0,7881738	0,2095508	0,2605093	0,6706581	0,1425460	0,5572004	0,4568653	0,4415748	0,6210642
60	0,7990239	0,5788501	0,5759746	0,1248077	0,9421911	0,1217568	0,3571694	0,8099952	0,2320198	0,2319506	0,7405548	0,0501009	0,5045431	0,3471584	0,4700634	0,7495280
80	0,7206449	0,5039129	0,5650113	0,1590927	0,7420999	0,0811906	0,2926646	0,7497727	0,2907958	0,2628627	0,7941875	0,0504650	0,6373774	0,3598080	0,4735803	0,5688120
100	0,6484436	0,5854005	0,6846941	0,1727625	0,7479056	0,0947455	0,2708396	0,7706695	0,2680692	0,1828699	0,7215495	0,0298711	0,6414058	0,4253531	0,4784989	0,5534347
120	0,6871262	0,4291348	0,5815809	0,1265957	0,8702403	0,0910690	0,3105851	0,7832607	0,2497026	0,3060886	0,5625834	0,0176883	0,6247083	0,3279433	0,4656356	0,7018913
140	0,6167312	0,4881250	0,7128652	0,1493772	0,7661886	0,1147062	0,3049681	0,7448311	0,2657382	0,2938925	0,6496400	0,0288347	0,7301570	0,3913147	0,4453499	0,7130829
160	0,6128071	0,4698194	0,6208256	0,1819487	0,6463727	0,0790007	0,3295979	0,8898350	0,2925903	0,3012681	0,5270389	0,0262962	0,6958820	0,4016610	0,4880499	0,7668230
180	0,5354371	0,4050997	0,5957043	0,2019150	0,7062937	0,0729577	0,3413195	0,8232097	0,3011388	0,2626709	0,6247982	0,0368384	0,6547207	0,4684198	0,5538062	0,7338264
200	0,6231406	0,4621093	0,5989975	0,1646754	0,6366811	0,0807299	0,3269909	0,7099616	0,3229524	0,2112433	0,7948491	0,0081808	0,5624989	0,4245486	0,5476299	0,7753043
220	0,6856479	0,5715570	0,7328532	0,1336236	0,7345835	0,0774977	0,2833386	0,6741996	0,2727725	0,2582161	0,6109410	0,0252273	0,6851245	0,4080184	0,4080819	0,7263100
240	0,6570695	0,5089045	0,6473165	0,1602127	0,6531870	0,1067382	0,3445494	0,7364512	0,3698435	0,2188328	0,6828903	0,0232431	0,6542294	0,4899304	0,4881316	0,7051406
260	0,8366369	0,4906213	0,6104775	0,1728655	0,5979472	0,0814266	0,4057131	0,8450944	0,2838163	0,2056414	0,8141039	0,0383583	0,6192452	0,4529458	0,5177529	0,7550696
280	0,7645146	0,5137077	0,6548422	0,1309480	0,7894599	0,1118600	0,4285660	0,7928908	0,3310268	0,1445104	0,7140702	0,0170698	0,6745189	0,3782479	0,4128243	0,6780694
300	0,6374690	0,4547371	0,6576760	0,1377326	0,6298318	0,0894458	0,3188772	0,6551755	0,2720801	0,2237517	0,6389004	0,0181886	0,7260567	0,4346671	0,3517733	0,5672795
320	0,6881314	0,5511368	0,6569741	0,1493440	0,7200437	0,0679470	0,2783437	0,8060075	0,3282527	0,2284593	0,6482722	0,0222836	0,7382585	0,4742323	0,4138000	0,6168163
340	0,6907558	0,4717232	0,5798257	0,1518161	0,6015089	0,1031673	0,4081270	0,7125023	0,3347214	0,2543403	0,7427130	0,0388943	0,7870649	0,3731715	0,6027070	0,5626068
360	0,7213935	0,4545289	0,5835650	0,1839209	0,6534489	0,0482449	0,4172949	0,7488389	0,3174485	0,2405507	0,5663575	0,0062912	0,5436134	0,4559391	0,5234551	0,6277524
380	0,8743528	0,4657082	0,5059910	0,1630195	0,7690414	0,1017783	0,3834627	0,6516773	0,3646701	0,2969244	0,6777262	0,0092775	0,7038700	0,3989869	0,5192970	0,7479138
400	0,5622015	0,5469630	0,5646473	0,1596290	0,7038018	0,0491894	0,4140065	0,8038035	0,3691468	0,2336858	0,5749818	0,0075860	0,6063879	0,4214609	0,5474601	0,6900839
420	0,7924270	0,5340370	0,5226742	0,1763502	0,7347690	0,0948696	0,3762089	0,6524344	0,2815963	0,2778512	0,6430917	0,0217061	0,6621720	0,4033912	0,5697422	0,9100691
440	0,7092456	0,4569765	0,6611726	0,1558067	0,6758656	0,0752840	0,2647394	0,6113770	0,2895068	0,2513872	0,6026299	0,0041766	0,6499370	0,4411421	0,5306421	0,7013879
460	0,7379108	0,3633997	0,7724303	0,1791335	0,7668891	0,1025372	0,3856282	0,6636933	0,3114328	0,2109703	0,7577033	0,0218734	0,6813987	0,3722458	0,5181165	0,7121350
480	0,7218383	0,5418619	0,5595178	0,1901090	0,7286630	0,0974172	0,4019761	0,7785135	0,2522242	0,2734582	0,6454502	0,0148499	0,6832078	0,4210763	0,5101663	0,6560871
