"Time"	rstA	csgD	ompR	bolA	rcsB	csgE	csgG	csgF	sra	ompF	omrA	ampC	omrB	iraP	adrA	tppB
540	0,8402886	0,5537952	0,7235927	0,1105330	0,6866691	0,0890350	0,3266647	0,7189117	0,2503860	0,2858144	0,7169683	0,0075337	0,6145763	0,3927833	0,5138015	0,5993944
560	0,7025144	0,5235226	0,5729496	0,1662492	0,6825018	0,0695227	0,3491988	0,8277508	0,2296103	0,1973502	0,5466048	0,0230315	0,7373940	0,3897046	0,5318364	0,5689492
580	0,6586216	0,5053283	0,6055306	0,1671220	0,8270515	0,0364282	0,3843879	0,7377535	0,2450097	0,2276450	0,7347721	0,0446371	0,6427104	0,3894996	0,4734491	0,6254141
600	0,8929949	0,4620245	0,7428760	0,1017049	0,6170502	0,1114818	0,2973779	0,5835358	0,2173453	0,1827551	0,5404367	0,1027930	0,6415237	0,3854305	0,5538495	0,8401678
620	0,6432608	0,4535530	0,6750567	0,1602203	0,7199234	0,0576097	0,3345980	0,7368005	0,2588279	0,2191359	0,5726501	0,2913296	0,7101704	0,3128324	0,4927767	0,7520031
640	0,7438424	0,5083107	0,6551111	0,1640709	0,6488532	0,1419534	0,2424668	0,6875755	0,1676094	0,1788127	0,7118263	0,2373136	0,7449986	0,3974608	0,6318472	0,7490700
660	0,6428174	0,5399902	0,7293478	0,1407865	0,7991089	0,0807765	0,3701261	0,6776970	0,1782172	0,3190966	0,5284110	0,3485115	0,5792393	0,4138243	0,6889761	0,8771420
680	0,6244460	0,5429564	0,7144822	0,1162445	0,6081592	0,0943793	0,3439173	0,7237046	0,1322746	0,2537215	0,5603883	0,2950753	0,7107529	0,3927495	0,6722293	0,6766902
700	0,6523632	0,4049472	0,8152086	0,1339275	0,7374371	0,0877487	0,3143484	0,6844054	0,0971377	0,1887184	0,5217976	0,2943761	0,6677962	0,4953333	0,4310337	0,5991482
720	0,6314611	0,5284025	0,7684245	0,1267428	0,8226385	0,1210631	0,3434122	0,7450787	0,0473295	0,2748057	0,6985667	0,3987039	0,6109772	0,4125862	0,4777079	0,6235148
740	0,7790875	0,4329549	0,7300358	0,1294036	0,6299997	0,1594515	0,3593556	0,7597753	0,0746356	0,1641871	0,6150661	0,3758338	0,6893064	0,4597259	0,4530197	0,7130446
760	0,7532292	0,5710029	0,7180245	0,1317363	0,6325255	0,0778009	0,4158792	0,6241384	0,0947987	0,1904747	0,6723347	0,4540043	0,5935326	0,4842052	0,4152146	0,7413781
780	0,7793124	0,4281488	0,6838662	0,1004909	0,7382943	0,1039740	0,3948943	0,6616850	0,0532983	0,2082331	0,7047450	0,4282252	0,7795495	0,3790685	0,4718125	0,6317820
800	0,7684712	0,4504741	0,7211065	0,1024754	0,7809065	0,0997751	0,2669863	0,6400738	0,0775046	0,2137709	0,7778154	0,4128056	0,7203913	0,4276163	0,4961707	0,6100415
820	0,6356742	0,4023492	0,7809013	0,1167890	0,6960444	0,1175581	0,2672715	0,6191767	0,0531867	0,2031213	0,7277262	0,4258394	0,6299663	0,3635345	0,5166994	0,7294976
840	0,7007757	0,4906002	0,6110131	0,1068993	0,7214003	0,1395161	0,3034045	0,7266588	0,0448547	0,2330153	0,5920781	0,4450883	0,6823275	0,4570007	0,5233517	0,6550371
860	0,6825850	0,4114023	0,7079319	0,0848048	0,7893444	0,1339162	0,3990972	0,7115977	0,0265622	0,1598427	0,7679280	0,5138559	0,5556150	0,4486233	0,4319160	0,6476424
880	0,7112327	0,4468711	0,8242151	0,0617955	0,8769368	0,0904667	0,3607330	0,6144222	0,0645903	0,1591435	0,8796565	0,5720581	0,6613263	0,4495521	0,4696376	0,6779684
900	0,7336021	0,5020384	0,7454216	0,1081594	0,5886413	0,1502558	0,3141842	0,6924965	0,0470790	0,1682178	0,6868408	0,5060193	0,8168860	0,3970833	0,4409855	0,6918639
