"Time"	deoR	nupG	cytR	crp	rhaR	tsx	deoC	deoA	deoB	deoD	udp	ppiA	cdd	nupC	rpoH	glgP
820	0,9553352	0,3663153	0,6467424	0,1244575	0,5809727	0,8259416	1,0731115	0,7256713	0,7467135	0,3825643	0,9213694	0,4439607	0,3836732	0,3472094	0,4737179	0,0133997
840	0,9657360	0,3698651	0,6999995	0,1330076	0,4942558	0,8104190	1,0470150	0,7346214	0,7513755	0,3496368	0,9503170	0,3982482	0,4167086	0,3294800	0,4716860	0,0177286
860	0,9824824	0,3834278	0,6815858	0,1263560	0,5122340	0,8476654	1,0229861	0,7206579	0,7522886	0,3753528	0,9704357	0,3842955	0,4595400	0,2644535	0,4726063	0,0265068
880	0,9384814	0,3639613	0,6914996	0,1422156	0,4640968	0,8261177	1,0134036	0,7414292	0,7186890	0,3905841	0,8869285	0,3583171	0,4241994	0,2159310	0,4595451	0,0289607
900	1,0248119	0,3843083	0,6763820	0,1251319	0,4471330	0,7691044	0,9409392	0,7283408	0,7327385	0,4148990	0,8798995	0,3646087	0,4805418	0,2208824	0,3827490	0,0284049
920	0,9719569	0,3940031	0,6387404	0,1180691	0,4140111	0,7542696	0,9754920	0,7107955	0,7472785	0,3931893	0,9012996	0,3861217	0,4750792	0,2274601	0,3941001	0,0197732
940	1,0184409	0,3374168	0,6077335	0,1034320	0,3462473	0,7470530	0,9762708	0,6972745	0,7689058	0,3489985	0,8871261	0,3719790	0,4125892	0,2415844	0,3499825	0,0145586
960	1,1054929	0,4449400	0,6335897	0,1343353	0,3154350	0,7393502	0,9650835	0,7218520	0,7543966	0,3691399	0,8937295	0,3456941	0,4281442	0,2334268	0,3883511	0,0087017
980	1,1325125	0,4015846	0,6198112	0,1441053	0,3250610	0,7228373	0,8849962	0,7369927	0,7409175	0,3989129	0,8972874	0,3708704	0,4464981	0,2518836	0,4079682	0,0116518
1000	1,1444154	0,4305309	0,6243788	0,1221312	0,2593951	0,8273235	0,9134230	0,7509198	0,7296251	0,4280240	0,9375998	0,3821159	0,4679036	0,2591340	0,3677110	0,0187728
1020	1,1300606	0,3923441	0,5803273	0,1164780	0,2591540	0,7554426	0,8675046	0,7384871	0,6912260	0,4363832	0,9737166	0,4033575	0,4996616	0,2811665	0,4026677	0,0343607
1040	1,0578086	0,3980455	0,7152348	0,1218690	0,2765234	0,7686080	0,8763236	0,8075659	0,6607277	0,4561942	0,9282479	0,4114429	0,4780273	0,2884234	0,3865598	0,0447798
1060	1,0343871	0,4744748	0,7112569	0,1210014	0,2503616	0,8163166	0,8744726	0,7476918	0,7222794	0,4713228	0,8876716	0,3869759	0,4787011	0,2603648	0,3801688	0,0537446
1080	1,0069177	0,4518853	0,6503484	0,1232297	0,2455168	0,7499616	0,9089047	0,6949051	0,6765379	0,4854146	0,8384539	0,3547345	0,5370640	0,2460351	0,3942118	0,0520375
1100	1,0188467	0,4958563	0,6207079	0,1537175	0,2167253	0,7242695	0,8886405	0,6141540	0,6670285	0,5011991	0,8442865	0,3416409	0,4887227	0,2491341	0,3630194	0,0381681

0	0,9335875	0,4348751	0,5630813	0,1394687	0,1604337	0,8516916	0,9760119	0,6322314	0,7200508	0,3867464	0,9317268	0,3902552	0,4365331	0,3155895	0,4126695	0,0305835
20	1,0518312	0,4337374	0,5492210	0,1298677	0,1793946	0,7603432	0,9310542	0,7151444	0,6524392	0,3938121	0,9044707	0,3828245	0,4518568	0,2701156	0,4066319	0,0251281
40	1,0292899	0,4678476	0,6241758	0,0963250	0,1771440	0,7569843	0,7736929	0,6591311	0,6381059	0,4059032	0,9476968	0,2958590	0,3814602	0,2898028	0,4023034	0,0376033
60	0,9965231	0,4284679	0,6602233	0,1472199	0,1336876	0,7376028	0,6494380	0,6985155	0,6484348	0,4191921	0,9321280	0,2308902	0,3463680	0,3186077	0,4171282	0,0370305
