"Time"	norR	nsrR	dsdC	feaR	fhlA	feaB	hypA	hycE	hycF	hycD	hypB	hycG	hypE	hycH	hypD	hycB
220	0,2225206	1,0000000	0,4386192	0,3666935	0,0000129	0,4904172	0,0140205	0,0355394	0,0618779	0,0667158	0,1322272	0,3335529	0,1895472	0,0000843	0,1255012	0,0911890
240	0,2225206	1,0000000	0,4386192	0,3666935	0,0000123	0,4904172	0,0140205	0,0355394	0,0614526	0,0655329	0,1322272	0,3335527	0,1936679	0,0000843	0,1269768	0,0911887
260	0,2225206	1,0000000	0,4386192	0,3666935	0,0000119	0,4904172	0,0140205	0,0355394	0,0611535	0,0648513	0,1322272	0,3335525	0,1967969	0,0000843	0,1279950	0,0911885
280	0,2225206	1,0000000	0,4386192	0,3666935	0,0000116	0,4904172	0,0140205	0,0355394	0,0609445	0,0644610	0,1322272	0,3335523	0,1991639	0,0000843	0,1286930	0,0911884
300	0,2225206	1,0000000	0,4386192	0,3666935	0,0000113	0,4904172	0,0140205	0,0355394	0,0607992	0,0642387	0,1322272	0,3335522	0,2009491	0,0000843	0,1291689	0,0911883
320	0,2225206	1,0000000	0,4386192	0,3666935	0,0000112	0,4904172	0,0140205	0,0355394	0,0606988	0,0641126	0,1322272	0,3335522	0,2022923	0,0000843	0,1294918	0,0911883
340	0,2225206	1,0000000	0,4386192	0,3666935	0,0000110	0,4904172	0,0140205	0,0355394	0,0606296	0,0640413	0,1322272	0,3335521	0,2033011	0,0000843	0,1297099	0,0911882
360	0,2225206	1,0000000	0,4386192	0,3666935	0,0000109	0,4904172	0,0140205	0,0355394	0,0605821	0,0640012	0,1322272	0,3335521	0,2040575	0,0000843	0,1298568	0,0911882
380	0,2225206	1,0000000	0,4386192	0,3666935	0,0000108	0,4904172	0,0140205	0,0355394	0,0605496	0,0639787	0,1322272	0,3335520	0,2046240	0,0000843	0,1299554	0,0911882
400	0,2225206	1,0000000	0,4386192	0,3666935	0,0000108	0,4904172	0,0140205	0,0355394	0,0605274	0,0639661	0,1322272	0,3335520	0,2050479	0,0000843	0,1300213	0,0911882
420	0,2225206	1,0000000	0,4386192	0,3666935	0,0000108	0,4904172	0,0140205	0,0355394	0,0605123	0,0639591	0,1322272	0,3335520	0,2053648	0,0000843	0,1300653	0,0911882
440	0,2225206	1,0000000	0,4386192	0,3666935	0,0000107	0,4904172	0,0140205	0,0355394	0,0605021	0,0639551	0,1322272	0,3335520	0,2056015	0,0000843	0,1300946	0,0911882
460	0,2225206	1,0000000	0,4386192	0,3666935	0,0000107	0,4904172	0,0140205	0,0355394	0,0604952	0,0639529	0,1322272	0,3335520	0,2057783	0,0000843	0,1301140	0,0911882
480	0,2225206	1,0000000	0,4386192	0,3666935	0,0000107	0,4904172	0,0140205	0,0355394	0,0604905	0,0639517	0,1322272	0,3335520	0,2059103	0,0000843	0,1301269	0,0911882
500	0,2225206	1,0000000	0,4386192	0,3666935	0,0000107	0,4904172	0,0140205	0,0355394	0,0604873	0,0639511	0,1322272	0,3335520	0,2060088	0,0000843	0,1301354	0,0911882
520	0,2225206	1,0000000	0,4386192	0,3666935	0,0000107	0,4904172	0,0140205	0,0355394	0,0604852	0,0639507	0,1322272	0,3335520	0,2060823	0,0000843	0,1301411	0,0911882
540	0,2225206	1,0000000	0,4386192	0,3666935	0,0000106	0,4904172	0,0140205	0,0355394	0,0604838	0,0639505	0,1322272	0,3335520	0,2061371	0,0000843	0,1301448	0,0911882
560	0,2225206	1,0000000	0,4386192	0,3666935	0,0000106	0,4904172	0,0140205	0,0355394	0,0604828	0,0639504	0,1322272	0,3335520	0,2061780	0,0000843	0,1301472	0,0911882
580	0,2225206	1,0000000	0,4386192	0,3666935	0,0000120	0,4904172	0,0140205	0,0355394	0,0625623	0,1150756	0,1322272	0,3335520	0,1955329	0,0000843	0,1212972	0,0911882
