"Time"	hipA	hipB	ihfB	yeiL	tdcA	tdcF	tdcG	tdcE	tdcC	tdcD	tdcB	hemF	amiA	ibpB	uspB	ecpD
500	0,6955764	0,2572870	0,3321903	0,5977464	0,7621616	0,2021691	0,8014279	0,5627264	0,5824604	1,0123799	0,8203977	0,1567379	0,7834928	0,2105765	0,7220535	0,2698190
520	0,6761827	0,2771306	0,3223474	0,6188144	0,7247124	0,2172507	0,7759895	0,5565911	0,5861137	1,0389107	0,8126630	0,1688200	0,7667162	0,1993374	0,7109169	0,2540090
540	0,6460053	0,2864574	0,3177497	0,6335232	0,7222066	0,1886947	0,7771515	0,5023323	0,5719781	0,9886344	0,7924743	0,1625225	0,7476112	0,2302530	0,7068654	0,2399044
560	0,7034118	0,2977490	0,3837972	0,5881859	0,7080284	0,1841374	0,7136559	0,4821052	0,5680780	1,0114598	0,7641623	0,1571920	0,7438871	0,2363249	0,6453009	0,2351156
580	0,7212373	0,3162227	0,3751991	0,4871548	0,6975320	0,2030814	0,6754605	0,4838838	0,5090387	0,9787006	0,7594136	0,1846908	0,7437640	0,2130251	0,6711380	0,2425515
600	0,7078045	0,2966046	0,3561927	0,4834302	0,7102806	0,2464874	0,6548717	0,4196773	0,4752156	1,0065602	0,7236784	0,2118668	0,7916568	0,2075311	0,7750996	0,2404859
620	0,6729025	0,3263377	0,3639362	0,5283559	0,6992151	0,2518741	0,5073188	0,3080065	0,5288546	1,0421116	0,7454539	0,2567443	0,7628166	0,1651971	0,8455217	0,2321159
640	0,6893362	0,3607995	0,3723637	0,5297613	0,7166890	0,2265711	0,4152430	0,2802443	0,5364105	1,0507479	0,7394959	0,2628611	0,7399970	0,1972272	0,8508057	0,2526408
660	0,7012693	0,4009164	0,3136532	0,5789094	0,7380951	0,2019496	0,3554630	0,2873456	0,5786399	1,0855216	0,7004636	0,2738132	0,7338103	0,2087351	0,8270377	0,2750165
680	0,6678607	0,4242637	0,3351626	0,6035228	0,7253470	0,2098414	0,3077677	0,2628210	0,5550033	1,0533807	0,7298784	0,2618333	0,7686159	0,2127974	0,8571246	0,2688539
