"Time"	narL	nikR	dcuR	caiF	modE	nikD	nikC	nikB	frdB	frdC	frdA	nikE	nikA	frdD	dcuB	ccmF
1000	0,8835966	0,5589320	0,4374180	0,2818829	0,9992440	0,2246092	0,7468592	0,3551323	0,3623887	0,9998362	0,2033274	0,0271983	0,0034128	0,2911085	0,1379303	0,2775883
1020	0,8837921	0,5588606	0,4371331	0,2808118	0,9994607	0,2236225	0,7470621	0,3552802	0,3597806	0,9998433	0,2024509	0,0271717	0,0033726	0,2905392	0,1370208	0,2767652
1040	0,8839313	0,5588101	0,4369295	0,2800321	0,9996154	0,2229245	0,7472091	0,3554181	0,3578132	0,9998472	0,2018080	0,0271554	0,0033466	0,2901192	0,1363564	0,2761147
1060	0,8840304	0,5587745	0,4367840	0,2794660	0,9997257	0,2224306	0,7473152	0,3555387	0,3563384	0,9998493	0,2013389	0,0271455	0,0033298	0,2898112	0,1358732	0,2756034
1080	0,8841011	0,5587493	0,4366801	0,2790559	0,9998044	0,2220811	0,7473914	0,3556398	0,3552390	0,9998503	0,2009981	0,0271395	0,0033188	0,2895863	0,1355229	0,2752036
1100	0,8841515	0,5587315	0,4366061	0,2787595	0,9998605	0,2218336	0,7474461	0,3557221	0,3544235	0,9998508	0,2007514	0,0271358	0,0033117	0,2894229	0,1352699	0,2748924

0	0,8842761	0,5586873	0,4364270	0,2781468	1,0000000	0,2212620	0,7475792	0,3559946	0,3525983	0,9998511	0,2001824	0,0271346	0,0033142	0,2890467	0,1346971	0,2743157
20	0,8842762	0,5586872	0,3820925	0,2780971	1,0000000	0,2212495	0,6669610	0,3559955	0,3507822	0,9344465	0,1813573	0,0271329	0,0030165	0,2882247	0,1335750	0,2741977
40	0,8842763	0,5586871	0,2945195	0,2780640	1,0000000	0,2212418	0,5308252	0,3559964	0,3359255	0,8156119	0,1463335	0,0271318	0,0024677	0,2809519	0,1252519	0,2741101
60	0,8842764	0,5586871	0,2206332	0,2780419	1,0000000	0,2212370	0,4108819	0,3559971	0,3035726	0,7019350	0,1101559	0,0271312	0,0019268	0,2629367	0,1091736	0,2740450
80	0,8842764	0,5586871	0,1682533	0,2780273	1,0000000	0,2212340	0,3228679	0,3559977	0,2632848	0,6110695	0,0787689	0,0271308	0,0014805	0,2358086	0,0906542	0,2739968
100	0,8842764	0,5586871	0,1339364	0,2780175	1,0000000	0,2212322	0,2637222	0,3559981	0,2248121	0,5439456	0,0542955	0,0271306	0,0011421	0,2043803	0,0740177	0,2739610
120	0,8842764	0,5586871	0,1124018	0,2780111	1,0000000	0,2212310	0,2259868	0,3559984	0,1927819	0,4955680	0,0366042	0,0271304	0,0008978	0,1734370	0,0609894	0,2739345
140	0,8842764	0,5586871	0,0992337	0,2780068	1,0000000	0,2212303	0,2027230	0,3559987	0,1681105	0,4598479	0,0244945	0,0271304	0,0007270	0,1461386	0,0516023	0,2739149
160	0,8842764	0,5586871	0,0913130	0,2780040	1,0000000	0,2212299	0,1887262	0,3559989	0,1499965	0,4319186	0,0165279	0,0271303	0,0006101	0,1238593	0,0451963	0,2739004
180	0,8842764	0,5586871	0,0865999	0,2780021	1,0000000	0,2212297	0,1804567	0,3559990	0,1371102	0,4089078	0,0114380	0,0271303	0,0005314	0,1066875	0,0409854	0,2738897
200	0,8842764	0,5586871	0,0838157	0,2780009	1,0000000	0,2212295	0,1756395	0,3559991	0,1281406	0,3895640	0,0082566	0,0271303	0,0004790	0,0940132	0,0382912	0,2738818
220	0,8842764	0,5586871	0,0821792	0,2780001	1,0000000	0,2212294	0,1728648	0,3559991	0,1219943	0,3734671	0,0063011	0,0271303	0,0004444	0,0849677	0,0366017	0,2738759
240	0,8842764	0,5586871	0,0812205	0,2779995	1,0000000	0,2212293	0,1712813	0,3559992	0,1178310	0,3604209	0,0051145	0,0271302	0,0004218	0,0786821	0,0355585	0,2738716
260	0,8842764	0,5586871	0,0806603	0,2779992	1,0000000	0,2212293	0,1703844	0,3559992	0,1150353	0,3501746	0,0044018	0,0271302	0,0004071	0,0744076	0,0349222	0,2738684
280	0,8842764	0,5586871	0,0803335	0,2779989	1,0000000	0,2212293	0,1698797	0,3559992	0,1131706	0,3423712	0,0039770	0,0271302	0,0003975	0,0715520	0,0345378	0,2738660
300	0,8842764	0,5586871	0,0801430	0,2779988	1,0000000	0,2212293	0,1695973	0,3559992	0,1119332	0,3365915	0,0037256	0,0271302	0,0003914	0,0696725	0,0343074	0,2738643
320	0,8842764	0,5586871	0,0800321	0,2779987	1,0000000	0,2212293	0,1694400	0,3559993	0,1111154	0,3324138	0,0035774	0,0271302	0,0003874	0,0684509	0,0341702	0,2738630
340	0,8842764	0,5586871	0,0799676	0,2779986	1,0000000	0,2212292	0,1693528	0,3559993	0,1105767	0,3294571	0,0034905	0,0271302	0,0003848	0,0676654	0,0340889	0,2738620
360	0,8842764	0,5586871	0,0799300	0,2779986	1,0000000	0,2212292	0,1693046	0,3559993	0,1102228	0,3274022	0,0034396	0,0271302	0,0003832	0,0671649	0,0340410	0,2738613
380	0,8842764	0,5586871	0,0799082	0,2779986	1,0000000	0,2212292	0,1692781	0,3559993	0,1099907	0,3259962	0,0034100	0,0271302	0,0003822	0,0668487	0,0340128	0,2738608
