"Time"	paaX	maoC	ihfB	hipA	hipB	paaE	paaC	paaH	paaD	paaA	paaF	paaJ	paaI	paaB	paaG	paaK
340	1,0000000	0,5385561	0,2358784	0,9146011	0,3440369	0,8151210	0,5249489	0,9193343	0,2778202	0,6851037	0,3643300	0,6662276	0,0214639	0,1694405	0,1626135	0,0401939
360	1,0000000	0,5385561	0,2358784	0,9146011	0,3440369	0,8151229	0,5249501	0,9193874	0,2778202	0,6851394	0,3643300	0,6671229	0,0214446	0,1694405	0,1626135	0,0401939
380	1,0000000	0,5385561	0,2358784	0,9146011	0,3440369	0,8151238	0,5249506	0,9194192	0,2778202	0,6851606	0,3643300	0,6677797	0,0214333	0,1694405	0,1626135	0,0401939
400	1,0000000	0,5385561	0,2358784	0,9146011	0,3440369	0,8151243	0,5249509	0,9194383	0,2778202	0,6851732	0,3643300	0,6682614	0,0214267	0,1694405	0,1626135	0,0401939
420	1,0000000	0,5385561	0,2358784	0,9146011	0,3440369	0,8151245	0,5249510	0,9194497	0,2778202	0,6851807	0,3643300	0,6686149	0,0214228	0,1694405	0,1626135	0,0401939
440	1,0000000	0,5385561	0,2358784	0,9146011	0,3440369	0,8151247	0,5249511	0,9194565	0,2778201	0,6851852	0,3643300	0,6688741	0,0214205	0,1694405	0,1626135	0,0401939
460	1,0000000	0,5385561	0,2358784	0,9146011	0,3440369	0,8151247	0,5249511	0,9194606	0,2778201	0,6851879	0,3643300	0,6690643	0,0214191	0,1694405	0,1626135	0,0401939
480	1,0000000	0,5385561	0,2358784	0,9146011	0,3440369	0,8151248	0,5249511	0,9194630	0,2778201	0,6851895	0,3643300	0,6692038	0,0214183	0,1694405	0,1626135	0,0401939
500	1,0000000	0,5385561	0,2358784	0,9146011	0,3440369	0,8151248	0,5249511	0,9194645	0,2778201	0,6851904	0,3643300	0,6693061	0,0214179	0,1694405	0,1626135	0,0401939
520	1,0000000	0,5385561	0,2358784	0,9146011	0,3440369	0,8151248	0,5249511	0,9194654	0,2778201	0,6851910	0,3643300	0,6693812	0,0214176	0,1694405	0,1626135	0,0401939
540	1,0000000	0,5385561	0,2358784	0,9146011	0,3440369	0,8151248	0,5249511	0,9194659	0,2778201	0,6851913	0,3643300	0,6694363	0,0214174	0,1694405	0,1626135	0,0401939
560	1,0000000	0,5385561	0,2358784	0,9146011	0,3440369	0,8151248	0,5249511	0,9194662	0,2778201	0,6851915	0,3643300	0,6694767	0,0214173	0,1694405	0,1626135	0,0401939
580	1,0000000	0,5385561	0,2358784	0,9146011	0,3440369	0,6328028	0,2575093	0,5942709	0,2778201	0,4455630	0,3643300	0,4959284	0,1822121	0,1694405	0,1626135	0,0401939
600	1,0000000	0,5385561	0,2358784	0,9146011	0,3440369	0,5400234	0,1282049	0,3995605	0,2778201	0,3028777	0,3643300	0,3686192	0,2767364	0,1694405	0,1626135	0,0401939
620	1,0000000	0,5385561	0,2358784	0,9146011	0,3440369	0,4928101	0,0656880	0,2829779	0,2778201	0,2179167	0,3643300	0,2752294	0,3323032	0,1694405	0,1626135	0,0401939
640	1,0000000	0,5385561	0,2358784	0,9146011	0,3440369	0,4687844	0,0354620	0,2131742	0,2778201	0,1673271	0,3643300	0,2067218	0,3649685	0,1694405	0,1626135	0,0401939
660	1,0000000	0,5385561	0,2358784	0,9146011	0,3440369	0,4565583	0,0208481	0,1713793	0,2778201	0,1372039	0,3643300	0,1564669	0,3841711	0,1694405	0,1626135	0,0401939
