"Time"	ihfA	hipB	hipA	yeiL	tdcA	tdcR	yiaJ	ompR	bolA	csgD	tdcF	tdcB	tdcE	tdcC	tdcG	tdcD	yiaK	sgbU	yiaO	yiaN	sgbE	sgbH	yiaL	lyxK	yiaM	sra	ompC	csgG	csgF	csgE	ompF	micF
900	0,6094652	0,5770366	0,2242386	0,9145347	0,9394039	0,9983540	0,1084862	0,6136498	0,7922389	0,7544579	0,9769661	0,9845348	0,1880250	0,8294682	0,6213387	0,9945711	0,8368128	0,8556485	0,9542064	0,6966636	0,7783889	0,6743609	0,4404630	0,5159167	0,9987816	0,9705545	0,5751836	0,7213816	0,7154359	0,9628018	0,7415830	0,5514106
920	0,6094652	0,5770366	0,2242386	0,9145244	0,9396352	0,9988765	0,1084862	0,6137665	0,7906266	0,7606281	0,9770846	0,9846308	0,1885753	0,8299957	0,6222974	0,9945924	0,8368165	0,8556522	0,9542064	0,6966636	0,7783889	0,6743609	0,4404630	0,5159167	0,9987816	0,9719186	0,5756115	0,7314512	0,7192876	0,9673774	0,7428607	0,5520459
940	0,6094652	0,5770366	0,2242386	0,9145174	0,9398027	0,9992342	0,1084862	0,6138363	0,7895547	0,7656687	0,9771716	0,9847058	0,1889858	0,8303747	0,6229836	0,9946080	0,8368187	0,8556539	0,9542064	0,6966636	0,7783889	0,6743609	0,4404630	0,5159167	0,9987816	0,9728591	0,5758936	0,7393651	0,7224937	0,9706675	0,7437341	0,5524729
960	0,6094652	0,5770366	0,2242386	0,9145126	0,9399230	0,9994787	0,1084862	0,6138779	0,7888490	0,7697701	0,9772349	0,9847639	0,1892896	0,8306453	0,6234715	0,9946193	0,8368200	0,8556547	0,9542064	0,6966636	0,7783889	0,6743609	0,4404630	0,5159167	0,9987816	0,9735058	0,5760781	0,7455516	0,7251469	0,9730338	0,7443277	0,5527573
980	0,6094652	0,5770366	0,2242386	0,9145093	0,9400089	0,9996455	0,1084862	0,6139026	0,7883885	0,7730966	0,9772806	0,9848086	0,1895130	0,8308373	0,6238165	0,9946275	0,8368207	0,8556551	0,9542064	0,6966636	0,7783889	0,6743609	0,4404630	0,5159167	0,9987816	0,9739492	0,5761979	0,7503652	0,7273319	0,9747376	0,7447293	0,5529452
1000	0,6094652	0,5770366	0,2242386	0,9145070	0,9400698	0,9997592	0,1084862	0,6139173	0,7880902	0,7757877	0,9773135	0,9848428	0,1896761	0,8309730	0,6240594	0,9946333	0,8368211	0,8556553	0,9542064	0,6966636	0,7783889	0,6743609	0,4404630	0,5159167	0,9987816	0,9742527	0,5762753	0,7540956	0,7291240	0,9759671	0,7449998	0,5530685
1020	0,6094652	0,5770366	0,2242386	0,9145055	0,9401128	0,9998365	0,1084862	0,6139260	0,7878983	0,7779601	0,9773369	0,9848687	0,1897947	0,8310684	0,6242295	0,9946375	0,8368214	0,8556554	0,9542064	0,6966636	0,7783889	0,6743609	0,4404630	0,5159167	0,9987816	0,9744598	0,5763249	0,7569763	0,7305888	0,9768569	0,7451813	0,5531489
1040	0,6094652	0,5770366	0,2242386	0,9145045	0,9401431	0,9998891	0,1084862	0,6139312	0,7877755	0,7797108	0,9773535	0,9848882	0,1898804	0,8311352	0,6243482	0,9946404	0,8368215	0,8556554	0,9542064	0,6966636	0,7783889	0,6743609	0,4404630	0,5159167	0,9987816	0,9746010	0,5763566	0,7591940	0,7317826	0,9775033	0,7453026	0,5532009
1060	0,6094652	0,5770366	0,2242386	0,9145037	0,9401642	0,9999248	0,1084862	0,6139342	0,7876974	0,7811197	0,9773653	0,9849028	0,1899420	0,8311818	0,6244308	0,9946425	0,8368216	0,8556554	0,9542064	0,6966636	0,7783889	0,6743609	0,4404630	0,5159167	0,9987816	0,9746970	0,5763767	0,7608967	0,7327530	0,9779750	0,7453835	0,5532345
1080	0,6094652	0,5770366	0,2242386	0,9145033	0,9401790	0,9999491	0,1084862	0,6139360	0,7876479	0,7822523	0,9773735	0,9849137	0,1899862	0,8312142	0,6244881	0,9946439	0,8368216	0,8556554	0,9542064	0,6966636	0,7783889	0,6743609	0,4404630	0,5159167	0,9987816	0,9747622	0,5763894	0,7622008	0,7335403	0,9783209	0,7454372	0,5532561
