"Time"	ihfB	hipA	hipB	yeiL	tdcA	tdcR	yiaJ	ompR	bolA	csgD	tdcG	tdcF	tdcB	tdcD	tdcE	tdcC	lyxK	yiaN	yiaO	sgbH	sgbE	sgbU	yiaK	yiaL	yiaM	sra	ompC	csgG	csgF	csgE	ompF	micF
760	0,4822256	0,1876423	0,4576175	0,6041411	0,8639292	0,9965463	0,7952105	0,8709847	0,4540522	0,9462621	1,2025815	0,8855142	0,6635522	1,0151712	0,8947723	0,6082204	0,4365389	0,1077071	0,9340982	0,3014067	0,4261046	0,4721943	0,0045496	0,1417582	0,5541948	0,4558716	0,7976921	0,4108839	0,2126263	0,8606073	0,7207508	0,9875201
780	0,5115670	0,2089747	0,4641585	0,5398368	0,8590683	0,9858678	0,7696241	0,8102911	0,4080956	0,9440005	1,2089649	0,9463970	0,6953396	1,0725066	0,9156610	0,6300053	0,4242420	0,1040812	0,9155792	0,3366084	0,4989161	0,5285574	0,0069586	0,1651289	0,5775833	0,4592928	0,8026359	0,4708137	0,2622674	0,8872242	0,7520407	1,0206936
800	0,4915068	0,2090783	0,4951253	0,5664956	0,8592195	0,9877060	0,8263218	0,6974138	0,3904271	0,9734820	1,1849302	0,9755395	0,7164758	1,0869811	0,8741949	0,6271761	0,4348150	0,1031753	0,9008857	0,3603897	0,4566575	0,5174279	0,0111062	0,1550960	0,5873732	0,4727877	0,7154610	0,4237732	0,2818077	0,8789551	0,7418634	1,0025448
820	0,5384990	0,2516079	0,4695979	0,6028980	0,9043479	1,0591717	0,8374808	0,7498022	0,3990010	0,8160183	1,1250476	0,9686964	0,6343997	1,1389907	0,8756966	0,6523633	0,3965867	0,0833963	0,9004467	0,3663182	0,5048184	0,5067189	0,0132655	0,1674226	0,6054121	0,4485759	0,7230603	0,4412119	0,2802826	0,8972149	0,7065278	0,9297519
840	0,4834264	0,1948841	0,4590065	0,6458428	0,9434225	1,1159334	0,8504225	0,7654079	0,4164264	0,7999533	1,0302810	0,9605453	0,6140797	1,0794815	0,8839469	0,6205073	0,4323528	0,0783719	0,9489830	0,3631177	0,4860817	0,5063260	0,0074457	0,1734375	0,5518842	0,4443308	0,7689123	0,4489752	0,2773062	1,0085719	0,7316125	0,9507348
860	0,4539474	0,2242789	0,4282561	0,5719040	0,9242373	1,1562243	0,8819230	0,7546038	0,4065299	0,8880358	1,0188089	0,8886587	0,6439160	1,0754458	0,8698071	0,5961021	0,3761243	0,0738100	1,0138728	0,3362890	0,4690982	0,4669128	0,0094493	0,1536955	0,5289392	0,4560953	0,7375367	0,4091887	0,2285015	1,0074436	0,7907544	1,0193705
880	0,4351982	0,2324704	0,4374401	0,6624543	0,8691220	1,0680449	0,8352692	0,8377371	0,3750660	0,7596888	0,9575930	0,8561925	0,6716094	1,1023252	0,8715169	0,6036129	0,3608828	0,0661213	1,0197036	0,3039976	0,4793246	0,4136796	0,0122055	0,1723393	0,5193102	0,4560212	0,7073116	0,4680818	0,2600770	0,9683782	0,8482172	0,9093683
900	0,4207352	0,2599717	0,4371593	0,6239147	0,8841714	0,9435344	0,8252538	0,8245230	0,4251612	0,8169832	0,9415567	0,8841502	0,6952625	1,0457943	0,8856407	0,6005225	0,3560706	0,0537124	1,0070721	0,2819226	0,3998095	0,4323157	0,0047309	0,1541529	0,5506844	0,4559419	0,7929278	0,4586608	0,2300774	0,9469879	0,8139475	0,9270943
920	0,4053652	0,2210100	0,4258877	0,6133575	0,9167586	0,9361793	0,8411506	0,8833214	0,4143601	0,8648908	0,9900642	0,8430829	0,6823970	1,0706049	0,8196544	0,5837926	0,2826694	0,0663582	0,9636050	0,2826254	0,3872463	0,4166708	0,0082178	0,1779172	0,5863399	0,4774801	0,7835060	0,4709707	0,2875550	0,9388041	0,7896628	1,0948416
940	0,4965338	0,2019137	0,4103815	0,6523102	0,9347743	1,0736715	0,8895486	0,8767089	0,4393505	0,8810806	0,9831844	0,8780609	0,6591062	1,0735543	0,8137543	0,5694975	0,2724636	0,0813757	0,9343419	0,2240411	0,3597816	0,4314223	0,0084684	0,1576854	0,6175500	0,5032678	0,7509482	0,4427758	0,3036998	0,9178579	0,8350865	0,9748381
