"Time"	melR	crp	rhaR	rhaS	feaR	malI	zraR	mtlR	rbsR	prpR	rbsK	rhaB	malY	rbsB	prpB	prpE	rhaA	melA	prpD	rbsD	malX	rbsA	melB	zraS	rhaD	prpC	rbsC	rhaT	mtlD	mtlA	ychH	agp
1100	0,4335358	0,6572271	0,6109043	0,8031127	0,7530049	0,2576293	0,5652492	0,4014271	0,6462117	0,7236457	0,0281715	0,7859376	0,1684408	0,2501545	0,7350671	0,6909585	0,3454796	0,5237407	0,7585607	0,2428581	0,5744640	0,2545740	0,4581729	0,7411904	0,5697259	0,6730923	0,3946148	0,7142824	0,3692138	0,6266231	0,6001438	0,4315522

0	0,5277174	0,5641294	0,5485496	0,6709292	0,6324929	0,2971006	0,4931196	0,5769092	0,6139406	0,6606569	0,1072819	0,6932381	0,1869436	0,2722067	0,7877184	0,6964991	0,2760907	0,5499821	0,5716948	0,1727696	0,5369227	0,3360091	0,4296598	0,6872711	0,5807568	0,8173650	0,2488489	0,6433297	0,5083570	0,5783847	0,7581046	0,3950203
20	0,3529577	0,7784727	0,5468733	0,6858942	0,6931781	0,1792813	0,5144492	0,4736865	0,6605835	0,8001730	0,0506261	0,6830124	0,1193498	0,3515168	0,6759425	0,6703798	0,3012710	0,5382539	0,8292610	0,2041931	0,5122886	0,4783587	0,5335873	0,7769252	0,5008564	0,6918962	0,3719357	0,6133987	0,6568347	0,5786840	0,7499709	0,5476153
40	0,3758249	0,6632561	0,7019869	0,7003767	0,6991916	0,1497283	0,5048795	0,5740143	0,7683109	0,6280346	0,1032706	0,6537540	0,0757613	0,3331461	0,7202700	0,7919237	0,2066686	0,5740934	0,7568223	0,2728666	0,5868128	0,4424107	0,5057856	0,8319539	0,6397910	0,7488534	0,4509383	0,7704829	0,5605816	0,5610710	0,7055780	0,4160755
60	0,5619802	0,6745722	0,6741123	0,7801876	0,8144908	0,1452111	0,5332932	0,5631915	0,6658835	0,7276643	0,0667373	0,6730787	0,0307178	0,3189904	0,6593262	0,6655712	0,2331594	0,5319576	0,6475155	0,1793417	0,6894003	0,5418559	0,5602030	0,8184844	0,6974329	0,6213696	0,3581234	0,6334974	0,6423042	0,6118822	0,7142614	0,5607973
80	0,4336800	0,7332564	0,6912283	0,7532048	0,7388216	0,2228131	0,4739955	0,5658247	0,5861403	0,6210390	0,0802140	0,5542302	0,0530541	0,3114489	0,8677242	0,6498275	0,2535467	0,4920934	0,6506844	0,1735068	0,5208271	0,5451144	0,4591998	0,8127082	0,6272723	0,8568271	0,3022242	0,8775516	0,6738614	0,3573306	0,8267175	0,4838364
100	0,4602598	0,6640076	0,5112584	0,7049560	0,7135199	0,2278264	0,5288220	0,4201467	0,6844873	0,6699328	0,0768112	0,5824522	0,0174609	0,2860731	0,7190266	0,7783423	0,1816213	0,6425948	0,7570425	0,1655133	0,5489012	0,5861999	0,4170979	0,7619211	0,6869591	0,6545999	0,3034315	0,9196778	0,7686097	0,4665243	0,8530933	0,4229300
120	0,4889613	0,6249722	0,5554356	0,6679131	0,6832661	0,1856990	0,5203703	0,4656476	0,6308062	0,6397785	0,0452946	0,6658117	0,0283984	0,3575988	0,7919122	0,6554712	0,3314516	0,5665925	0,6795916	0,2261829	0,4669823	0,6422830	0,4560966	0,7263790	0,6243826	0,6019000	0,4024432	0,7233774	0,6627844	0,4658080	0,7127942	0,4109997
140	0,3656993	0,6233006	0,6000010	0,7816501	0,6520270	0,2669914	0,6004615	0,4181553	0,6808508	0,7842845	0,0644074	0,5667723	0,0043415	0,4107375	0,8944103	0,6396064	0,2752537	0,4942691	0,7157440	0,2050166	0,5118318	0,6881382	0,3879823	0,7074789	0,6912432	0,8896337	0,4350186	0,7237277	0,7253869	0,5081554	0,6035864	0,3954413
160	0,4182732	0,7811520	0,5858887	0,8289143	0,6473585	0,1662965	0,4483854	0,3902224	0,6646210	0,6875986	0,0826448	0,6115835	0,0077942	0,3549574	0,6081649	0,6815498	0,2813283	0,5735564	0,7221223	0,2391284	0,6014411	0,7442735	0,4009930	0,7701757	0,6612709	0,7306467	0,2871780	0,7379137	0,8295182	0,3893533	0,6292096	0,4319125
180	0,5092142	0,7085889	0,6323504	0,7537070	0,6457699	0,2784260	0,4755131	0,5504569	0,6407741	0,6661737	0,0927320	0,6996968	0,0017484	0,4607759	0,5514076	0,7791441	0,2422847	0,5702414	0,7171449	0,2028879	0,6460697	0,6505434	0,4525776	0,5810394	0,7750782	0,8387045	0,3162160	0,7138765	0,8060060	0,3573920	0,6717829	0,3839344
200	0,4356511	0,7470814	0,5945709	0,7349794	0,6913634	0,1544447	0,6593208	0,5054117	0,6405521	0,6475727	0,0624141	0,5829946	0,0108509	0,3928999	0,7546010	0,6498108	0,2454998	0,5770666	0,6166985	0,2062564	0,5176298	0,5576907	0,4390758	0,6688345	0,7952460	0,7460744	0,3894378	0,7617811	0,6840592	0,4911131	0,7999872	0,4682597
220	0,3635673	0,7635969	0,6417703	0,7702319	0,7642385	0,1948844	0,4320247	0,5267994	0,5738446	0,7120281	0,0676164	0,6816854	0,0013369	0,3832960	0,7271567	0,6113959	0,3156426	0,5437262	0,8142619	0,2250808	0,5827472	0,6310542	0,4404250	0,6453604	0,6927886	0,5507944	0,3534477	0,7644838	0,6120196	0,4033288	0,7369060	0,3861538
