"Time"	slyA	hlyE	hns	cspA	bolA	stpA	bglJ	leuO	cadC	nhaR	bglF	bglB	bglG	yjjQ	nhaA	osmC	cadB	cadA	gspB	leuA	ampC	yciF	proW	smtA	leuC	gspO	yciG	pgaC	proV	pgaA	leuL	pgaB
660	0,7036337	0,6809309	0,7024857	0,5910302	0,0699459	0,3415999	0,0064174	0,0411881	0,4812725	0,5729075	0,0478278	0,0131921	0,2475594	0,1465495	0,0624256	0,4116007	0,4964239	0,4798379	0,5211837	0,0090153	0,7202130	0,2950297	0,1066518	0,5124680	0,0251372	0,1216719	0,0720501	0,7777573	0,0221915	0,3983471	0,0942909	0,1921625
680	0,7511729	0,5512188	0,6254613	0,6529104	0,0607046	0,3433110	0,0242718	0,0411755	0,6002527	0,4984462	0,0485143	0,0252007	0,2619726	0,1126546	0,1576582	0,3643179	0,4992677	0,5519292	0,5960455	0,0183329	0,7491597	0,2630603	0,0765223	0,4871386	0,0350028	0,1261423	0,0340849	0,6767773	0,0113840	0,6142249	0,0211611	0,1363723
700	0,6936159	0,8086722	0,5552375	0,7361200	0,0820546	0,2932682	0,0178929	0,0349867	0,4997138	0,4967453	0,0497591	0,0162443	0,2313295	0,1259444	0,1587625	0,3619273	0,5006186	0,4873344	0,4723147	0,0049693	0,6727787	0,3379262	0,0545701	0,5221242	0,0454151	0,0608004	0,0315273	0,7418482	0,0186888	0,4777992	0,0205317	0,2091659
720	0,6994308	0,6534916	0,8152478	0,7714955	0,0576197	0,2909225	0,0219400	0,0476821	0,4988386	0,4599856	0,0571964	0,0109744	0,2559790	0,1770864	0,1133950	0,4043663	0,5123143	0,4768331	0,4358025	0,0114668	0,5969030	0,2847705	0,0512334	0,5887627	0,0281643	0,0704318	0,0294663	0,7145525	0,0249518	0,5086960	0,0249890	0,1657760
740	0,7760794	0,7771195	0,6119788	0,6678885	0,0590696	0,3949146	0,0160320	0,0157599	0,4738141	0,6005519	0,0608325	0,0119220	0,2841436	0,1441394	0,1867030	0,3404308	0,3860359	0,4406682	0,4482774	0,0034352	0,6897789	0,3196391	0,0776400	0,5364811	0,0071571	0,0993906	0,0406289	0,7042642	0,0195863	0,5165961	0,0106395	0,2154616
760	0,7343092	0,8053924	0,5685987	0,7374818	0,0706981	0,3832070	0,0115737	0,0192915	0,4850739	0,5001376	0,0313403	0,0189345	0,2684871	0,1356492	0,1451331	0,3481376	0,5089579	0,4425671	0,3818578	0,0026917	0,7028368	0,2727182	0,0583102	0,6267039	0,0229072	0,1854964	0,0541041	0,7014100	0,0224749	0,4800751	0,0046015	0,1667141
780	0,8032442	0,6868731	0,6726873	0,8507542	0,0632684	0,4111729	0,0111734	0,0176657	0,5532474	0,4919253	0,0243554	0,0134838	0,3589266	0,1522405	0,1062529	0,3347073	0,5954800	0,4678954	0,5061731	0,0102527	0,5695809	0,3544041	0,0823992	0,6885058	0,0231907	0,1095663	0,0510207	0,6816442	0,0189155	0,5566330	0,0148708	0,2514522
800	0,7744836	0,6710120	0,6352724	0,8589314	0,0350647	0,3498048	0,0076272	0,0222426	0,5190189	0,5473725	0,0238334	0,0114482	0,3230442	0,1411202	0,0832346	0,4197106	0,3923949	0,6294855	0,4205772	0,0039404	0,7132281	0,2601116	0,1083259	0,6341779	0,0173851	0,1375012	0,0317715	0,6149012	0,0297948	0,5360811	0,0427248	0,2066511
820	0,7829096	0,6024180	0,7044065	0,8089350	0,0532534	0,4368529	0,0097054	0,0250220	0,4649114	0,5116675	0,0269188	0,0130393	0,2619543	0,1545011	0,1058002	0,4537694	0,4735826	0,6149597	0,5894749	0,0083689	0,6654887	0,3275033	0,0669876	0,5069630	0,0151901	0,0947350	0,1323364	0,7123746	0,0279739	0,6315713	0,0271266	0,2112495
840	0,7237062	0,6188064	0,6450671	0,6250901	0,0527668	0,3176680	0,0119684	0,0217183	0,5471507	0,5378480	0,0328546	0,0143824	0,2221577	0,1890970	0,1458183	0,4162941	0,5477327	0,6410313	0,5435514	0,0038006	0,5751966	0,2529598	0,0656898	0,5252739	0,0083962	0,0786849	0,0470732	0,6485524	0,0303364	0,5861596	0,0281334	0,1630529
860	0,7313452	0,7145133	0,6459580	0,8070008	0,0434460	0,3189161	0,0030384	0,0462512	0,4412824	0,5070741	0,0324393	0,0245276	0,3258476	0,2459401	0,0931288	0,3692546	0,5052776	0,5621851	0,6072057	0,0076153	0,7153589	0,2270118	0,0704351	0,5826324	0,0189091	0,0841080	0,0766878	0,6467447	0,0764364	0,5425734	0,0162912	0,1602318
880	0,5714074	0,6664754	0,5554832	0,7328090	0,0534991	0,3985286	0,0108968	0,0215113	0,5056464	0,4606148	0,0531695	0,0281824	0,2514275	0,2389654	0,1266419	0,3422938	0,5064978	0,5052928	0,3985318	0,0064356	0,7604475	0,2990055	0,0827702	0,6263879	0,0287076	0,0788548	0,0251696	0,6181497	0,0376456	0,5878778	0,0185777	0,2062876
900	0,6713270	0,8214840	0,6715062	0,7362605	0,0824466	0,4073050	0,0029391	0,0266112	0,6884462	0,4898515	0,0223429	0,0078860	0,2451521	0,1395328	0,1277066	0,3786094	0,4381257	0,5555668	0,5056435	0,0057668	0,5821891	0,3037828	0,0765377	0,5419474	0,0171121	0,1472885	0,0372018	0,6643039	0,0391942	0,5863685	0,0342093	0,2688082
920	0,7381894	0,6764200	0,6312995	0,7364859	0,0560434	0,3910704	0,0088705	0,0218397	0,5693298	0,5981914	0,0428892	0,0204351	0,2450677	0,1616198	0,1317669	0,3663577	0,4134025	0,4722104	0,6514186	0,0132065	0,7373699	0,3758488	0,1071726	0,5179057	0,0216954	0,0709293	0,0564441	0,6783491	0,0422220	0,4627026	0,0283571	0,1431865
940	0,7381653	0,6969834	0,5979319	0,6154550	0,0429320	0,3059560	0,0187480	0,0180646	0,5570382	0,6152542	0,0367930	0,0041442	0,2375836	0,1699311	0,1329181	0,3584967	0,4744611	0,6027329	0,4945186	0,0068256	0,6842981	0,3731880	0,1078822	0,6551638	0,0322503	0,0874989	0,0247035	0,7907652	0,0453365	0,4277339	0,0374076	0,2553530
960	0,7095983	0,6511898	0,5518621	0,7561994	0,0335681	0,3110071	0,0059294	0,0340607	0,5680657	0,5680327	0,0360378	0,0133427	0,2901436	0,1163497	0,1687842	0,3170720	0,5111260	0,4977268	0,4103473	0,0084427	0,7779363	0,2941684	0,0908753	0,5727852	0,0389188	0,1045702	0,0480476	0,6356158	0,0512042	0,5989994	0,0076551	0,2489641
980	0,8002416	0,7934808	0,7162747	0,7416773	0,0332407	0,4353373	0,0070445	0,0284307	0,5390470	0,5589694	0,0509710	0,0183385	0,1756414	0,0939560	0,1017401	0,3646230	0,3973916	0,5669492	0,5440530	0,0076048	0,6973359	0,3208647	0,0663355	0,6157504	0,0773208	0,0996286	0,0203551	0,6360987	0,0616389	0,6263192	0,0162979	0,2949057
1000	0,6917784	0,6115774	0,6688283	0,6751671	0,0404116	0,3090799	0,0086167	0,0597143	0,4850444	0,5601323	0,0181040	0,0261150	0,2525219	0,1237798	0,1318215	0,3882597	0,5190419	0,5292688	0,4179246	0,0170902	0,7942941	0,2797685	0,0647439	0,6583751	0,0134184	0,1505134	0,0510396	0,6765168	0,0448211	0,5942015	0,0225323	0,1947210
1020	0,7570748	0,7481800	0,6012990	0,7233055	0,0738313	0,4248833	0,0098967	0,0355481	0,4849985	0,5915129	0,0441242	0,0179817	0,2422281	0,1000718	0,1081119	0,3165340	0,4905243	0,5064921	0,4996625	0,0117550	0,8191175	0,3641434	0,0588785	0,5136719	0,0270416	0,0922534	0,0314051	0,6862013	0,0255913	0,6195696	0,0106767	0,3050026
1040	0,8013814	0,6318668	0,6265057	0,7547658	0,0513045	0,3775800	0,0191993	0,0344258	0,4421833	0,4986849	0,0369228	0,0117502	0,2719583	0,0836918	0,1220636	0,3834351	0,5764336	0,5807730	0,5106586	0,0050254	0,7966712	0,2738651	0,0919080	0,4631809	0,0281918	0,1032441	0,0442878	0,7145729	0,0206081	0,6680485	0,0314155	0,2117039
1060	0,7500237	0,6992784	0,6074022	0,6699174	0,0761579	0,3386455	0,0082906	0,0235685	0,5752722	0,5533090	0,0614950	0,0163183	0,2534028	0,0925093	0,1397045	0,4124957	0,4765323	0,5673264	0,4963925	0,0114404	0,8513009	0,2873128	0,0637699	0,5448939	0,0280382	0,0822861	0,0592280	0,6449830	0,0418217	0,6633466	0,0285090	0,1819182
1080	0,8731790	0,5969249	0,6990332	0,7896614	0,0642033	0,3500932	0,0131887	0,0196043	0,4558735	0,5070227	0,0642648	0,0080284	0,2536775	0,1709745	0,1506516	0,3458499	0,4182361	0,5147322	0,4854056	0,0029446	0,5861899	0,2567665	0,0521703	0,5028591	0,0406270	0,1156233	0,0444823	0,6985704	0,0255728	0,5748773	0,0128084	0,1986112
1100	0,6726826	0,5508450	0,7316896	0,7374300	0,0593561	0,3350545	0,0096316	0,0312130	0,3069173	0,5246572	0,0369746	0,0151140	0,3007506	0,1867953	0,1224777	0,3767269	0,5211440	0,4632132	0,4072505	0,0024551	0,7828194	0,3288856	0,0518212	0,6103257	0,0986742	0,1130280	0,0320385	0,8323625	0,0325470	0,5552535	0,0162720	0,2426684

0	0,7285702	0,8525496	0,5426467	0,7607790	0,0588156	0,3775175	0,0106027	0,0429216	0,4261100	0,5665600	0,0387647	0,0544860	0,3030498	0,2008605	0,1555351	0,3547273	0,3720592	0,4766972	0,5203150	0,0068956	0,7167557	0,3439264	0,1026883	0,5649335	0,0399947	0,1170248	0,0594161	0,7102050	0,0535800	0,6636341	0,0041219	0,2474772
20	0,8155879	0,6190499	0,5790399	0,4859255	0,0475629	0,4030304	0,2306561	0,1224254	0,4379315	0,4388049	0,0226823	0,0140645	0,3233578	0,1276790	0,1413066	0,3936420	0,3279497	0,4225523	0,4643136	0,0156902	0,6183688	0,1810260	0,0872175	0,5059661	0,0244733	0,0353528	0,0422178	0,7238461	0,0140709	0,5987740	0,0017494	0,5046978
40	0,7773671	0,7501036	0,6539424	0,3075545	0,0369429	0,4016751	0,4204661	0,1549651	0,5218991	0,5395547	0,2033781	0,0154028	0,5089049	0,1724402	0,1081138	0,4802591	0,3787455	0,1748798	0,3720654	0,0317959	0,4180365	0,1450383	0,0783498	0,6021041	0,0526919	0,0310384	0,0399365	0,6724879	0,0268981	0,6689219	0,0028445	0,6362257
60	0,7982627	0,8149667	0,5305318	0,1832878	0,0383828	0,3828224	0,5611205	0,2265035	0,3980167	0,4908412	0,3429951	0,0074489	0,4636330	0,2195709	0,1438977	0,3747232	0,3626550	0,1366801	0,4490609	0,0534228	0,4210436	0,1508548	0,0293688	0,6818838	0,1580036	0,0262631	0,0248061	0,6382659	0,0266837	0,5599461	0,0200884	0,7110112
80	0,7149030	0,7139154	0,6341565	0,1704121	0,0171633	0,3932506	0,6068474	0,2740288	0,3539854	0,5810440	0,4555741	0,0199016	0,6240885	0,2011409	0,1096789	0,5029746	0,3557235	0,0941102	0,3790164	0,0335713	0,3709279	0,1309590	0,1021828	0,6877216	0,1181076	0,0256595	0,0191041	0,6073752	0,0312306	0,6392733	0,0155496	0,8512716
100	0,6355145	0,8117420	0,6606536	0,1674870	0,0270469	0,4162575	0,6096714	0,2571274	0,3579666	0,4738529	0,4079217	0,0439755	0,8381533	0,2530699	0,1294507	0,3862690	0,3118653	0,0623261	0,4607487	0,0360695	0,3704811	0,1595765	0,0532580	0,5362210	0,1836916	0,0090297	0,0175718	0,7893409	0,0383255	0,5436832	0,0099020	0,6905393
120	0,7369282	0,7133448	0,7720127	0,1080403	0,0064230	0,3380213	0,7826754	0,3238071	0,3285881	0,4498537	0,4282606	0,1192422	0,6816785	0,3020331	0,1337181	0,3645420	0,3473830	0,0751249	0,4589728	0,1215979	0,2797802	0,1044493	0,0908056	0,6354725	0,3436053	0,0064479	0,0558228	0,6841818	0,0327548	0,5831634	0,0195100	0,7454220
140	0,7477030	0,6647509	0,5337106	0,0880670	0,0078017	0,2861888	0,6303659	0,3353415	0,4685031	0,4204455	0,4998138	0,0844045	0,6615111	0,2892733	0,1468232	0,3768874	0,2571510	0,0402410	0,5617574	0,1055625	0,2894283	0,1171288	0,0573006	0,5896120	0,3451680	0,0482439	0,0440411	0,7414416	0,0102381	0,6212251	0,0548713	0,6679150
160	0,6807244	0,6875037	0,5573375	0,0711989	0,0024126	0,4174254	0,6777934	0,4596617	0,3893307	0,5144452	0,5050822	0,2068325	0,7731386	0,3454979	0,1397041	0,3578746	0,2862897	0,0296126	0,4932253	0,1360743	0,3848597	0,1135349	0,1001668	0,5540379	0,3016879	0,0287229	0,0395736	0,6317146	0,0200085	0,5413918	0,1984130	0,7044602
180	0,6973991	0,7987650	0,6982921	0,0988926	0,0058984	0,3671190	0,7609229	0,3081296	0,3682741	0,5100835	0,5654810	0,1279369	0,8110494	0,3170669	0,1535328	0,3179571	0,2881136	0,0284335	0,4802484	0,1856459	0,3303627	0,1214651	0,0654108	0,4820185	0,3874211	0,0150796	0,0442020	0,5902808	0,0290292	0,4835725	0,1156170	0,6972449
200	0,6638522	0,6650612	0,5768463	0,0851777	0,0049801	0,2998747	0,5245443	0,2986323	0,3665816	0,4508471	0,4100938	0,2187943	0,8325154	0,3300198	0,0563990	0,3695571	0,2789010	0,0177655	0,4474713	0,2337758	0,3042761	0,1519041	0,0634391	0,6603757	0,3727094	0,0151237	0,0214712	0,6603133	0,0359745	0,5324427	0,2021059	0,7050305
220	0,6013692	0,6533770	0,5347246	0,0636674	0,0002252	0,3579380	0,5575293	0,3189451	0,4402388	0,4707086	0,5367618	0,1333052	0,7149726	0,2909307	0,1316173	0,4102384	0,2028612	0,0340325	0,4800804	0,3319940	0,2379524	0,1093921	0,0565105	0,6842603	0,4178284	0,0171585	0,0331400	0,6370911	0,0525128	0,5265002	0,1232782	0,8160794
240	0,6761825	0,6967692	0,4449007	0,1396362	0,0025634	0,4349998	0,6331232	0,3033486	0,3795930	0,5621098	0,5869364	0,2124216	0,7752937	0,3540216	0,1292967	0,3922990	0,2037554	0,0452972	0,4167860	0,1911073	0,3735188	0,0706764	0,0710216	0,5030188	0,4769380	0,0382340	0,0249954	0,6176471	0,0168650	0,5352777	0,1071148	0,8071788
