"Time"	hupA	fis	mtlR	marR	marA	rob	putA	glcC	xylR	hupB	marB	micF	pgm	seqA	zwf	xylH	inaA	nfo	xylF	xylG	ygiA	ygiB	tolC	ygiC	mtlD	mtlA	fumC	tyrP	mtr	galM	galK	galE
660	0,4235481	0,3677189	0,2547593	0,3952161	0,4135571	0,8191255	0,1800500	0,6315408	0,9387146	0,9569123	0,5756219	0,9998793	0,1932842	0,6142267	0,6801206	0,8567992	0,8540757	0,6943150	0,5823132	0,2027233	0,3464540	0,1475684	0,9102789	0,1347095	0,9622607	0,7269883	0,7104278	0,8158894	0,0877625	0,0303819	0,2645188	0,4735392
680	0,4235481	0,3677189	0,2547593	0,3952157	0,4135575	0,8191248	0,1800504	0,6315408	0,9387146	0,9569123	0,5756220	0,9998739	0,1932842	0,6142267	0,6801204	0,8578776	0,8540767	0,6943149	0,5823132	0,1913195	0,3464539	0,1291918	0,9102786	0,1347103	0,9622607	0,7306640	0,7104283	0,8158894	0,0877625	0,0303819	0,2682530	0,4735392
700	0,4235481	0,3677189	0,2547593	0,3952154	0,4135579	0,8191241	0,1800507	0,6315408	0,9387146	0,9569123	0,5756222	0,9998704	0,1932842	0,6142267	0,6801202	0,8584592	0,8540776	0,6943148	0,5823132	0,1837661	0,3464539	0,1179276	0,9102783	0,1347110	0,9622607	0,7321470	0,7104287	0,8158894	0,0877625	0,0303819	0,2701815	0,4735392
720	0,4235481	0,3677189	0,2547593	0,3952151	0,4135582	0,8191235	0,1800509	0,6315408	0,9387146	0,9569123	0,5756223	0,9998682	0,1932842	0,6142267	0,6801200	0,8587727	0,8540784	0,6943148	0,5823132	0,1787630	0,3464538	0,1110231	0,9102781	0,1347116	0,9622607	0,7327454	0,7104291	0,8158894	0,0877625	0,0303819	0,2711773	0,4735392
740	0,4235481	0,3677189	0,2547593	0,3952149	0,4135585	0,8191230	0,1800511	0,6315408	0,9387146	0,9569123	0,5756224	0,9998667	0,1932842	0,6142267	0,6801199	0,8589418	0,8540791	0,6943147	0,5823132	0,1754491	0,3464538	0,1067909	0,9102778	0,1347122	0,9622607	0,7329868	0,7104295	0,8158894	0,0877625	0,0303819	0,2716916	0,4735392
760	0,4235481	0,3677189	0,2547593	0,3952147	0,4135587	0,8191226	0,1800513	0,6315408	0,9387146	0,9569123	0,5756225	0,9998658	0,1932842	0,6142267	0,6801198	0,8590330	0,8540797	0,6943146	0,5823132	0,1732541	0,3464538	0,1041968	0,9102777	0,1347127	0,9622607	0,7330842	0,7104298	0,8158894	0,0877625	0,0303819	0,2719572	0,4735392
780	0,4235481	0,3677189	0,2547593	0,3952145	0,4135590	0,8191222	0,1800515	0,6315408	0,9387146	0,9569123	0,5756226	0,9998652	0,1932842	0,6142267	0,6801197	0,8590821	0,8540802	0,6943146	0,5823132	0,1718003	0,3464538	0,1026067	0,9102775	0,1347131	0,9622607	0,7331235	0,7104301	0,8158894	0,0877625	0,0303819	0,2720944	0,4735392
800	0,4235481	0,3677189	0,2547593	0,3952143	0,4135591	0,8191219	0,1800517	0,6315408	0,9387146	0,9569123	0,5756226	0,9998648	0,1932842	0,6142267	0,6801196	0,8591087	0,8540807	0,6943145	0,5823132	0,1708373	0,3464537	0,1016320	0,9102773	0,1347135	0,9622607	0,7331393	0,7104303	0,8158894	0,0877625	0,0303819	0,2721652	0,4735392
820	0,4235481	0,3677189	0,2547593	0,3952142	0,4135593	0,8191216	0,1800518	0,6315408	0,9387146	0,9569123	0,5756227	0,9998646	0,1932842	0,6142267	0,6801195	0,8591229	0,8540811	0,6943145	0,5823132	0,1701995	0,3464537	0,1010346	0,9102772	0,1347138	0,9622607	0,7331457	0,7104305	0,8158894	0,0877625	0,0303819	0,2722018	0,4735392
840	0,4235481	0,3677189	0,2547593	0,3952141	0,4135595	0,8191213	0,1800519	0,6315408	0,9387146	0,9569123	0,5756228	0,9998644	0,1932842	0,6142267	0,6801195	0,8591307	0,8540814	0,6943145	0,5823132	0,1697770	0,3464537	0,1006685	0,9102771	0,1347141	0,9622607	0,7331483	0,7104307	0,8158894	0,0877625	0,0303819	0,2722207	0,4735392
