"Time"	ihfA	hipB	hipA	yeiL	tdcA	tdcR	yiaJ	ompR	bolA	csgD	tdcF	tdcB	tdcE	tdcC	tdcG	tdcD	yiaK	sgbU	yiaO	yiaN	sgbE	sgbH	yiaL	lyxK	yiaM	sra	ompC	csgG	csgF	csgE	ompF	micF
660	0,4993234	0,4444452	0,2236668	0,5984615	0,6756598	0,4727226	0,0691011	0,2564568	0,6792307	0,4035380	0,7259728	0,6088397	0,0869730	0,4604354	0,4366316	0,7064752	0,4955948	0,4519404	0,7201471	0,4099589	0,5136969	0,3863950	0,3628984	0,3400902	0,7021498	0,4371095	0,2951113	0,2303275	0,4051116	0,2664378	0,3757857	0,1997117
680	0,4424616	0,3873578	0,1638291	0,6719364	0,6829672	0,5590965	0,0980460	0,3354596	0,5714722	0,4360857	0,7099849	0,8023767	0,1155862	0,5098409	0,3720397	0,6489852	0,4770292	0,6506373	0,7431885	0,4757710	0,5539971	0,4448653	0,2755031	0,3964575	0,5901350	0,5228894	0,3218398	0,2385715	0,5001358	0,3464063	0,4272359	0,2265628
700	0,4408993	0,3923042	0,1556497	0,6715787	0,6213441	0,6150962	0,0501747	0,3572431	0,6639505	0,3466618	0,7505386	0,6670379	0,1129832	0,5555984	0,3607316	0,6587977	0,5415656	0,5732405	0,7046923	0,4110613	0,5328739	0,4322444	0,2921906	0,3340796	0,6561762	0,5392608	0,2562452	0,2121334	0,4488421	0,3737604	0,4017545	0,2738262
720	0,4325301	0,4052950	0,1074853	0,6599246	0,6873609	0,6540793	0,1602109	0,2926923	0,6030448	0,3929294	0,7553906	0,6613141	0,1094303	0,4436328	0,3989739	0,6543947	0,4965604	0,5183604	0,7371853	0,4152403	0,4511852	0,4918090	0,2567668	0,4546772	0,6529166	0,5543259	0,3645490	0,3876151	0,4461728	0,4710220	0,4290290	0,3688861
740	0,4556021	0,4171958	0,1496343	0,5613629	0,7091971	0,7489961	0,0685274	0,2995048	0,7960971	0,5179072	0,8227765	0,6503321	0,1110154	0,5799792	0,3446714	0,7560593	0,5449107	0,5218968	0,6805683	0,5740916	0,5096672	0,4704841	0,2810637	0,4132204	0,6385130	0,6035014	0,3003290	0,3508769	0,5015299	0,6137301	0,4460970	0,2857557
760	0,3543823	0,4262272	0,1260819	0,6650112	0,6453362	0,6131876	0,1060421	0,4245311	0,5505290	0,5319896	0,7718665	0,5875076	0,1112864	0,4317949	0,3906753	0,7290176	0,4888654	0,3839167	0,6141500	0,4499242	0,5195297	0,5227638	0,2596745	0,4692484	0,7319105	0,6554552	0,3695338	0,3560229	0,3324762	0,5287267	0,3863248	0,3568172
780	0,3733686	0,4285704	0,1635278	0,6643311	0,6044979	0,7699564	0,0770118	0,5145008	0,6114817	0,4773270	0,6913021	0,6744853	0,1032874	0,5036456	0,4340758	0,7492362	0,5688997	0,5447464	0,6816097	0,4709750	0,5211328	0,4658530	0,2935515	0,3656388	0,6462865	0,5253541	0,3907951	0,3823661	0,3956954	0,5339226	0,3554383	0,2622901
800	0,4297909	0,4046797	0,1549594	0,5619042	0,6233549	0,7080805	0,1058602	0,4344295	0,5453039	0,4621329	0,7626498	0,6840921	0,1333171	0,4566643	0,4307137	0,6314601	0,5070210	0,5960144	0,5347331	0,5187724	0,5709824	0,3808060	0,2996853	0,3431688	0,7206658	0,6129825	0,3891377	0,4737604	0,4297346	0,6467876	0,5177980	0,3477412
820	0,3949826	0,4111923	0,1017303	0,6267186	0,6525665	0,6367487	0,0684271	0,4826317	0,6086977	0,5185327	0,7133318	0,7656803	0,1462361	0,5040987	0,4804728	0,7338869	0,7293669	0,5202654	0,5225127	0,4801759	0,5207502	0,3893681	0,2809280	0,2603517	0,6385579	0,6315713	0,4046430	0,5978690	0,4990572	0,5558449	0,4618989	0,3760534
840	0,3285349	0,3917177	0,1358161	0,5919244	0,5755382	0,6137051	0,0683555	0,4025510	0,5381796	0,5224838	0,6450429	0,9295340	0,1383303	0,5343430	0,4999846	0,7293913	0,5777395	0,6089857	0,6592337	0,5189582	0,5832024	0,4118120	0,2829454	0,2725096	0,6784201	0,6925645	0,4004124	0,5759627	0,6291839	0,5528581	0,5602115	0,4031384
860	0,4310921	0,4442532	0,1270317	0,6568010	0,5360033	0,6353684	0,0836430	0,4549780	0,4679366	0,5131506	0,7195810	0,7630909	0,1075006	0,5602251	0,3240592	0,7744713	0,5727018	0,5417363	0,6097159	0,6055306	0,5197141	0,4089962	0,2457286	0,3851730	0,8942735	0,6098544	0,2967864	0,5382742	0,4923335	0,6208717	0,4162739	0,3603524
880	0,4324279	0,5565628	0,1329029	0,7221993	0,6011595	0,6864548	0,0719009	0,3096417	0,6089758	0,5332913	0,5697044	0,8653018	0,1478621	0,5878820	0,4593734	0,6029222	0,5550894	0,5843934	0,7248708	0,5239099	0,6178078	0,5021770	0,1951117	0,3525294	0,7115135	0,6165113	0,3128444	0,5366227	0,5111605	0,6579885	0,4807777	0,3449339
