"Time"	ihfA	hipB	hipA	yeiL	tdcA	tdcR	yiaJ	ompR	bolA	csgD	tdcF	tdcB	tdcE	tdcC	tdcG	tdcD	yiaK	sgbU	yiaO	yiaN	sgbE	sgbH	yiaL	lyxK	yiaM	sra	ompC	csgG	csgF	csgE	ompF	micF
720	0,6045855	0,5963739	0,2175055	0,9099636	0,9393328	1,0441136	0,1007843	0,6307247	0,9576436	0,6971963	1,0342924	1,0172463	0,1707528	0,8181647	0,5534819	1,0264248	0,8167386	0,8761220	0,9154147	0,6501419	0,7502088	0,6614250	0,3795221	0,5694664	0,8967561	0,8674072	0,5654206	0,5771942	0,5605539	0,8876662	0,7061348	0,5092846
740	0,5999376	0,5705558	0,2615762	0,8684661	0,9909184	1,0861721	0,0780202	0,6196462	0,9005004	0,7066091	1,0575557	0,9976751	0,1982336	0,7838430	0,5984949	0,9859534	0,7778649	0,8171151	0,8870244	0,7498534	0,7192287	0,6509806	0,3625490	0,5716777	0,9846700	0,8844049	0,5272603	0,6324451	0,5881438	0,8872166	0,6327218	0,5247701
760	0,5979222	0,5638915	0,2697062	0,8545645	0,9732059	1,0546505	0,0967167	0,6450732	0,9001517	0,7026338	0,9902291	1,0372654	0,2009950	0,7402027	0,6395160	0,8979064	0,7552153	0,7965563	0,9200467	0,6484604	0,8125547	0,6989804	0,3437876	0,4955827	0,9491893	0,8947029	0,5794290	0,6390281	0,6158418	0,9020950	0,6758426	0,4738776
780	0,5924642	0,6114512	0,2134487	0,8815753	0,9387689	1,0313060	0,0922707	0,6161171	0,7901550	0,7170430	0,9937444	1,0336024	0,2125336	0,7604318	0,6601703	0,8543764	0,8199974	0,8901319	0,9613968	0,6487097	0,7408715	0,6633767	0,3685395	0,5163533	0,9774762	0,9180549	0,5652036	0,7284821	0,7127135	0,8965461	0,7039357	0,5370456
800	0,6102317	0,6160725	0,2068239	0,8449256	0,9872851	0,9569632	0,0948334	0,5743787	0,7335246	0,7319220	1,0641392	1,0267549	0,2247919	0,7643238	0,6061198	0,9721525	0,8558289	0,8911225	0,8710888	0,7190898	0,7822842	0,6489891	0,3813067	0,4905896	0,9681558	0,9254488	0,5576586	0,7298047	0,7464356	0,8707211	0,7009259	0,4625074
820	0,5722753	0,5876934	0,2237180	0,8393598	0,9399945	0,9714800	0,0881800	0,5816694	0,7604531	0,7312409	0,9851760	1,1059914	0,2485616	0,7780345	0,5651158	1,0070020	0,8011710	0,8530792	0,8791900	0,7518110	0,8280913	0,6613792	0,4035842	0,4766473	0,9903569	0,8701165	0,5988420	0,7688039	0,7528396	0,9397804	0,6805096	0,5115171
840	0,5645105	0,5523205	0,2362019	0,9599454	0,9571208	0,9874667	0,1259974	0,5584832	0,7250941	0,7817876	0,9880669	1,0575572	0,2367281	0,7988701	0,5603521	0,9783910	0,8348138	0,8683528	0,9200612	0,7278349	0,7784296	0,6626448	0,3823683	0,5203526	1,0750770	0,8539148	0,6065680	0,7952466	0,7919851	0,9378958	0,6675605	0,4640540
860	0,5813602	0,5234069	0,2193549	0,8462865	0,9838587	1,0184433	0,0934390	0,5924016	0,7419749	0,7470754	0,8997711	1,0595459	0,1837547	0,8670030	0,5849185	1,0027704	0,8479391	0,8495822	0,8860263	0,7277267	0,8070585	0,6749740	0,4151387	0,5182270	1,0563787	0,8812589	0,6035941	0,8321765	0,7708341	0,9120167	0,6568874	0,4898250
880	0,6020488	0,5382626	0,2039480	0,8911180	0,9423625	1,0578301	0,0850748	0,6013496	0,7846886	0,7393947	1,0010062	1,0250724	0,1862801	0,8692975	0,6005136	1,0160771	0,8283593	0,9042205	0,9857122	0,7200917	0,7964316	0,6519658	0,4289517	0,5136002	1,0457927	0,9912209	0,5933740	0,8023509	0,7492973	0,9089477	0,6566576	0,4991434
900	0,6278263	0,5731059	0,2340031	0,8393605	0,9080902	0,9512140	0,1203144	0,5983456	0,8296340	0,7734078	1,0556034	1,0230623	0,1740285	0,8386666	0,5650675	1,0436765	0,7889986	0,8858816	1,0003886	0,6762766	0,8109772	0,6575813	0,4160383	0,4797649	1,0632565	0,9535183	0,6308430	0,7599156	0,7926749	0,9598368	0,6838880	0,5257808
