"Time"	argP	dnaA	phoB	recF	dnaN	nrdA	nrdR	fis	mtlR	marR	nrdB	guaB	mtlD	mtlA	guaA	marB	glyU	valX	phnK	lysV	glnV	phnP	phnH	leuV	pheU	psiF	topA	aspV	thrU	phnG	alaW	tyrU
920	0,0152137	0,6187873	0,0381285	0,0299583	0,2699592	0,6042141	1,0000000	0,5599390	0,4331408	0,5184753	0,3183038	0,7084634	0,1075143	0,5679208	0,5787500	0,5343122	0,3129366	0,3085485	0,9813621	0,0515829	0,9747399	0,0270946	0,0503956	0,3407540	0,8407550	0,0567970	0,9979677	0,7802183	0,9940654	0,0019210	0,9879834	0,3796094
940	0,0152137	0,6187873	0,0381285	0,0299583	0,2699592	0,6042141	1,0000000	0,5599390	0,4331974	0,5185351	0,3183038	0,7084634	0,1074386	0,5673224	0,5787500	0,5342228	0,3129366	0,3085485	0,9813471	0,0515829	0,9747399	0,0270946	0,0503956	0,3405546	0,8407036	0,0567970	0,9979675	0,7802066	0,9940654	0,0018871	0,9879834	0,3796094
960	0,0152137	0,6187873	0,0381285	0,0299583	0,2699592	0,6042141	1,0000000	0,5599390	0,4332326	0,5185725	0,3183038	0,7084634	0,1073878	0,5668750	0,5787500	0,5341559	0,3129366	0,3085485	0,9813369	0,0515829	0,9747399	0,0270946	0,0503956	0,3404258	0,8406700	0,0567970	0,9979674	0,7801993	0,9940654	0,0018685	0,9879834	0,3796094
980	0,0152137	0,6187873	0,0381285	0,0299583	0,2699592	0,6042141	1,0000000	0,5599390	0,4332543	0,5185913	0,3183038	0,7084634	0,1073540	0,5665424	0,5787500	0,5341047	0,3129366	0,3085485	0,9813301	0,0515829	0,9747399	0,0270946	0,0503956	0,3403427	0,8406480	0,0567970	0,9979673	0,7801947	0,9940654	0,0018583	0,9879834	0,3796094
1000	0,0152137	0,6187873	0,0381285	0,0299583	0,2699592	0,6042141	1,0000000	0,5599390	0,4332676	0,5185974	0,3183038	0,7084634	0,1073315	0,5662966	0,5787500	0,5340654	0,3129366	0,3085485	0,9813255	0,0515829	0,9747399	0,0270946	0,0503956	0,3402890	0,8406337	0,0567970	0,9979673	0,7801919	0,9940654	0,0018527	0,9879834	0,3796094
1020	0,0152137	0,6187873	0,0381285	0,0299583	0,2699592	0,6042141	1,0000000	0,5599390	0,4332757	0,5185964	0,3183038	0,7084634	0,1073167	0,5661157	0,5787500	0,5340357	0,3129366	0,3085485	0,9813224	0,0515829	0,9747399	0,0270946	0,0503956	0,3402544	0,8406243	0,0567970	0,9979673	0,7801901	0,9940654	0,0018497	0,9879834	0,3796094
1040	0,0152137	0,6187873	0,0381285	0,0299583	0,2699592	0,6042141	1,0000000	0,5599390	0,4332806	0,5185924	0,3183038	0,7084634	0,1073070	0,5659832	0,5787500	0,5340139	0,3129366	0,3085485	0,9813204	0,0515829	0,9747399	0,0270946	0,0503956	0,3402320	0,8406183	0,0567970	0,9979673	0,7801890	0,9940654	0,0018481	0,9879834	0,3796094
1060	0,0152137	0,6187873	0,0381285	0,0299583	0,2699592	0,6042141	1,0000000	0,5599390	0,4332835	0,5185880	0,3183038	0,7084634	0,1073006	0,5658864	0,5787500	0,5339982	0,3129366	0,3085485	0,9813190	0,0515829	0,9747399	0,0270946	0,0503956	0,3402176	0,8406143	0,0567970	0,9979673	0,7801883	0,9940654	0,0018472	0,9879834	0,3796094
1080	0,0152137	0,6187873	0,0381285	0,0299583	0,2699592	0,6042141	1,0000000	0,5599390	0,4332852	0,5185845	0,3183038	0,7084634	0,1072965	0,5658160	0,5787500	0,5339874	0,3129366	0,3085485	0,9813181	0,0515829	0,9747399	0,0270946	0,0503956	0,3402083	0,8406118	0,0567970	0,9979673	0,7801879	0,9940654	0,0018467	0,9879834	0,3796094
1100	0,0152137	0,6187873	0,0381285	0,0299583	0,2699592	0,6042141	1,0000000	0,5599390	0,4332862	0,5185821	0,3183038	0,7084634	0,1072938	0,5657649	0,5787500	0,5339801	0,3129366	0,3085485	0,9813175	0,0515829	0,9747399	0,0270946	0,0503956	0,3402024	0,8406101	0,0567970	0,9979673	0,7801876	0,9940654	0,0018464	0,9879834	0,3796094

0	0,0152137	0,6187872	0,0381285	0,0299582	0,2699802	0,6042189	1,0000000	0,5599425	0,4332840	0,5185874	0,3183098	0,7084450	0,1073020	0,5651686	0,5787377	0,5340843	0,3129343	0,3085535	0,9812115	0,0516745	0,9740519	0,0270940	0,0503944	0,3402248	0,8405864	0,0567969	0,9979629	0,7801793	0,9940651	0,0018461	0,9879704	0,3796092
20	0,1171005	0,6187961	0,0381285	0,1061960	0,2702279	0,6042448	0,9671202	0,5599412	0,4245908	0,5185823	0,2941369	0,7084515	0,1073973	0,5653458	0,5615602	0,5079784	0,3534548	0,3085520	0,9812464	0,0516427	0,9742429	0,0270942	0,1078716	0,3402139	0,8405938	0,0567969	0,9982051	0,7801827	0,9940653	0,1248047	0,9879754	0,3796100
40	0,2738997	0,6197164	0,0381285	0,2495074	0,2737198	0,6078280	0,9008872	0,5599403	0,4072156	0,5185798	0,2525814	0,7084491	0,1082002	0,5658630	0,5291556	0,4566570	0,4240802	0,3085512	0,9812698	0,0516221	0,9743811	0,0270943	0,2212730	0,3402068	0,8405987	0,0567970	0,9986287	0,7801849	0,9940654	0,3323966	0,9879785	0,3796104
60	0,4012000	0,6276839	0,0381285	0,3936859	0,2842547	0,6321469	0,8297541	0,5599397	0,3888074	0,5185790	0,2187077	0,7082964	0,1100623	0,5671807	0,4967162	0,4028097	0,4887808	0,3085506	0,9812853	0,0516086	0,9744812	0,0270944	0,3402558	0,3402021	0,8406019	0,0567970	0,9990192	0,7801862	0,9940654	0,5152579	0,9879804	0,3796104
80	0,4891731	0,6491647	0,0381285	0,5160033	0,3008860	0,6770925	0,7658707	0,5599394	0,3726219	0,5185792	0,1981517	0,7072961	0,1128284	0,5695154	0,4691181	0,3554268	0,5383657	0,3085501	0,9812957	0,0515997	0,9745534	0,0270944	0,4445910	0,3401988	0,8406039	0,0567970	0,9993200	0,7801869	0,9940654	0,6494126	0,9879816	0,3796103
