"Time"	ihfA	hipB	hipA	yeiL	tdcA	tdcR	yiaJ	ompR	bolA	csgD	tdcF	tdcB	tdcE	tdcC	tdcG	tdcD	yiaK	sgbU	yiaO	yiaN	sgbE	sgbH	yiaL	lyxK	yiaM	sra	ompC	csgG	csgF	csgE	ompF	micF
1020	0,6094652	0,5770366	0,2242386	0,9145030	0,9401624	0,9999585	0,1084862	0,6139382	0,7876084	0,7820736	0,9773616	0,9849208	0,1900142	0,8312005	0,6244493	0,9946432	0,8368216	0,8556554	0,9542064	0,6966636	0,7783889	0,6743609	0,4404630	0,5159167	0,9987816	0,9748450	0,5763759	0,7657954	0,7341417	0,9784533	0,7454166	0,5532406
1040	0,6094652	0,5770366	0,2242386	0,9145027	0,9401779	0,9999720	0,1084862	0,6139383	0,7875907	0,7830233	0,9773710	0,9849273	0,1900386	0,8312275	0,6245014	0,9946444	0,8368217	0,8556554	0,9542064	0,6966636	0,7783889	0,6743609	0,4404630	0,5159167	0,9987816	0,9748632	0,5763890	0,7659735	0,7346742	0,9786656	0,7454597	0,5532602
1060	0,6094652	0,5770366	0,2242386	0,9145026	0,9401886	0,9999811	0,1084862	0,6139385	0,7875801	0,7837840	0,9773776	0,9849321	0,1900556	0,8312461	0,6245372	0,9946453	0,8368217	0,8556554	0,9542064	0,6966636	0,7783889	0,6743609	0,4404630	0,5159167	0,9987816	0,9748753	0,5763973	0,7660950	0,7351011	0,9788253	0,7454880	0,5532726
1080	0,6094652	0,5770366	0,2242386	0,9145025	0,9401959	0,9999872	0,1084862	0,6139385	0,7875738	0,7843931	0,9773822	0,9849355	0,1900674	0,8312589	0,6245618	0,9946459	0,8368217	0,8556554	0,9542064	0,6966636	0,7783889	0,6743609	0,4404630	0,5159167	0,9987816	0,9748832	0,5764024	0,7661780	0,7354432	0,9789462	0,7455066	0,5532805
1100	0,6094652	0,5770366	0,2242386	0,9145024	0,9402011	0,9999914	0,1084862	0,6139385	0,7875701	0,7848809	0,9773854	0,9849379	0,1900755	0,8312676	0,6245786	0,9946463	0,8368217	0,8556554	0,9542064	0,6966636	0,7783889	0,6743609	0,4404630	0,5159167	0,9987816	0,9748884	0,5764056	0,7662345	0,7357173	0,9790385	0,7455188	0,5532854

0	0,6094651	0,5770366	0,2242375	0,9144985	0,9402121	1,0000000	0,1084862	0,6139385	0,7875653	0,7854207	0,9773924	0,9849422	0,1900937	0,8312864	0,6246147	0,9946472	0,8368189	0,8556514	0,9542064	0,6966630	0,7783805	0,6743476	0,4402545	0,5159164	0,9987811	0,9748988	0,5764106	0,7663444	0,7360206	0,9791577	0,7455407	0,5532931
20	0,3658949	0,5687221	0,1670906	0,9135189	0,9383699	1,0000000	0,0638446	0,6194018	0,7874088	0,7857198	0,9766083	0,9873929	0,1858870	0,8288376	0,6223230	0,9939024	0,8340019	0,8576288	0,9529369	0,6905317	0,7219917	0,7482946	0,4378011	0,5074441	0,9992002	0,7012101	0,5804385	0,8206540	0,7362052	0,9844665	0,7433166	0,5655481
40	0,2309083	0,5284897	0,1311002	0,9088119	0,9278796	1,0000000	0,0487187	0,6449089	0,7843939	0,7862806	0,9722002	0,9888118	0,1670347	0,8166499	0,6112936	0,9886230	0,8178946	0,8679298	0,9461970	0,6635446	0,6834361	0,7983352	0,4281092	0,4672101	0,9994752	0,5199160	0,6010967	0,8576787	0,7367894	0,9880303	0,7320613	0,6238734
60	0,1574477	0,4560491	0,1089904	0,8997168	0,9034423	1,0000000	0,0481957	0,6889361	0,7718960	0,7879104	0,9612421	0,9894965	0,1377827	0,7936426	0,5911609	0,9677063	0,7827339	0,8858366	0,9314245	0,6167020	0,6475721	0,8312199	0,4172784	0,3981051	0,9996534	0,3991437	0,6413407	0,8837034	0,7386241	0,9905450	0,7105165	0,7165548
