"Time"	baeR	cpxR	csgD	rstA	ompR	bolA	rcsB	rcsA	flhC	hdfR	csgF	csgE	csgG	sra	ompF	mdtA	wcaB	mdtD	mdtB	baeS	csgB	wzc	wcaA	spy	wza	csgA	bdm	csgC	mdtC	wzb	rprA	osmB
1040	0,0899962	0,0499013	0,4355168	0,6825567	0,7228852	0,0782952	0,6264520	0,0647090	0,2136963	0,7171791	0,5781222	0,5775597	0,5769244	0,4939483	0,4871043	0,0195353	0,1182346	0,4054097	0,1086504	0,0081257	0,6355585	0,4240767	0,3715167	0,0154327	0,0864486	0,5775805	0,2249524	0,6963386	0,0357614	0,4774338	0,0591039	0,0268041
1060	0,0616681	0,0355617	0,4420114	0,9397363	0,8050789	0,1485696	0,6737563	0,0343779	0,1983734	0,8383759	0,5878122	0,5711369	0,5335512	0,4531151	0,5933443	0,0279368	0,0793692	0,3501866	0,0772120	0,0202063	0,5720740	0,4659636	0,4418889	0,0042754	0,1094428	0,6198741	0,3218931	0,7733521	0,0301514	0,5292361	0,0668842	0,0043472
1080	0,0692060	0,0297327	0,5859789	0,8290723	0,7901947	0,1148344	0,6394779	0,0162496	0,2078267	0,7567059	0,4823637	0,6585969	0,5881659	0,4256079	0,5773755	0,0312336	0,0570926	0,3559067	0,1144768	0,0075240	0,6902321	0,3984938	0,4196222	0,0033270	0,1025434	0,6092447	0,2441611	0,7694106	0,0133264	0,3929395	0,0453589	0,0144899
1100	0,0838371	0,0778633	0,5888376	0,6917919	0,7546087	0,1054526	0,7232056	0,0194999	0,2128886	0,8477670	0,4620694	0,8081314	0,5781058	0,4166231	0,6254194	0,0298453	0,0900903	0,3407855	0,0532097	0,0160387	0,5891000	0,3091614	0,4674357	0,0151711	0,0554306	0,7422587	0,1930976	0,8022792	0,0159891	0,4985192	0,1387919	0,0042606

0	0,0701636	0,0104963	0,4762761	0,7136626	0,7115786	0,0818985	0,7289424	0,0381861	0,3205034	0,6391465	0,5978406	0,8129283	0,5937925	0,3824568	0,5478284	0,0430975	0,0457604	0,2871379	0,1041486	0,0060574	0,5604954	0,4347363	0,3513492	0,0022764	0,0803823	0,6903040	0,3307197	0,8215398	0,0556796	0,3280685	0,0877544	0,0031862
20	0,0614906	0,0247498	0,4391785	0,7288739	0,7303539	0,1057653	0,6859051	0,0140629	0,1699648	0,5491885	0,4498103	0,6978223	0,6107979	0,4370018	0,5964687	0,0673231	0,0603141	0,2428141	0,0828340	0,0161754	0,5711887	0,3463733	0,3989170	0,0017595	0,0885998	0,7306149	0,2839841	0,7936080	0,0811525	0,4856663	0,2177601	0,0153317
40	0,0276762	0,0423045	0,4924403	0,6962006	0,5345932	0,1712120	0,7132843	0,0137608	0,2049605	0,5232220	0,4890649	0,8394378	0,6772279	0,4522283	0,6704144	0,0892817	0,0893486	0,3945400	0,0767471	0,0161534	0,6989804	0,3307527	0,3906536	0,0151293	0,0662789	0,7165574	0,2426148	0,6855862	0,1074906	0,5546411	0,4611864	0,0364482
60	0,0261557	0,0365813	0,4096283	0,7196693	0,4746055	0,0938641	0,6985650	0,0143761	0,1995455	0,2695565	0,4675651	0,7585926	0,6521711	0,4337347	0,5732689	0,0693612	0,0801283	0,3836431	0,0724487	0,0190613	0,5417587	0,4117929	0,3787559	0,0144049	0,1262216	0,8572084	0,2256362	0,8630162	0,2591825	0,6726779	0,7404485	0,0850861
80	0,0225505	0,0396312	0,4525431	0,8172619	0,3690014	0,1257659	0,6565626	0,0488266	0,2865748	0,2201069	0,3888218	0,8580075	0,6138050	0,4671735	0,6320568	0,0513200	0,0702706	0,5120396	0,0757177	0,0250331	0,5220785	0,4680664	0,3821267	0,0464336	0,1341930	0,6105350	0,2501472	0,6427580	0,2262737	0,6139624	0,6772804	0,0487648
100	0,0556438	0,0380986	0,5498460	0,7301399	0,3737861	0,2397206	0,6279129	0,0177302	0,2892824	0,1312158	0,4349449	0,9403434	0,5643290	0,4532321	0,6444442	0,0980126	0,0630335	0,4927681	0,0936078	0,0082260	0,5548463	0,4532288	0,3630141	0,0092665	0,2041016	0,7262114	0,2756033	0,5240301	0,2657068	0,5183493	0,6142429	0,0833752
120	0,0288939	0,0274465	0,5688649	0,8557993	0,3248181	0,2049749	0,6189765	0,0362415	0,3877709	0,0746038	0,4600568	0,7626605	0,8330331	0,4948150	0,6186271	0,1385678	0,0996565	0,5450869	0,0674323	0,0191315	0,6819785	0,3848993	0,3902673	0,0061459	0,2499608	0,7049673	0,1971660	0,7133785	0,3195627	0,6447911	0,6513189	0,0682615
140	0,0563279	0,0252297	0,6009422	0,8488775	0,3452279	0,2393669	0,6556949	0,0165358	0,3666032	0,0537560	0,4506424	0,8950655	0,6449028	0,4219843	0,4966611	0,1745860	0,0488132	0,5359911	0,0580922	0,0210969	0,6305783	0,3824285	0,4243919	0,0082770	0,2284252	0,6142943	0,1853348	0,7975491	0,4673465	0,5788256	0,7312009	0,0778194
160	0,0408893	0,0648146	0,6565694	0,7572001	0,4197056	0,3375114	0,6753910	0,0193106	0,3826846	0,0638883	0,5957612	0,7977727	0,6016514	0,3896181	0,5375983	0,1602645	0,0386685	0,6286778	0,0531780	0,0163558	0,5461378	0,4342322	0,4108579	0,0309607	0,2114527	0,6713707	0,1764700	0,7490642	0,4100317	0,5676173	0,6669370	0,1025855
180	0,0432947	0,0305457	0,4806113	0,8496226	0,2484271	0,3216253	0,6207992	0,0216014	0,4701934	0,0398563	0,4428260	0,7169670	0,6393751	0,3635041	0,5805983	0,1784886	0,0550089	0,6421128	0,0418053	0,0168158	0,5874736	0,3790518	0,3956623	0,0569609	0,2588262	0,8568904	0,1482990	0,6737937	0,5390025	0,6117743	0,7626948	0,1032309
