"Time"	melR	crp	rhaR	rhaS	feaR	malI	zraR	mtlR	rbsR	prpR	rbsK	rhaB	malY	rbsB	prpB	prpE	rhaA	melA	prpD	rbsD	malX	rbsA	melB	zraS	rhaD	prpC	rbsC	rhaT	mtlD	mtlA	ychH	agp
700	0,6052116	0,9941021	0,8105705	0,9672699	0,9545106	0,2815510	0,7380398	0,6982800	0,9351674	0,9997091	0,0935867	0,9391164	0,2388242	0,3829959	0,9999999	0,9978306	0,3748776	0,7693655	0,9136299	0,2975150	0,8170745	0,4401772	0,5862049	0,9983317	0,7891667	0,9955902	0,5077841	0,9999668	0,5625521	0,8488814	0,9985819	0,6044508
720	0,6052116	0,9941021	0,8101190	0,9671862	0,9545106	0,2815510	0,7332606	0,6982800	0,9351674	0,9997091	0,0935867	0,9391161	0,2388242	0,3764788	0,9999999	0,9978306	0,3730349	0,7680252	0,9136299	0,2975150	0,8233305	0,4401772	0,5872444	0,9980977	0,7886640	0,9955902	0,5077841	0,9999666	0,5617567	0,8488814	0,9985754	0,6044508
740	0,6052116	0,9941021	0,8097747	0,9671460	0,9545106	0,2815510	0,7298755	0,6982800	0,9351674	0,9997091	0,0935867	0,9391158	0,2388242	0,3721652	0,9999999	0,9978306	0,3716553	0,7672274	0,9136299	0,2975150	0,8271762	0,4401772	0,5879320	0,9978873	0,7882702	0,9955902	0,5077841	0,9999664	0,5613936	0,8488814	0,9985711	0,6044508
760	0,6052116	0,9941021	0,8095172	0,9671266	0,9545106	0,2815510	0,7274709	0,6982800	0,9351674	0,9997091	0,0935867	0,9391156	0,2388242	0,3693099	0,9999999	0,9978306	0,3706331	0,7667525	0,9136299	0,2975150	0,8295402	0,4401772	0,5883867	0,9977039	0,7879693	0,9955902	0,5077841	0,9999662	0,5612278	0,8488814	0,9985682	0,6044508
780	0,6052116	0,9941021	0,8093273	0,9671173	0,9545106	0,2815510	0,7257599	0,6982800	0,9351674	0,9997091	0,0935867	0,9391155	0,2388242	0,3674200	0,9999999	0,9978306	0,3698827	0,7664698	0,9136299	0,2975150	0,8309934	0,4401772	0,5886875	0,9975483	0,7877441	0,9955902	0,5077841	0,9999661	0,5611521	0,8488814	0,9985663	0,6044508
800	0,6052116	0,9941021	0,8091887	0,9671128	0,9545106	0,2815510	0,7245411	0,6982800	0,9351674	0,9997091	0,0935867	0,9391154	0,2388242	0,3661691	0,9999999	0,9978306	0,3693361	0,7663016	0,9136299	0,2975150	0,8318867	0,4401772	0,5888865	0,9974187	0,7875781	0,9955902	0,5077841	0,9999660	0,5611176	0,8488814	0,9985651	0,6044508
820	0,6052116	0,9941021	0,8090881	0,9671106	0,9545106	0,2815510	0,7236725	0,6982800	0,9351674	0,9997091	0,0935867	0,9391153	0,2388242	0,3653411	0,9999999	0,9978306	0,3689408	0,7662014	0,9136299	0,2975150	0,8324358	0,4401772	0,5890181	0,9973127	0,7874573	0,9955902	0,5077841	0,9999659	0,5611018	0,8488814	0,9985643	0,6044508
840	0,6052116	0,9941021	0,8090156	0,9671096	0,9545106	0,2815510	0,7230531	0,6982800	0,9351674	0,9997091	0,0935867	0,9391152	0,2388242	0,3647931	0,9999999	0,9978306	0,3686567	0,7661418	0,9136299	0,2975150	0,8327734	0,4401772	0,5891051	0,9972271	0,7873704	0,9955902	0,5077841	0,9999659	0,5610946	0,8488814	0,9985637	0,6044508
860	0,6052116	0,9941021	0,8089635	0,9671091	0,9545106	0,2815510	0,7226114	0,6982800	0,9351674	0,9997091	0,0935867	0,9391152	0,2388242	0,3644303	0,9999999	0,9978306	0,3684537	0,7661063	0,9136299	0,2975150	0,8329809	0,4401772	0,5891627	0,9971588	0,7873085	0,9955902	0,5077841	0,9999658	0,5610913	0,8488814	0,9985633	0,6044508
880	0,6052116	0,9941021	0,8089261	0,9671088	0,9545106	0,2815510	0,7222964	0,6982800	0,9351674	0,9997091	0,0935867	0,9391152	0,2388242	0,3641902	0,9999999	0,9978306	0,3683092	0,7660852	0,9136299	0,2975150	0,8331085	0,4401772	0,5892008	0,9971047	0,7872646	0,9955902	0,5077841	0,9999658	0,5610898	0,8488814	0,9985631	0,6044508
