"Time"	ihfB	hipA	hipB	yeiL	tdcA	tdcR	yiaJ	ompR	bolA	csgD	tdcG	tdcF	tdcB	tdcD	tdcE	tdcC	lyxK	yiaN	yiaO	sgbH	sgbE	sgbU	yiaK	yiaL	yiaM	sra	ompC	csgG	csgF	csgE	ompF	micF
40	0,3748613	0,1897797	0,4564826	0,6424699	0,8924416	1,0000000	0,6596026	0,5265435	0,1718224	0,8400262	0,9771857	0,8964412	0,8192527	0,9970053	0,7826353	0,8209127	0,3634799	0,1902793	0,6507348	0,2887352	0,4179486	0,4421681	0,6252781	0,1556374	0,5831350	0,5008359	0,7478388	0,6815090	0,3182635	0,9262376	0,7747885	0,9946642
60	0,3473476	0,1837739	0,4532950	0,6345126	0,9024079	1,0000000	0,6418560	0,4699344	0,1245633	0,7632959	0,9753541	0,8936309	0,8687093	0,9967561	0,7755845	0,8818174	0,3533593	0,2278593	0,5642738	0,2854934	0,4066341	0,4303649	0,7252725	0,1557192	0,5917347	0,4967472	0,7463730	0,7136948	0,2799516	0,9121302	0,8261972	0,9930187
80	0,3321291	0,1769014	0,4516770	0,6230302	0,9057362	1,0000000	0,6400573	0,4414635	0,1001893	0,6787578	0,9724309	0,8896797	0,9018235	0,9963987	0,7659941	0,9209762	0,3403017	0,2526284	0,5087759	0,2823309	0,3939007	0,4180367	0,7745016	0,1559149	0,6017246	0,4912747	0,7436537	0,7231485	0,2335111	0,8931124	0,8727765	0,9906932
100	0,3250560	0,1703612	0,4532179	0,6091257	0,9045956	1,0000000	0,6446549	0,4282688	0,0884677	0,6067688	0,9685613	0,8851686	0,9239018	0,9959727	0,7552093	0,9461433	0,3263780	0,2689485	0,4730421	0,2798681	0,3820886	0,4075427	0,7987383	0,1560676	0,6111422	0,4851556	0,7401281	0,7223266	0,1883449	0,8724512	0,9088917	0,9880749
120	0,3229358	0,1647294	0,4581430	0,5940811	0,9008500	1,0000000	0,6508695	0,4228893	0,0832156	0,5521758	0,9640680	0,8807175	0,9385273	0,9955269	0,7445474	0,9623141	0,3133016	0,2796992	0,4499501	0,2781654	0,3722916	0,3995621	0,8106707	0,1560373	0,6188619	0,4790704	0,7365447	0,7178297	0,1495353	0,8529705	0,9349885	0,9856069
140	0,3234842	0,1600996	0,4655468	0,5790724	0,8959769	1,0000000	0,6565689	0,4212279	0,0810472	0,5120456	0,9593642	0,8767948	0,9481394	0,9951059	0,7349894	0,9727036	0,3021436	0,2867805	0,4349789	0,2770370	0,3647116	0,3938377	0,8165453	0,1558137	0,6245762	0,4735358	0,7334643	0,7126244	0,1183902	0,8362054	0,9531893	0,9835882
160	0,3251976	0,1563281	0,4740578	0,5649983	0,8910105	1,0000000	0,6610113	0,4211483	0,0802436	0,4823022	0,9548424	0,8736421	0,9544022	0,9947414	0,7270748	0,9793793	0,2933462	0,2914449	0,4252553	0,2762798	0,3591218	0,3898346	0,8194375	0,1554812	0,6284890	0,4688659	0,7311027	0,7078410	0,0943066	0,8225204	0,9656240	0,9821126
180	0,3271811	0,1532195	0,4824511	0,5524226	0,8865622	1,0000000	0,6641253	0,4216014	0,0799885	0,4598008	0,9507909	0,8712967	0,9584463	0,9944482	0,7209499	0,9836699	0,2868820	0,2945177	0,4189423	0,2757544	0,3551615	0,3870577	0,8208613	0,1551416	0,6310103	0,4651797	0,7294204	0,7037996	0,0760445	0,8115910	0,9739987	0,9811273
200	0,3289727	0,1506149	0,4899531	0,5416019	0,8829063	1,0000000	0,6661175	0,4221167	0,0799232	0,4424236	0,9473643	0,8696645	0,9610330	0,9942272	0,7164887	0,9864287	0,2824453	0,2965425	0,4148548	0,2753837	0,3524687	0,3851391	0,8215623	0,1548662	0,6325615	0,4624431	0,7282647	0,7005037	0,0623272	0,8028351	0,9795741	0,9805176
220	0,3303881	0,1484091	0,4962530	0,5325574	0,8800883	1,0000000	0,6672716	0,4225175	0,0799064	0,4287678	0,9445989	0,8685944	0,9626711	0,9940700	0,7134202	0,9882037	0,2796133	0,2978771	0,4122209	0,2751275	0,3507254	0,3838251	0,8219073	0,1546841	0,6334879	0,4605279	0,7274694	0,6978545	0,0520582	0,7956744	0,9832471	0,9801651
