"Time"	fur	rcnR	metJ	metR	oxyR	purR	soxS	soxR	marR	marA	fumC	marB	sodA	rfaY	poxB	glyA	fpr	ahpF	ahpC	uof	pqiA	fhuF	rcnA	pqiB	rfaZ	metE	metA	metH	purA	mntH	nfo	inaA
1060	0,4450141	0,2172471	0,1742009	0,3623993	0,1819006	0,1001952	0,1442508	0,4296308	0,4710384	0,5323961	0,6734814	0,1193043	0,6015450	0,0818642	0,0851873	0,1361747	0,3093865	0,3785777	0,6464683	0,0636102	0,5163094	0,0543031	0,5278833	0,5188752	0,1046984	0,4308573	0,6507657	0,6387429	0,2934538	0,5181216	0,2079811	0,4951571
1080	0,4808060	0,3247981	0,1631958	0,2406853	0,2274912	0,1584572	0,1064017	0,3339051	0,5624943	0,5511191	0,6298139	0,1112490	0,5587417	0,1018241	0,0608551	0,1237332	0,2812654	0,3458950	0,5713057	0,0644631	0,6018806	0,0979180	0,3563591	0,4237214	0,0910175	0,4850337	0,7276726	0,5103039	0,2962567	0,4204838	0,1799145	0,4634007
1100	0,5274855	0,2780042	0,1186756	0,2993082	0,2164803	0,1445060	0,1197973	0,5061599	0,5249733	0,4965171	0,7430078	0,1716777	0,5416795	0,0933533	0,0494090	0,1604226	0,2491467	0,4043985	0,6952901	0,0720096	0,7344829	0,0998465	0,3565936	0,6246794	0,1599620	0,6644115	0,7633652	0,6523718	0,2879903	0,6907376	0,2723973	0,3945936

0	0,5312595	0,2722377	0,1679851	0,3681432	0,1764955	0,1127928	0,1229408	0,4135236	0,4762584	0,6113272	0,7171871	0,1286138	0,5255861	0,0881718	0,0579114	0,1220856	0,3355947	0,4066669	0,6324715	0,1589249	0,5566082	0,0647863	0,3619998	0,4152738	0,1220917	0,6113255	0,7598735	0,6852161	0,2910159	0,6767382	0,2166435	0,4411219
20	0,5199268	0,2995858	0,2505227	0,3394676	0,1427213	0,1324297	0,1094795	0,3860541	0,5112180	0,5355488	0,7494179	0,1067067	0,5637982	0,0587963	0,0486792	0,1215506	0,3480049	0,3519667	0,6889181	0,0945719	0,6023846	0,0857508	0,3871919	0,4366681	0,1476040	0,4244775	0,7616693	0,4863700	0,2741710	0,6794939	0,2960803	0,4877922
40	0,5418673	0,2695236	0,2430868	0,2032462	0,1385319	0,1522934	0,0835363	0,3264137	0,4282169	0,5143762	0,5376855	0,1536150	0,4866131	0,1037282	0,0736386	0,1809902	0,2910900	0,2888112	0,6662869	0,0772191	0,6162294	0,0985544	0,3981161	0,4776268	0,1842387	0,4428240	0,5952618	0,5864640	0,2258023	0,5788663	0,3225922	0,4916969
60	0,5143579	0,2671526	0,2379269	0,1917831	0,1537589	0,1410929	0,0947522	0,3997551	0,3422994	0,5241192	0,6553612	0,1061518	0,3314898	0,1210400	0,0925670	0,2398930	0,3343824	0,2685699	0,7415036	0,0742796	0,4773566	0,1066766	0,3848694	0,4310129	0,1507690	0,3304541	0,6105395	0,7155932	0,2628596	0,6042103	0,3555548	0,5106409
80	0,6533960	0,2707396	0,1930303	0,2161893	0,2086490	0,1176125	0,1669643	0,3266985	0,3936249	0,5979475	0,6637110	0,1858375	0,5013519	0,0763450	0,0291264	0,2126257	0,3783984	0,3224670	0,6545503	0,0912130	0,6493937	0,1663880	0,4562677	0,4815312	0,1639858	0,2798311	0,6373290	0,6929528	0,1312639	0,5907019	0,3792319	0,6762600
100	0,5195273	0,2725365	0,1799238	0,1983570	0,1346051	0,0970265	0,1721364	0,3813423	0,4948110	0,7567605	0,6432328	0,1570042	0,4728116	0,1523334	0,0587830	0,3403270	0,2830070	0,2858516	0,5934150	0,0860229	0,5140200	0,2109425	0,4651213	0,4493981	0,2030504	0,2580821	0,6826098	0,6136530	0,1194437	0,5118022	0,4770868	0,5628403
