"Time"	argP	dnaA	phoB	recF	dnaN	nrdA	nrdR	fis	mtlR	marR	nrdB	guaB	mtlD	mtlA	guaA	marB	glyU	valX	phnK	lysV	glnV	phnP	phnH	leuV	pheU	psiF	topA	aspV	thrU	phnG	alaW	tyrU
940	0,0065820	0,4015816	0,0532916	0,0203369	0,2054456	0,3836748	0,7370175	0,4097156	0,2638005	0,3447730	0,2570987	0,5384158	0,0887421	0,4350391	0,4155409	0,3696813	0,2241627	0,1898303	0,6645218	0,0359262	0,6176711	0,0184231	0,0393755	0,3615860	0,5373259	0,0541015	0,7657631	0,6404635	0,7345089	0,0039537	0,7168328	0,1675354
960	0,0149586	0,4535003	0,0462359	0,0122302	0,2330329	0,3785112	0,7205655	0,3605624	0,2274272	0,4425756	0,1874001	0,4831612	0,1209418	0,4393222	0,4118668	0,4026470	0,2469018	0,2068356	0,6589928	0,0363037	0,6899849	0,0198082	0,0465786	0,1867010	0,6640344	0,0229500	0,7620037	0,5051037	0,7638911	0,0003585	0,5944409	0,3130917
980	0,0217778	0,4905202	0,0317985	0,0267690	0,1210923	0,4606169	0,5847489	0,3655321	0,2561178	0,4246081	0,2272158	0,4059999	0,1241739	0,3993626	0,3526041	0,4328985	0,2410588	0,2009908	0,6225250	0,0641484	0,6773891	0,0194967	0,0484153	0,2027478	0,6308356	0,0429879	0,6884694	0,6196171	0,7459872	0,0004218	0,6728338	0,2380080
1000	0,0061533	0,4497802	0,0214311	0,0532547	0,1452738	0,4053165	0,6288482	0,4312650	0,2919598	0,3601809	0,2370455	0,5163642	0,1444228	0,3327580	0,3532364	0,3690649	0,2704631	0,2529667	0,7120759	0,0241975	0,6582551	0,0169103	0,0479454	0,2282083	0,7200628	0,0449610	0,7116328	0,6392866	0,6817508	0,0023273	0,6330598	0,2474223
1020	0,0118505	0,4272860	0,0571334	0,0281196	0,1809537	0,4401028	0,7274252	0,3845972	0,3548772	0,3375765	0,2107577	0,5772858	0,1181992	0,4489411	0,3160544	0,3159791	0,1957393	0,2851850	0,7197729	0,0302499	0,6093230	0,0363925	0,0404531	0,2837119	0,6023328	0,0390151	0,7916484	0,5087921	0,7432408	0,0017448	0,7564331	0,2352119
1040	0,0206886	0,4362933	0,0462852	0,0393291	0,1523024	0,4642098	0,6465081	0,3995862	0,3550750	0,3826679	0,2375712	0,5485140	0,1279474	0,5082519	0,4561940	0,4411352	0,2101645	0,1977467	0,7882783	0,0359987	0,6571492	0,0316297	0,0592608	0,2048345	0,5095442	0,0490126	0,7337789	0,4605907	0,7008262	0,0042585	0,6660995	0,3124948
1060	0,0159771	0,4073300	0,0190386	0,0242634	0,1943864	0,4732320	0,6523659	0,3958431	0,2896282	0,3388645	0,2795510	0,5625897	0,1338754	0,4532054	0,3955181	0,3727978	0,2825993	0,2682983	0,6570995	0,0281340	0,6244325	0,0282855	0,0355543	0,2221788	0,6052587	0,0416481	0,6920171	0,5505218	0,6429222	0,0013306	0,5936815	0,2505611
1080	0,0114091	0,4689954	0,0349955	0,0215785	0,2033783	0,3993724	0,7775373	0,4381051	0,2889003	0,3763152	0,2955078	0,5404334	0,0922121	0,4040518	0,3347883	0,3898201	0,1972402	0,2412106	0,8497924	0,0276415	0,7488108	0,0082281	0,0405155	0,1810303	0,5289523	0,0323605	0,7773125	0,6036689	0,6140516	0,0006484	0,6886620	0,3396436
1100	0,0030582	0,4261775	0,0362310	0,0550775	0,2307024	0,4473161	0,6998863	0,4972001	0,3499694	0,3856541	0,3617169	0,5317713	0,0965491	0,3535572	0,3722030	0,3338623	0,2204330	0,2655545	0,7731145	0,0394964	0,6953460	0,0390427	0,0255625	0,1825204	0,5230037	0,0427963	0,6297342	0,6363414	0,6556910	0,0028056	0,6386582	0,2370787

0	0,0108408	0,4211000	0,0313753	0,0330601	0,2491984	0,3238956	0,7676123	0,4424922	0,2405790	0,5101060	0,3105376	0,4967578	0,1344808	0,3958949	0,4297747	0,3875615	0,2067040	0,2038976	0,6634701	0,0221168	0,8333153	0,0267306	0,0472463	0,3194549	0,5946030	0,0548902	0,7173329	0,5480671	0,6262194	0,0046876	0,6279219	0,2569658
20	0,0430248	0,4356969	0,0232688	0,0650996	0,1331709	0,5000306	0,7066684	0,3573880	0,3205332	0,3593710	0,2109219	0,5145735	0,0944565	0,3814698	0,3317079	0,3398370	0,2083217	0,1661189	0,7588654	0,0555824	0,6329770	0,0113146	0,0908616	0,2464498	0,7603399	0,0386457	0,8353594	0,5528670	0,7113541	0,0529409	0,6762434	0,2884091
40	0,1706911	0,4229851	0,0557663	0,1675576	0,1963020	0,4239469	0,6332736	0,3913804	0,3502334	0,3572026	0,1751810	0,4380840	0,0743244	0,3304744	0,2495918	0,2790104	0,2770519	0,2420512	0,7105665	0,0523201	0,6323884	0,0160672	0,1546008	0,2989128	0,6228063	0,0242129	0,7035277	0,6620675	0,7863326	0,2073538	0,8152543	0,2635912
