"Time"	ihfB	hipA	hipB	yeiL	tdcA	tdcR	yiaJ	ompR	bolA	csgD	tdcG	tdcF	tdcB	tdcD	tdcE	tdcC	lyxK	yiaN	yiaO	sgbH	sgbE	sgbU	yiaK	yiaL	yiaM	sra	ompC	csgG	csgF	csgE	ompF	micF
1000	0,2997825	0,1379778	0,3372535	0,4963197	0,7131854	0,7630670	0,7849493	0,6345301	0,2462438	0,6821814	0,7548969	0,5983876	0,4305781	0,6407976	0,7517254	0,4760394	0,2666581	0,0272751	0,7050222	0,2294912	0,3583237	0,3783050	0,0137126	0,1140961	0,4681533	0,3968002	0,5144078	0,5043019	0,3017726	0,6613842	0,4253431	0,8332456
1020	0,3843288	0,1325048	0,2855064	0,4294201	0,6452013	0,8716173	0,5960216	0,5842603	0,2509972	0,5865996	0,7750539	0,6222521	0,5584406	0,8219093	0,6343133	0,4657611	0,2596740	0,1011962	0,8091382	0,2860247	0,3750814	0,4175500	0,0262431	0,1471516	0,4166155	0,3864935	0,5394576	0,4202793	0,2083155	0,6825243	0,5144624	0,7767798
1040	0,4007212	0,1245354	0,3198923	0,3991897	0,7050003	0,7091919	0,4334573	0,6957974	0,3716577	0,6564746	0,6241152	0,5960641	0,5086701	0,7248201	0,6396338	0,3995164	0,2767373	0,0237311	0,7146869	0,3260794	0,3639199	0,3053524	0,0133424	0,1099606	0,4002849	0,3467003	0,5120311	0,3585866	0,2705018	0,7000929	0,6208180	0,6853358
1060	0,3396816	0,1185404	0,4442747	0,5147381	0,5890599	0,8271920	0,5527273	0,6162875	0,3275259	0,6626439	0,7197275	0,6062558	0,5741157	0,7380272	0,6848475	0,4507467	0,3533823	0,0435031	0,7632795	0,2297677	0,2882409	0,2796923	0,0058329	0,1134117	0,3785375	0,3189637	0,6265396	0,3324273	0,3061749	0,6130612	0,6262831	0,7611175
1080	0,2555953	0,1414319	0,2929855	0,5693028	0,6318076	0,7346618	0,5975631	0,5601193	0,3115541	0,4683820	0,6459344	0,5490909	0,5223886	0,7528754	0,6377077	0,4289144	0,4145326	0,0250902	0,7419806	0,2043728	0,3603447	0,3432019	0,0080999	0,1687294	0,4111383	0,3739364	0,4676091	0,3221690	0,2316996	0,7379707	0,5916676	0,8634464
1100	0,2894289	0,1082332	0,3237770	0,4182969	0,5497344	0,6737731	0,5671336	0,6746542	0,2383488	0,6882766	0,6900702	0,7152710	0,5432185	0,6227288	0,6715121	0,4157341	0,2978676	0,0266554	0,7005994	0,1920671	0,4001479	0,2545178	0,0008224	0,1269461	0,4289302	0,3625248	0,4642468	0,3321694	0,2393845	0,7871143	0,4605617	0,7487569

0	0,5076230	0,1492018	0,3072775	0,4658483	0,5383754	0,6954562	0,5206756	0,6305932	0,3178277	0,6612294	0,7197402	0,6119458	0,3880605	0,7817395	0,5682810	0,4742925	0,2629972	0,0482109	0,8218028	0,1634766	0,3292089	0,3055177	0,0016999	0,0859558	0,3712494	0,5051838	0,5391410	0,3501264	0,1930765	0,8013462	0,4739607	0,7322780
20	0,3337311	0,1723767	0,3811785	0,3742566	0,4603868	0,7460076	0,5354647	0,4250123	0,1632408	0,6514351	0,5744267	0,6041065	0,5406058	0,7140802	0,5409472	0,5710067	0,2647733	0,0708950	0,5324242	0,2118007	0,2866274	0,3509874	0,2217334	0,1579858	0,3315136	0,3878859	0,6854168	0,3983596	0,1646061	0,6869877	0,5071392	0,6550870
40	0,2236719	0,1389333	0,3089170	0,4295817	0,5597282	0,7495710	0,5312643	0,3683852	0,1255052	0,6548879	0,6861815	0,6940397	0,4534544	0,7613271	0,5846397	0,7706145	0,2148184	0,0965257	0,5719493	0,1940432	0,2679728	0,2989271	0,4425245	0,1042927	0,4987288	0,3212635	0,5267530	0,4319771	0,1848343	0,6705874	0,4104888	0,7549290
60	0,1898732	0,1661708	0,3082598	0,4919402	0,5840044	0,7266662	0,4324715	0,2471708	0,1185590	0,5240066	0,7458994	0,5713985	0,6044112	0,6101143	0,4915824	0,7068322	0,3193365	0,2507221	0,3894924	0,2245687	0,2825658	0,2759832	0,5182135	0,1417223	0,4537875	0,3607555	0,4684492	0,5293711	0,1459376	0,6750579	0,6329158	0,7093279
80	0,2351672	0,1648448	0,3416466	0,4974875	0,5681970	0,7879253	0,4224516	0,2561676	0,0705389	0,5294416	0,6995350	0,5396957	0,5291590	0,7253874	0,4978626	0,5477713	0,2285143	0,2227305	0,4157861	0,2899514	0,2904786	0,3629461	0,6061133	0,1650920	0,3064009	0,3130454	0,5182806	0,4939301	0,1484286	0,7616053	0,5489497	0,7461688
100	0,1635836	0,1252432	0,4315224	0,4739560	0,5169702	0,7090431	0,4012915	0,2989152	0,0575958	0,5106204	0,6551111	0,6580598	0,5039642	0,7777563	0,4872784	0,6406384	0,2483169	0,2190949	0,3360253	0,2056276	0,3203758	0,3827641	0,5076993	0,1311163	0,4523773	0,3070651	0,3837646	0,5255423	0,1463521	0,5556445	0,6174617	0,7066082
120	0,1990092	0,1186692	0,4216664	0,5163571	0,5929140	0,7213248	0,4945716	0,3377212	0,0844927	0,4335605	0,7691040	0,6564822	0,6365420	0,7179241	0,4830152	0,7521665	0,2216892	0,2050284	0,2484847	0,2168461	0,3657123	0,3131845	0,5775123	0,0862865	0,3774047	0,2353227	0,4789504	0,4901345	0,0794654	0,5026686	0,5447831	0,8072225
140	0,2504929	0,1332447	0,4315462	0,4640776	0,6097782	0,7119667	0,4712084	0,3459968	0,0434522	0,4534060	0,5596383	0,7132066	0,5773665	0,7568001	0,5555380	0,7669755	0,1708534	0,1236132	0,2227016	0,1996557	0,2603177	0,2826212	0,5288640	0,0962156	0,4313765	0,2970332	0,5141007	0,6310286	0,0709425	0,6479257	0,6988788	0,7564621
160	0,2718355	0,1235450	0,2894233	0,3142261	0,6609299	0,7774551	0,4520615	0,3946370	0,0756860	0,4289479	0,5779877	0,6278549	0,6602957	0,6833919	0,4967530	0,8385143	0,2651861	0,1934975	0,2017183	0,2084981	0,2438300	0,3304492	0,5405353	0,1330539	0,3933010	0,3187293	0,5569355	0,5214157	0,0738800	0,5734688	0,6714976	0,6230076
180	0,3095459	0,1219328	0,3417089	0,4418168	0,5877628	0,8735031	0,5176704	0,2848348	0,0591225	0,3219050	0,6249582	0,6387296	0,6622674	0,6523554	0,4945040	0,7235120	0,2490025	0,1900756	0,2745008	0,1904880	0,2035883	0,2641213	0,4971708	0,0894967	0,3902556	0,3541314	0,5749381	0,5766647	0,0837610	0,6643947	0,6627587	0,6572994
200	0,2399893	0,0715499	0,3292967	0,4615689	0,6356900	0,7378477	0,4707458	0,3082641	0,0472580	0,4334797	0,8119945	0,5880963	0,7632986	0,7244993	0,5537500	0,7298846	0,3015326	0,1525004	0,3254996	0,2417439	0,3137565	0,2316308	0,7331474	0,0933915	0,3726505	0,3975841	0,6117503	0,3902383	0,0569775	0,5510477	0,6243122	0,6867555
220	0,2869285	0,0909943	0,3304721	0,4145082	0,5787655	0,6041995	0,5092227	0,3031529	0,0621857	0,3932440	0,7228470	0,7107229	0,7368880	0,6382053	0,4675292	0,6467810	0,3017507	0,1832389	0,2976472	0,1902437	0,3460107	0,2085812	0,5332231	0,1096200	0,4770548	0,3239972	0,5468964	0,4404658	0,0336058	0,5677851	0,7090767	0,7023082
